Date,Open,High,Low,Close,Volume
20181206,24.33,24.33,24.15,24.15,300100
20181211,24.04,24.04,24.04,24.04,375
20181212,24.53,24.53,24.52,24.52,675
20181213,24.41,24.45,24.4,24.44,1375
20181214,24.09,24.09,24.09,24.09,300
20181217,23.84,23.9463,23.84,23.9463,5300
20181218,23.88,23.88,23.88,23.88,300
20181219,23.63,23.63,23.63,23.63,300
20181220,23.86,23.86,23.86,23.86,2600
20181221,23.2,23.2,23.2,23.2,300
20181224,22.95,22.95,22.95,22.95,300
20181226,23.53,23.53,23.53,23.53,100
20181227,23.55,23.55,23.55,23.55,100
20181228,23.66,23.66,23.5639,23.5639,5300
20181231,23.68,23.68,23.68,23.68,300
20190102,23.67,23.67,23.67,23.67,300
20190103,23.41,23.41,23.41,23.41,300
20190104,24.1,24.1,24.1,24.1,300
20190107,24.21,24.21,24.21,24.21,300
20190108,24.36,24.36,24.36,24.36,300
20190109,24.71,24.71,24.71,24.71,300
20190110,24.81,24.81,24.81,24.81,600
20190111,24.67,24.67,24.67,24.67,300
20190114,24.52,24.52,24.52,24.52,300
20190115,24.69,24.69,24.69,24.69,300
20190116,24.82,24.82,24.82,24.82,300
20190117,24.91,24.91,24.91,24.91,300
20190118,25.12,25.12,25.12,25.12,300
20190122,24.71,24.71,24.71,24.71,300
20190123,24.89,24.89,24.89,24.89,300
20190124,24.98,24.98,24.8571,24.8571,5300
20190125,25.28,25.28,25.28,25.28,300
20190128,25.17,25.17,25.17,25.17,300
20190129,25.19,25.19,25.19,25.19,300
20190130,25.52,25.52,25.52,25.52,300
20190131,25.54,25.54,25.54,25.54,300
20190201,25.72,25.72,25.72,25.72,470
20190204,25.52,25.52,25.4769,25.4826,3950
20190205,25.71,25.71,25.71,25.71,1000
20190206,25.61,25.61,25.61,25.61,300
20190207,25.33,25.33,25.2749,25.2749,10300
20190208,25.25,25.25,25.25,25.25,300
20190211,25.2,25.2,25.2,25.2,300
20190212,25.43,25.43,25.43,25.43,300
20190213,25.41,25.41,25.41,25.41,300
20190214,25.38,25.38,25.38,25.38,300
20190215,25.62,25.62,25.62,25.62,300
20190219,25.5842,25.5843,25.5842,25.5843,1665
20190220,25.83,25.83,25.83,25.83,300
20190221,25.8,25.8,25.8,25.8,300
20190222,25.98,25.98,25.98,25.98,300
20190225,26.09,26.09,26.09,26.09,2571
20190226,26.13,26.14,26.13,26.14,700
20190227,26.09,26.09,26.09,26.09,400
20190228,25.9,25.9,25.9,25.9,300
20190301,26,26,26,26,300
20190304,26,26,26,26,300
20190305,26.05,26.05,26.05,26.05,300
20190306,25.99,25.99,25.99,25.99,300
20190307,25.58,25.58,25.58,25.58,300
20190308,25.46,25.46,25.46,25.46,450
20190311,25.82,25.82,25.82,25.82,300
20190312,25.84,25.84,25.84,25.84,300
20190313,25.99,25.99,25.99,25.99,300
20190314,25.96,25.96,25.96,25.96,300
20190315,26.24,26.24,26.24,26.24,800
20190318,26.37,26.37,26.37,26.37,300
20190319,26.61,26.61,26.36,26.36,1000
20190320,26.11,26.11,26.11,26.11,400
20190321,26.25,26.25,26.25,26.25,500
20190322,25.8,25.8,25.8,25.8,525
20190325,25.81,25.86,25.81,25.86,1000
20190326,25.98,25.98,25.98,25.98,300
20190327,25.96,25.96,25.96,25.96,300
20190328,25.84,25.84,25.84,25.84,400
20190329,26.1,26.1,26.1,26.1,300
20190401,26.41,26.41,26.41,26.41,300
20190402,26.37,26.37,26.37,26.37,300
20190403,26.625,26.63,26.625,26.625,6700
20190404,26.56,26.56,26.56,26.56,100
20190405,26.54,26.55,26.54,26.55,400
20190409,26.54,26.54,26.54,26.54,100
20190412,26.6715,26.7082,26.6715,26.7066,4078
20190415,26.69,26.69,26.69,26.69,200
20190416,26.79,26.79,26.79,26.79,200
20190417,26.78,26.78,26.78,26.78,349
20190418,26.86,26.86,26.86,26.86,3974
20190422,26.75,26.75,26.75,26.75,200
20190423,26.8398,26.8398,26.8398,26.8398,500
20190424,26.73,26.73,26.73,26.73,200
20190426,26.76,26.76,26.76,26.76,200
20190429,26.81,26.81,26.81,26.81,800
20190430,26.87,26.87,26.87,26.87,100
20190501,26.72,26.72,26.72,26.72,200
20190502,26.6215,26.6215,26.6215,26.6215,100
20190503,26.96,26.96,26.96,26.96,100
20190507,26.17,26.17,26.17,26.17,200
20190508,26.21,26.21,26.21,26.21,300
20190617,26.09,26.09,26.0406,26.0406,836
20190627,26.52,26.52,26.52,26.52,2000
20190702,26.6235,26.6235,26.6235,26.6235,188
20190709,26.38,26.38,26.38,26.38,186
20190712,26.5,26.5,26.4604,26.4604,400
20190716,26.549,26.549,26.549,26.549,463
20190724,26.62,26.64,26.6195,26.6395,1800
20190726,26.41,26.41,26.3975,26.3975,884
20190731,26.09,26.09,26.09,26.09,1000
20190819,25.1637,25.1637,25.1537,25.1537,278
20190820,25.15,25.15,25.15,25.15,238
20190823,25.11,25.11,24.98,24.98,401
20190826,25.08,25.08,25.0796,25.0796,400
20190830,25.44,25.44,25.44,25.44,100
20190903,25.34,25.34,25.34,25.34,354
20190909,26.03,26.03,26.03,26.03,355
20191018,26.84,26.84,26.7137,26.7137,670
20191024,26.99,26.99,26.99,26.99,373
20191031,27.35,27.35,27.35,27.35,100
20191104,27.5673,27.5673,27.5232,27.5232,1322
20191107,27.769,27.769,27.7391,27.7391,3401
20191108,27.56,27.56,27.56,27.56,1221
20191114,27.29,27.35,27.29,27.35,3010
20191119,27.57,27.57,27.57,27.57,200
20191125,27.579,27.579,27.579,27.579,100
20191203,27.21,27.21,27.1462,27.1462,250
20191204,27.4599,27.4599,27.4391,27.4391,200
20191209,27.67,27.67,27.67,27.67,100
20191212,28.02,28.02,28.02,28.02,200
20191216,28.4709,28.4709,28.4709,28.4709,500
20191218,28.05,28.05,28.05,28.05,100
20191220,27.9894,27.9894,27.9894,27.9894,500
20191223,28.12,28.12,28.12,28.12,1700
20191224,27.88,27.9828,27.88,27.9828,250
20191226,28.045,28.045,28.045,28.045,100
20191227,28.21,28.21,28.21,28.21,100
20191230,28.1049,28.1049,28.05,28.05,2202
20200102,28.3421,28.3421,28.3421,28.3421,1199
20200103,28.14,28.14,28.13,28.13,3023
20200106,28.04,28.04,28.04,28.04,1248
20200108,28.13,28.13,28.13,28.13,441
20200109,28.19,28.19,28.19,28.19,200
20200110,28.19,28.19,28.19,28.19,100
20200113,28.4,28.4,28.4,28.4,200
20200114,28.39,28.39,28.39,28.39,200
20200116,28.44,28.44,28.44,28.44,300
20200117,28.5147,28.55,28.5147,28.55,991
20200123,28.15,28.3,28.15,28.3,2764
20200124,28.2,28.2,28.2,28.2,479
20200127,27.5401,27.564,27.5401,27.5408,1100
20200128,27.5,27.705,27.5,27.68,700
20200129,27.95,27.95,27.7544,27.84,5801
20200130,27.4772,27.4772,27.4772,27.4772,188
20200203,27.49,27.49,27.47,27.47,514
20200204,27.99,27.99,27.99,27.99,400
20200205,28.0903,28.0903,28.0903,28.0903,200
20200206,28.155,28.155,28.155,28.155,300
20200207,27.94,27.94,27.94,27.94,400
20200210,27.88,27.92,27.88,27.92,1190
20200211,28.17,28.17,28.17,28.17,105
20200212,28.38,28.38,28.36,28.36,396
20200218,27.9684,27.99,27.9684,27.99,2350
20200221,27.82,27.82,27.75,27.75,400
20200225,26.37,26.37,26.37,26.37,100
20200226,26.5468,26.5468,26.5468,26.5468,200
20200227,26.2111,26.23,25.76,25.76,5236
20200302,25.61,25.61,25.5764,25.5764,560
20200303,26.19,26.19,26.14,26.14,468
20200304,26.2856,26.31,26.2856,26.31,476
20200306,25.5,25.5,25.5,25.5,105
20200309,23.61,23.96,23.61,23.96,333
20200310,24.23,24.23,23.99,23.99,273
20200311,23.28,23.28,23.28,23.28,100
20200312,21.63,21.63,20.5202,20.5202,700
20200316,19.69,20.5,19.6439,19.93,2600
20200318,19.71,19.71,19.06,19.06,700
20200323,19.071,19.4023,19.071,19.4023,1807
20200324,20.68,20.7,20.68,20.7,55482
20200325,21.3,21.71,21.3,21.6421,2598
20200327,21.63,21.63,21.63,21.63,745
20200331,21.92,21.92,21.92,21.92,448
20200401,21.11,21.11,21.11,21.11,849
20200406,21.88,21.88,21.81,21.81,2000
20200407,22.73,22.73,22.73,22.73,500
20200408,22.48,22.605,22.2646,22.6,5505
20200409,23.01,23.099,22.882,22.8924,6471
20200415,22.51,22.51,22.44,22.44,500
20200416,22.61,22.61,22.61,22.61,100
20200417,23.0999,23.0999,23.0999,23.0999,146
20200421,22.6209,22.6209,22.6209,22.6209,100
20200423,23,23,23,23,251
20200427,23.21,23.2999,23.21,23.2999,1229
20200428,23.66,23.66,23.529,23.529,1181
20200430,23.51,23.51,23.51,23.51,200
20200505,23.13,23.19,23.13,23.13,2517
20200506,23.1,23.1,23.1,23.1,550
20200507,23,23.11,23,23.09,1160
20200508,23.17,23.49,23.17,23.49,800
20200512,23.6,23.6,23.55,23.55,4218
20200513,23.2,23.2,23.2,23.2,172
20200515,22.89,22.89,22.89,22.89,293
20200519,23.71,23.71,23.46,23.46,221
20200520,24.09,24.09,24.09,24.09,100
20200526,24.33,24.33,24.2005,24.2005,2062
20200527,24.375,24.375,24.375,24.375,250
20200528,24.68,24.68,24.68,24.68,184
20200529,24.44,24.44,24.44,24.44,100
20200602,25.31,25.43,25.31,25.43,1369
20200604,25.87,25.87,25.8463,25.8463,1225
20200605,26.41,26.44,26.41,26.44,221
20200608,26.33,26.33,26.33,26.33,450
20200612,25.43,25.43,25.1,25.13,2000
20200618,25.82,25.82,25.815,25.815,250
20200624,25.72,25.8,25.72,25.8,235
20200625,25.72,25.92,25.44,25.92,6747
20200707,26.43,26.43,26.43,26.43,300
20200708,26.541,26.541,26.541,26.541,107
20200709,26.61,26.61,26.61,26.61,100
20200713,26.88,26.93,26.76,26.76,1384
20200714,26.42,26.66,26.42,26.66,1000
20200715,27.09,27.09,27.05,27.08,1130
20200717,26.81,26.81,26.81,26.81,100
20200721,27.43,27.43,27.43,27.43,400
20200722,27.38,27.38,27.38,27.38,200
20200723,27.34,27.34,27.029,27.08,998
20200727,27.36,27.5,27.36,27.39,1650
20200728,27.419,27.42,27.3363,27.34,2542
20200729,27.6,27.639,27.6,27.639,273
20200730,26.99,27.259,26.99,27.259,1594
20200731,26.71,26.71,26.71,26.71,500
20200803,27.1499,27.1499,27.092,27.092,335
20200805,27.71,27.71,27.659,27.66,897
20200806,27.59,27.59,27.59,27.59,2688
20200807,27.3599,27.3599,27.3599,27.3599,100
20200810,27.33,27.33,27.33,27.33,200
20200811,27.64,27.64,27.64,27.64,100
20200814,27.585,27.585,27.585,27.585,135
20200819,27.98,27.98,27.98,27.98,175
20200820,27.58,27.649,27.58,27.649,560
20200824,28.16,28.16,28.16,28.16,145
20200825,28.16,28.16,28.02,28.0799,600
20200826,28.29,28.29,28.29,28.29,161
20200827,28.1031,28.1031,28.1031,28.1031,106
20200828,28.21,28.21,28.21,28.21,190
20200831,28.06,28.06,28,28.01,478
20200901,28.113,28.113,28.113,28.113,102
20200902,28.31,28.4,28.31,28.4,218
20200903,27.8,27.8,27.765,27.765,2739
20200904,27.67,27.67,27.4,27.4,600
20200909,27.8298,27.83,27.8298,27.83,286
20200910,27.78,27.78,27.5192,27.5192,1150
20200911,27.585,27.585,27.585,27.585,369
20200914,27.98,27.98,27.92,27.92,200
20200915,28.24,28.24,28.1798,28.18,480
20200916,28.2759,28.2759,28.2759,28.2759,314
20200921,27.19,27.19,27.19,27.19,170
20200923,27.45,27.45,27.45,27.45,185
20200930,27.54,27.54,27.54,27.54,100
20201001,27.75,27.75,27.75,27.75,200
20201006,28.04,28.04,28,28,5921
20201007,28.08,28.08,28.08,28.08,100
20201009,28.29,28.355,28.29,28.355,4200
20201012,28.62,28.67,28.62,28.66,501
20201013,28.51,28.51,28.51,28.51,200
20201014,28.41,28.41,28.41,28.41,300
20201016,28.195,28.195,28.195,28.195,100
20201027,27.88,27.88,27.8798,27.8798,321
20201028,27.0701,27.0701,27.0701,27.0701,2144
20201029,27.19,27.19,27.19,27.19,200
20201102,27.22,27.28,27.22,27.26,345
20201103,27.79,27.8,27.79,27.8,400
20201104,28.37,28.37,28.37,28.37,182
20201105,28.64,28.64,28.64,28.64,300
20201106,29.0101,29.0101,29.0101,29.0101,450
20201109,30.05,30.05,30.05,30.05,120
20201113,29.69,29.69,29.69,29.69,104
20201116,29.99,29.99,29.99,29.99,100
20201118,29.8687,29.8687,29.8687,29.8687,100
20201120,29.99,29.99,29.99,29.99,100
20201125,30.31,30.54,30.31,30.5399,500
20201127,30.36,30.6966,30.36,30.6966,7990
20201130,30.5,30.5,30.34,30.34,201
20201201,30.53,30.53,30.53,30.53,100
20201202,30.49,30.49,30.49,30.49,200
20201204,30.999,31,30.9698,30.9999,1700
20201207,30.94,30.94,30.9,30.9,356
20201208,30.96,31.03,30.96,31.03,1570
20201209,30.98,30.98,30.87,30.87,200
20201215,30.988,30.99,30.988,30.99,1875
20201218,31.27,31.27,31.27,31.27,131
20201221,30.49,30.49,30.49,30.49,170
20201222,30.52,30.575,30.52,30.575,564
20201223,30.94,30.94,30.9385,30.9385,1147
20201229,31.25,31.2599,31.25,31.2599,2075
20201230,31.66,31.66,31.48,31.48,401
20201231,31.359,31.359,31.359,31.359,100
20210105,31.77,31.77,31.77,31.77,181
20210107,31.955,31.98,31.955,31.98,1327
20210108,32.54,32.54,32.54,32.54,200
20210111,32.15,32.15,32.025,32.025,450
20210114,32.6413,32.6413,32.6413,32.6413,500
20210115,32.36,32.36,32.36,32.36,300
20210119,32.63,32.64,32.6032,32.6032,3378
20210121,33.07,33.07,33.05,33.05,700
20210122,32.93,32.99,32.93,32.96,1350
20210126,32.96,32.96,32.96,32.96,333
20210127,32.325,32.35,32.3062,32.3062,750
20210129,32,32,31.68,31.68,853
20210201,32.06,32.06,32.06,32.06,750
20210202,32.59,32.59,32.59,32.59,200
20210204,32.7099,32.74,32.7099,32.74,362
20210208,33.0428,33.065,33.0428,33.065,388
20210212,33.6,33.809,33.6,33.7,1203
20210216,33.96,33.96,33.88,33.88,300
20210218,33.4299,33.4299,33.34,33.34,527
20210219,33.52,33.52,33.52,33.52,115
20210222,33.2,33.2,33.2,33.2,252
20210223,33.1499,33.15,33.1499,33.15,606
20210224,32.86,33.08,32.86,33.08,411
20210225,32.82,32.82,32.49,32.49,780
20210301,32.54,32.61,32.54,32.61,200
20210302,32.5891,32.5891,32.58,32.58,200
20210303,32.37,32.37,32.37,32.37,100
20210305,32.11,32.24,32.11,32.2242,2754
20210308,31.94,31.94,31.94,31.94,920
20210309,32.44,32.44,32.44,32.44,500
20210310,32.46,32.46,32.3113,32.3113,1282
20210311,32.97,32.98,32.89,32.979,1216
20210312,32.72,32.76,32.6779,32.69,1911
20210315,32.49,32.49,32.49,32.49,100
20210317,32.9165,32.9165,32.9165,32.9165,180
20210318,32.691,32.691,32.691,32.691,100
20210323,32.6,32.6,32.505,32.505,1195
20210329,32.55,32.67,32.49,32.49,513
20210330,32.35,32.68,32.35,32.64,17753
20210331,32.56,32.66,32.56,32.65,1959
20210401,32.92,33.02,32.92,33.02,1895
20210405,33.39,33.41,33.39,33.41,6900
20210406,33.16,33.4,33.16,33.4,13853
20210407,32.91,32.98,32.9,32.98,1016
20210408,33.2739,33.3,33.2739,33.3,2552
20210412,33.07,33.07,33.06,33.07,2609
20210413,33.18,33.22,33.18,33.22,400
20210415,33.446,33.5,33.446,33.5,701
20210419,33.49,33.665,33.49,33.52,5005
20210420,33.3199,33.3199,33,33,4100
20210421,33.32,33.32,33.32,33.32,150
20210422,33.33,33.33,33.33,33.33,370
20210423,33.58,33.78,33.58,33.76,800
20210426,33.78,33.78,33.7289,33.7799,400
20210427,33.56,33.6827,33.56,33.6827,1723
20210429,33.64,33.64,33.64,33.64,125
20210430,33.4,33.4,33.31,33.31,697
20210503,33.5672,33.58,33.55,33.55,973
20210504,32.9819,33.1,32.9819,33.1,1221
20210505,33.51,33.52,33.371,33.371,2918
20210506,33.63,33.63,33.63,33.63,400
20210507,34.05,34.05,33.98,33.994,1015
20210510,33.7499,33.7499,33.7499,33.7499,1115
20210511,33.3587,33.3692,33.3587,33.3692,270
20210514,33.46,33.46,33.46,33.46,175
20210517,33.38,33.38,33.365,33.365,600
20210518,33.68,33.82,33.68,33.7032,6315
20210519,33.2,33.35,33.2,33.3235,1873
20210520,33.74,33.74,33.74,33.74,191
20210521,33.71,33.73,33.66,33.66,2200
20210525,33.991,33.991,33.99,33.99,270
20210526,34.13,34.16,34.13,34.16,700
20210527,34.07,34.12,34.07,34.12,985
20210528,34.21,34.21,34.21,34.21,300
20210601,34.58,34.59,34.569,34.569,3229
20210602,34.52,34.5915,34.511,34.541,5491
20210603,34.2821,34.3367,34.2821,34.3367,681
20210604,34.6099,34.71,34.6099,34.6852,454
20210607,34.661,34.661,34.661,34.661,100
20210609,34.64,34.64,34.569,34.569,600
20210614,34.73,34.73,34.73,34.73,415
20210618,33.95,33.95,33.88,33.88,480
20210621,34.01,34.01,34.01,34.01,360
20210622,34.13,34.2099,34.08,34.2099,1555
20210623,34.15,34.15,34.15,34.15,200
20210625,34.1699,34.1699,34.1699,34.1699,1463
20210628,34.065,34.13,34.065,34.13,1400
20210629,34.021,34.021,34.021,34.021,152
