Date,Open,High,Low,Close,Volume
20201027,24.97,24.97,24.97,24.97,130
20201028,22.3,22.5,22.24,22.25,662383
20201029,22.18,22.71,22.18,22.63,1120443
20201030,22.66,22.89,22.29,22.36,18778
20201102,22.75,22.81,22.58,22.78,2695
20201103,23.27,23.44,23.26,23.41,512825
20201104,23.22,23.71,23.22,23.42,9368
20201105,23.87,25.04,23.7,24.12,11989
20201106,24.32,24.32,24.07,24.08,7726
20201109,25.95,25.95,24.98,25.17,397411
20201110,25.1,25.47,25.1,25.27,397659
20201111,25.31,25.31,25.21,25.21,1841
20201112,25.03,25.06,24.86,24.86,1335
20201113,25.42,25.42,25.37,25.39,3242
20201116,26.26,26.26,26.1,26.21,6145
20201117,26,26.32,26,26.18,6110
20201118,26.44,26.45,26.29,26.36,2519
20201119,26.02,26.15,25.96,26.15,1966
20201120,26.11,26.18,26.11,26.18,2849
20201123,26.63,26.87,26.62,26.87,3347
20201124,27.33,27.64,27.33,27.42,4251
20201125,27.17,27.36,27.08,27.36,4833
20201127,27.3,27.32,27.2,27.32,3044
20201130,26.87,26.91,26.72,26.72,4914
20201201,26.84,27.12,26.84,26.88,7968
20201202,27.09,27.35,27.08,27.19,33886
20201203,27.2,27.62,27.2,27.56,21958
20201204,27.92,28.23,27.91,28.23,2658
20201207,28.05,28.2,27.94,28.02,5207
20201208,28.25,28.28,28.25,28.28,1256
20201209,28.64,28.65,28.28,28.35,2750
20201210,28.6,28.66,28.58,28.63,1964
20201211,28.59,28.6,28.46,28.55,6207
20201214,28.43,28.43,28.34,28.35,869
20201215,28.52,28.75,28.48,28.66,2928
20201216,28.69,28.76,28.67,28.75,2868
20201217,28.48,28.91,28.48,28.9,2779
20201218,28.87,28.97,28.61,28.61,8292
20201221,28.44,28.61,28.43,28.49,5736
20201222,28.74,28.83,28.5,28.77,6283
20201223,29.05,29.13,29.01,29.13,3191
20201224,28.96,28.98,28.95,28.98,1484
20201228,29.21,29.22,29.01,29.02,12153
20201229,28.71,28.77,28.6,28.73,16970
20201230,29.03,29.04,28.87,28.96,2404
20201231,29.03,29.1,29.02,29.08,9624
20210104,28.95,28.95,28.68,28.78,3914
20210105,29.04,29.36,29.04,29.35,9465
20210106,30.03,30.35,29.79,30.03,12453
20210107,30.52,30.52,30.1,30.42,3815
20210108,30.49,30.49,30.17,30.33,2281
20210111,30.32,30.42,30.27,30.3,3838
20210112,30.65,30.74,30.61,30.69,4799
20210113,30.83,30.83,30.45,30.45,3088
20210114,30.66,30.99,30.64,30.87,2042
20210115,30.62,30.64,30.52,30.53,847
20210119,30.82,30.82,30.71,30.73,5081
20210120,31.06,31.06,30.9,31.06,5533
20210121,31.09,31.09,30.58,30.58,7379
20210122,30.25,30.65,30.25,30.37,5849
20210125,30.39,30.67,30.38,30.67,3833
20210126,30.55,30.71,30.55,30.65,5375
20210127,30.24,30.71,30.24,30.64,4203
20210128,30.89,30.97,30.74,30.74,1509
20210129,30.62,30.86,30.2,30.2,39055
20210201,30.4,31,30.33,31,2209
20210202,31.33,31.43,31.32,31.32,5236
20210203,31.58,31.72,31.58,31.62,3602
20210204,31.78,31.78,31.7,31.76,3428
20210205,31.99,32.05,31.94,31.96,2276
20210208,32,32.57,31.93,32.57,3794
20210209,32.52,32.79,32.52,32.79,330
20210210,32.59,32.85,32.59,32.75,2439
20210211,32.84,32.95,32.7,32.76,11531
20210212,33.04,33.04,32.69,32.81,1315
20210216,33.11,33.14,32.82,32.82,3593
20210217,32.6,32.72,32.55,32.61,1501
20210218,32.17,32.17,31.96,32.11,3228
20210219,31.78,32.41,31.78,32.32,6366
20210222,32.48,32.52,32.33,32.34,62625
20210223,31.77,31.95,31.77,31.95,3276
20210224,32.65,32.81,32.59,32.81,1092
20210225,32.5,32.51,32.26,32.29,3067
20210226,31.9,32.33,31.78,32.27,2947
20210301,32.61,32.8,32.55,32.8,5620
20210302,32.86,32.86,32.49,32.6,2508
20210303,32.59,32.8,32.59,32.66,1793
20210304,32.44,32.44,31.88,31.88,721
20210305,32.38,32.65,31.92,32.65,4300
20210308,32.94,33.41,32.94,33.28,5820
20210309,33.58,33.58,33.42,33.54,3689
20210310,33.67,33.72,33.59,33.68,3125
20210311,33.93,34.06,33.93,34.03,2590
20210312,34.1,34.17,34.1,34.12,1647
20210315,34.1,34.23,34.06,34.23,2908
20210316,34.02,34.02,33.78,33.87,2097
20210317,33.83,34.08,33.6,34.08,4570
20210318,33.56,33.9,33.48,33.48,6616
20210319,33.22,33.71,33.22,33.71,10155
20210322,33.47,33.56,33.45,33.55,4782
20210323,33.13,33.13,32.54,32.54,2844
20210324,32.93,33.04,32.32,32.32,7819
20210325,32.04,32.85,32.04,32.85,5204
20210326,33.35,33.35,32.96,32.96,2299
20210329,32.98,33.12,32.83,33.12,2805
20210330,33.34,33.34,33.09,33.16,1873
20210331,33.33,33.37,33.15,33.15,19906
