Date,Open,High,Low,Close,Volume
20021114,10.771,10.771,10.737,10.771,41200
20021115,10.771,10.94,10.771,10.94,4000
20021118,10.828,10.828,10.828,10.828,400
20021119,10.828,10.828,10.828,10.828,900
20021120,10.828,10.884,10.828,10.884,900
20021121,11.053,11.053,11.053,11.053,400
20021125,11.155,11.211,11.155,11.211,900
20021202,11.392,11.392,11.392,11.392,400
20021204,11.166,11.166,11.11,11.11,3500
20021205,11.053,11.053,10.94,10.94,1800
20021206,10.83,10.997,10.828,10.828,2200
20021209,11.504,11.504,10.828,10.828,1800
20021210,10.839,10.839,10.839,10.839,900
20021211,10.83,10.83,10.828,10.828,3500
20021212,10.85,10.85,10.737,10.737,1300
20021213,10.726,10.726,10.681,10.681,7100
20021216,47.909,48.1,47.87,48.1,1400
20021218,10.771,10.771,10.546,10.546,4876
20021219,10.602,10.64,10.433,10.602,2659
20021223,10.61,10.61,10.608,10.608,886
20021231,10.593,10.627,10.593,10.627,8846
20030102,10.627,10.909,10.627,10.909,114109
20030103,10.83,10.875,10.83,10.875,5307
20030106,10.966,11.147,10.966,11.124,15036
20030107,10.76,11.189,10.76,10.986,7960
20030108,10.92,10.92,10.92,10.92,885
20030109,10.943,11,10.932,10.997,81823
20030110,10.785,10.785,10.785,10.785,442
20030114,11.033,11.153,11.033,11.153,2653
20030115,11.158,11.158,11.158,11.158,442
20030116,11.271,11.271,11.271,11.271,1770
20030117,11.271,11.271,11.271,11.271,4865
20030121,11.395,11.395,11.076,11.076,2212
20030122,10.957,11.011,10.957,10.984,4423
20030123,10.875,11.147,10.875,11.147,1768
20030127,10.851,11.28,10.851,11.28,4866
20030128,10.74,11.011,10.403,10.654,7077
20030129,10.513,10.513,10.403,10.484,26978
20030130,10.29,10.468,10.29,10.389,9288
20030131,10.362,10.362,10.362,10.362,2654
20030203,10.475,10.523,10.475,10.523,3096
20030205,10.527,10.527,10.527,10.527,1769
20030206,10.527,10.527,10.389,10.4,5307
20030207,10.4,10.4,10.344,10.344,884
20030211,10.366,10.366,10.366,10.366,442
20030212,10.421,10.421,10.421,10.421,3538
20030218,10.593,10.593,10.593,10.593,442
20030303,10.321,10.321,10.321,10.321,22115
20030304,10.247,10.247,10.247,10.247,88458
20030305,10.233,10.233,10.208,10.208,1769
20030311,9.553,9.553,9.553,9.553,442
20030313,10.113,10.113,10.111,10.111,884
20030317,9.948,9.948,9.948,9.948,442
20030325,9.727,9.727,9.727,9.727,442
20030327,10.349,10.349,10.349,10.349,884
20030328,10.035,10.1,10.035,10.078,2652
20030331,10.032,10.032,9.75,9.75,4862
20030414,11.308,11.308,10.406,10.406,884
20030424,9.897,9.897,9.729,9.729,1326
20030509,10.442,10.442,10.442,10.442,442
20030520,10.259,10.259,10.259,10.259,884
20030527,10.455,10.455,10.455,10.455,884
20030529,10.661,10.661,10.632,10.632,36466
20030602,10.856,11.037,10.856,11.03,2652
20030603,10.973,10.973,10.883,10.939,3470
20030604,11.075,11.075,11.075,11.075,442
20030606,11.31,11.378,11.31,11.374,3094
20030609,11.31,11.31,11.243,11.243,1326
20030611,11.41,11.41,11.41,11.41,442
20030617,11.623,11.623,11.623,11.623,2210
20030618,11.632,11.67,11.632,11.67,4862
20030619,11.616,11.616,11.616,11.616,2210
20030624,11.675,11.675,11.675,11.675,5271
20030625,11.484,11.484,11.386,11.421,6150
20030707,12.622,12.704,12.622,12.704,5711
20030710,12.561,12.561,12.543,12.543,1318
20030714,12.522,12.563,12.522,12.563,5271
20030717,11.933,11.933,11.933,11.933,439
20030718,11.983,11.983,11.983,11.983,440
20030722,11.876,11.958,11.876,11.958,6149
20030724,12.14,12.14,12.14,12.14,439
20030728,12.267,12.267,12.267,12.267,439
20030730,11.889,11.889,11.889,11.889,439
20030801,11.899,11.899,11.899,11.899,439
20030805,11.792,11.792,11.785,11.785,878
20030812,10.769,15.884,10.769,12.028,2635
20030820,14.207,14.207,12.698,12.748,5270
20030821,12.975,12.975,12.975,12.975,9665
20030822,12.937,12.982,12.841,12.841,5272
20030825,12.752,12.752,12.752,12.752,1318
20030826,12.707,12.707,12.707,12.707,1758
20030903,13.355,13.406,13.355,13.406,10103
20030904,13.26,13.26,13.26,13.26,879
20030905,13.278,13.278,13.26,13.26,1318
20030908,13.451,13.451,13.451,13.451,878
20030909,13.592,13.592,13.592,13.592,8786
20030910,13.433,13.433,13.433,13.433,4393
20030912,13.408,13.446,13.408,13.446,878
20030915,13.387,13.387,13.387,13.387,2196
20030916,13.804,13.804,13.804,13.804,2636
20030917,13.854,13.934,13.854,13.886,15669
20030918,13.886,13.886,13.886,13.886,439
20030919,13.744,13.749,13.671,13.671,5269
20030923,13.209,13.209,13.209,13.209,439
20030924,13.323,13.323,13.323,13.323,6149
20030925,13.321,13.321,13.321,13.321,2196
20030926,13.225,13.225,13.225,13.225,8783
20030929,13.175,13.241,13.175,13.241,1317
20030930,13.23,13.23,13.148,13.148,3952
20031003,14.332,14.332,13.92,13.947,16688
