Date,Open,High,Low,Close,Volume
20090722,18.801,19.047,18.801,19.032,22918
20090723,19.633,19.93,17.912,19.93,15084
20090724,19.617,19.617,19.447,19.56,4548
20090727,19.71,19.73,19.54,19.63,9693
20090728,19.429,19.429,19.231,19.41,11964
20090729,19.064,19.064,18.866,18.97,7263
20090730,19.466,19.598,19.457,19.49,6954
20090731,19.485,19.556,19.203,19.41,9755
20090803,20.08,20.29,20,20.24,9969
20090804,20.15,20.15,19.895,20.06,8167
20090805,20.01,20.1,19.643,20.1,24721
20090806,19.994,19.994,19.833,19.88,17040
20090807,19.921,20.25,19.921,20.11,14351
20090810,19.851,19.87,19.78,19.78,3501
20090811,20.34,20.34,19.446,19.54,6204
20090812,19.414,19.574,19.414,19.56,5941
20090813,19.566,19.83,19.566,19.83,19434
20090814,20.22,20.48,19.532,19.64,35588
20090817,18.903,19.087,18.761,18.95,111006
20090818,19.085,19.33,19.085,19.33,42485
20090819,18.854,20.024,18.779,19.17,71502
20090820,19.327,19.718,19.327,19.6,27127
20090821,19.737,19.912,19.704,19.86,2226
20090824,20.12,20.33,20.02,20.02,17573
20090825,20.17,20.17,20.07,20.07,2481
20090826,19.941,20.13,19.941,20.13,1696
20090827,19.937,19.937,19.8,19.89,11815
20090828,20.05,20.05,19.92,19.95,2589
20090831,19.554,19.554,19.521,19.54,15251
20090901,19.491,19.632,19.165,19.17,11125
20090902,19.083,19.14,19.074,19.14,5300
20090903,19.554,19.639,19.389,19.429,4417
20090904,19.682,20.04,19.682,20.04,15392
20090908,20.37,20.53,20.37,20.51,5513
20090909,20.74,20.74,20.69,20.69,1415
20090910,20.79,20.93,20.71,20.93,14659
20090911,21.38,21.38,20.98,21.04,7239
20090914,20.74,20.84,20.74,20.84,2845
20090915,21.42,21.42,21,21.16,2785
20090916,21.47,21.52,20.27,21.47,12987
20090917,21.61,21.69,20.45,21.42,6511
20090918,21.6,22.23,21.49,21.75,38919
20090921,21.16,21.38,21.16,21.38,3441
20090922,21.68,21.77,21.68,21.77,848
20090923,21.49,22.38,21.4,22.38,10597
20090924,21.24,21.24,20.89,20.89,25850
20090925,20.81,21.04,20.81,21.04,2550
20090928,21.01,21.39,21.01,21.27,5101
20090929,21.04,21.43,21.04,21.32,3818
20090930,21.57,21.57,21.28,21.49,6410
20091001,21.63,21.63,20.88,20.99,8505
20091002,20.57,20.88,20.53,20.88,5245
20091005,21.21,21.43,21.13,21.41,9990
20091006,21.81,22.12,21.79,21.87,12651
20091007,22.08,22.08,21.78,22.01,18917
20091008,22.33,22.45,22.08,22.27,7324
20091009,22.21,22.46,22.21,22.46,25510
20091012,22.6,23.05,22.57,22.57,22951
20091013,22.63,22.63,22.3,22.56,14128
20091014,23,23.34,22.96,23.34,10941
20091015,23.08,23.39,23.08,23.29,23486
20091016,23.08,23.08,22.83,22.92,8962
20091019,23.28,23.41,23.1,23.39,12684
20091020,23.22,23.22,22.78,23.03,11540
20091021,23.02,23.29,22.98,23.08,13221
20091022,23.08,23.26,22.86,23.26,15881
20091023,23.17,23.26,23.08,23.1,7838
20091026,23.26,23.32,22.75,22.8,13213
20091027,22.64,22.75,22.23,22.23,12063
20091028,22,22.7,21.27,21.27,48318
20091029,21.63,22.1,21.62,22.1,3423
20091030,22.02,22.02,21.22,21.37,20580
20091102,21.85,21.85,21.4,21.54,18687
20091103,21.05,21.54,21.05,21.54,3742
20091104,22.37,22.37,22.03,22.03,6549
20091105,22.44,22.57,22.14,22.54,8697
20091106,22.49,22.54,22.21,22.31,10711
20091109,23.02,23.19,23.02,23.19,6255
20091110,23.27,23.27,22.94,23.06,11747
20091111,23.5,23.5,23.07,23.17,12196
20091112,22.95,23.05,22.63,22.67,47918
20091113,23.09,23.09,22.74,22.91,6832
20091116,23.36,24.9,23.35,23.47,125511
20091117,23.38,23.42,23.13,23.42,21834
20091118,23.46,23.46,23.25,23.25,5676
20091119,23.24,23.24,22.22,22.87,27055
20091120,22.27,22.72,22.27,22.62,8874
20091123,22.71,23.57,22.71,23.28,22617
20091124,23.26,23.26,22.96,23.05,7291
20091125,23.32,23.32,23.11,23.28,7516
20091127,22.81,22.81,21.61,22.53,17346
20091130,22.58,22.65,22.45,22.55,11402
20091201,23.19,23.27,23.04,23.26,16023
20091202,23.31,23.33,23.31,23.32,8706
20091203,23.51,23.53,23.23,23.23,26926
20091204,23.52,23.58,23.04,23.18,5937
20091207,22.98,23.08,22.66,22.96,10929
20091208,22.89,22.89,22.44,22.5,9994
20091209,22.42,22.58,22.4,22.54,40855
20091210,22.75,22.75,22.65,22.65,2345
20091211,22.82,22.85,22.72,22.77,7315
20091214,23.01,23.01,22.88,22.94,8316
20091215,22.9,22.9,22.74,22.76,6955
