Date,Open,High,Low,Close,Volume
20160510,20.01,20.01,20.01,20.01,21000
20160511,18.29,18.29,18.29,18.29,10935
20160512,18.29,18.29,18.29,18.29,10935
20160513,18.299,18.299,18.299,18.299,11154
20160516,18.281,18.307,18.281,18.29,13121
20160517,18.29,18.29,18.29,18.29,21640
20160518,18.252,18.252,18.198,18.198,12770
20160519,18.18,18.18,18.18,18.18,10935
20160520,18.19,18.202,18.186,18.186,13054
20160523,18.208,18.208,18.208,18.208,10935
20160524,18.189,18.198,18.162,18.171,13850
20160525,18.189,18.198,18.189,18.198,11908
20160526,18.217,18.217,18.217,18.217,10935
20160527,18.235,18.235,18.198,18.212,18322
20160531,18.199,18.23,18.199,18.23,11044
20160601,18.235,18.262,18.226,18.262,12598
20160602,18.253,18.308,18.253,18.308,11154
20160603,18.4,18.4,18.317,18.317,11044
20160606,18.336,18.354,18.336,18.354,11722
20160607,18.363,18.381,18.326,18.372,14072
20160608,18.363,18.381,18.326,18.381,816023
20160609,18.391,18.409,18.391,18.409,11293
20160610,18.4,18.427,18.4,18.427,14449
20160613,18.4,18.4,18.4,18.4,10913
20160614,18.4,18.409,18.4,18.409,12892
20160615,18.391,18.391,18.391,18.391,10913
20160616,18.436,18.436,18.436,18.436,10913
20160617,18.391,18.418,18.391,18.418,17193
20160620,18.372,18.372,18.362,18.362,11044
20160621,18.381,18.381,18.381,18.381,10913
20160622,18.372,18.372,18.372,18.372,10913
20160623,18.345,18.391,18.345,18.391,14733
20160624,18.464,18.464,18.455,18.455,11901
20160627,20.8,20.8,18.482,18.482,120545
20160628,18.51,18.528,18.51,18.521,34868
20160629,18.538,18.561,18.538,18.561,13608
20160630,18.556,18.574,18.537,18.537,14983
20160701,18.583,18.62,18.583,18.62,86183
20160705,18.656,18.656,18.656,18.656,10913
20160706,19.069,19.069,18.647,18.675,13341
20160707,18.638,18.675,18.638,18.674,13587
20160708,18.647,18.702,18.647,18.702,261086
20160711,18.678,18.697,18.66,18.66,20703
20160712,18.642,18.642,18.611,18.613,12573
20160713,18.642,18.66,18.642,18.651,48791
20160714,18.614,18.642,18.596,18.641,23697
20160715,18.605,18.642,18.575,18.575,31008
20160718,18.623,18.632,18.623,18.632,8373
20160719,18.697,18.697,18.586,18.632,90468
20160720,18.632,18.632,18.605,18.605,17094
20160721,18.582,18.605,18.582,18.605,79207
20160722,18.66,18.66,18.622,18.622,1362
20160725,18.632,18.632,18.608,18.623,21094
20160726,18.623,18.623,18.584,18.614,214809
20160727,18.623,18.66,18.623,18.647,3750
20160728,18.615,18.66,18.615,18.651,12724
20160729,18.669,18.697,18.669,18.697,12573
20160801,18.669,18.687,18.669,18.687,7545
20160802,18.678,18.678,18.614,18.632,33778
20160803,18.678,18.678,17.687,18.627,93827
20160804,18.669,18.669,18.643,18.66,150015
20160805,18.66,18.66,18.605,18.623,97623
20160808,18.626,18.626,18.617,18.626,1817
20160809,18.654,18.672,18.645,18.672,120814
20160810,18.681,18.709,18.654,18.69,21061
20160811,18.663,18.672,18.644,18.654,16531
20160812,18.699,18.752,18.69,18.718,205480
20160815,18.663,18.688,18.663,18.672,37290
20160816,18.709,18.709,18.626,18.644,82260
20160817,18.67,18.699,18.635,18.69,186210
20160818,18.69,18.709,18.69,18.709,233881
20160819,18.69,18.7,18.653,18.663,6011
20160822,18.658,18.709,18.658,18.709,18752
20160823,18.722,18.727,18.696,18.709,64134
20160824,18.681,18.718,18.681,18.709,5851
20160825,18.705,18.718,18.68,18.699,29436
20160826,18.718,18.718,18.657,18.663,50410
20160829,18.7,18.727,18.696,18.718,52500
20160830,18.709,18.718,18.672,18.709,99811
20160831,18.709,18.718,18.694,18.699,50595
20160901,18.709,18.709,18.678,18.69,5791
20160902,18.718,18.718,18.654,18.69,65131
20160906,18.745,18.755,18.729,18.745,36996
20160907,18.755,18.764,18.709,18.736,15909
20160908,18.727,18.745,18.666,18.672,23520
20160909,18.67,18.67,18.578,18.596,56121
20160912,18.577,18.613,18.55,18.596,43425
20160913,18.593,18.606,18.536,18.569,17502
20160914,18.587,18.615,18.562,18.578,5840
20160915,18.578,18.596,18.554,18.587,5352
20160916,18.567,18.606,18.567,18.606,60583
20160919,18.633,18.633,18.577,18.587,14007
20160920,18.624,18.624,18.596,18.606,86826
20160921,18.606,18.652,18.578,18.652,11473
20160922,18.679,18.688,18.639,18.656,9861
20160923,18.689,18.698,18.661,18.679,9861
20160926,18.716,18.716,18.716,18.716,337
20160927,18.719,18.735,18.715,18.735,10549
20160928,18.744,18.753,18.721,18.734,22275
20160929,18.725,18.744,18.716,18.735,3804
20160930,18.725,18.725,18.669,18.716,14133
20161003,18.67,18.698,18.652,18.696,32865
20161004,18.735,18.735,18.617,18.661,71650
20161005,18.661,18.698,18.606,18.618,30301
20161006,18.624,18.642,18.587,18.642,19277
20161007,18.633,18.661,18.595,18.661,32130
20161010,18.624,18.642,18.596,18.633,17867
20161011,18.642,18.642,18.607,18.623,48805
20161012,18.651,18.651,18.589,18.623,1556
20161013,18.605,18.669,18.605,18.651,108453
20161014,18.632,18.632,18.605,18.614,11289
20161017,18.632,18.642,18.595,18.632,38716
20161018,18.641,18.669,18.614,18.669,9637
20161019,18.678,18.678,18.623,18.632,25768
20161020,18.671,18.678,18.658,18.669,1194
20161021,18.669,18.669,18.647,18.669,8172
20161024,18.623,18.651,18.605,18.642,15842
20161025,18.639,18.642,18.614,18.642,15731
20161026,18.623,18.623,18.586,18.605,7343
20161027,18.54,18.558,18.522,18.558,6335
20161028,18.54,18.558,18.521,18.549,9301
20161031,18.568,18.577,18.534,18.568,85211
20161101,18.595,18.595,18.494,18.538,268526
20161102,18.577,18.591,18.532,18.549,53048
20161103,18.558,18.568,18.531,18.558,18750
20161104,18.503,18.586,18.503,18.586,5788
20161107,18.512,18.577,18.512,18.568,6060
20161108,18.575,18.575,18.501,18.501,16506
20161109,18.464,18.464,18.353,18.353,26155
20161110,18.353,18.381,18.298,18.298,13395
20161111,18.305,18.306,18.286,18.298,1465
20161114,18.307,18.307,18.178,18.178,3109
20161115,18.252,18.252,18.217,18.242,24473
20161116,18.224,18.261,18.205,18.232,26544
20161117,18.232,18.232,18.168,18.168,447
20161118,18.182,18.182,18.094,18.094,47304
20161121,18.076,18.141,18.076,18.094,22701
20161122,18.122,18.15,18.122,18.15,12955
20161123,18.051,18.094,18.048,18.087,3956
20161128,18.113,18.15,18.1,18.15,33542
20161129,18.118,18.159,18.094,18.113,272516
20161130,18.067,18.123,18.057,18.067,128883
20161201,18.02,18.048,18.011,18.02,10332
20161202,18.082,18.085,18.039,18.048,129279
20161205,18.048,18.094,18.03,18.076,71661
20161206,18.057,18.075,18.039,18.048,49677
20161207,18.039,18.141,18.039,18.095,43450
20161208,18.112,18.112,18.019,18.056,16234
20161209,18.001,18.075,18.001,18.029,17235
20161212,17.982,18.039,17.973,18.038,24585
20161213,18.013,18.066,18.013,18.066,19349
20161214,18.084,18.084,17.964,17.991,31737
20161215,18.001,18.019,17.945,17.945,51675
20161216,18.019,18.019,17.945,17.945,79271
20161219,18.038,18.038,17.973,17.991,22728
20161220,18.019,18.019,17.964,17.982,27929
20161221,17.992,18.04,17.992,18.01,6987
20161222,18.043,18.044,18.019,18.019,36660
20161223,18.042,18.084,18.019,18.019,27335
20161227,18.093,18.093,18.01,18.01,214126
20161228,18.015,18.095,18.003,18.049,87580
20161229,18.077,18.142,18.068,18.133,77142
20161230,18.17,18.17,18.095,18.124,2281
20170103,18.114,18.151,18.077,18.108,10710
20170104,18.086,18.133,18.086,18.133,16000
20170105,18.142,18.281,18.142,18.262,11675
20170106,18.179,18.179,18.108,18.114,2290
20170109,18.153,18.187,18.134,18.187,4379
20170110,18.19,18.19,18.188,18.188,6983
20170111,18.187,18.207,18.187,18.207,3913
20170112,18.179,18.225,18.151,18.151,1202
20170113,18.123,18.142,18.096,18.142,6048
20170117,18.205,18.235,18.17,18.225,11386
20170118,18.162,18.162,18.077,18.077,2526
20170119,18.03,18.046,18.012,18.031,4663
20170120,18.022,18.077,18.022,18.058,12808
20170123,18.139,18.195,18.139,18.14,2806
20170124,18.086,18.105,18.049,18.086,22362
20170125,18.021,18.021,17.976,18.003,27335
20170126,17.991,18.03,17.952,18.021,6925
20170127,18.058,18.068,18.027,18.068,3447
20170130,18.04,18.049,18.036,18.04,6328
20170131,18.096,18.098,18.049,18.059,38562
20170201,18.012,18.058,17.993,18.028,39084
20170202,18.068,18.068,18.021,18.021,46219
20170203,18.058,18.114,18.04,18.04,3142
20170206,18.077,18.123,18.068,18.077,19662
20170207,18.073,18.123,18.069,18.115,21213
20170208,18.149,18.165,18.13,18.139,17209
20170209,18.093,18.117,18.092,18.092,6774
20170210,18.084,18.102,18.074,18.074,201426
20170213,18.069,18.077,18.065,18.065,1229
20170214,18.019,18.065,18.019,18.027,3312
20170215,18.037,18.037,17.99,17.99,40305
20170216,18.056,18.093,18.056,18.074,94706
20170217,18.12,18.12,18.084,18.084,6964
20170221,18.094,18.102,18.094,18.101,3523
20170222,18.111,18.12,18.074,18.102,11277
20170223,18.141,18.142,18.13,18.13,1069
20170224,18.158,18.24,18.158,18.24,19692
20170227,18.223,18.223,18.167,18.167,1471
20170228,18.183,18.185,18.177,18.185,2017
20170301,18.094,18.111,18.074,18.102,9054
