Date,Open,High,Low,Close,Volume
20140930,16.31,16.31,16.196,16.253,6642
20141001,15.977,15.985,15.896,15.896,9870
20141002,15.774,15.814,15.774,15.798,19033
20141003,16.351,16.4,16.33,16.375,10234
20141006,16.448,16.448,16.235,16.235,6151
20141007,16.139,16.14,16.099,16.099,5566
20141008,15.912,16.205,15.79,16.205,5178
20141009,16.188,16.229,15.928,15.977,19694
20141010,15.928,15.928,15.407,15.407,4040
20141013,15.359,15.424,15.213,15.421,4858
20141014,15.302,15.302,15.196,15.253,6365
20141015,15.009,15.164,14.994,14.994,4274
20141016,15.107,15.408,15.107,15.408,4551
20141017,15.44,15.457,15.286,15.343,8179
20141020,15.432,15.497,15.432,15.497,6088
20141021,15.684,15.92,15.676,15.904,12694
20141022,15.896,15.912,15.771,15.771,4052
20141023,15.904,15.936,15.904,15.936,6396
20141024,16.034,16.042,16.034,16.042,4366
20141027,16.05,16.05,15.977,15.985,8771
20141028,16.026,16.327,16.026,16.327,7164
20141029,16.188,16.188,16.042,16.099,6205
20141030,16.074,16.107,15.92,16.107,6262
20141031,16.514,16.538,16.514,16.53,1599
20141103,16.619,16.692,16.587,16.587,2607
20141104,16.497,16.587,16.497,16.587,922
20141105,16.662,16.662,16.424,16.424,1783
20141106,16.416,16.489,16.383,16.487,1777
20141107,16.505,16.505,16.4,16.4,553
20141110,16.579,16.627,16.579,16.627,3142
20141111,16.563,16.563,16.562,16.562,614
20141112,16.579,16.652,16.536,16.643,2511
20141113,16.644,16.644,16.596,16.596,1868
20141114,16.684,16.869,16.684,16.869,430
20141117,16.831,16.831,16.831,16.831,307
20141118,16.774,16.774,16.717,16.717,430
20141119,16.652,16.652,16.453,16.453,2324
20141120,16.538,16.538,16.538,16.538,307
20141121,16.871,16.871,16.579,16.595,4474
20141124,16.66,16.725,16.627,16.725,3044
20141125,16.733,16.733,16.668,16.709,1414
20141126,16.749,16.766,16.749,16.751,8498
20141128,16.847,16.847,16.838,16.838,1660
20141201,16.831,16.831,16.424,16.424,1777
20141202,16.358,16.423,16.358,16.423,369
20141203,16.448,16.448,16.448,16.448,307
20141204,16.465,16.465,16.439,16.465,1353
20141205,16.538,16.538,16.53,16.538,2122
20141208,16.521,16.521,16.31,16.31,676
20141209,16.034,16.279,16.034,16.279,492
20141210,16.278,16.278,16.278,16.278,307
20141211,16.31,16.367,16.302,16.31,5645
20141212,16.31,16.31,16.31,16.31,307
20141215,16.229,16.229,15.977,16.042,861
20141216,15.961,15.961,15.676,15.676,1291
20141217,15.847,15.847,15.847,15.847,307
20141218,16.497,16.514,16.4,16.42,1260
20141219,16.66,16.66,16.644,16.644,492
20141222,16.806,16.806,16.798,16.798,277
20141223,16.822,16.871,16.822,16.855,2214
20141224,16.976,16.976,16.909,16.924,1106
20141226,17.033,17.042,17.025,17.025,369
20141229,16.92,16.936,16.92,16.928,740
20141230,16.79,16.79,16.709,16.709,1999
20141231,16.79,16.855,16.692,16.692,4300
20150102,16.66,16.683,16.489,16.522,1199
20150105,16.514,16.514,16.261,16.27,2282
20150106,16.392,16.392,16.107,16.127,2337
20150107,16.343,16.343,16.271,16.289,615
20150108,16.668,16.668,16.627,16.627,369
20150109,16.668,16.668,16.57,16.595,896
20150112,16.505,16.505,16.369,16.375,861
20150113,16.562,16.562,16.261,16.261,246
20150114,16.335,16.335,16.123,16.204,2152
20150115,16.217,16.217,16.148,16.148,430
20150116,16.009,16.009,16.009,16.009,123
20150120,16.099,16.327,16.099,16.299,4591
20150121,16.603,16.668,16.562,16.619,5046
20150122,16.668,16.883,16.546,16.883,5595
20150123,17.042,17.099,17.027,17.027,1476
20150126,17.302,17.302,17.026,17.083,2214
20150127,16.814,16.936,16.7,16.847,6027
20150128,16.977,16.977,16.627,16.627,3936
20150129,16.373,16.709,16.373,16.709,4029
20150130,16.652,16.652,16.627,16.644,369
20150202,16.359,16.538,16.359,16.538,4305
20150203,16.831,16.855,16.757,16.855,6542
20150204,17.046,17.058,17.046,17.058,246
20150205,17.27,17.343,17.27,17.343,1733
20150206,17.44,17.457,17.44,17.457,1353
20150209,17.351,17.351,17.172,17.172,628
20150210,17.278,17.318,17.278,17.318,492
20150211,17.449,17.449,17.449,17.449,162
20150212,17.579,17.579,17.579,17.579,123
20150213,17.806,17.806,17.744,17.751,1845
20150217,17.92,17.92,17.806,17.806,2276
20150218,17.875,17.875,17.875,17.875,307
20150219,18.036,18.063,18.036,18.063,246
20150220,18.172,18.188,18.172,18.188,307
20150223,18.18,18.18,18.083,18.099,1722
20150224,18.205,18.205,17.998,17.998,3138
20150225,18.034,18.132,18.034,18.083,14105
20150226,18.188,18.319,18.172,18.188,9282
20150227,18.384,18.384,18.018,18.018,7010
20150302,18.319,18.319,18.12,18.221,4858
20150303,18.148,18.148,17.998,17.998,4182
20150304,17.888,17.888,17.86,17.888,971
20150305,18.018,18.018,17.899,17.899,433
20150306,17.896,17.896,17.741,17.741,922
20150309,17.839,17.839,17.603,17.603,4774
20150310,17.522,17.522,17.375,17.383,2146
20150311,17.432,17.479,17.432,17.479,848
20150312,17.603,17.603,17.603,17.603,123
20150313,17.603,17.676,17.466,17.514,1319
20150316,17.62,17.638,17.562,17.636,2294
20150317,18.701,18.701,17.595,17.595,984
20150318,17.611,17.676,17.611,17.676,1722
20150319,17.879,17.879,17.879,17.879,369
20150320,17.888,18.184,17.888,18.164,5792
20150323,18.278,18.278,18.05,18.18,5600
20150324,18.124,18.124,18.124,18.124,123
20150325,17.684,17.684,17.636,17.636,467
20150326,17.481,17.652,17.481,17.652,2748
20150327,17.679,17.774,17.679,17.774,387
20150330,17.798,17.923,17.798,17.888,2094
20150331,17.896,17.896,17.896,17.896,123
20150401,18.026,18.026,17.562,17.587,2939
20150402,17.627,17.628,17.627,17.628,492
20150406,17.627,17.969,17.627,17.969,1909
20150407,18.083,18.083,17.961,17.961,3145
20150408,18.188,18.188,18.188,18.188,123
20150409,18.229,18.229,18.132,18.229,534
20150410,18.359,18.367,18.335,18.335,492
20150413,18.473,18.473,18.428,18.428,799
20150414,18.636,18.636,18.156,18.156,3996
20150415,18.31,18.31,18.262,18.302,455
20150416,17.968,18.652,17.968,18.603,3803
20150417,18.636,18.636,18.177,18.188,12453
20150420,18.432,18.432,18.326,18.432,1332
20150421,18.571,18.571,18.534,18.534,664
20150422,18.66,18.66,18.636,18.636,2598
20150423,18.701,18.839,18.619,18.823,1839
20150424,19.042,19.042,18.81,18.81,8765
20150427,19.05,19.05,18.863,18.863,728
20150428,18.904,18.904,18.81,18.81,2238
20150429,18.396,18.717,18.396,18.701,2337
20150430,18.53,18.53,18.196,18.245,3709
20150501,18.245,18.245,18.061,18.171,7093
20150504,18.262,18.27,18.262,18.27,504
20150505,17.969,17.969,17.969,17.969,123
20150506,18.132,18.197,17.904,17.992,2091
20150507,18.197,18.197,18.197,18.197,273
20150508,18.363,18.367,18.363,18.367,1107
20150511,18.416,18.416,18.343,18.384,1587
20150512,18.026,18.148,18.026,18.083,1722
20150513,18.464,18.464,18.4,18.4,246
20150514,18.619,18.619,18.489,18.489,959
20150515,18.619,18.66,18.619,18.66,615
20150518,18.628,18.765,18.628,18.733,1070
20150519,18.758,18.782,18.741,18.782,1123
20150520,18.741,18.758,18.733,18.758,2120
20150521,18.896,18.941,18.896,18.941,1239
20150522,19.018,19.018,18.985,18.993,4459
20150526,18.993,18.993,18.826,18.828,3824
20150527,18.831,19.034,18.815,19.034,916
20150528,19.026,19.075,19.01,19.075,3196
20150529,19.083,19.083,18.806,18.806,556
20150601,18.945,18.945,18.904,18.904,517
20150602,18.904,18.904,18.855,18.855,1384
20150603,19.01,19.01,18.904,19.002,1840
20150604,19.18,19.18,18.788,18.788,6718
20150605,19.034,19.064,19.018,19.046,3095
20150608,19.026,19.042,18.837,18.896,2645
20150609,18.701,18.823,18.701,18.823,589
20150610,19.14,19.14,19.115,19.115,1845
20150611,19.107,19.107,19.107,19.107,123
20150612,19.05,19.05,19.011,19.011,430
20150615,18.977,18.977,18.948,18.948,669
20150616,18.952,19.078,18.952,19.078,3373
20150617,19.115,19.115,19.115,19.115,2460
20150618,19.189,19.421,19.189,19.421,1056
20150619,19.376,19.376,19.351,19.376,2214
20150622,19.546,19.546,19.546,19.546,1230
20150623,19.481,19.481,19.339,19.441,1520
20150624,19.408,19.424,19.172,19.172,21694
20150625,19.196,19.284,19.196,19.255,6322
20150626,19.115,19.115,18.92,18.977,2952
20150629,18.701,18.749,18.473,18.514,13207
20150630,18.66,18.758,18.595,18.749,4834
20150701,18.888,18.904,18.717,18.717,3091
20150702,18.668,18.668,18.668,18.668,246
20150706,18.489,18.701,18.457,18.546,3342
20150707,18.091,18.554,18.091,18.554,3690
20150708,18.774,18.774,18.213,18.253,3690
20150709,18.644,18.644,18.465,18.465,6964
20150710,18.676,18.758,18.668,18.733,5375
20150713,18.823,18.896,18.823,18.875,2151
20150714,19.058,19.083,19.058,19.083,2583
20150715,19.18,19.18,18.887,18.887,1868
20150716,19.099,19.27,19.099,19.27,8161
20150717,19.367,19.497,19.324,19.392,6518
20150720,19.506,19.506,19.392,19.424,2954
20150721,19.546,19.546,19.359,19.416,1704
20150722,19.424,19.424,19.262,19.31,2819
20150723,19.457,19.636,19.457,19.489,1922
20150724,19.652,19.668,19.497,19.497,1358
20150727,19.465,19.465,19.184,19.184,2337
20150728,19.026,19.416,19.026,19.416,1897
20150729,19.424,19.424,19.197,19.392,4557
20150730,19.4,19.432,19.4,19.432,1236
20150731,19.432,19.432,19.286,19.294,4015
20150803,19.424,19.424,18.949,18.949,667
20150804,19.091,19.123,19.083,19.083,1476
20150805,19.254,19.254,19.204,19.204,738
20150806,19.18,19.18,18.847,18.945,3155
20150807,18.928,19.05,18.912,19.002,1890
20150810,19.432,19.432,19.432,19.432,123
20150811,19.026,19.116,18.969,19.116,615
20150812,18.819,18.819,18.701,18.701,5043
20150813,19.002,19.189,19.002,19.189,955
20150814,19.036,19.036,19.026,19.026,246
20150817,19.221,19.221,19.221,19.221,123
20150818,19.149,19.156,19.01,19.058,2192
20150819,18.928,18.993,18.863,18.904,2331
20150820,18.693,18.701,18.115,18.156,11712
20150821,18.156,18.156,17.562,17.579,5727
20150824,16.424,17.546,16.424,17.076,6107
20150825,17.529,17.549,17.074,17.074,2308
20150826,17.168,17.331,16.945,17.318,2014
20150827,17.847,18.099,17.847,18.099,7005
20150828,18.148,18.148,18.131,18.131,430
20150831,17.993,18.066,17.823,17.823,581
20150901,17.278,17.619,17.245,17.342,4193
20150902,17.579,17.579,17.326,17.326,716
20150903,17.823,17.823,17.571,17.599,4055
20150904,17.384,17.428,17.367,17.367,1519
20150908,17.741,17.888,17.691,17.888,1529
20150909,18.042,18.042,17.839,17.847,1354
20150910,17.847,17.92,17.79,17.79,2213
20150914,17.814,17.814,17.814,17.814,123
20150915,17.804,18.001,17.804,18.001,713
20150916,18.123,18.123,18.123,18.123,503
20150917,18.294,18.555,18.287,18.351,1999
20150918,18.172,18.286,18.172,18.201,9772
20150921,18.294,18.294,18.132,18.132,4182
20150922,17.786,17.786,17.786,17.786,184
20150923,17.897,17.897,17.795,17.795,812
20150924,17.457,17.619,17.457,17.595,2379
20150925,17.928,17.928,17.53,17.53,1314
20150928,17.326,17.347,17.074,17.094,2047
20150929,17.18,17.213,16.831,16.961,6580
20150930,17.107,17.302,17.083,17.302,10891
20151001,17.075,17.18,17.075,17.18,2707
20151002,17.262,17.611,17.075,17.587,10088
20151005,17.896,17.896,17.896,17.896,1353
20151006,17.714,17.714,17.714,17.714,307
20151007,17.647,17.647,17.647,17.647,984
20151008,18.115,18.115,17.684,17.684,1018
20151009,18.05,18.05,18.05,18.05,123
20151012,18.001,18.001,17.959,17.959,430
20151013,18.068,18.068,17.839,17.839,406
20151014,17.806,17.806,17.758,17.758,369
20151015,17.725,17.725,17.725,17.725,246
20151016,18.107,18.107,18.107,18.107,307
20151019,18.197,18.197,18.083,18.156,523
20151020,18.188,18.188,18.021,18.021,428
20151021,17.839,17.847,17.839,17.847,492
20151022,17.896,17.896,17.896,17.896,123
20151023,18.258,18.375,18.258,18.375,4894
20151026,18.595,18.595,18.464,18.473,1587
20151027,18.31,18.31,18.264,18.264,369
20151028,18.461,18.461,18.461,18.461,135
20151029,18.294,18.294,18.294,18.294,123
