Date,Open,High,Low,Close,Volume
20210504,19.8,19.8,19.47,19.58,51050
20210505,19.8,19.8,19.515,19.515,1766
20210506,19.3699,19.45,19.15,19.34,16989
20210507,19.54,20.17,19.4288,19.4288,28215
20210510,19.19,19.19,19.04,19.08,23690
20210511,18.7,19,18.7,18.9967,135929
20210512,18.61,18.61,18.2863,18.2863,11170
20210513,18.52,18.64,18.37,18.393,23542
20210514,18.62,18.94,18.62,18.8933,2874
20210517,18.76,18.7601,18.72,18.7601,2597
20210518,18.73,19.03,18.73,18.7956,110797
20210519,18.6365,18.6761,18.6365,18.6761,191
20210520,19.14,19.2,19.1399,19.1653,2450
20210521,19.0595,19.0595,19.0595,19.0595,50
20210524,19.44,19.51,19.44,19.4731,2698
20210525,19.72,19.88,19.47,19.5212,111553
20210526,19.58,19.68,19.58,19.6754,575
20210527,19.7318,19.7318,19.7318,19.7318,4
20210528,19.87,19.905,19.8045,19.8045,2031
20210601,19.73,19.96,19.7288,19.7427,7697
20210602,19.83,19.83,19.7668,19.7754,4114
20210603,19.56,19.5835,19.5442,19.5835,287
20210604,19.77,19.7944,19.7688,19.7944,810
20210607,19.86,21.15,19.86,19.9201,13397
20210608,20.04,20.12,19.97,20.0478,3657
20210609,20.165,20.165,20.02,20.02,808
20210610,20.26,20.286,20.26,20.286,280
20210611,20.32,20.3703,20.3077,20.3703,202
20210614,20.46,20.58,20.46,20.58,2250
20210615,20.4,20.4,20.3556,20.3556,205
20210616,20.3345,20.3345,20.3345,20.3345,48
20210617,20.7056,20.7056,20.6498,20.6498,166
20210618,20.63,20.65,20.585,20.585,871
20210621,20.7151,20.7151,20.6612,20.6612,449
20210622,20.905,20.905,20.905,20.905,175
20210623,21.02,21.25,20.9945,21.0415,5124
20210624,21.2514,21.2676,21.176,21.176,556
20210625,21.0793,21.0793,21.0793,21.0793,4
20210628,21.27,21.2931,21.27,21.2931,382
20210629,21.32,21.38,21.32,21.32,79473
20210630,21.235,21.235,21.2245,21.2245,194
20210701,21.21,21.2374,21.2097,21.2374,599
20210702,21.4632,21.4632,21.4632,21.4632,58
20210706,21.53,21.74,21.53,21.7269,3152
20210707,21.72,21.72,21.652,21.6908,1269
20210708,21.64,21.64,21.24,21.4324,517
20210709,21.6473,21.6473,21.6473,21.6473,235
20210712,21.59,21.59,21.5859,21.5859,446
20210713,21.63,21.69,21.5518,21.5518,878
20210714,21.4,21.4,21.3483,21.3483,384
20210715,21.1,21.1,21.0987,21.0987,402
20210716,21.06,21.1115,21.06,21.1115,105
20210719,20.66,20.81,20.65,20.7173,687
20210720,21.14,21.37,21.1197,21.3,11593
20210721,21.29,21.4557,21.29,21.4557,131
20210722,21.58,21.7,21.5799,21.6854,1626
20210723,21.8375,21.8375,21.8375,21.8375,119
20210726,21.6901,21.7455,21.69,21.7455,239
20210727,21.5178,21.5178,21.5178,21.5178,23
20210728,21.67,21.7358,21.67,21.7358,36652
20210729,21.76,21.76,21.6336,21.6336,36710
20210730,21.3118,21.3118,21.3118,21.3118,316
20210802,21.39,21.39,21.2904,21.2904,851
20210803,21.37,21.48,21.37,21.4635,675
20210804,21.495,21.56,21.495,21.5541,2632
20210805,21.82,21.82,21.7835,21.7835,702
20210806,21.72,21.7916,21.72,21.7916,2556
20210809,21.74,21.86,21.71,21.7479,1258
20210810,21.46,21.48,21.4525,21.4525,1402
20210811,21.2966,21.37,21.2966,21.3489,1397
20210812,21.24,21.3163,21.24,21.3163,503
20210813,21.3,21.33,21.3,21.3086,499
20210817,21.04,21.04,21.0038,21.0038,1281
20210818,21.1,21.15,20.93,20.93,3151
20210819,21,21.01,20.85,20.85,586
20210820,21.075,21.075,21.075,21.075,12
20210823,21.34,21.3663,21.33,21.3663,815
20210824,22.27,22.27,21.64,21.69,3454
20210825,21.72,21.7391,21.7085,21.7085,2955
20210826,21.56,21.56,21.5186,21.5186,6346
20210827,21.855,21.855,21.855,21.855,45
20210830,22.11,22.11,22.0521,22.0521,685
20210831,22.1066,22.1309,22.1066,22.1309,119
20210901,22.23,22.32,22.1895,22.1895,2339
20210902,22.28,22.28,22.1967,22.2012,3777
20210903,22.24,22.32,22.24,22.2851,2503
