Date,Open,High,Low,Close,Volume
20080908,40.96,40.96,40.96,40.96,900
20080910,40.67,40.67,40.67,40.67,600
20080911,40.53,40.53,40.52,40.52,700
20080917,40.18,40.18,40.18,40.18,700
20080922,40.65,40.78,40.57,40.57,1500
20080924,40.52,40.52,40.52,40.52,200
20080930,40.04,40.04,40.04,40.04,100
20081002,39.94,39.94,39.94,39.94,1400
20081006,39.9,39.9,39.38,39.38,107600
20081007,39.97,39.97,39.97,39.97,100
20081008,38.69,38.69,38.68,38.68,2600
20081009,38.74,39.03,38.74,38.77,2600
20081013,38.99,38.99,38.99,38.99,200
20081027,37.03,37.03,37.03,37.03,800
20081029,35.66,35.66,35.45,35.45,600
20081031,38.09,45.29,37.68,37.68,1000
20081111,38.07,38.42,38.07,38.2,4600
20081113,37.73,37.73,37.55,37.55,1100
20081217,39.01,39.01,39.01,39.01,284
20081218,40.24,40.24,39.24,39.49,2631
20081223,38.64,38.64,38.64,38.64,114
20090106,38.83,38.83,38.83,38.83,205
20090107,39.09,39.09,39.09,39.09,170
20090112,38.53,38.53,38.53,38.53,125
20090113,38.5,38.51,38.5,38.51,704
20090115,38.51,38.51,38.51,38.51,568
20090121,38.11,38.11,38.07,38.07,1134
20090122,38.13,38.13,38.13,38.13,113
20090128,38.36,38.5,38.36,38.45,1207
20090130,38.23,38.23,38.23,38.23,213
20090204,37.94,37.94,37.94,37.94,1092
20090209,38.23,38.23,38.23,38.23,200
20090210,38.2,38.2,38.2,38.2,210
20090213,37.97,37.97,37.97,37.97,170
20090218,37.3,37.3,37.29,37.29,1358
20090219,37.24,37.24,37.21,37.23,904
20090227,36.85,36.85,36.85,36.85,413
20090303,36.85,36.85,36.85,36.85,163
20090320,37.99,37.99,37.99,37.99,135
20090326,38.2,38.2,38.2,38.2,338
20090407,38.61,38.61,38.61,38.61,450
20090505,39.27,39.27,39.27,39.27,205
20090519,39.83,39.86,39.83,39.83,1261
20090520,40.24,40.3,40.24,40.3,1238
20090527,39.85,39.85,39.85,39.85,113
20090528,41.64,43.44,41.64,43.44,1009
20090529,43.72,43.72,43.69,43.69,451
20090601,43.94,46.17,43.94,45.82,1120
20090602,45.73,45.8,45.73,45.8,1126
20090603,45.9,45.9,45.9,45.9,338
20090605,45.03,45.03,43.4,44.38,557
20090611,40.48,40.48,40.45,40.45,225
20090612,40.5,40.5,40.5,40.5,113
20090615,40.29,40.29,39.45,39.45,789
20090616,39.53,40.11,39.53,39.71,1801
20090617,39.49,40.18,39.36,40.18,1689
20090618,39.97,39.97,39.3,39.3,1238
20090619,39.21,39.21,39.08,39.08,563
20090623,39.09,39.86,39.09,39.86,226
20090626,39.28,39.28,39.28,39.28,225
20090629,39.46,39.46,39.46,39.46,113
20090713,39.01,39.02,38.21,39.01,3570
20090714,39.12,39.26,39.12,39.13,451
20090717,39.71,39.71,39.71,39.71,338
20090720,39.93,39.93,39.93,39.93,113
20090724,40,40.71,38.94,39.65,2972
20090730,39.73,39.73,39.73,39.73,113
20090731,40.04,40.04,40.04,40.04,113
20090806,40.29,40.29,39.94,39.94,423
20090810,39.88,39.88,39.88,39.88,113
20090825,39.54,39.89,39.54,39.89,241
20090826,39.84,39.97,39.84,39.97,1998
20090827,39.25,39.25,39.25,39.25,194
20090831,41.25,41.25,39.28,39.97,1326
20090901,39.46,40.07,39.46,40.07,2943
20090910,40.39,40.39,40.39,40.39,113
20090916,41.26,41.26,40.75,40.75,565
20090918,40.85,40.85,40.85,40.85,613
20090922,40.9,40.91,40.9,40.91,338
20090923,41.01,41.57,40.97,41.57,789
20090925,41.03,41.03,40.42,40.42,294
20090929,40.89,40.89,40.89,40.89,253
20090930,40.49,41.13,40.49,41.13,586
20091005,40.74,40.74,40.74,40.74,113
20091007,41.68,41.68,41.68,41.68,450
20091008,42.22,42.42,41.85,41.85,901
20091009,41.79,41.79,41.76,41.76,301
20091012,41.65,42.22,40.45,40.88,4009
20091015,41.37,41.37,41.35,41.35,339
20091021,41.62,41.62,41.6,41.6,337
20091022,41.34,41.34,41.34,41.34,451
20091026,41.48,41.48,41.46,41.46,226
20091103,41.5,41.5,41.15,41.15,450
20091106,41.54,41.54,41.52,41.52,337
20091109,41.68,41.71,40.51,40.51,2391
20091110,41.07,41.07,41.07,41.07,237
20091111,41.17,41.78,41.17,41.78,839
20091113,41.82,41.82,41.82,41.82,113
20091116,41.84,41.85,41.84,41.85,563
20091118,41.83,41.83,41.83,41.83,327
20091119,41.53,41.53,41.53,41.53,113
20091120,41.56,41.56,41.56,41.56,113
20091124,41.12,41.58,41.12,41.58,619
20091130,41.56,41.56,41.56,41.56,113
20091201,41.68,41.68,41.68,41.68,432
20091202,43.16,43.16,41.77,41.77,676
20091203,41.23,41.85,41.23,41.85,226
20091204,41.83,41.83,41.83,41.83,450
20091215,41.62,41.62,41.62,41.62,113
20091228,40.9,40.9,40.9,40.9,113
20091229,40.93,40.93,40.79,40.79,1125
20100104,40.7,41.26,40.7,41.26,246
20100107,41.79,41.82,41.51,41.51,339
20100108,41.55,41.55,41.55,41.55,518
20100111,42.08,42.08,42.08,42.08,147
20100113,41.82,42.22,41.82,42.22,833
20100119,42.22,42.22,42.22,42.22,113
20100120,41.41,41.41,41.23,41.23,1572
20100122,41.06,41.69,41.06,41.66,665
20100125,41.05,41.05,41.05,41.05,113
20100129,41.66,41.66,40.91,40.93,1178
20100204,41.02,41.65,41.02,41.65,703
20100205,41.33,41.33,41.33,41.33,146
20100209,41.45,41.45,41.45,41.45,120
20100211,41.5,41.5,41.5,41.5,190
20100212,41.55,41.55,41.55,41.55,225
20100217,41.13,41.48,41.13,41.39,3770
20100218,41.41,41.65,41.28,41.65,1167
20100219,41.65,41.65,41.65,41.65,114
20100222,41.34,41.34,41.34,41.34,129
20100223,41.66,41.77,41.66,41.77,771
20100302,44.9,44.9,41.77,41.77,226
20100303,41.48,41.82,41.48,41.62,1688
20100305,41.94,41.98,41.94,41.98,585
20100308,42.14,42.14,42.14,42.14,450
20100309,41.87,41.87,41.87,41.87,113
20100310,42.22,42.22,42.22,42.22,113
20100311,42.16,42.16,41.33,41.33,2082
20100312,42.22,42.22,42.22,42.22,113
20100318,41.89,41.89,41.89,41.89,113
20100322,50.26,50.26,50.26,50.26,113
20100323,42.21,42.21,41.82,41.86,2786
20100325,42.17,42.48,41.82,41.86,2937
20100326,41.81,41.93,41.81,41.93,1688
20100330,41.98,42.08,41.98,42.08,817
20100331,42.17,42.24,42.15,42.21,1995
20100401,42.22,42.57,42.02,42.27,7539
20100406,42.39,42.39,42.39,42.39,113
20100407,42.39,42.39,42.35,42.35,676
20100408,42.39,42.39,42.39,42.39,169
20100409,42.39,42.39,42.39,42.39,140
20100413,42.87,42.87,42.37,42.37,563
20100414,42.53,43.36,42.53,43.04,37395
20100415,43.13,43.13,42.58,42.61,5500
20100416,43.03,43.03,42.66,42.7,1146
20100419,42.58,42.63,42.36,42.6,1215
20100422,42.77,43.02,42.7,43.02,1859
20100423,42.77,42.77,42.77,42.77,269
20100426,42.77,42.77,42.66,42.66,338
20100427,43.06,43.06,42.6,42.6,1854
20100428,42.92,43,42.5,42.94,4922
20100429,42.74,42.74,42.74,42.74,226
20100430,42.75,42.78,42.75,42.78,226
20100503,42.69,42.69,42.33,42.49,2982
20100504,42.42,42.48,42.26,42.48,1965
20100506,42.77,42.77,42.13,42.13,3938
20100507,41.86,41.86,41.86,41.86,1238
20100511,42.25,42.27,42.24,42.24,654
20100512,42.26,42.3,42.26,42.3,1497
20100513,42.43,42.44,42.21,42.21,1497
20100517,41.74,42.37,41.68,41.69,4030
20100518,41.92,41.92,41.92,41.92,119
20100519,41.41,41.65,41.13,41.65,704
20100520,41.1,41.33,41.1,41.33,226
20100521,40.87,41.06,39.99,41.06,25689
