Date,Open,High,Low,Close,Volume
20000406,73.37,75.04,72.29,74.45,497240
20000407,75.9,77.32,74.82,77.32,911540
20000410,77.78,77.89,73.03,73.57,574740
20000411,69.55,71.81,67.73,68.62,544710
20000412,69.15,69.25,61.9,62.29,606160
20000413,62.87,64.89,60.13,60.62,415900
20000414,57.87,60.91,54.01,55.32,419190
20000417,54.84,60.32,53.76,60.32,611000
20000418,60.77,63.52,58.8,63.22,454580
20000419,64.37,65.6,62.75,62.8,222570
20000420,63.27,63.96,60.38,62,136750
20000424,59.44,59.79,56.35,58.95,242830
20000425,62.02,64.43,61.24,64.38,139920
20000426,65.43,67.78,64.55,65.09,300940
20000427,63.27,66.79,63.18,66.41,294980
20000428,68.23,68.72,67.34,67.39,218510
20000501,68.56,70.43,68.47,69.6,156550
20000502,69.26,70,67,67.1,193170
20000503,65.62,66.7,62.63,64.74,198290
20000504,64.97,66.14,63.93,64.42,155450
20000505,64.59,66.5,64.59,66.11,79180
20000508,64.64,64.94,63.07,63.07,502540
20000509,63.66,64,60.42,61.36,138370
20000510,59.06,59.6,56.51,57.29,395470
20000511,58.66,59.84,57.49,59.15,215070
20000512,61.1,62.34,60.42,60.62,138010
20000515,60.82,62.35,58.95,62,103970
20000516,63.96,65.23,63.02,65.23,113790
20000517,63.86,65.73,63.22,64.84,92420
20000518,65.01,65.21,62.47,62.52,103230
20000519,61.69,62.19,59.09,59.44,110480
20000522,59.14,59.14,54.92,58.46,173270
20000523,57.77,58.95,55.18,55.32,136020
20000524,54.93,56.7,51.79,56.4,213960
20000525,57.57,58.26,54.73,55.32,122710
20000526,55.71,56.79,54.1,56.45,78460
20000530,57.68,61.21,57.18,61.21,87270
20000531,60.33,61.9,59.84,59.99,187180
20000601,61.6,63.96,61.6,63.81,289100
20000602,64.94,68.96,64.8,68.67,263780
20000605,67.39,69.25,67.19,68.32,225700
20000606,68.08,69.8,67.1,67.1,121390
20000607,67.49,67.64,65.92,67.44,336530
20000608,68.96,69.3,67.25,68.03,66840
20000609,69.25,69.25,66.44,67.14,244630
20000612,68.76,69.01,67.38,67.83,187060
20000613,67.59,69.55,66.75,69.4,224450
20000614,69.74,70.33,67.38,67.58,183560
20000615,67.34,69.45,66.99,69.25,158840
20000616,69.25,70.13,68.32,69.45,125780
20000619,69.4,71.71,69.11,71.56,174400
20000620,71.85,72.39,70.72,71.17,150330
20000621,70.63,72.49,70.63,72.29,185670
20000622,72.29,72.63,70.28,70.28,104270
20000623,70.62,71.06,68.51,69.1,74120
