Date,Open,High,Low,Close,Volume
20210421,24.61,25,24.61,24.9465,84476
20210422,25.04,25.39,24.91,25.0477,15443
20210423,25.2,25.35,25.18,25.3167,11732
20210426,25.58,25.73,25.4234,25.4269,33758
20210427,25.57,25.77,25.4799,25.638,29076
20210428,25.73,25.9,25.63,25.84,16384
20210429,26.2,26.44,25.67,25.8536,19072
20210430,26.56,26.56,25.56,25.62,14696
20210503,25.97,25.97,25.6244,25.65,18965
20210504,25.14,25.51,24.93,25.2865,14834
20210505,25.5,25.59,25.05,25.0589,12775
20210506,25,25,24.31,24.5699,13462
20210507,24.62,25.21,24.62,25.21,13356
20210510,25.47,25.47,24.7382,24.7382,13889
20210511,24.4,24.6335,23.8,24.6335,7753
20210512,24.73,24.73,23.68,23.7156,6093
20210513,24,24.34,23.47,23.9144,17935
20210514,24.13,24.89,24.09,24.7678,27470
20210517,25,25.1975,24.31,24.6515,11796
20210518,24.75,25.11,24.74,24.7779,13215
20210519,24.16,24.49,24.05,24.4489,11355
20210520,24.27,24.6987,24.27,24.667,3754
20210521,24.6994,24.77,24.641,24.641,3952
20210524,24.7,25.1585,24.685,25.0707,7423
20210525,25.47,25.5,25.0017,25.0384,9291
20210526,25.13,25.52,25.13,25.5117,8957
20210527,25.52,26.01,25.52,25.9692,8417
20210528,26.0292,26.0292,25.75,25.9207,9723
20210601,26.27,26.44,26.0801,26.2226,23673
20210602,26.66,26.66,26.09,26.129,13624
20210603,26.22,26.22,25.53,25.8511,13650
20210604,25.9986,25.9986,25.7609,25.8358,5066
20210607,26.07,26.1003,26.0057,26.0895,66036
20210608,25.89,26.36,25.89,26.2915,13043
20210609,26.45,26.45,25.9308,25.9999,9712
20210610,26.12,26.12,25.72,25.8975,10333
20210611,25.92,26.09,25.84,25.9983,10722
20210614,26.31,26.31,25.775,25.8042,5261
20210615,25.94,25.94,25.62,25.6889,7592
20210616,25.51,25.92,25.5,25.6202,6485
20210617,25.8,25.8,25,25.1,14684
20210618,25.1,25.1,24.62,24.63,24382
20210621,24.69,25.1821,24.69,25.1821,4398
20210622,25.32,25.32,24.95,25.0639,4041
20210623,25.15,25.37,25.15,25.2549,6108
20210624,25.43,25.43,25.17,25.2269,27172
20210625,25.24,25.24,25.05,25.1521,5487
20210628,25.13,25.13,24.2219,24.39,14360
20210629,24.36,24.64,24.3022,24.3022,3105
20210630,24.04,24.595,24.04,24.5212,4169
20210701,24.9017,24.96,24.78,24.7829,7335
20210702,25.16,25.16,24.5,24.6888,6638
20210706,25.12,25.12,24.09,24.1211,5575
20210707,24.01,24.105,23.46,23.5371,9625
20210708,22.98,23.47,22.78,23.17,8364
20210709,23.55,24.03,23.55,24.019,3080
20210712,23.81,24.11,23.75,24.0853,8007
20210713,24.03,24.1,23.4996,23.4996,4682
20210714,23.49,23.7815,23.22,23.22,4653
20210715,23.22,23.22,22.9,23.0687,8860
20210716,23,23.22,22.43,22.4723,8647
20210719,21.92,22.21,21.61,21.9143,7367
20210720,22.1,22.89,21.94,22.78,8970
20210721,23.01,23.7292,23.01,23.7292,6157
20210722,23.07,23.2314,23.07,23.2314,1771
20210723,23.34,23.36,23.0964,23.1627,1324
20210726,23.18,23.5775,23.18,23.4705,3789
20210727,23.42,23.5035,23.15,23.5035,870
20210728,23.92,24.11,23.1,23.5478,6730
20210729,23.795,23.8793,23.58,23.6009,3147
20210730,23.28,23.34,23.14,23.1788,4587
20210802,23.4201,23.7033,23,23,7129
20210803,23,23.0098,22.42,22.6973,3613
20210804,22.56,22.695,22.39,22.4037,7043
20210805,22.89,23.33,22.89,23.3258,3684
20210806,23.7285,23.7285,23.459,23.6591,15338
20210809,23.75,23.75,23.48,23.5504,1368
20210810,23.6367,23.83,23.6367,23.7409,3982
20210811,23.8,23.9332,23.78,23.9332,2294
20210812,23.93,23.93,23.44,23.7266,4548
20210813,23.4612,23.53,23.33,23.3584,6932
20210816,22.99,23.12,22.72,23.02,4286
20210817,22.36,22.506,22.36,22.506,5262
20210818,22.32,22.6999,22.32,22.4222,2146
20210819,22.26,22.3295,21.85,22.0347,3641
20210820,22.005,22.3678,22.005,22.3678,2287
20210823,22.64,22.94,22.64,22.9341,4441
20210824,23.28,23.82,23.28,23.7455,4943
20210825,24,24.2703,24,24.2703,2137
20210826,24.24,24.24,23.78,23.8582,1791
20210827,24.29,24.65,24.29,24.5121,3571
20210830,24.45,24.45,24.0969,24.0969,3175
20210831,24.108,24.29,24.108,24.2466,1347
20210901,24.35,24.37,24.261,24.3263,21603
20210902,24.26,24.56,24.26,24.3473,1206
20210903,24.33,24.33,24,24.1496,9455
20210907,24.2,24.6001,24.2,24.5564,12709
20210908,24.551,24.551,24.13,24.1659,6972
20210909,24.11,24.455,24.11,24.1844,1599
20210910,24.2,24.2,23.9485,23.9485,7782
20210913,23.8,24.215,23.75,24.0907,2255
20210914,23.88,24.13,23.8,23.9736,3484
20210915,23.86,24.29,23.86,24.2338,2091
20210916,24.39,24.5,24.26,24.3644,7308
20210917,24.6,24.73,24.38,24.3854,4627
20210920,23.81,24.29,23.8,24.18,9993
20210921,24.1,24.22,24.0615,24.0615,3964
20210922,24.55,24.84,24.4,24.7832,1256
20210923,25.03,25.52,25,25.4325,5018
20210924,25.18,25.7746,25.18,25.7727,21311
20210927,26.05,26.34,25.92,26.0452,18376
20210928,25.98,26.15,25.68,25.7693,41055
20210929,25.76,25.7709,25.532,25.6682,2430
20210930,25.9,25.9,25.01,25.4201,32575
20211001,25.77,26.61,25.77,26.5245,25212
20211004,26.38,26.625,26.2067,26.2067,8762
20211005,26.36,26.42,26.1686,26.1686,5947
20211006,25.81,26.17,25.81,26.1423,1383
20211007,26.64,26.77,26.46,26.4817,7132
20211008,26.5,26.5,26.23,26.23,3287
20211011,26.47,26.4919,26.0485,26.0485,3501
20211012,25.98,26.4487,25.98,26.4487,3344
20211013,26.2599,26.4217,26.18,26.2367,2375
20211014,26.45,26.5,26.4051,26.4051,4984
20211015,26.75,26.79,26.44,26.4464,5806
20211018,26.45,26.45,25.97,26.3,29184
20211019,26.35,26.35,25.901,26.0627,22265
20211020,25.96,26.1131,25.88,25.93,19897
20211021,26.02,26.0358,26.02,26.0358,381
20211022,25.87,25.9544,25.8,25.9544,2885
20211025,26.04,26.21,26.04,26.1459,3394
20211026,26.55,26.55,26.28,26.4396,901
20211027,26.4314,26.4914,26.387,26.387,24425
20211028,26.2505,26.47,26.2505,26.38,3667
20211029,26.14,26.3204,26,26.259,4848
20211101,26.305,26.79,26.305,26.76,3802
20211102,26.76,26.76,26.35,26.44,8281
20211103,26.3,26.8612,26.3,26.7902,1013
20211104,26.7549,26.7549,26.225,26.249,841
20211105,26.99,27.5999,26.99,27.53,31251
20211108,27.8,27.8,27.15,27.3126,53686
20211109,27.31,27.4044,26.99,27.28,20613
20211110,27.27,27.37,26.76,26.9,14283
20211111,26.9,26.98,26.8343,26.8343,2998
20211112,26.9155,26.9199,26.47,26.7408,9693
