Date,Open,High,Low,Close,Volume
20130604,23.48,23.49,23.2,23.27,63593
20130605,23.45,23.45,22.97,23.01,20718
20130606,23.14,23.14,22.91,23.09,33951
20130607,23.69,23.69,23.27,23.44,27283
20130610,23.51,24.57,23.4,23.5,574312
20130611,23.39,23.48,23.2,23.33,203393
20130612,23.6,23.6,23.12,23.15,235428
20130613,23.16,23.55,23.1,23.53,154978
20130614,23.54,23.57,23.36,23.41,133422
20130617,23.55,23.68,23.44,23.57,137737
20130618,23.58,23.79,23.58,23.76,80905
20130619,23.87,23.87,23.5,23.5,78228
20130620,23.29,23.39,22.83,22.94,214732
20130621,23.06,23.06,22.65,22.88,188465
20130624,22.73,22.73,22.37,22.6,92172
20130625,23.01,23.01,22.63,22.83,51118
20130626,22.96,23.06,22.91,23,92032
20130627,23.09,23.26,23.09,23.25,88872
20130628,23.21,23.31,23.09,23.16,68798
20130701,23.89,23.89,23.38,23.42,35742
20130702,23.42,23.53,23.21,23.35,68447
20130703,23.26,23.44,23.26,23.33,38476
20130705,23.48,23.71,23.43,23.71,71295
20130708,23.8,23.88,23.76,23.84,86160
20130709,23.95,24.04,23.83,24.03,39978
20130710,24.06,24.09,23.95,24.07,78546
20130711,24.28,24.45,24.22,24.35,78717
20130712,24.36,24.44,24.35,24.44,45587
20130715,24.57,24.57,24.41,24.49,45175
20130716,24.77,24.77,24.28,24.34,54034
20130717,24.49,24.49,24.37,24.4,29202
20130718,24.38,24.58,24.38,24.53,61337
20130719,24.49,24.54,24.39,24.54,20815
20130722,24.65,24.65,24.54,24.61,26066
20130723,24.67,24.78,24.51,24.51,60580
20130724,24.6,24.66,24.39,24.43,81610
20130725,24.51,24.6,24.42,24.6,15405
20130726,24.5,24.53,24.38,24.53,45664
20130729,24.45,24.54,24.35,24.44,37221
20130730,24.52,24.57,24.46,24.55,12762
20130731,24.59,24.84,24.59,24.75,48777
20130801,24.94,25.19,24.94,25.17,47015
20130802,24.87,25.15,24.87,25.13,51145
20130805,25.12,25.17,25.06,25.14,36634
20130806,25.16,25.16,24.86,24.93,44648
20130807,24.9,24.9,24.66,24.77,29848
20130808,24.86,24.95,24.8,24.91,32495
20130809,24.89,24.98,24.81,24.89,40190
20130812,24.81,24.97,24.75,24.97,54306
20130813,25,25,24.79,24.99,28788
20130814,24.98,25.08,24.82,24.82,13012
20130815,24.57,24.57,24.34,24.41,64093
20130816,24.45,24.46,24.33,24.39,63059
20130819,24.32,24.42,24.21,24.24,145722
20130820,24.25,24.55,24.25,24.47,168714
20130821,24.43,24.55,24.28,24.36,68868
20130822,24.51,25.22,24.46,24.64,64302
20130823,24.68,24.72,24.57,24.71,25789
20130826,24.79,24.85,24.62,24.7,56643
20130827,24.52,24.52,24.16,24.16,86045
20130828,24.18,24.33,24.14,24.26,38376
20130829,24.22,24.5,24.22,24.42,32571
20130830,24.39,24.42,24.14,24.19,16712
20130903,24.63,25.02,24.16,24.3,40016
20130904,24.36,24.57,24.3,24.54,55193
20130905,24.56,24.68,24.56,24.62,23940
20130906,24.67,24.7,24.32,24.57,32449
20130909,24.62,24.86,24.62,24.85,37710
20130910,25.16,25.16,25,25.06,86975
20130911,25.12,25.15,25.02,25.12,33366
20130912,25.16,25.18,25,25.03,52895
20130913,25.08,25.15,25.02,25.14,50926
20130916,25.43,25.44,25.22,25.23,52708
20130917,25.27,25.44,25.26,25.43,46420
20130918,25.44,25.68,25.3,25.64,66807
20130919,25.77,25.77,25.55,25.61,80196
20130920,25.61,25.64,25.49,25.51,15892
20130923,25.39,25.58,25.19,25.37,212110
20130924,25.4,25.61,25.26,25.45,88696
20130925,25.54,25.61,25.38,25.44,71532
20130926,25.53,25.69,25.49,25.61,53239
20130927,25.53,25.58,25.45,25.53,69766
20130930,25.4,25.54,25.23,25.45,86427
20131001,25.51,25.8,25.49,25.79,56609
20131002,25.71,25.79,25.62,25.74,48006
20131003,25.73,25.75,25.38,25.55,65003
20131004,25.5,25.85,25.47,25.8,49218
20131007,25.66,25.66,25.44,25.47,43107
20131008,25.57,25.57,24.97,24.99,75672
20131009,25,25.04,24.75,24.96,59950
20131010,25.32,25.55,25.25,25.53,97158
20131011,25.56,25.82,25.5,25.82,78773
20131014,25.73,25.97,25.65,25.95,114866
20131015,25.91,25.98,25.69,25.79,119350
20131016,25.96,26.12,25.94,26.1,104916
20131017,26.09,26.3,26.01,26.29,138069
20131018,26.38,26.68,26.33,26.5,114710
20131021,26.59,26.62,26.44,26.51,168264
20131022,26.6,26.75,26.5,26.59,88243
20131023,26.54,26.54,26.34,26.45,68280
20131024,26.52,26.65,26.39,26.65,115533
20131025,26.83,26.83,26.51,26.62,85450
20131028,26.7,26.73,26.52,26.64,1000799
20131029,26.71,26.76,26.62,26.76,211915
20131030,26.79,27.03,26.4,26.52,165274
20131031,26.56,26.63,26.33,26.45,59690
20131101,26.48,26.49,26.22,26.38,49145
20131104,26.47,26.65,26.43,26.65,85686
20131105,26.62,26.65,26.4,26.59,43112
20131106,26.68,26.75,26.42,26.51,92716
20131107,26.6,26.6,25.96,25.98,135052
20131108,26.11,26.52,26.11,26.51,49205
20131111,26.58,26.63,26.47,26.61,103629
20131112,26.61,26.62,26.42,26.59,25992
20131113,26.57,26.86,26.51,26.86,43653
20131114,26.86,26.99,26.75,26.99,51512
20131115,27.05,27.09,26.94,27.07,72328
20131118,27.17,27.2,26.78,26.88,76518
20131119,26.92,26.98,26.68,26.79,41518
20131120,26.85,26.88,26.6,26.67,48492
20131121,26.74,27.13,26.74,27.13,61487
20131122,27.16,27.24,27.03,27.23,38933
20131125,27.28,27.32,27.14,27.2,68854
20131126,27.24,27.41,27.16,27.37,103691
20131127,27.41,27.44,27.34,27.44,77175
20131129,27.49,27.54,27.42,27.46,46184
20131202,27.46,27.46,27.23,27.24,57030
20131203,27.2,27.22,26.97,27.07,51054
20131204,27.01,27.17,26.79,26.99,29335
20131205,27.02,27.07,26.94,26.98,77527
20131206,27.33,27.33,27.1,27.2,69951
20131209,27.36,27.36,27.16,27.22,95925
20131210,27.22,27.31,27.06,27.12,47057
20131211,27.14,27.14,26.67,26.72,44181
20131212,26.73,26.82,26.61,26.72,51928
20131213,26.75,26.88,26.66,26.76,42900
20131216,27,27.04,26.92,27.03,42908
20131217,27.03,27.04,26.83,26.96,51666
20131218,27.01,27.3,26.75,27.24,33399
20131219,27.19,27.3,27.17,27.21,31250
20131220,27.23,27.59,27.23,27.59,57054
20131223,27.75,27.78,27.66,27.77,102732
20131224,27.83,27.95,27.79,27.85,40045
20131226,27.94,28.02,27.88,27.93,49728
20131227,28.04,28.04,27.84,27.89,33480
20131230,27.94,27.94,27.81,27.9,63541
20131231,27.97,28.05,27.94,27.99,69252
20140102,28,28,27.63,27.69,77839
20140103,27.76,27.94,27.68,27.76,62207
20140106,27.78,27.88,27.53,27.61,73480
20140107,27.63,27.88,27.63,27.84,69213
20140108,27.82,27.86,27.7,27.84,56253
20140109,27.91,27.95,27.67,27.83,59292
20140110,27.85,27.95,27.72,27.95,35197
20140113,27.91,27.91,27.35,27.45,60520
20140114,27.46,27.83,27.46,27.82,29829
20140115,27.84,27.94,27.84,27.94,32998
20140116,27.92,27.92,27.76,27.89,37819
20140117,27.87,27.91,27.67,27.73,41169
20140121,27.87,27.99,27.68,27.87,63817
20140122,27.92,28.02,27.83,28,56554
20140123,27.9,27.9,27.56,27.74,76700
20140124,27.61,27.61,26.99,27.01,108721
20140127,26.99,27.09,26.52,26.75,124734
20140128,26.79,27.05,26.71,27.04,82497
20140129,26.85,26.92,26.62,26.7,56706
20140130,26.84,27.14,26.84,27.04,33991
20140131,26.88,27.09,26.52,26.92,38094
20140203,26.9,26.93,26.07,26.13,176630
20140204,26.22,26.38,26.07,26.27,52809
20140205,26.18,26.21,25.8,26.11,146305
20140206,26.17,26.56,26.17,26.56,50123
20140207,26.7,26.87,26.62,26.87,94911
20140210,26.89,26.89,26.71,26.84,60988
20140211,26.86,27.19,26.85,27.14,91949
20140212,27.18,27.28,27.14,27.24,36847
20140213,27.11,27.53,27.11,27.52,39737
20140214,27.45,27.62,27.43,27.55,31918
20140218,27.62,27.85,27.62,27.81,71889
20140219,27.8,27.94,27.58,27.58,71588
20140220,27.65,27.93,27.6,27.92,20639
20140221,27.96,28.03,27.92,27.95,22691
20140224,28.02,28.37,28.02,28.23,40768
20140225,28.23,28.28,28.11,28.18,47858
20140226,28.25,28.53,28.25,28.38,31471
20140227,28.34,28.48,28.28,28.48,44133
20140228,28.5,28.68,28.33,28.51,48188
20140303,28.51,28.51,28.03,28.26,106112
20140304,28.46,28.93,28.46,28.88,58829
20140305,28.89,28.89,28.76,28.87,30496
20140306,28.94,28.98,28.83,28.88,33719
20140307,29,29.05,28.78,28.91,51665
20140310,28.92,28.92,28.69,28.86,30536
20140311,28.84,28.94,28.5,28.6,40699
20140312,28.55,28.65,28.26,28.64,31682
20140313,28.74,28.78,28.17,28.29,55241
20140314,28.21,28.44,28.21,28.35,23855
20140317,28.48,28.69,28.48,28.51,51881
20140318,28.6,28.87,28.6,28.86,39012
20140319,28.92,28.92,28.49,28.66,31755
20140320,28.63,28.8,28.51,28.76,23707
20140321,28.81,29.03,28.61,28.63,84214
20140324,28.75,28.81,28.19,28.41,47082
20140325,28.44,28.54,28.23,28.37,34487
20140326,28.5,28.54,27.98,28.01,47806
20140327,27.94,28.09,27.79,27.91,45184
20140328,28.01,28.32,28,28.02,25860
20140331,28.26,28.51,28.2,28.47,61498
20140401,28.61,28.82,28.61,28.79,67288
20140402,28.86,28.92,28.79,28.92,26151
20140403,28.89,29,28.64,28.77,43349
20140404,28.84,28.88,28.17,28.25,60144
20140407,28.17,28.24,27.64,27.76,112745
20140408,27.89,27.95,27.62,27.9,42551
20140409,28.02,28.32,27.95,28.32,28798
20140410,28.35,28.35,27.56,27.68,83976
20140411,27.57,27.63,27.2,27.27,85928
20140414,27.5,27.65,27.27,27.47,37085
20140415,27.55,27.65,27.11,27.58,59336
20140416,27.79,27.94,27.72,27.94,32987
20140417,27.91,28.15,27.84,28.11,55434
20140421,28.05,28.24,27.97,28.18,41823
20140422,28.24,28.49,28.23,28.43,32378
20140423,28.38,28.42,28.27,28.28,9472
20140424,28.4,28.49,28.04,28.27,45625
20140425,28.14,28.14,27.79,27.84,23726
20140428,27.87,27.99,27.43,27.76,57960
20140429,27.87,27.93,27.66,27.84,36341
20140430,27.76,27.97,27.62,27.95,71504
20140501,27.99,28.11,27.79,27.89,32582
20140502,27.9,28.24,27.9,28.04,38754
20140505,27.92,28.11,27.8,28.08,12158
20140506,28.04,28.06,27.73,27.77,27815
20140507,27.78,27.8,27.44,27.78,63993
20140508,27.77,28.04,27.61,27.67,57327
20140509,27.68,27.71,27.45,27.67,39843
20140512,27.75,28.22,27.75,28.19,42260
20140513,28.25,28.25,28,28,37273
20140514,28.02,28.02,27.72,27.72,23948
20140515,27.75,27.75,27.22,27.5,46157
20140516,27.55,27.68,27.35,27.65,55022
20140519,27.66,27.9,27.66,27.87,25406
20140520,27.82,27.82,27.5,27.58,35660
20140521,27.62,27.81,27.58,27.76,16312
20140522,27.75,28.03,27.75,27.95,42041
20140523,27.93,28.15,27.92,28.15,44941
20140527,28.19,28.43,28.19,28.32,44186
20140528,28.3,28.37,28.21,28.33,22474
20140529,28.45,28.45,28.25,28.45,31467
20140530,28.44,28.44,28.28,28.38,12188
20140602,28.39,28.44,28.21,28.42,43291
20140603,28.32,28.42,28.24,28.39,14300
20140604,28.39,28.54,28.24,28.49,18561
20140605,28.52,28.8,28.42,28.79,25082
20140606,28.79,29.03,28.79,28.98,29131
20140609,28.99,29.23,28.99,29.1,60176
20140610,29.11,29.11,28.9,29.02,23198
20140611,28.91,28.99,28.82,28.89,43264
20140612,28.94,28.94,28.65,28.74,14893
20140613,28.78,28.83,28.65,28.8,36795
20140616,28.73,28.9,28.73,28.88,49566
20140617,28.88,29.12,28.88,29.05,24474
20140618,29.06,29.2,28.94,29.2,31905
20140619,29.29,29.33,29.13,29.21,10014
20140620,29.22,29.31,29.21,29.3,14547
20140623,29.35,29.39,29.27,29.3,11383
20140624,29.23,29.46,29.04,29.07,17108
20140625,29.07,29.27,28.99,29.23,15063
20140626,29.29,29.29,29.04,29.18,18479
20140627,29.17,29.37,29.17,29.33,6222
20140630,29.31,29.48,29.31,29.45,11853
20140701,29.46,29.87,29.46,29.73,16042
20140702,29.78,29.84,29.68,29.68,10367
20140703,29.71,29.91,29.71,29.86,55373
20140707,29.87,29.87,29.57,29.63,32874
20140708,29.53,29.53,29.23,29.32,37684
20140709,29.44,29.47,29.35,29.43,14760
20140710,29.13,29.29,28.95,29.17,47260
20140711,29.2,29.2,29.04,29.17,10318
20140714,29.29,29.4,29.28,29.29,51755
20140715,29.36,29.36,29.01,29.16,11011
20140716,29.23,29.25,29.06,29.15,27460
20140717,29.02,29.27,28.77,28.8,30327
20140718,28.9,29.17,28.9,29.13,17427
20140721,29.1,29.11,28.94,29.05,33127
20140722,29.13,29.34,29.13,29.27,20100
20140723,29.27,29.41,29.26,29.32,18845
20140724,29.36,29.46,29.3,29.38,12245
20140725,29.33,29.33,29.15,29.18,13224
20140728,29.19,29.23,28.91,29.05,29674
20140729,29.15,29.24,28.6,29.01,13275
20140730,29.15,29.2,28.95,29.04,11882
20140731,28.77,28.77,28.35,28.39,69759
20140801,28.29,28.41,28.09,28.26,44370
20140804,28.33,28.58,28.2,28.55,33734
20140805,28.43,28.5,28.21,28.34,34233
20140806,28.2,28.51,28.13,28.38,41006
20140807,28.49,28.52,28.15,28.23,12910
20140808,28.26,28.54,28.23,28.54,30085
20140811,28.64,28.89,28.64,28.72,22607
20140812,28.72,28.74,28.47,28.55,34206
20140813,28.71,28.79,28.59,28.73,18911
20140814,28.77,28.84,28.71,28.84,9692
20140815,28.93,29,28.68,28.84,12297
20140818,28.98,29.17,28.98,29.11,15208
20140819,29.25,29.33,29.23,29.32,7182
20140820,29.28,29.35,29.18,29.31,10246
20140821,29.29,29.42,29.19,29.4,28784
20140822,29.42,29.43,29.33,29.38,6034
20140825,29.5,29.57,29.45,29.51,17870
20140826,29.58,29.64,29.54,29.58,15350
20140827,29.56,29.58,29.52,29.57,36454
20140828,29.44,29.52,28.86,29.44,50339
20140829,29.52,29.61,29.41,29.61,11095
20140902,29.57,29.75,29.54,29.66,41427
20140903,29.82,29.82,29.55,29.56,20273
20140904,29.58,29.78,29.42,29.47,18791
20140905,29.51,29.57,29.33,29.56,11274
20140908,29.5,29.6,29.43,29.52,14588
20140909,29.56,29.56,28.87,29.28,10001
20140910,29.27,29.41,29.16,29.4,18459
20140911,29.25,29.47,29.25,29.47,5115
20140912,29.45,29.45,29.21,29.31,19724
20140915,29.28,29.36,29.1,29.12,18696
20140916,29.05,29.37,29.03,29.29,35046
20140917,29.3,29.41,29.2,29.28,22286
20140918,29.36,29.43,29.36,29.39,20803
20140919,29.54,29.54,29.17,29.18,25712
20140922,29.08,29.08,28.71,28.82,52438
20140923,28.66,28.75,28.53,28.58,26567
20140924,28.55,28.82,28.2,28.82,23779
20140925,28.71,28.71,28.32,28.41,39437
20140926,28.2,28.67,28.17,28.63,10998
20140929,28.42,28.63,28.37,28.6,23715
20140930,28.65,28.65,28.3,28.33,33402
20141001,28.29,28.29,27.78,27.82,104625
20141002,27.85,28.08,27.57,27.99,43070
20141003,28.17,28.37,28.17,28.28,55501
20141006,28.33,28.39,28.07,28.1,41162
20141007,27.8,27.99,27.62,27.62,25749
20141008,27.6,28.08,27.32,28.07,21544
20141009,27.96,27.96,27.41,27.41,24675
20141010,27.35,27.41,26.93,26.93,63710
20141013,26.93,27.05,26.5,26.51,120015
20141014,26.59,26.97,26.38,26.71,51919
20141015,26.4,26.93,26.08,26.8,215833
20141016,26.41,27.2,26.41,27.1,25577
20141017,27.46,27.5,27.14,27.22,29503
20141020,27.18,27.51,27.12,27.5,40538
20141021,27.66,28.18,27.66,28.12,211754
20141022,28.17,28.32,27.86,27.86,26045
20141023,28.08,28.43,28.08,28.24,16137
20141024,28.23,28.33,28.07,28.32,27173
20141027,28.21,28.3,27.82,28.3,32712
20141028,28.36,28.93,28.36,28.93,28625
20141029,28.93,29.07,28.73,28.85,34484
20141030,28.86,29.05,28.77,29.01,11452
20141031,29.28,29.44,29.23,29.44,27284
20141103,29.52,29.6,29.33,29.33,17934
20141104,29.36,29.38,29.11,29.25,76762
20141105,29.37,29.48,29.24,29.35,43098
20141106,29.39,29.52,29.35,29.52,32365
20141107,29.55,29.58,29.48,29.55,16296
20141110,29.53,29.69,29.53,29.66,30919
20141111,29.71,29.73,29.64,29.73,6313
20141112,29.62,29.84,29.6,29.81,10302
20141113,29.89,29.89,29.57,29.62,16301
20141114,29.64,29.74,29.61,29.67,14340
20141117,29.64,29.7,29.52,29.53,11922
20141118,29.52,29.74,29.52,29.69,29135
20141119,29.58,29.58,29.28,29.46,21051
20141120,29.41,29.73,29.38,29.67,14992
20141121,30.03,30.18,29.78,29.84,31300
20141124,29.87,30.03,29.87,30.03,63832
20141125,30.04,30.13,29.93,29.93,9998
20141126,29.93,29.96,29.9,29.95,4586
20141128,29.96,30.1,29.64,29.64,51451
20141201,29.61,29.64,29.14,29.17,11802
20141202,29.17,29.44,29.17,29.41,31063
20141203,29.4,29.73,29.4,29.69,10420
20141204,29.64,29.67,29.53,29.58,3511
20141205,29.66,29.81,29.66,29.71,17592
20141208,29.7,29.8,29.31,29.34,9031
20141209,29.14,29.61,28.31,29.6,26091
20141210,29.43,29.45,28.95,29,25876
20141211,29.1,29.45,29.06,29.07,23430
20141212,28.91,28.95,28.67,28.67,13876
20141215,28.83,28.94,28.39,28.54,25696
20141216,28.42,28.81,28.41,28.41,19749
20141217,28.45,29.13,28.11,29.13,37845
20141218,29.42,29.54,29.31,29.49,11253
20141219,29.69,29.75,29.5,29.75,31737
20141222,29.7,29.75,29.63,29.74,23080
20141223,29.84,29.94,29.82,29.89,8467
20141224,29.97,29.97,29.89,29.94,10612
20141226,29.97,30.07,29.97,30.01,45531
20141229,30,30.16,30,30.07,51367
20141230,30.05,30.12,29.94,29.95,24856
20141231,30.01,30.09,29.29,29.75,20414
20150102,29.85,29.93,29.37,29.57,18274
20150105,29.46,29.46,28.99,29.16,40332
20150106,29.17,29.19,28.46,28.75,18414
20150107,28.89,28.99,28.83,28.99,14731
