Date,Open,High,Low,Close,Volume
20210922,25.59,26.1031,25.59,26.1031,1771
20210923,26.3,26.3,26,26.18,12031
20210924,26.05,26.1305,26,26.1305,727
20210927,26.01,26.16,26.01,26.11,1101
20210928,25.95,25.95,25.58,25.58,885
20210929,25.738,25.738,25.28,25.28,510
20210930,25.34,25.34,25.09,25.09,787
20211001,25.21,25.5179,25.095,25.5179,311
20211004,25.47,25.47,25,25.1485,576
20211005,25.7808,25.7808,25.7808,25.7808,25
20211006,25.56,25.9635,25.56,25.9635,128
20211007,26.32,26.3299,26.2293,26.2293,530
20211008,26.23,26.23,26.1164,26.1164,209
20211011,26.27,26.45,26.27,26.2743,318
20211012,26.3,26.3,26.123,26.123,223
20211013,26.19,26.19,25.92,26.0956,1783
20211014,26.01,26.0831,26.01,26.0831,665
20211015,26.45,26.45,26.4206,26.4206,148
20211018,26.79,26.79,26.79,26.79,161
20211019,26.87,26.9135,26.87,26.9135,318
20211020,27.04,27.38,27.04,27.3556,307
20211021,27.37,27.37,27.3214,27.3214,195
20211022,27.1979,27.1979,27.1979,27.1979,47
20211025,27.444,27.4858,27.444,27.4858,586
20211026,27.82,27.82,27.57,27.57,323
20211027,27.09,27.09,26.8168,26.8168,324
20211028,26.49,26.99,26.49,26.99,1047
20211029,26.8295,26.8295,26.8295,26.8295,6
20211101,27.07,27.7515,27.07,27.7515,141
20211102,27.9295,27.9295,27.9295,27.9295,94
20211103,28.7162,28.7162,28.7162,28.7162,157
20211104,28.84,28.84,28.5157,28.5157,5037
20211105,28.8,28.8,28.615,28.683,2055
20211108,29.1,29.301,29.1,29.301,243
20211109,28.9212,28.9212,28.9212,28.9212,19
20211110,28.45,28.45,27.7674,27.7674,144
20211111,28.46,28.6089,28.46,28.6089,223
20211112,28.455,28.689,28.455,28.6675,312
20211115,28.86,28.86,28.8066,28.8066,154
20211116,28.43,28.43,28.1597,28.1597,1331
20211117,28.11,28.11,27.7526,27.7526,257
20211118,27.5,27.5,27.1049,27.1049,261
20211119,27.3258,27.3258,27.3258,27.3258,36
20211122,26.5643,26.5643,26.5643,26.5643,92
20211123,26.189,26.64,26.189,26.64,1318
20211124,26.39,26.8119,26.39,26.8119,201
20211126,26.31,26.31,26.2598,26.2598,155
20211129,26.6,26.6,26.32,26.5566,246
20211130,25.9292,25.9292,25.9292,25.9292,21
20211201,26.31,26.35,25.223,25.223,754
20211202,25.19,25.24,25.08,25.24,639
20211203,25.26,25.26,24.07,24.07,876
20211206,23.86,24.33,23.86,24.33,225
20211207,24.76,25.1642,24.76,25.1642,120
20211208,25.26,25.3982,25.26,25.3982,261
20211209,24.5223,24.5223,24.5223,24.5223,2
20211210,24.61,24.61,24.2147,24.2147,102
20211213,23.7461,23.7461,23.7461,23.7461,26
20211214,23.56,23.6053,23.27,23.6053,616
20211215,24.1312,24.1312,24.1312,24.1312,11
20211216,24.38,24.38,23.7908,23.7908,111
20211217,23.45,23.8363,23.45,23.8363,101
20211220,23.29,23.3393,23.2,23.3393,550
20211221,23.58,24.014,23.58,24.014,612
20211222,23.831,24.1537,23.831,24.1537,730
20211223,24.18,24.58,24.15,24.58,2021
20211227,24.98,25.0712,24.98,25.0712,286
20211228,24.88,24.88,24.4471,24.4471,1148
20211229,24.139,24.139,23.9465,23.9465,1207
20211230,24.4196,24.4196,24.4196,24.4196,3
20211231,24.3918,24.3918,24.2707,24.2707,215
20220103,24.3,24.3,24.2696,24.2696,459
20220104,23.9137,23.9137,23.9137,23.9137,57
20220105,23.7,23.7,23.0758,23.0758,423
20220106,23.0035,23.0035,23.0035,23.0035,9
20220107,23.095,23.095,23.0633,23.0633,102
20220110,22.8261,22.8261,22.8261,22.8261,38
20220111,23.569,23.57,23.5411,23.5411,498
20220112,23.85,23.85,23.6346,23.6346,232
20220113,22.9186,22.9186,22.9186,22.9186,39
20220114,22.9322,22.9322,22.9322,22.9322,30
20220118,22.68,22.68,22.1303,22.1303,903
20220119,22.59,22.655,22.401,22.401,705
20220120,22.55,22.6748,22.55,22.6748,119
20220121,22.53,22.53,21.6861,21.6861,230
20220124,21.34,21.3433,20.39,21.3433,539
20220125,21.11,21.1862,21,21.1862,203
20220126,21.48,21.48,20.7813,20.7813,109
20220127,20.3152,20.3152,20.3152,20.3152,38
20220128,20.4635,20.4635,20.4635,20.4635,27
20220131,21.4589,21.4589,21.4589,21.4589,52
20220201,21.66,22.023,21.64,22.023,484
20220202,21.7,21.7,21.3985,21.4735,626
20220203,21.25,21.25,21.11,21.1206,386
20220204,21.7832,21.7832,21.7832,21.7832,13
20220207,21.9299,21.9299,21.889,21.889,239
20220208,21.93,22.1229,21.9299,22.1229,203
20220209,22.37,22.6518,22.37,22.6518,334
20220210,22.24,22.24,22.1428,22.1428,112
20220211,21.8393,21.8393,21.8393,21.8393,136
20220215,21.86,21.86,21.86,21.86,100
