Date,Open,High,Low,Close,Volume
20150716,25.32,25.38,25.278,25.3799,4128
20150717,25.6599,25.72,25.579,25.619,8300
20150720,25.8,25.81,25.6595,25.76,6822
20150721,25.96,25.96,25.6,25.62,3086
20150722,25.58,25.61,25.5,25.53,4773
20150723,25.634,25.67,25.45,25.45,5148
20150724,25.55,25.57,25.2599,25.32,3172
20150727,25.0462,25.0462,24.85,24.86,1774
20150728,25,25.08,24.78,25.08,3338
20150729,24.8899,25,24.8526,25,1506
20150730,24.85,25.06,24.85,25.052,1565
20150731,25.3,25.3,24.99,25.01,3613
20150803,24.74,24.74,24.74,24.74,200
20150804,24.73,24.74,24.73,24.74,997
20150805,25.05,25.08,24.98,24.98,728
20150807,24.54,24.54,24.54,24.54,301
20150812,24.6,24.6,24.6,24.6,592
20150813,24.757,24.77,24.757,24.77,500
20150814,24.69,24.75,24.69,24.75,1191
20150818,24.7701,24.8,24.7701,24.8,605
20150819,24.7,24.7,24.47,24.51,1318
20150820,24.15,24.18,23.891,23.891,545
20150821,23.6806,23.6806,23.6806,23.6806,213
20150824,22.75,22.75,22.53,22.53,284
20150825,22.76,22.87,22.76,22.87,815
20150826,22.7,22.83,22.35,22.83,907
20150827,23.32,23.32,23,23,2743
20150828,23.29,23.3,23.29,23.3,1134
20150901,22.62,22.722,22.62,22.722,253
20150908,23.09,23.09,23.09,23.09,101
20150909,23.47,23.47,23.2799,23.2799,400
20150910,23.0001,23.0001,23.0001,23.0001,200
20150914,23.05,23.05,23.05,23.05,140
20150917,23.45,23.45,23.45,23.45,240
20150918,23.2,23.2,23.2,23.2,450
20150921,23.2,23.2,23.2,23.2,100
20150922,22.86,22.86,22.86,22.86,200
20150923,22.8999,22.8999,22.8999,22.8999,120
20150924,22.54,22.54,22.54,22.54,175
20150928,22,22,22,22,300
20150929,22,22,21.8399,21.86,710
20150930,22.19,22.19,21.97,21.97,520
20151001,22.19,22.28,22.09,22.09,300
20151005,23.13,23.13,22.91,22.93,2171
20151009,23.48,23.48,23.48,23.48,100
20151012,23.51,23.51,23.51,23.51,285
20151014,23.102,23.102,23.102,23.102,115
20151022,23.42,23.42,23.42,23.42,100
20151027,23.42,23.42,23.42,23.42,568
20151029,23.6699,23.6699,23.6699,23.6699,225
20151030,23.8105,23.818,23.7,23.7,350
20151104,24.26,24.26,24.26,24.26,200
20151105,23.95,23.95,23.9499,23.9499,225
20151113,23.42,23.42,23.23,23.23,200
20151123,24.02,24.02,23.9,23.9,241
20151125,23.9816,23.9816,23.9498,23.9498,475
20151130,23.97,24.006,23.97,24.001,892
20151203,23.62,23.62,23.62,23.62,100
20151207,23.79,23.79,23.79,23.79,131
20151208,23.64,23.89,23.64,23.89,200
20151209,23.85,23.85,23.85,23.85,102
20151223,23.5,23.5,23.5,23.5,300
20151224,23.53,23.53,23.53,23.53,100
20151228,23.6826,23.7099,23.6826,23.7,1000
20151229,23.79,23.8,23.79,23.8,1018
20160104,23.34,23.34,22.55,22.92,675
20160105,22.95,22.95,22.95,22.95,890
20160106,22.74,22.74,22.74,22.74,104
20160107,22.25,22.25,21.992,21.992,213
20160111,21.69,21.73,21.6,21.6,801
20160113,21,21,21,21,100
20160115,20.58,20.58,20.46,20.5397,43507
20160120,19.97,20,19.86,20,403
20160122,20.8,20.87,20.8,20.87,439
20160126,20.7,20.7,20.4915,20.51,499
20160129,20.682,20.682,20.681,20.681,200
20160205,19.63,19.63,19.63,19.63,123
20160208,18.23,18.23,18.0801,18.0801,400
20160209,18,18,18,18,101
20160212,18.26,18.26,18.26,18.26,251
20160217,19.168,19.2599,19.1101,19.2599,1116
20160218,20.017,20.017,19.27,19.27,495
20160222,19.65,19.65,19.6451,19.6451,250
20160224,19.25,19.25,19.25,19.25,150
20160225,19.84,19.84,19.84,19.84,285
20160301,19.84,19.84,19.84,19.84,346
20160304,20.92,20.92,20.92,20.92,285
20160307,20.91,20.91,20.67,20.67,1849
20160315,20.509,20.509,20.509,20.509,100
20160322,21.194,21.309,21.194,21.309,200
20160328,20.9,20.9,20.9,20.9,100
20160404,21.55,21.55,21.55,21.55,100
20160405,21.95,21.95,21.3389,21.36,300
20160406,21.6,21.6,21.6,21.6,500
20160407,21.134,21.134,21.13,21.13,1165
20160408,21.3,21.3,21.3,21.3,100
20160411,21.5,21.5,21.3,21.3,600
20160413,21.5499,21.71,21.5499,21.71,410
20160418,21.8899,21.959,21.8899,21.959,200
20160419,21.9055,21.9055,21.9055,21.9055,100
20160429,21.93,21.93,21.7053,21.7053,700
20160502,23.01,23.01,22.33,22.33,611
20160503,21.9,21.972,21.9,21.972,340
20160506,21.3499,21.3499,21.3499,21.3499,468
20160510,21.5726,21.5726,21.5726,21.5726,100
20160511,22.1976,22.22,22.1724,22.1724,1000
20160513,21.98,21.98,21.9799,21.9799,468
20160602,23.63,23.63,23.39,23.3995,1762
20160603,24,24,23.472,23.4999,1099
20160613,23.3,23.3,23.3,23.3,100
20160617,23.013,23.013,23.013,23.013,100
20160620,22.37,22.37,22.37,22.37,384
20160627,21.42,21.42,21.42,21.42,200
20160628,21.78,21.78,21.78,21.78,125
20160629,22.39,22.4,22.39,22.4,468
20160630,22.3,22.3,22.3,22.3,200
20160706,22.45,22.87,22.45,22.87,2615
20160708,23.13,23.13,23.13,23.13,100
20160711,23.5899,23.5899,23.5899,23.5899,100
20160713,24.04,24.04,23.8332,23.87,2373
20160718,23.95,24.02,23.95,24.02,700
20160722,24.321,24.321,24.321,24.321,100
20160725,24.4,24.4,24.4,24.4,103
20160727,24.0948,24.0948,24.0401,24.0401,500
20160805,24.2,24.2909,24.2,24.2909,300
20160809,24.2501,24.2501,24.25,24.25,650
20160811,24.3,24.3,24.3,24.3,100
20160816,24.42,24.42,24.342,24.342,200
20160818,24.3299,24.3299,24.3299,24.3299,100
20160826,24.65,24.65,24.4405,24.4405,250
20160906,25.07,25.07,25.07,25.07,11300
20160916,24.6099,24.6099,24.6099,24.6099,255
20160922,25.13,25.13,25.0682,25.0682,200
20160923,24.98,24.98,24.98,24.98,149
20160927,24.7438,24.8,24.7438,24.7505,700
20160930,24.77,24.77,24.64,24.64,800
20161003,24.88,24.88,24.7975,24.7975,500
20161004,24.74,24.74,24.74,24.74,300
20161005,24.675,24.675,24.625,24.625,300
20161007,24.22,24.22,24.22,24.22,100
20161011,23.38,23.38,23.38,23.38,100
20161013,23.7592,23.7592,23.7592,23.7592,100
20161014,23.8099,23.8099,23.7661,23.7661,225
20161018,23.74,23.74,23.74,23.74,100
20161020,24.08,24.08,23.73,23.73,13523
20161027,23.57,23.57,23.45,23.45,630
20161028,23.95,23.95,23.55,23.55,500
20161102,22.7942,22.7942,22.7942,22.7942,130
20161103,22.8216,22.8216,22.8216,22.8216,100
20161107,23.1844,23.4699,23.1844,23.4699,900
20161108,23.53,23.59,23.53,23.59,3000
20161109,23.44,23.44,23.44,23.44,9163
20161115,24.0299,24.0299,24.0299,24.0299,305
20161117,23.87,23.87,23.87,23.87,100
20161129,24.058,24.058,23.8357,23.8357,407
20161130,23.8688,23.8762,23.8688,23.8762,504
20161201,23.75,23.75,23.25,23.25,400
20161207,23.75,23.75,23.75,23.75,127
20161209,23.95,23.97,23.95,23.97,10312
20161212,23.7299,23.7299,23.67,23.6792,1753
20161215,23.6,23.6,23.6,23.6,100
20161219,23.86,23.86,23.56,23.56,908
20161227,23.142,23.46,23.142,23.46,507
20161229,23.1777,23.1777,23.1777,23.1777,500
20170103,23.4899,23.4899,23.4899,23.4899,500
20170106,23.8299,23.8999,23.8299,23.8999,372
20170109,23.86,23.88,23.855,23.88,1103
20170110,23.8301,23.8301,23.8301,23.8301,250
20170111,23.85,23.85,23.85,23.85,1182
20170113,24.0399,24.0399,24.0399,24.0399,223
20170124,23.7444,23.7444,23.7444,23.7444,500
20170126,24.2431,24.3,24.0544,24.1473,5469
20170127,24.1073,24.1073,24.1073,24.1073,150
20170130,23.1074,23.92,23.1074,23.8771,846
20170131,24.14,24.14,24.14,24.14,763
20170201,24.0601,24.0601,24.0601,24.0601,167
20170202,24.3799,24.3799,24.2749,24.2749,1104
20170203,24.56,24.5855,24.56,24.5855,6725
20170206,24.49,24.52,24.49,24.51,5219
20170210,24.9406,24.9406,24.9406,24.9406,300
20170213,25.03,25.03,25.03,25.03,756
20170214,24.86,24.953,24.85,24.953,450
20170215,25.0963,25.0963,25.07,25.07,364
20170216,25.19,25.19,25.1599,25.1599,726
20170217,25.21,25.26,25.19,25.26,514
20170222,25.21,25.21,25.21,25.21,308
20170223,25.0224,25.0224,25.0224,25.0224,280
20170227,25,25,24.8501,24.9955,1132
20170228,25.01,25.01,24.9622,24.9622,700
20170301,25.0337,25.0337,25.0337,25.0337,150
20170302,25,25,25,25,175
20170303,26.12,26.12,24.86,24.86,1603
20170306,24.89,24.89,24.8,24.8255,1099
20170309,24.8725,24.8725,24.82,24.82,200
20170313,25.01,25.01,25.01,25.01,540
20170314,24.7984,24.7984,24.7984,24.7984,500
20170316,25.2,25.2,25.1999,25.1999,725
20170321,24.6999,24.6999,24.6999,24.6999,126
20170322,24.5,24.5,24.5,24.5,100
20170324,24.66,24.66,24.65,24.6508,4725
20170327,24.4099,24.67,24.4099,24.67,1250
20170328,24.74,24.74,24.74,24.74,805
20170329,24.77,24.93,24.744,24.8,2200
20170403,25.01,25.0601,25.01,25.0499,1303
20170404,25.0399,25.0399,25.0244,25.0244,600
20170405,25.05,25.05,25.05,25.05,240
20170407,24.97,24.99,24.96,24.99,2000
20170411,25.1399,25.14,25.1399,25.14,406
20170412,25.09,25.1,24.9399,24.94,2060
20170413,24.7001,24.7045,24.7001,24.7045,2000
20170418,25,25,24.9143,24.9143,778
20170419,25.0909,25.0909,25.0909,25.0909,400
20170420,25.2,25.58,25.2,25.3221,700
20170421,25.45,25.45,25.4194,25.4194,1200
20170424,25.62,25.63,25.5533,25.5533,936
20170425,25.7,25.8,25.7,25.7255,1119
20170427,25.8413,25.88,25.7765,25.88,4014
20170428,25.82,25.8275,25.7,25.7,929
20170502,25.78,25.989,25.78,25.989,1583
20170503,26.15,26.15,25.8887,25.95,9175
20170504,26.26,26.26,26.2599,26.2599,831
20170505,26.25,26.65,26.25,26.65,1600
20170508,27.91,27.91,26.5855,26.5855,889
20170509,26.6472,26.6472,26.64,26.64,200
20170510,26.51,26.7699,26.51,26.75,3385
20170511,26.59,26.59,26.421,26.59,1118
20170512,26.6699,26.67,26.6699,26.67,700
20170515,26.8572,26.8572,26.81,26.81,400
20170516,27.34,27.34,26.8,26.8506,2265
20170517,26.39,26.39,26.2767,26.2767,470
20170518,27.09,27.2698,26.16,27.2698,1690
20170519,26.4661,26.4661,26.419,26.419,200
20170522,26.88,26.88,26.41,26.49,2794
20170524,26.99,27.01,26.7799,26.9194,1995
20170525,27.1199,27.1955,27.1199,27.1955,984
20170526,27.19,27.3,27.19,27.25,2000
20170530,27.36,27.36,27.05,27.05,4279
20170531,27.05,27.07,27.01,27.07,885
20170601,26.95,27.27,26.95,27.27,850
20170602,27.55,28.249,27.4075,27.47,5537
