Date,Open,High,Low,Close,Volume
20210512,24.54,25.13,23.16,23.24,106914
20210513,23.03,23.51,20.857,21.49,340956
20210514,22.93,23.4,22.6001,23.32,790779
20210517,22.5,23.6,21.75,22.38,572683
20210518,22.28,22.98,22.02,22.27,273218
20210519,19.99,21.17,19.56,21,443766
20210520,22.11,22.25,21.25,21.74,214320
20210521,22,22.19,20.5,20.55,296984
20210524,21.1,21.5,20.7,21.44,163622
20210525,21.49,21.8,21.23,21.6379,129524
20210526,22.3,23.03,22,22.81,163783
20210527,23.47,23.47,22.81,23.29,119955
20210528,23.1,23.12,22.27,22.35,122785
20210601,22.62,23.21,22.61,22.9755,77792
20210602,23.49,23.53,23,23.31,125280
20210603,23.42,23.49,22.7,22.75,75494
20210604,22.7,22.78,22.37,22.75,97636
20210607,23,23,22.2001,22.35,165738
20210608,21.87,21.87,20.62,21.46,219036
20210609,21.76,23.13,21.65,22.6966,118734
20210610,23.15,23.439,22.56,22.82,76075
20210611,22.87,22.88,22.21,22.44,52815
20210614,23.4,24.8682,23.34,24.17,152578
20210615,24.49,24.49,23.5001,24.1101,119172
20210616,23.87,23.93,23.01,23.479,70162
20210617,23.34,24.1599,23.34,23.684,87377
20210618,23.33,23.5,22.7,22.9356,61203
20210621,22.24,22.345,21.76,22,156486
20210622,21.28,21.7899,20.26,21.7362,170872
20210623,22.41,22.5699,22.0001,22.0001,76235
20210624,22.24,22.9089,22.235,22.7447,63423
20210625,22.49,22.49,21.95,22.005,54245
20210628,22.57,23.199,22.451,23.16,69418
20210629,23.65,24.44,23.65,24.013,110869
20210630,23.61,24.27,23.1,23.9916,51020
20210701,23.99,23.99,23.2,23.4201,99290
20210702,23.86,23.86,23.34,23.5,34615
20210706,23.86,23.86,23.25,23.3619,56971
20210707,23.46,23.5299,22.7,23.0685,43970
20210708,22,22.2699,21.67,22.1678,103048
20210709,22.11,22.7099,22.11,22.565,62271
20210712,22.51,22.57,22.03,22.0699,50198
20210713,22,22.01,21.39,21.39,57430
20210714,21.59,21.61,20.6,20.6,127391
20210715,20.51,20.61,19.5101,19.91,139304
20210716,20.31,20.31,19.5015,19.51,109887
20210719,18.96,18.96,18.4001,18.7073,101103
20210720,18.47,19.23,18.15,19.23,55143
20210721,20,21.15,20,20.7956,111829
20210722,21.37,21.38,20.563,20.75,48619
20210723,20.68,20.8052,20.3543,20.515,32707
20210726,21.99,23.5,21.99,23.3085,170580
20210727,22.88,22.88,21.365,21.7737,108848
20210728,22.5,22.81,22.2593,22.6275,35874
20210729,22.72,23.05,22.395,22.4188,38562
20210730,22.1,22.75,22.0017,22.7376,39302
