Date,Open,High,Low,Close,Volume
20180117,23.27,23.4,23.02,23.31,583546
20180118,23.37,23.38,23.23,23.29,1281237
20180119,23.43,23.48,23.34,23.47,643442
20180122,23.57,23.77,23.55,23.77,720596
20180123,23.9,23.97,23.82,23.95,895700
20180124,23.99,24.08,23.76,23.89,884658
20180125,23.9,23.97,23.71,23.73,384529
20180126,23.89,24.07,23.82,24.06,669751
20180129,24.07,24.08,23.92,23.98,559871
20180130,23.86,23.9,23.62,23.7,473995
20180131,23.78,23.81,23.55,23.65,223171
20180201,23.44,23.53,23.33,23.45,235704
20180202,23.18,23.25,22.72,22.75,324453
20180205,22.49,22.77,21.64,21.79,237145
20180206,21.31,22.27,21.16,22.19,279978
20180207,22.12,22.4,22.06,22.08,165126
20180208,22.13,22.13,21.34,21.34,133484
20180209,21.53,21.68,20.92,21.61,185103
20180212,21.8,21.99,21.66,21.92,114804
20180213,21.8,21.99,21.72,21.97,63575
20180214,21.84,22.44,21.83,22.44,127539
20180215,22.78,22.82,22.47,22.82,198849
20180216,22.84,23,22.78,22.84,90517
20180220,22.68,22.86,22.64,22.75,200072
20180221,22.78,22.94,22.62,22.62,80115
20180222,22.66,22.77,22.55,22.62,85041
20180223,22.75,22.95,22.65,22.95,43632
20180226,23.03,23.15,22.92,23.15,138161
20180227,23.25,23.25,22.83,22.84,217486
20180228,22.97,22.97,22.63,22.65,110993
20180301,22.63,22.64,22.11,22.28,99878
20180302,22.06,22.36,21.89,22.36,68009
20180305,22.26,22.61,22.15,22.58,78836
20180306,22.8,22.81,22.64,22.77,60534
20180307,22.64,22.82,22.6,22.8,53180
20180308,22.93,22.99,22.79,22.91,39507
20180309,23.05,23.2,22.96,23.19,60843
20180312,23.26,23.28,23.16,23.24,80904
20180313,23.43,23.43,22.94,23.02,83055
20180314,23.08,23.13,22.84,22.9,346600
20180315,22.93,23.04,22.87,22.96,28003
20180316,22.85,23,22.83,22.85,42422
20180319,22.97,22.97,22.5,22.61,47987
20180320,22.7,22.78,22.62,22.76,32534
20180321,22.72,22.78,22.61,22.7,26071
20180322,22.42,22.53,22,22,86030
20180323,22.02,22.1,21.59,21.61,74267
20180326,21.99,22.13,21.82,22.13,162123
20180327,22.23,22.24,21.52,21.65,74936
20180328,21.59,21.67,21.3,21.44,67510
20180329,21.61,21.81,21.43,21.74,20693
20180402,21.65,21.72,20.99,21.28,93141
20180403,21.34,21.4,21.13,21.35,28766
20180404,20.9,21.59,20.87,21.56,156920
20180405,21.66,21.74,21.57,21.6,30643
20180406,21.39,21.55,21.1,21.19,214847
20180409,21.37,21.65,21.32,21.43,30744
20180410,21.67,21.79,21.57,21.78,27607
20180411,21.61,21.77,21.58,21.61,18252
20180412,21.68,21.99,21.68,21.96,26746
20180413,22.1,22.1,21.7,21.77,27192
20180416,21.86,21.89,21.72,21.82,33952
20180417,21.98,22.08,21.86,22.03,72657
20180418,22.01,22.08,21.85,22.01,118031
20180419,21.9,21.91,21.79,21.82,13630
20180420,21.79,21.9,21.7,21.71,37520
20180423,21.88,21.88,21.75,21.75,22681
20180424,21.81,22.02,21.49,21.63,56818
