Date,Open,High,Low,Close,Volume
20080708,24.71,24.76,24.71,24.76,300
20080709,24.88,25.08,24.88,24.98,22360
20080710,24.98,25.06,24.91,24.98,7740
20080711,25.19,25.19,25.09,25.11,2810
20080714,25.17,25.23,25.09,25.23,8360
20080715,25.54,25.56,25.49,25.5,11680
20080716,25.5,25.51,25.46,25.49,2670
20080717,25.36,25.36,25.11,25.13,5750
20080718,25.27,25.28,25.2,25.22,2290
20080721,25.2,25.2,25.08,25.08,7100
20080722,25.16,25.21,25.16,25.21,1210
20080723,24.89,24.92,24.79,24.92,850
20080724,24.47,24.55,24.46,24.55,1910
20080728,24.5,24.56,24.5,24.55,2920
20080729,24.37,24.37,24.34,24.34,2020
20080730,24.23,24.23,24.13,24.17,450
20080731,24.24,24.24,24.24,24.24,100
20080801,24,24,24,24,700
20080804,24.22,24.22,24.06,24.09,1000
20080805,24.02,24.02,23.75,23.81,3520
20080806,23.8,23.8,23.8,23.8,830
20080807,23.6,23.6,23.54,23.54,1000
20080808,23.24,23.24,23.23,23.23,1210
20080811,23.23,23.23,22.96,23,5650
20080812,22.93,23.07,22.83,22.85,30360
20080813,22.81,22.88,22.81,22.87,1680
20080814,23.09,23.09,23.09,23.09,300
20080815,23.29,23.29,23.29,23.29,700
20080819,23.33,23.61,23.33,23.52,2260
20080820,23.58,23.6,23.58,23.58,3630
20080821,23.83,23.83,23.83,23.83,250
20080825,23.4,23.48,23.34,23.34,700
20080826,23.09,23.09,23.09,23.09,1310
20080828,23.33,23.33,23.24,23.24,890
20080829,23.35,23.35,23.35,23.35,140
20080903,22.8,22.8,22.68,22.75,5280
20080904,22.53,22.53,22.39,22.4,1160
20080905,22.24,22.24,22.24,22.24,100
20080908,22.43,22.47,22.31,22.34,420
20080909,22.34,22.48,22.33,22.33,1200
20080910,22.21,22.22,22.21,22.22,500
20080911,21.55,21.73,21.55,21.65,1820
20080912,22.21,22.26,22.21,22.26,1640
20080915,22.17,22.17,22.17,22.17,1010
20080916,21.68,21.85,21.68,21.85,2210
20080917,21.59,21.59,20.87,20.87,1760
20080918,22.14,22.31,21.85,22.31,4230
20080919,22.32,22.95,22.16,22.95,36210
20080922,23.14,23.32,23.14,23.2,2170
20080923,22.99,23.13,22.85,23.01,3210
20080925,23.03,23.03,22.73,22.73,1710
20080929,22.71,22.71,22.36,22.36,6900
20080930,22.4,22.46,22.2,22.39,5080
20081001,22.57,22.57,22.57,22.57,110
20081002,22.47,22.47,22.07,22.07,1700
20081003,22.22,22.22,22.22,22.22,1010
20081006,21.68,21.68,20.79,20.79,1260
20081007,21.43,21.43,21.33,21.33,4640
20081008,19.88,19.88,19.88,19.88,100
20081009,20.51,20.51,20.33,20.33,240
20081010,19.99,20.28,19.891,20.03,4290
20081014,20.89,20.89,20.89,20.89,100
20081015,20.85,20.85,20.23,20.23,910
20081016,20.26,20.26,20.26,20.26,2100
20081017,20.56,20.57,20.51,20.57,2110
20081020,20.52,20.78,20.5,20.77,1030
20081022,19.808,19.808,19.49,19.49,2500
20081024,18.596,18.775,16.56,16.56,5100
20081027,18.04,18.04,18,18,2520
20081028,18.413,18.83,18.413,18.83,900
20081030,19.74,19.74,19.74,19.74,100
20081031,19.41,19.618,19.39,19.39,780
20081103,19.701,19.88,19.701,19.88,1770
20081105,20.1,20.1,20.1,20.1,250
20081106,19.74,19.75,19.72,19.72,1410
20081111,19.15,19.15,19.15,19.15,260
20081114,18.879,18.879,18.74,18.74,280
20081117,18.54,18.54,18.54,18.54,200
20081120,17.969,17.969,17.74,17.81,1190
20081121,17.81,17.81,17.502,17.75,1030
20081124,18.17,18.18,18.17,18.18,550
20081125,18.36,18.37,18.36,18.37,750
20081202,17.711,17.83,17.711,17.83,1290
20081203,17.78,17.78,17.78,17.78,100
20081204,17.8,17.82,16.926,17.76,2310
20081209,18.2,18.2,18.2,18.2,270
20081211,18.668,18.678,18.35,18.38,930
20081212,18.131,18.34,18.131,18.34,870
20081216,18.991,19.08,18.991,19.07,1180
20081217,19.711,19.87,19.711,19.87,660
20081218,20.21,22.21,19.69,19.69,5740
20081219,19.449,20.91,19.36,19.36,2740
20081222,19.37,19.38,19.25,19.25,1160
20081223,19.13,19.13,19.13,19.13,300
20081224,19.36,19.45,19.36,19.45,2400
20081226,19.4,19.63,19.3999,19.63,600
20081229,19.7,21.15,19.57,19.57,4030
20081230,19.38,19.5,19.38,19.5,790
20081231,19.59,19.89,19.58,19.89,2130
20090102,19.76,19.8482,19.69,19.69,400
20090105,19.98,19.98,19.93,19.93,450
20090106,20,20,19.99,19.99,1000
20090107,20.37,20.37,20.37,20.37,100
20090109,20.21,20.21,20.21,20.21,400
20090112,19.31,19.31,19.31,19.31,170
20090113,18.87,18.87,18.24,18.24,2990
20090114,17.98,18,17.98,18,300
20090115,18,18.51,17.61,18.5099,1860
20090116,18.03,18.03,18.03,18.03,500
20090120,17.9,17.9,17.9,17.9,280
20090121,17.37,17.37,17.25,17.25,1800
20090122,18.03,18.17,18.03,18.17,400
20090126,18.36,18.4,18.02,18.02,1000
20090127,18.02,18.02,18.02,18.02,100
20090128,17.82,18.2,17.82,18.2,1090
20090129,17.88,17.88,17.49,17.49,220
20090130,17.48,17.48,15.13,16.92,2900
20090202,17.09,17.35,17.09,17.35,920
20090206,18.1,18.39,18.1,18.39,340
20090209,18.66,18.66,18.58,18.61,1400
20090210,18.49,18.49,18.07,18.07,640
20090211,18.11,18.11,18.11,18.11,100
20090212,17.85,17.85,17.85,17.85,100
20090213,17.55,17.56,17.55,17.56,200
20090217,17,17.3,17,17.3,420
20090218,17.25,17.63,17.25,17.63,1650
20090220,16.87,16.87,16.864,16.8641,640
20090223,16.37,17.21,16.37,17.21,770
20090224,17.46,17.58,17.46,17.58,1700
20090225,17.5,17.5,17.5,17.5,1090
20090226,17.55,17.55,17.55,17.55,200
20090227,17.24,17.34,17.24,17.34,900
20090302,16.9,16.9,16.9,16.9,300
20090303,17.3,17.33,17.3,17.33,380
