Date,Open,High,Low,Close,Volume
20210804,24.88,25.0499,24.4885,24.4885,1819
20210805,24.86,25.535,24.86,25.2333,5020
20210806,25.58,25.58,24.9508,25.1549,8565
20210809,25.11,25.11,24.9734,25.0054,2039
20210810,24.891,25.32,24.86,25.2907,9169
20210811,25.9853,26.17,25.9853,26.17,3506
20210812,26.33,26.52,26.33,26.51,8988
20210813,26.59,26.59,26.42,26.44,6457
20210816,26.45,26.51,26.27,26.48,14911
20210817,26.73,27.07,26.66,26.8574,20821
20210818,26.79,27.01,26.72,26.85,15576
20210819,26.17,26.17,25.65,25.896,7851
20210820,25.19,25.39,25.11,25.39,8044
20210823,25.97,26.24,25.88,26.24,11196
20210824,26.46,26.91,26.46,26.8382,14108
20210825,26.83,26.94,26.795,26.8945,5025
20210826,27.05,27.185,26.74,26.985,9379
20210827,27.32,27.84,27.32,27.84,7954
20210830,29.23,29.23,28.15,28.27,17447
20210831,28.1,28.22,28,28.1176,6140
20210901,28.18,28.4797,28.18,28.43,30247
20210902,28.77,31.15,28.742,28.8045,18917
20210903,28.79,29.2199,28.79,29.1,10841
20210907,31.63,31.63,29.555,29.91,27025
20210908,29.6,29.94,29.03,29.18,16693
20210909,29.5,30,29.5,29.85,16463
20210910,30.05,30.28,29.85,30,24845
20210913,30.28,30.5,30.055,30.1597,21925
20210914,30.7,30.7,30.3,30.37,22965
20210915,30.72,32,30.64,31.2261,53840
20210916,31.46,31.59,31.233,31.3171,61348
20210917,31.51,31.62,31.0001,31.04,20712
20210920,31.04,31.04,29.011,29.32,52792
20210921,29.74,29.74,29.38,29.55,23087
20210922,30.09,30.3999,30.09,30.18,21531
20210923,30.48,30.69,30.32,30.65,28235
20210924,30.89,30.89,30.255,30.63,95223
20210927,30.99,30.99,29.922,30.17,34438
20210928,29.36,29.36,28.76,28.96,36901
20210929,29.15,29.15,28.575,28.6176,20177
20210930,28.06,28.26,27.91,28.1346,20614
20211001,28.13,28.495,28.07,28.44,9872
20211004,28.77,28.77,26.75,26.83,31312
20211005,27.21,27.53,27.21,27.41,13450
20211006,26.91,27.3,26.83,27.22,14223
20211007,27.56,27.655,27.5,27.5,15093
20211008,27.06,27.28,26.71,26.77,30964
20211011,26.73,27.13,26.65,26.65,12024
20211012,26.77,26.9299,26.711,26.77,10724
20211013,26.78,26.78,26.52,26.6,11952
20211014,26.58,26.58,26.05,26.05,12334
20211015,26.13,26.15,25.94,26.08,5670
20211018,26.32,26.83,26.32,26.74,21914
20211019,27.42,27.848,27.42,27.735,22060
20211020,27.59,27.59,27.18,27.51,21921
20211021,27.55,27.55,27.1013,27.3,28136
20211022,27.33,27.33,27,27.31,18985
20211025,27.5,27.8,27.5,27.66,15628
20211026,27.98,27.99,27.5,27.51,25095
20211027,27.3,27.43,26.8,26.8,19063
20211028,26.94,27.17,26.94,27.17,7603
20211029,27.59,27.59,27.35,27.53,7106
20211101,27.66,27.969,27.5624,27.91,14549
20211102,27.91,27.91,27.5304,27.61,8509
20211103,27.95,28.35,27.77,28.35,13056
20211104,28.34,28.34,27.56,27.72,10584
20211105,27.72,27.72,26.95,27.03,21116
20211108,27.33,27.52,27.3194,27.355,8841
20211109,27.67,27.72,27.31,27.61,8114
20211110,27.63,27.63,26.991,27.06,7413
20211111,27.3,27.6,27.298,27.5004,14461
20211112,27.38,27.5325,27.36,27.5325,3785
20211115,27.51,27.51,26.99,27.05,14881
20211116,26.85,26.85,26.42,26.49,17716
20211117,26.62,26.63,26.425,26.52,7556
20211118,26.3,26.43,26.05,26.22,11360
20211119,26.43,26.56,26.3955,26.42,6781
20211122,26.64,26.7899,26.43,26.48,10074
20211123,26.35,27.98,26.18,26.22,3570
20211124,26.16,26.5,26.16,26.49,2918
20211126,26.28,26.28,25.96,26.1218,12333
20211129,27.06,27.06,26.575,26.89,6264
20211130,26.71,27.23,26.71,26.9153,10640
20211201,27.21,27.22,26.47,26.47,54502
20211202,26.68,27.3,26.52,27.1422,35779
20211203,27.74,27.7499,27.35,27.6,26657
20211206,27.84,28.35,27.7712,28.24,20689
