Date,Open,High,Low,Close,Volume
20210113,25.3,25.3,24.88,24.88,211727
20210114,25,25.07,24.87,24.87,14381
20210115,24.79,24.83,24.5174,24.6794,10880
20210119,24.81,24.9027,24.81,24.9027,4031
20210120,25.14,25.21,25.14,25.2,35935
20210121,25.14,25.15,25.06,25.1,3191
20210122,24.98,25.11,24.9301,25.0979,4920
20210125,25.1894,25.259,24.8211,25.014,1868
20210126,24.9701,24.9701,24.7224,24.7224,3285
20210127,24.33,24.415,23.97,24.01,11610
20210128,24.45,24.54,24.33,24.33,5130
20210129,24.16,24.16,23.95,24.099,5533
20210201,24.18,24.4942,24.08,24.4942,170977
20210202,24.71,24.9269,24.71,24.8696,112985
20210203,25.02,25.03,24.8746,24.8746,4662
20210204,25,25.1257,25,25.1257,4760
20210205,25.135,25.21,25.135,25.1952,3818
20210208,25.36,25.37,25.2699,25.36,7626
20210209,25.4516,25.465,25.3677,25.3677,5930
20210210,25.46,25.48,25.27,25.3128,2002
20210211,25.495,25.52,25.35,25.5045,1262
20210212,25.42,25.6493,25.37,25.6493,10089
20210216,25.69,25.75,25.5683,25.5683,6354
20210217,25.34,25.45,25.15,25.42,12913
20210218,25.16,25.3166,25.1501,25.3166,457
20210219,25.34,25.38,25.2125,25.2125,4046
20210222,24.98,24.98,24.6457,24.6457,3946
20210223,24.33,24.68,23.88,24.61,13269
20210224,24.51,24.8383,24.339,24.8383,3008
20210225,24.69,24.69,24.0261,24.0261,5299
20210226,24.19,24.39,23.9,24.2122,3873
20210301,24.44,24.81,24.388,24.7939,51562
20210302,24.74,24.76,24.49,24.49,53617
20210303,24.39,24.39,24.0839,24.0839,1763
20210304,24.0101,24.0101,23.51,23.62,3689
20210305,23.86,24.069,23.7728,24.0675,2390
20210308,24.02,24.2186,23.8173,23.8173,1288
20210309,24.329,24.419,24.2754,24.2754,801
20210310,24.46,24.485,24.4175,24.4175,10824
20210311,24.7,24.7268,24.7,24.7268,698
20210312,24.67,24.6768,24.5901,24.66,5578
20210315,24.7,24.7911,24.65,24.7911,2101
20210316,24.8797,24.8797,24.77,24.7889,1869
20210317,24.8556,24.8556,24.8556,24.8556,70
20210318,24.8399,24.8399,24.465,24.4852,523
20210319,24.51,24.52,24.4675,24.4675,846
20210322,24.68,24.68,24.58,24.58,790
20210323,24.5,24.5,24.32,24.3664,867
20210324,24.1501,24.1501,24.1501,24.1501,442
20210325,24.08,24.2996,24.08,24.2996,1509
20210326,24.45,24.6137,24.45,24.6137,911
20210329,24.53,24.5692,24.53,24.5692,364
20210330,24.5037,24.5037,24.5037,24.5037,2
20210331,24.52,24.76,24.5,24.7293,11502
20210401,24.98,25.077,24.98,25.077,10881
20210405,25.35,25.44,25.29,25.4239,212036
20210406,25.37,25.57,25.37,25.3807,5834
20210407,25.364,25.364,25.225,25.2621,4068
20210408,25.4476,25.4681,25.4399,25.4681,4469
20210409,25.4901,25.6201,25.4901,25.6201,4349
20210412,25.5796,25.638,25.545,25.5928,1969
20210413,25.52,25.61,25.47,25.5857,3860
20210414,25.87,25.87,25.6028,25.6028,7798
20210415,25.8023,25.8408,25.7401,25.8408,13842
20210416,25.915,25.9577,25.915,25.9577,2659
20210419,25.79,25.79,25.7181,25.7181,250
20210420,25.25,25.3343,25.25,25.3343,1343
20210421,25.58,25.7372,25.58,25.7372,5786
20210422,25.88,25.88,25.518,25.5635,3233
20210423,25.8252,26.01,25.8252,25.9948,2394
20210426,26.16,26.17,26.1155,26.1155,1232
20210427,26.2,26.2,26.13,26.1498,3137
20210428,26.09,26.1155,26.0666,26.0666,1028
20210429,25.945,26.12,25.945,26.0639,1103
20210430,25.71,25.7307,25.71,25.7244,5163
20210503,25.92,25.989,25.8677,25.8677,1242
20210504,25.79,25.79,25.401,25.6267,40759
20210505,25.59,25.819,25.59,25.7089,785
20210506,25.9115,25.9115,25.9115,25.9115,138
20210507,25.84,26.1765,25.84,26.1765,17956
20210510,26.2101,26.28,25.947,25.947,6317
20210511,25.56,25.75,25.48,25.6207,20319
20210512,25.5,25.5,25.0007,25.0007,14709
20210513,25.5194,25.639,25.46,25.5232,613
20210514,25.8347,25.9934,25.8347,25.9934,460
20210517,25.91,26.0371,25.9,26.0371,629
20210518,25.91,25.91,25.7504,25.7504,225
20210519,25.2458,25.5021,25.24,25.5021,2089
20210520,25.52,25.5564,25.5,25.5564,1394
20210521,25.71,25.7374,25.71,25.7374,186
20210524,25.89,25.89,25.8625,25.8625,4509
20210525,25.66,25.67,25.5877,25.5877,3501
20210526,25.63,25.875,25.63,25.8541,4202
20210527,26.04,26.1799,26.04,26.1579,2926
20210528,26.1375,26.1375,26.1375,26.1375,72
20210601,26.4,26.439,26.4,26.4066,26395
20210602,26.41,26.48,26.359,26.4334,3391
20210603,26.3527,26.38,26.3527,26.3591,1902
20210604,26.369,26.4278,26.3551,26.4278,785
20210608,26.6271,26.6271,26.6129,26.6129,1423
20210609,26.51,26.51,26.3814,26.3814,1561
20210610,26.18,26.25,26.1387,26.1387,660
20210611,26.2401,26.3277,26.2401,26.3277,958
20210614,26.0984,26.0984,26.0868,26.0868,535
20210615,26.06,26.1585,26.06,26.1429,2624
20210616,26.0879,26.0879,26.0879,26.0879,7
20210617,25.8,25.809,25.45,25.4881,4093
20210618,25.13,25.13,24.895,24.91,2694
20210621,25.38,25.4614,25.38,25.4614,1804
20210622,25.339,25.5299,25.339,25.5299,656
20210623,25.63,25.631,25.5718,25.5718,1036
20210624,25.7503,25.854,25.7503,25.854,360
20210625,26.0401,26.0401,26.0338,26.0338,460
20210628,26.07,26.07,25.6915,25.7514,1626
20210629,25.8,25.8,25.58,25.6489,2784
20210630,25.57,25.7298,25.57,25.7298,2847
20210701,25.91,25.969,25.9026,25.9026,2569
20210702,25.82,25.82,25.7848,25.7848,154
20210706,25.71,25.71,25.47,25.6078,4789
20210707,25.58,25.6661,25.58,25.6661,1714
20210708,25.19,25.4,25.19,25.2917,1186
20210709,25.42,25.8026,25.42,25.8026,2378
20210712,25.72,25.9322,25.72,25.9322,445
20210713,25.8,25.8,25.7172,25.7172,1107
20210714,25.66,25.66,25.61,25.6416,1288
20210715,25.5919,25.5919,25.5919,25.5919,3
20210716,25.471,25.471,25.323,25.323,169
20210719,24.8196,24.8196,24.8196,24.8196,47
20210720,25.3861,25.3861,25.3861,25.3861,136
20210721,25.6,25.6701,25.6,25.6701,2294
20210722,25.5776,25.5776,25.5776,25.5776,91
20210723,25.701,25.7569,25.701,25.7569,1736
20210726,25.8254,25.8254,25.8254,25.8254,48
20210727,25.6986,25.6986,25.6986,25.6986,7
20210728,25.701,25.8,25.701,25.7699,828
20210729,25.9561,25.9561,25.9561,25.9561,85
20210730,25.8405,25.8405,25.8225,25.8225,1829
20210802,26.04,26.04,25.7713,25.7713,979
20210803,25.77,25.9664,25.64,25.9664,33536
20210804,26.009,26.0556,26.009,26.0556,438
20210805,26.13,26.209,26.13,26.1904,2198
20210806,26.1454,26.1454,26.1454,26.1454,542
20210809,26.14,26.1498,26.14,26.1498,716
20210810,26.0698,26.0698,26.0698,26.0698,2
20210811,26.06,26.0899,26.06,26.0899,362
20210812,26.1916,26.1916,26.1916,26.1916,3
20210813,26.23,26.2347,26.19,26.2347,4181
20210816,25.995,26.3023,25.995,26.3023,2310
20210818,26.075,26.075,25.854,25.854,458
20210819,25.821,25.8962,25.821,25.8962,1187
20210820,26.17,26.1834,26.17,26.1834,106
20210823,26.4791,26.4791,26.4791,26.4791,24
20210824,26.561,26.561,26.5329,26.5329,233
20210825,26.51,26.5767,26.51,26.5767,37159
20210826,26.4118,26.4118,26.4118,26.4118,77
20210827,26.7058,26.7058,26.7058,26.7058,66
20210830,26.935,27,26.92,26.9599,4138
20210831,26.9699,26.98,26.9514,26.9514,696
20210901,27.129,27.13,27.0257,27.0257,3854
20210902,27.13,27.13,26.95,26.992,5810
20210903,27.0611,27.0611,27.0611,27.0611,30
20210907,27.01,27.078,27.01,27.078,477
20210908,26.92,26.97,26.92,26.9565,5930
20210909,26.939,26.939,26.8766,26.8766,315
20210910,26.6089,26.6089,26.6089,26.6089,60
20210913,26.53,26.5407,26.53,26.5407,388
20210914,26.66,26.66,26.5066,26.5066,5154
20210915,26.53,26.7168,26.53,26.7168,509
20210916,26.73,26.7464,26.73,26.7464,310
20210917,26.47,26.4705,26.4,26.4705,852
20210920,25.9001,25.9269,25.9001,25.9269,163
20210921,26.0305,26.0305,26.0305,26.0305,45
20210922,26.21,26.2958,26.195,26.2958,1796
20210923,26.55,26.5913,26.55,26.5913,452
20210924,26.6244,26.6244,26.6244,26.6244,4
20210927,26.47,26.47,26.34,26.3528,2014
