Date,Open,High,Low,Close,Volume
20100312,40.07,40.07,39.89,39.89,1000
20100316,40.28,40.28,39.88,40.11,3700
20100317,39.09,39.25,39.03,39.25,500
20100319,41.3,41.55,41.3,41.42,2000
20100322,42.3,42.3,41.29,41.56,4220
20100323,40.77,40.77,40.77,40.77,250
20100324,41.18,41.18,41.18,41.18,200
20100329,40.92,40.92,40.92,40.92,220
20100405,37,37.18,37,37.18,1350
20100407,37.42,37.42,37.42,37.42,100
20100408,38.41,38.41,38.05,38.05,250
20100412,36.89,36.89,36.89,36.89,500
20100413,37.46,37.46,37.46,37.46,100
20100415,36.83,36.83,36.75,36.76,5400
20100416,38.05,38.65,38.05,38.65,550
20100419,39.4,40.02,39.32,39.99,11600
20100420,37.81,37.81,37.81,37.81,1000
20100421,39,39,39,39,300
20100422,35.54,39.56,35.54,39.54,1000
20100423,38.92,39.07,38.11,38.11,19400
20100428,40.61,41.31,40.24,40.54,10290
20100429,39.64,39.64,39.64,39.64,200
20100430,38.64,39.31,38.56,39.31,2400
20100503,38.97,38.97,38.97,38.97,150
20100504,42.98,43.33,42.83,43.21,1000
20100505,49.59,49.59,43.75,44.23,8280
20100506,44.3,54.38,44.3,47.31,3830
20100507,47.38,50.94,46.6,48.45,16500
20100510,40.62,42.43,40.62,41.41,8040
20100511,42,42.38,41.58,42.38,900
20100512,41.6199,41.684,41.44,41.62,1000
20100514,44.64,45,44.64,44.77,650
20100517,44.4,46.98,44.4,45.3,10720
20100518,44.21,47.35,43.84,46.86,2750
20100519,49.33,50.15,49.14,49.14,1650
20100520,52.83,53.05,51.82,52.67,4120
20100521,55.59,55.59,50.26,50.91,2100
20100524,48.96,50.55,48.57,50.55,16580
20100525,55.9,55.9,51.36,51.36,20080
20100526,49.09,49.88,47.9,49.33,2320
20100527,47.93,47.93,46.74,46.74,450
20100528,46.74,46.74,46.74,46.74,200
20100601,47.54,47.54,45.2804,47.05,8470
20100602,46.89,46.89,45.76,45.76,1960
20100603,44.24,45.43,44.24,44.64,600
20100604,47.03,47.62,46.67,47.62,1400
20100607,47.44,47.85,47.44,47.85,500
20100608,47.93,49,47.88,47.95,2840
20100609,44.85,44.99,44.85,44.99,2200
20100610,44,44,43.16,43.16,5800
20100614,42.2,42.2,41.7,42.02,1100
20100615,42.1,42.1,40.48,40.48,300
20100616,40.83,40.92,40.21,40.25,2000
20100617,40.84,41.35,40.78,40.92,2900
20100624,41,41.24,41,41.24,3200
20100625,41.72,41.72,40.84,40.84,1000
20100628,38.38,40.68,38.38,40.68,8000
20100629,43.42,44.53,43.42,44.41,1400
20100630,43.53,44.56,43.53,44.56,750
20100701,45.37,46.8,45.01,45.01,2390
20100702,43.95,44.36,43.88,44.36,3000
20100706,42.24,44.23,42.24,44.23,8300
20100708,40.98,41.73,40.97,41.65,3990
20100709,40.23,40.25,39.91,39.91,2200
20100713,41,41,40.2,40.2,600
20100714,41.23,41.28,41.23,41.27,2200
20100715,42.31,42.31,42.31,42.31,100
20100716,42.5,42.5,42.5,42.5,200
20100721,39.84,39.84,39.42,39.42,600
20100723,38.48,38.48,38.48,38.48,700
20100726,37.9,37.9,37.9,37.9,100
20100729,37.87,37.87,37.82,37.82,1000
20100802,35.32,35.39,35.23,35.23,1000
20100803,35.94,35.94,35.75,35.75,800
20100806,36.09,36.09,36.09,36.09,100
20100809,35.12,35.12,35.12,35.12,180
20100810,36.72,36.72,36.32,36.5,300
20100811,38.31,38.31,38.31,38.31,200
20100812,39.62,39.62,38.23,38.27,1430
20100813,37.91,37.91,37.91,37.91,100
20100816,37.71,37.71,37.71,37.71,150
20100817,36.54,36.5595,36.04,36.04,400
20100818,36.04,36.04,36.04,36.04,1010
20100819,37.37,37.37,37.3448,37.3448,450
20100820,37.69,37.69,37.27,37.27,600
20100824,39.39,39.41,39.04,39.35,11200
20100825,40.76,40.76,39.46,39.46,5850
20100826,39.31,39.31,39.275,39.275,480
20100831,39.33,39.4,39.32,39.4,2100
20100901,36.8,36.8,36.41,36.43,4800
20100902,36.01,36.08,36,36.08,7100
20100903,35.26,35.26,35.26,35.26,100
20100908,35.64,35.64,35.6,35.6,900
20100913,33.86,33.86,33.86,33.86,1000
20100917,34.25,34.2664,34.25,34.2664,200
20100921,33.45,33.59,33.45,33.59,2500
20100923,33.04,33.04,33.04,33.04,1000
20100929,31.66,31.71,31.38,31.38,5500
20100930,30.86,31.0401,30.86,31.04,700
20101001,29.95,29.95,29.95,29.95,100
20101004,29.85,29.85,29.73,29.73,1100
20101011,28.83,28.83,28.76,28.76,200
20101013,28,28,28,28,400
20101014,27.95,27.95,27.95,27.95,1000
20101018,28.5,28.5,28.5,28.5,1000
20101025,29.13,29.13,29.13,29.13,500
20101104,26.34,26.34,26.34,26.34,400
20101109,26.3,26.3,26.3,26.3,500
20101112,28.82,28.82,28.62,28.62,560
20101115,28.07,28.07,28.07,28.07,100
20101116,29.66,30.67,29.66,30.46,3580
20101117,31.54,31.54,29.68,29.9,2470
20101118,28.88,28.88,28.58,28.58,350
20101119,28.78,28.78,28.73,28.73,1500
20101122,28.75,29.61,28.75,29.05,2980
20101123,30.68,30.68,30.68,30.68,200
20101124,30.3,30.3,29.68,29.6801,850
20101129,30.57,30.57,30.57,30.57,330
20101202,28.22,28.35,28.22,28.322,350
20101209,29.68,29.68,29.68,29.68,100
20101220,28.85,29.33,28.73,29.33,8600
20101221,28.08,28.08,28.08,28.08,100
20110105,26.45,26.45,25.96,25.98,2600
20110106,26.73,26.73,26.63,26.6301,1200
20110107,27.21,27.35,27.2,27.2,1900
20110111,26.63,26.63,26.63,26.63,100
20110120,27.09,27.09,27.09,27.09,200
20110125,27.47,27.47,27.47,27.47,200
20110127,27.23,27.23,27.23,27.23,300
20110128,28.63,28.66,28.62,28.66,2800
20110201,26.95,26.95,26.95,26.95,100
20110203,27.13,27.13,27.05,27.05,200
20110204,27.52,27.52,27.52,27.52,100
20110210,29.34,29.34,28.74,28.86,3220
20110214,27.29,27.42,27.29,27.42,550
20110215,27.35,27.35,27.35,27.35,500
20110216,26.73,26.73,26.73,26.73,400
20110217,26.55,26.55,26.55,26.55,100
20110218,26.45,26.55,26.45,26.55,600
20110225,27.21,27.21,27.2,27.2,200
20110303,26.16,26.16,26.16,26.16,150
20110308,26.25,26.36,26.25,26.35,2890
20110309,25.19,25.19,25.19,25.19,1100
20110310,27.4,27.44,27.25,27.44,2000
20110311,27.36,27.36,27.08,27.09,1100
20110316,27.27,28.74,27.27,28.69,700
20110317,28.35,28.39,28.35,28.39,2400
20110318,28.05,28.05,28.01,28.03,2400
20110321,27.33,27.35,27.33,27.34,1100
20110322,26.83,27.15,26.83,26.85,1600
20110323,26.14,26.1625,26.14,26.1625,500
20110324,26.06,26.09,26.06,26.08,2400
20110325,25.91,25.92,25.9,25.92,2600
20110329,25.62,25.62,25.62,25.62,700
20110330,24.84,24.84,24.83,24.83,700
20110401,23.65,23.65,23.59,23.61,500
20110405,23.18,23.18,23.1799,23.1799,200
20110406,23.57,23.62,23.57,23.62,500
20110407,23.1,23.11,23.08,23.11,700
20110413,24.28,24.44,24.28,24.44,240
20110415,24.46,24.51,24.46,24.49,2600
20110418,25.55,25.55,25.53,25.55,4500
20110419,24.69,24.69,24.69,24.69,200
20110420,24.02,24.02,23.77,23.77,3400
20110421,23.55,23.6,23.5,23.55,2600
20110425,23.66,23.66,23.64,23.65,2500
20110429,24.27,24.27,24.27,24.27,1000
20110502,23.89,24.39,23.88,24.39,1800
20110503,24.98,25.49,24.98,25.49,3000
20110504,25.7,26.34,25.7,26.34,1080
20110505,26.49,27.22,26.49,26.97,31100
20110506,26.99,26.99,25.98,26.26,3900
20110509,26,26,26,26,200
20110510,25.61,25.61,25.61,25.61,100
20110511,21.92,26.5,21.92,26.5,200
20110512,26.55,26.55,26.55,26.55,500
20110513,27.4,27.58,27.4,27.58,400
20110516,27.04,27.04,26.87,26.87,1700
20110517,27.6,27.93,27.35,27.35,1300
20110518,27.45,27.46,26.75,27.07,2800
20110519,27.26,27.26,27.26,27.26,100
20110520,26.1,27.61,26.1,27.36,4610
20110523,28.51,28.61,28.23,28.25,6400
20110524,27.85,27.85,27.5,27.73,820
20110525,27.59,27.59,27.59,27.59,600
20110531,25.23,25.85,25.23,25.84,2300
