Date,Open,High,Low,Close,Volume
20181010,23.62,23.62,23.61,23.61,1268
20181015,23.61,23.61,23.61,23.61,21006
20181019,23.64,23.64,23.64,23.64,106
20181022,23.58,23.58,23.58,23.58,212
20181025,23.64,23.64,23.64,23.64,216
20181101,23.61,23.62,23.59,23.59,2100
20181107,23.67,23.68,23.67,23.68,2625
20181112,23.67,23.67,23.67,23.67,1050
20181114,23.7,23.72,23.7,23.72,211
20181121,23.44,23.44,23.44,23.44,277
20181128,23.6,23.6,23.6,23.6,105
20181130,23.59,23.59,23.58,23.58,1912
20181204,23.64,23.64,23.64,23.64,615
20181206,23.6,23.6,23.6,23.6,262
20181207,23.66,23.66,23.66,23.66,169
20181210,23.61,23.61,23.61,23.61,30
20181211,23.62,23.62,23.62,23.62,30
20181212,23.68,23.68,23.68,23.68,186
20181213,23.71,23.71,23.71,23.71,871
20181214,23.71,23.71,23.71,23.71,30
20181217,23.74,23.74,23.74,23.74,30
20181218,23.81,23.9,23.81,23.81,1180
20181219,23.81,23.82,23.81,23.82,762
20181220,23.82,23.82,23.82,23.82,239
20181221,23.8,23.8,23.76,23.76,2434
20181224,23.75,23.75,23.75,23.75,30
20181226,23.82,23.82,23.82,23.82,134
20181227,23.83,23.83,23.83,23.83,238
20181228,23.94,23.96,23.94,23.94,1847
20181231,23.85,23.85,23.85,23.85,30
20190102,23.86,23.9,23.86,23.9,6295
20190103,23.89,23.96,23.89,23.95,2202
20190104,23.99,24.01,23.93,23.93,7701
20190107,24.02,24.02,23.98,23.99,1070
20190108,24.03,24.03,23.99,24.03,5447
20190109,24.08,24.08,24.08,24.08,862
20190110,24.06,24.07,24.06,24.07,1590
20190111,24,24,24,24,11877
20190114,23.99,24.03,23.99,24.03,628
20190115,24.11,24.11,24.11,24.11,134
20190116,24.12,24.12,24.12,24.12,238
20190117,24.11,24.11,24.11,24.11,342
20190118,24.2,24.21,24.2,24.21,446
20190122,24.15,24.16,24.14,24.14,9352
20190123,24.18,24.19,24.18,24.18,3927
20190124,24.22,24.22,24.22,24.22,30
20190125,24.25,24.25,24.25,24.25,855
20190128,24.19,24.19,24.19,24.19,224
20190129,24.31,24.39,24.31,24.39,2204
20190130,24.3,24.35,24.29,24.35,6874
20190131,24.44,24.47,24.42,24.47,35488
20190201,24.46,24.53,24.41,24.53,2508
20190204,24.41,24.41,24.41,24.41,1169
20190205,24.52,24.52,24.52,24.52,651
20190206,24.46,24.46,24.46,24.46,30
20190207,24.46,24.51,24.46,24.51,2449
20190208,24.41,24.49,24.41,24.48,6019
20190211,24.45,24.46,24.41,24.41,7038
20190212,24.46,24.46,24.46,24.46,30
20190213,24.49,24.49,24.46,24.47,6879
20190214,24.52,24.53,24.48,24.52,19175
20190215,24.54,24.54,24.48,24.53,2341
20190219,24.47,24.47,24.47,24.47,12504
20190220,24.47,24.48,24.47,24.48,38339
20190221,24.47,24.47,24.47,24.47,134
20190222,24.44,24.44,24.43,24.43,2753
20190225,24.53,24.53,24.53,24.53,284
20190226,24.47,24.47,24.47,24.47,289
20190227,24.55,24.55,24.55,24.55,1531
20190228,24.57,24.57,24.55,24.56,3764
20190301,24.6,24.6,24.6,24.6,30
20190304,24.61,24.64,24.61,24.63,1681
20190305,24.63,24.65,24.59,24.65,19461
20190306,24.66,24.66,24.65,24.66,2724
20190307,24.64,24.64,24.64,24.64,30
20190308,24.64,24.64,24.64,24.64,1062
20190311,24.66,24.66,24.66,24.66,30
20190312,24.65,24.66,24.64,24.66,5069
20190313,24.68,24.68,24.68,24.68,535
20190314,24.71,24.71,24.71,24.71,30
20190315,24.74,24.74,24.74,24.74,30
20190318,24.7,24.71,24.7,24.71,2492
20190319,24.7,24.7,24.7,24.7,236
20190320,24.72,24.75,24.72,24.75,2870
20190321,24.84,24.84,24.84,24.84,30
20190322,24.83,24.83,24.83,24.83,30
20190325,24.9,24.9,24.89,24.89,442
20190326,24.83,24.92,24.83,24.9,7438
20190327,24.88,24.88,24.88,24.88,48721
20190328,24.86,24.86,24.86,24.86,1058
20190329,24.84,24.84,24.84,24.84,133
20190401,24.87,24.87,24.87,24.87,184
20190402,24.87,24.87,24.87,24.87,30
