Date,Open,High,Low,Close,Volume
20100607,18.051,18.051,18.051,18.051,112
20100608,18.051,18.06,18.042,18.06,560
20100609,17.979,18.006,17.979,18.006,2436
20100610,17.935,17.962,17.908,17.962,9005
20100611,17.846,17.926,17.846,17.926,9105
20100616,17.988,17.988,17.988,17.988,1453
20100617,18.024,18.033,18.024,18.033,1681
20100618,18.095,18.095,18.024,18.024,4931
20100621,18.087,18.087,18.078,18.087,4819
20100622,18.051,18.06,18.051,18.06,1045
20100624,18.131,18.131,18.104,18.131,7061
20100625,18.122,18.167,18.113,18.167,27716
20100628,18.167,18.247,18.167,18.22,32335
20100629,18.283,18.283,18.229,18.256,12853
20100630,18.292,18.327,18.265,18.265,10456
20100701,18.311,18.311,18.311,18.311,112
20100702,18.223,18.231,18.223,18.229,7408
20100706,18.221,18.23,18.221,18.23,4140
20100707,18.293,18.293,18.284,18.284,4474
20100708,18.275,18.284,18.275,18.284,3552
20100709,18.257,18.257,18.221,18.221,2006
20100712,18.257,18.257,18.257,18.257,3020
20100713,18.275,18.284,18.266,18.284,4489
20100714,18.275,18.275,18.275,18.275,5592
20100715,18.346,18.355,18.346,18.346,6022
20100716,18.445,18.445,18.418,18.436,5826
20100719,18.488,18.514,18.482,18.482,2063
20100720,18.489,18.489,18.489,18.489,2394
20100721,18.497,18.505,18.497,18.5,3888
20100722,18.532,18.532,18.527,18.527,6859
20100723,18.525,18.552,18.516,18.516,31101
20100726,18.489,18.588,18.457,18.48,23755
20100727,18.505,18.523,18.495,18.5,8835
20100728,18.534,18.579,18.534,18.552,13711
20100729,18.606,18.606,18.597,18.597,5329
20100730,18.668,18.668,18.641,18.641,9395
20100802,18.743,18.752,18.732,18.752,11102
20100803,18.671,18.68,18.67,18.671,11926
20100804,18.752,18.761,18.734,18.743,7377
20100805,18.725,18.734,18.716,18.734,15538
20100806,18.779,18.779,18.779,18.779,1115
20100809,18.832,18.832,18.832,18.832,13496
20100810,18.831,18.87,18.831,18.852,9327
20100811,18.895,18.904,18.885,18.895,21051
20100812,18.859,18.895,18.859,18.895,5910
20100813,18.828,18.837,18.828,18.837,4130
20100816,18.913,18.913,18.886,18.886,934
20100817,18.949,18.949,18.94,18.94,4831
20100818,18.886,18.895,18.886,18.895,3655
20100819,18.886,18.895,18.886,18.895,5929
20100820,18.922,18.922,18.904,18.904,6357
20100823,18.877,18.877,18.832,18.868,19584
20100824,18.904,18.904,18.874,18.895,39251
20100825,18.966,18.968,18.966,18.968,581
20100826,18.904,18.904,18.888,18.904,2527
20100827,18.913,18.913,18.913,18.913,1586
20100830,18.831,18.84,18.831,18.834,6796
20100831,18.886,18.895,18.865,18.895,5743
20100901,18.949,18.949,18.949,18.949,7710
20100902,18.841,18.841,18.841,18.841,3337
20100903,18.834,18.834,18.803,18.803,1351
20100907,18.826,18.852,18.799,18.848,23582
20100908,18.904,18.904,18.877,18.886,17992
20100909,18.842,18.842,18.804,18.804,719
20100910,18.769,18.769,18.769,18.769,10110
20100913,18.814,18.814,18.814,18.814,828
20100914,18.912,18.914,18.912,18.914,1112
20100915,18.931,18.931,18.931,18.931,334
20100916,18.931,18.94,18.922,18.94,65906
20100917,18.931,18.931,18.913,18.913,3887
20100920,18.958,18.958,18.958,18.958,1290
20100921,18.994,19.03,18.99,19.03,7039
20100922,19.102,19.102,19.1,19.102,5429
20100923,19.129,19.129,19.084,19.102,3886
20100924,19.102,19.102,19.102,19.102,2252
20100927,19.039,19.174,19.039,19.084,4953
20100928,19.102,19.165,19.102,19.156,4284
20100929,19.174,19.174,19.147,19.147,1999
20100930,19.165,19.165,19.123,19.129,2447
20101001,19.173,19.173,19.152,19.173,6406
20101004,19.099,19.139,19.099,19.139,1044
