Date,Open,High,Low,Close,Volume
20120514,20.57,20.6,20.56,20.57,13723
20120515,20.56,20.6,20.56,20.59,6605
20120516,20.53,20.53,20.49,20.53,11037
20120517,20.49,20.49,20.4,20.4,15543
20120518,20.3,20.4,20.3,20.35,7286
20120521,20.34,20.36,20.34,20.34,6276
20120522,20.31,20.36,20.31,20.34,4553
20120523,20.34,20.36,20.29,20.36,13143
20120524,20.36,20.36,20.31,20.31,3495
20120525,20.31,20.35,20.31,20.35,934
20120530,20.31,20.33,20.25,20.27,11015
20120531,20.42,20.42,20.33,20.33,4710
20120601,20.28,20.28,20.21,20.23,8276
20120604,20.2,20.22,20.2,20.22,2078
20120605,20.19,20.25,20.16,20.18,5397
20120606,20.14,20.16,20.14,20.16,3679
20120607,20.26,20.26,20.25,20.25,5098
20120608,20.39,20.39,20.25,20.3,29703
20120611,20.32,20.32,20.27,20.3,24726
20120612,20.3,20.3,20.3,20.3,613
20120613,20.26,20.3,20.26,20.28,11580
20120614,20.32,20.33,20.3,20.31,4299
20120615,20.32,20.32,20.26,20.26,6990
20120618,20.26,20.3,20.26,20.3,4415
20120619,20.32,20.4,20.32,20.4,32008
20120620,20.42,20.43,20.41,20.43,9166
20120621,20.51,20.52,20.42,20.42,5640
20120622,20.56,20.58,20.56,20.58,1772
20120625,20.51,20.54,20.51,20.54,2490
20120626,20.55,20.55,20.5,20.5,4171
20120627,20.51,20.51,20.5,20.5,10730
20120628,20.55,20.55,20.49,20.55,17292
20120629,20.65,20.65,20.61,20.61,25596
20120702,20.75,20.75,20.63,20.67,9593
20120703,20.66,20.72,20.66,20.71,4823
20120705,20.71,20.76,20.67,20.72,6929
20120709,20.74,20.75,20.71,20.72,2320
20120710,20.75,20.76,20.72,20.72,1832
20120711,20.79,20.79,20.74,20.79,15066
20120712,20.73,20.77,20.73,20.77,2374
20120713,20.78,20.81,20.76,20.8,32762
20120716,20.89,20.89,20.8,20.81,12770
20120717,20.87,20.87,20.81,20.81,14941
20120718,20.85,20.85,20.85,20.85,1587
20120719,20.94,20.94,20.88,20.9,38293
20120720,20.9,20.9,20.87,20.88,38083
20120723,20.78,20.9,20.78,20.89,103480
20120724,20.87,20.87,20.81,20.85,11091
20120725,20.85,20.91,20.85,20.9,9017
20120726,20.86,20.97,20.86,20.96,4006
20120727,20.97,21.02,20.91,20.99,19354
20120730,21.06,21.06,21,21.02,24739
20120731,21.04,21.08,21.04,21.04,12346
20120801,21.13,21.13,21.07,21.13,5108
20120802,21.14,21.14,21.08,21.12,4338
20120803,21.19,21.19,21.19,21.19,3099
20120806,21.2,21.21,21.2,21.21,767
20120807,21.18,21.21,21.17,21.19,15904
20120808,21.21,21.21,21.16,21.21,5940
20120809,21.2,21.2,21.17,21.18,59849
20120810,21.16,21.16,21.15,21.16,5699
20120813,21.17,21.17,21.17,21.17,2762
20120814,21.16,21.19,21.16,21.16,14352
20120815,21.18,21.18,21.13,21.16,6219
20120816,21.16,21.16,21.15,21.15,1929
20120817,21.16,21.16,21.15,21.16,17244
20120820,21.18,21.18,21.15,21.15,8036
20120821,21.24,21.25,21.18,21.18,8020
20120822,21.21,21.23,21.21,21.22,22026
20120823,21.25,21.25,21.2,21.22,8445
20120824,21.23,21.27,21.23,21.27,65995
20120827,21.28,21.29,21.25,21.29,48308
20120828,21.29,21.3,21.28,21.3,15420
20120829,21.3,21.3,21.29,21.3,8351
20120830,21.32,21.32,21.26,21.3,17950
20120904,21.29,21.32,21.29,21.32,9133
20120905,21.33,21.33,21.33,21.33,8683
20120906,21.34,21.43,21.34,21.42,15827
20120907,21.43,21.43,21.41,21.41,15675
20120910,21.49,21.51,21.43,21.49,18177
20120911,21.48,21.54,21.48,21.54,3077
20120912,21.55,21.58,21.55,21.58,6335
20120913,21.63,21.65,21.61,21.65,1659
20120914,21.67,21.68,21.65,21.66,21693
20120917,21.85,21.85,21.69,21.7,12688
20120918,21.75,21.75,21.67,21.71,11041
