Date,Open,High,Low,Close,Volume
20160822,25.12,25.12,25.12,25.12,1015
20160823,25.27,25.3,25.27,25.3,1509
20160824,25.12,25.12,25.12,25.12,101
20160830,24.5,24.5,24.31,24.31,402
20160907,24.98,25.03,24.98,25.03,202
20160909,24.95,24.95,24.95,24.95,101
20160913,24.6,24.6,24.6,24.6,218
20160914,25.11,25.11,25.1,25.1,203
20160919,26.07,26.07,26.06,26.06,3552
20160921,26.02,26.02,26.02,26.02,101
20160927,26.61,26.74,26.61,26.74,549
20160929,26.11,26.11,26.11,26.11,203
20160930,25.62,25.91,25.62,25.91,315
20161003,26.48,26.48,25.6,25.6,416
20161004,25.67,25.67,25.67,25.67,589
20161005,25.93,25.99,25.9,25.99,314
20161006,25.7,25.7,25.7,25.7,101
20161007,24.87,24.87,24.87,24.87,101
20161010,25.2,25.2,25.2,25.2,313
20161011,25.22,25.22,24.63,24.63,304
20161013,23.95,23.95,23.95,23.95,376
20161014,23.79,23.79,23.79,23.79,203
20161017,23.15,23.15,23.15,23.15,203
20161026,23.12,23.12,23.12,23.12,108
20161028,22.25,22.25,22.25,22.25,432
20161031,22.17,22.17,22.17,22.17,224
20161102,22.75,22.75,22.01,22.01,2958
20161103,21.56,21.56,21.31,21.31,319
20161108,22.29,22.29,22.29,22.29,203
20161109,23.65,24.28,23.65,24.28,614
20161110,25.31,25.31,24.86,25.04,912
20161116,25.86,25.86,25.86,25.86,101
20161117,25.6,25.62,25.56,25.6,737
20161118,25.23,25.35,25.23,25.35,786
20161121,25.24,25.24,25.24,25.24,111
20161128,24.87,24.87,24.87,24.87,661
20161129,24.62,24.66,24.62,24.66,320
20161130,24.34,24.34,24.15,24.15,266
20161202,23.74,23.74,23.74,23.74,135
20161207,23.78,23.78,23.78,23.78,455
20161215,23.61,23.61,23.61,23.61,630
20161221,23.72,23.72,23.72,23.72,609
20161222,22.86,22.86,22.86,22.86,101
20161229,23.95,23.95,23.95,23.95,101
20161230,22.77,22.77,22.66,22.66,304
20170103,22.65,22.81,22.65,22.78,1548
20170104,23.72,23.72,23.72,23.72,1015
20170105,23.68,23.68,23.68,23.68,101
20170109,24.39,24.63,24.39,24.63,1429
20170110,24.63,24.63,24.63,24.63,304
20170111,24.78,24.78,23.94,23.98,3033
20170112,23.91,23.91,23.91,23.91,101
20170113,24.89,24.93,24.89,24.93,812
20170118,24.04,24.04,24.04,24.04,440
20170119,24.02,24.02,24.02,24.02,231
20170120,23.81,23.81,23.8,23.8,1028
20170124,23.52,23.56,23.52,23.56,466
