Date,Open,High,Low,Close,Volume
20160426,24.76,24.81,24.64,24.77,13595
20160427,24.46,24.47,24.46,24.46,2846
20160428,24.65,24.65,24.65,24.65,161
20160429,24.35,24.35,23.92,24.09,3667
20160502,23.9,24.07,23.78,24.07,5586
20160503,23.72,24.02,23.64,23.8,8943
20160504,23.78,23.78,23.5,23.57,1427
20160505,23.48,23.53,23.4,23.46,5493
20160506,24.09,24.09,23.35,23.4,1155
20160509,23.43,23.44,23.43,23.44,407
20160510,23.4,23.56,23.4,23.56,1525
20160511,23.47,23.48,23.41,23.48,306
20160512,22.81,23.37,22.81,23.02,5390
20160513,23.05,23.05,23.05,23.05,102
20160517,23.22,23.25,23.18,23.18,610
20160518,22.98,23.06,22.98,23.06,1119
20160524,23.2,23.29,23.2,23.27,735
20160525,23.49,23.49,23.49,23.49,102
20160601,23.68,23.81,23.68,23.77,306
20160602,23.81,23.81,23.77,23.77,655
20160603,23.69,23.69,23.59,23.66,408
20160610,23.07,23.07,23.07,23.07,203
20160613,23.2,23.2,23.14,23.14,3243
20160614,22.86,22.86,22.86,22.86,102
20160615,23.23,23.23,23.23,23.23,200
20160616,22.84,23.09,22.84,23.08,714
20160617,23.03,23.03,23.03,23.03,305
20160620,23.12,23.24,23.12,23.21,306
20160624,22.62,22.8,22.62,22.8,1061
20160627,22.08,22.08,21.95,21.95,2542
20160628,22.33,22.34,22.29,22.3,2034
20160705,23.03,23.03,23.03,23.03,203
20160706,23.01,23.27,22.97,23.27,306
20160707,23.49,23.51,23.49,23.51,452
20160708,23.72,23.8,23.72,23.8,2237
20160711,24.02,24.02,24.02,24.02,200
20160712,24.27,24.27,24.24,24.27,815
20160714,24.22,24.22,24.22,24.22,102
20160718,24.33,24.58,24.33,24.57,1600
20160719,24.45,24.45,24.45,24.45,102
20160721,24.49,24.51,24.49,24.51,407
20160726,24.73,24.73,24.73,24.73,1017
20160728,24.67,24.67,24.67,24.67,203
20160802,24.66,24.66,24.66,24.66,203
20160804,24.79,24.79,24.79,24.79,102
20160809,25.39,25.39,25.39,25.39,305
20160810,25.42,25.42,25.42,25.42,203
20160818,25.59,25.59,25.44,25.46,8137
20160819,25.42,25.42,25.35,25.37,648
20160826,26.06,26.06,25.37,25.37,293
20160906,25.36,25.36,25.36,25.36,203
20160913,24.92,24.92,24.83,24.83,204
20160915,25.08,25.09,25.08,25.08,1220
20161006,25.26,25.26,25.26,25.26,132
20161010,25.17,25.17,25.17,25.17,102
20161011,24.93,24.93,24.93,24.93,119
20161017,24.51,24.51,24.51,24.51,102
20161018,24.51,24.54,24.51,24.54,2136
20161019,24.62,24.64,24.62,24.64,203
20161024,24.72,24.72,24.7,24.71,508
20161025,24.74,24.74,24.74,24.74,102
20161028,24.58,24.58,24.56,24.56,203
20161104,23.85,23.85,23.8,23.8,305
20161108,24.38,24.38,24.38,24.38,102
20161109,23.49,24.68,23.49,24.68,497
20161111,24.68,24.68,24.6,24.6,204
20161114,24.84,24.84,24.84,24.84,915
