Date,Open,High,Low,Close,Volume
20090619,1156.05,1157.03,1144.88,1145.86,101
20090622,1230.76,1298.6,1230.76,1298.6,127
20090623,1290.76,1304.09,1290.76,1294.48,71
20090624,1210.56,1255.66,1188.99,1244.01,186
20090625,1235.27,1246.44,1165.47,1165.47,107
20090626,1130.37,1130.56,1122.13,1123.11,128
20090701,1103.51,1103.51,1076.25,1101.35,35
20090702,1160.96,1173.7,1156.05,1172.52,556
20090706,1232.91,1258.8,1198.01,1198.01,174
20090707,1248.01,1293.11,1248.01,1293.11,12
20090708,1335.66,1375.46,1310.56,1323.7,76
20090709,1274.29,1320.17,1258.21,1290.17,451
20090710,1344.48,1347.81,1311.74,1311.74,313
20090713,1313.64,1348.4,1264.43,1264.43,540
20090714,1243.11,1243.11,1243.11,1243.11,26
20090715,1193.5,1193.5,1109.19,1110.37,241
20090716,1128.41,1128.41,1070.17,1083.31,861
20090717,1066.84,1087.23,1066.84,1072.33,143
20090720,1025.47,1025.47,1012.72,1012.72,2611
20090721,980.57,1032.13,980.37,1001.55,254
20090722,1027.23,1027.23,1010.21,1010.21,36
20090723,991.94,991.94,938.22,951.16,254
20090724,964.29,974.29,959.78,959.78,208
20090728,962.33,962.33,936.84,949.39,188
20090729,980.37,1000.37,980.37,1000.37,25
20090730,943.9,943.9,931.94,935.67,76
20090803,874.3,874.3,842.14,848.02,85
20090804,857.43,858.81,824,836.65,101
20090805,861.35,861.75,823.71,823.71,65
20090806,832.57,857.24,832.57,851.59,117
20090807,817.94,834.88,817.94,823.43,92
20090810,831.94,853.51,831.94,835.67,234
20090811,876.65,885.67,863.9,863.9,293
20090812,878.22,878.22,839.79,839.79,244
20090813,832.34,832.34,828.02,828.02,15
20090814,824.69,868.61,824.69,862.92,88
20090817,930.57,940.57,912.14,922.33,444
20090818,906.06,908.02,878.8,879,528
20090819,916.25,916.25,856.84,865.28,334
20090820,861.75,861.75,841.65,845.37,212
20090821,825.67,825.67,805.28,808.81,358
20090824,788.22,814.49,781.94,814.49,166
20090825,821.34,839,821.34,838.2,40
20090826,844.94,852.73,837.1,837.1,178
20090827,854.3,884.69,834.1,834.1,181
20090828,832.73,863.9,832.14,862.73,402
20090831,888.02,904.29,882.14,899,127
20090901,908.02,942.72,908.02,938.41,830
20090902,945.08,949.78,910.37,923.9,349
20090903,896.26,906.06,891.75,891.75,107
20090904,880.96,884.49,840.77,845.67,196
20090908,801.36,809.59,795.42,797.44,532
20090909,786.65,797.83,783.71,795.28,184
20090910,798.02,798.02,762.53,762.53,107
20090911,756.85,772.92,756.85,772.14,380
20090914,786.26,786.26,753.91,753.91,177
20090915,748.02,748.02,734.69,735.67,97
20090916,719,719,698.42,700.57,531
20090917,706.65,706.65,689,705.91,91
20090918,697.63,708.81,697.63,708.42,137
20090921,717.04,722.14,701.16,702.53,224
20090922,685.87,687.63,657.83,674.1,300
20090923,672.53,693.32,666.65,693.32,107
20090924,704.88,718.02,704.88,713.51,127
20090925,713.63,713.91,699.93,701.48,118
20090928,695.67,695.67,671.32,675.87,77
20090929,666.65,666.65,666.65,666.65,15
20090930,676.65,676.65,642.46,649.59,163
20091001,659.59,683.71,659.59,683.71,67
20091002,699.99,699.99,650.97,658.03,2474
20091005,650.97,651.75,619.2,619.99,573
20091006,603.67,614.89,588.19,608.77,316
20091007,617.63,621.36,608.22,608.22,162
20091008,598.03,600.77,576.26,576.26,789
20091009,576.46,576.46,568.42,568.42,117
20091012,549.6,563.52,547.64,556.46,499
20091013,566.85,570.58,556.26,558.62,373
20091014,536.07,538.81,513.32,513.32,503
20091015,519.01,519.01,509.79,510.38,143
20091016,524.81,527.24,513.05,517.56,319
20091019,516.07,519.2,496.65,505.28,1105
20091020,535.31,572.54,533.94,543.55,3829
20091021,539.79,539.79,504.3,530.38,3197
20091022,525.91,538.42,514.54,517.87,782
20091023,501.36,532.15,501.36,528.03,3467
20091026,518.03,553.13,508.03,539.21,2129
20091027,546.26,572.14,541.56,571.75,2110
20091028,577.67,644.3,574.64,643.75,1696
20091029,605.67,605.67,535.28,544.5,3157
20091030,534.91,607.44,533.54,595.5,7653
20091102,581.75,607.63,556.48,581.56,1728
20091103,608.1,609.59,547.12,555.94,2626
20091104,532.73,538.62,516.66,534.89,3379
20091105,526.46,529.6,502.34,502.34,8868
20091106,518.22,518.22,502.16,504.7,955
20091109,485.28,486.26,461.6,469.99,6036
20091110,477.24,490.97,465.69,472.93,4409
20091111,463.32,487.83,463.13,479.99,706
20091112,486.46,517.83,478.58,512.93,2367
20091113,515.87,515.87,486.66,493.13,1584
20091116,481.95,483.72,466.25,469.4,7106
20091117,472.34,483.72,456.26,457.05,1867
20091118,451.36,481.95,451.36,471.75,2323
20091119,479.21,499.4,478.23,479.4,2217
20091120,489.79,500.19,484.62,489.01,1248
20091123,466.66,476.66,462.34,475.68,2448
20091124,478.81,490.38,469.79,469.79,3309
20091125,465.52,470.58,450.61,454.93,1883
20091127,497.44,497.83,468.32,480.19,2592
20091130,471.75,479.6,467.05,467.83,5119
20091201,450.97,452.93,433.72,439.4,4495
20091202,438.42,438.42,427.44,430.19,1109
20091203,424.27,442.34,419.37,440.54,651
20091204,423.13,457.64,418.7,449.79,5079
20091207,452.74,457.44,436.27,452.74,2195
20091208,461.56,481.17,460.58,472.62,1838
20091209,478.23,484.89,465.87,465.87,1933
20091210,461.01,471.17,457.09,461.6,3052
20091211,454.89,460.38,452.93,456.07,3389
20091214,445.48,451.56,444.5,448.03,384
20091215,454.3,456.26,446.45,455.09,582
20091216,446.28,462.74,444.32,457.85,2040
20091217,478.42,500.77,475.09,499.99,4031
20091218,504.94,509.6,491.81,497.3,1210
20091221,489.21,507.24,483.72,503.32,2391
20091222,491.56,502.93,489.99,493.13,1007
20091223,485.28,494.89,472.34,479.01,3662
20091224,471.17,473.32,465.09,466.46,514
20091228,454.89,463.72,454.89,463.32,427
20091229,453.52,461.36,453.52,460.38,2113
20091230,458.23,460.77,453.52,457.25,777
20091231,449.54,461.75,449.15,454.05,398
20100104,436.85,437.64,422.15,423.72,1655
20100105,424.3,429.79,417.83,423.52,1003
20100106,424.7,424.7,412.2,417.83,2430
20100107,422.15,430.38,422.15,427.25,1265
20100108,423.72,425.09,417.05,417.84,1171
20100111,415.68,430.58,414.3,423.13,2303
