Date,Open,High,Low,Close,Volume
20110407,23.02,23.06,22.88,22.89,7360
20110408,22.9,22.9,22.86,22.87,2986
20110411,22.87,22.87,22.85,22.85,11487
20110412,22.87,22.91,22.83,22.87,31707
20110413,22.87,22.87,22.87,22.87,660
20110414,22.94,23,22.87,22.87,2368
20110415,22.98,22.98,22.89,22.91,12059
20110418,23.1,23.1,22.91,22.94,4117
20110419,23.05,23.05,23.02,23.02,1518
20110420,23.01,23.01,23.01,23.01,1551
20110421,23.06,23.06,23.06,23.06,198
20110426,23.06,23.06,23.02,23.02,326
20110427,22.99,22.99,22.99,22.99,7924
20110428,23.07,23.07,23.07,23.07,198
20110429,23.1,23.25,23.1,23.25,27240
20110502,23.03,23.19,23.03,23.19,1142
20110503,23.11,23.12,23.11,23.12,527
20110504,23.18,23.18,23.18,23.18,659
20110505,23.16,23.21,23.16,23.21,39676
20110506,23.37,23.37,23.37,23.37,435
20110510,23.35,23.35,23.31,23.31,743
20110513,23.45,23.45,23.45,23.45,395
20110516,23.44,23.5,23.44,23.5,1318
20110525,23.44,23.44,23.44,23.44,395
20110531,23.63,23.63,23.41,23.41,2768
20110601,23.52,23.52,23.52,23.52,789
20110603,23.66,23.66,23.55,23.55,976
20110607,23.35,23.35,23.35,23.35,434
20110608,23.39,23.39,23.39,23.39,427
20110615,23.44,23.44,23.44,23.44,438
20110617,23.41,23.41,23.41,23.41,131
20110620,23.43,23.43,23.41,23.41,13274
20110622,23.51,23.51,23.51,23.51,431
20110624,23.38,23.39,23.38,23.39,393
20110627,23.54,23.54,23.49,23.49,2365
20110628,23.41,23.41,23.34,23.34,4165
20110629,23.36,23.4,23.36,23.4,385
20110630,23.38,23.38,23.38,23.38,263
20110701,23.2,23.36,23.2,23.36,328
20110711,23.74,23.74,23.5,23.5,1572
20110712,23.6,23.6,23.6,23.6,197
20110719,23.6,23.6,23.58,23.58,524
20110721,23.36,23.36,23.36,23.36,544
20110722,23.28,23.29,23.28,23.29,786
20110726,23.31,23.31,23.29,23.29,6577
20110729,23.47,23.47,23.47,23.47,393
20110803,23.88,23.88,23.88,23.88,131
20110804,24.28,24.28,23.91,24.11,718
20110805,24.11,24.11,24.04,24.04,1065
20110809,23.79,24.14,23.79,24.14,654
20110812,24.07,24.07,24.07,24.07,131
20110815,23.77,23.77,23.77,23.77,653
20110816,23.75,23.78,23.75,23.78,784
20110817,23.87,23.87,23.87,23.87,261
20110818,23.92,24.22,23.92,24.14,5761
20110819,24.13,24.18,24.02,24.17,2784
20110823,23.75,23.75,23.75,23.75,414
20110829,23.86,23.86,23.86,23.86,131
20110830,23.73,23.73,23.73,23.73,634
20110831,24.02,24.02,24,24,784
20110901,23.99,23.99,23.99,23.99,260
20110902,24.1,24.1,24.1,24.1,712
20110906,24.03,24.34,24.03,24.34,893
20110912,24.1,24.1,24.1,24.1,521
20110913,24.29,24.29,24.29,24.29,1068
20110914,24.3,24.3,24.3,24.3,1172
20110915,24.07,24.07,24.02,24.02,384
20110920,24.16,24.21,24.15,24.16,9120
20110921,24.16,24.19,24.11,24.19,3490
20110922,24.25,24.29,24.25,24.29,6636
20110923,24.22,24.27,24.09,24.09,1302
20110926,24.25,24.25,24.01,24.19,1481
20110927,23.99,24.06,23.96,24.06,865
20110928,23.99,23.99,23.99,23.99,391
20110929,24.11,24.11,24.11,24.11,391
20110930,24.23,24.23,24.16,24.16,2964
20111003,24.25,24.25,24.16,24.16,1039
20111004,24.11,24.11,24.11,24.11,1558
20111005,24.11,24.11,23.86,23.86,1818
20111006,24.07,24.08,24.05,24.08,22201
20111007,24.01,24.01,24.01,24.01,622
20111010,24.1,24.11,23.91,23.91,3077
20111011,24.04,24.14,24.03,24.14,1719
20111012,24.14,24.14,24.14,24.14,649
20111013,24,24.08,24,24.08,2988
20111014,24.14,24.14,24.11,24.11,3232
20111017,24.27,24.27,24.26,24.27,8322
20111018,24.33,24.4,24.33,24.4,6378
20111019,24.44,24.45,24.44,24.45,1721
20111020,24.2,24.53,24.2,24.36,3258
20111021,24.43,24.43,24.43,24.43,416
20111024,24.53,24.53,24.42,24.42,5440
20111025,24.53,24.62,24.1,24.41,11163
20111026,24.26,24.68,24.07,24.68,9351
20111027,24.09,24.99,24.09,24.5,19483
20111028,24.53,25.43,24.53,24.62,12257
20111031,24.07,24.98,24.07,24.47,15090
20111101,25.05,25.05,24.95,24.95,3923
20111102,24.88,24.95,24.88,24.88,3895
20111103,24.95,24.95,24.6,24.94,6355
20111104,25,25.05,24.6,24.88,12031
20111107,24.35,24.88,24.35,24.64,6081
20111108,24.65,24.88,24.47,24.58,6257
20111109,24.99,25.03,24.56,24.75,13295
20111110,24.62,25.5,24.31,24.56,5173
20111111,24.62,24.63,24.58,24.6,3930
20111114,24.65,24.7,24.58,24.69,7086
20111115,24.48,24.52,24.24,24.47,6670
20111116,24.14,24.52,24.14,24.45,7954
20111117,24.51,24.81,24.51,24.76,1087
20111118,24.8,24.8,24.33,24.52,10054
20111121,24.29,24.85,24.22,24.6,5347
20111122,24.44,24.44,24.26,24.33,3619
20111123,24.58,24.58,24.22,24.22,15397
20111125,24.56,24.69,24.25,24.6,4270
20111128,24.64,24.64,24.21,24.21,2383
20111129,24.41,24.5,24.07,24.1,8216
20111130,24.41,24.41,23.95,24.14,18626
20111201,24.48,24.49,24.01,24.45,11249
20111202,24.02,24.66,24.02,24.55,13283
20111205,24.58,24.58,24.17,24.22,10587
20111206,24.24,24.24,24.19,24.19,1111
20111207,24.39,24.39,24.14,24.19,10323
20111208,24.34,24.42,24.11,24.28,14920
20111209,24.39,24.7,24.05,24.31,20419
20111212,24.24,24.24,24.1,24.18,7439
20111213,24.17,24.42,24.04,24.28,11744
20111214,24.24,24.71,24.1,24.55,6198
20111215,24.39,24.96,24.38,24.6,7570
20111216,24.66,24.66,24.4,24.4,1161
20111219,24.44,24.7,24.43,24.63,4816
20111220,24.93,24.93,24.51,24.55,13614
20111221,24.78,24.78,24.33,24.49,2839
20111222,24.48,24.48,24.28,24.4,3697
20111223,24.39,24.4,24.32,24.37,5938
20111227,24.38,24.55,24.34,24.46,8632
20111228,24.89,24.89,24.31,24.47,7626
20111229,24.43,24.54,24.33,24.5,5284
20111230,24.57,24.57,24.19,24.24,6800
20120103,24.55,24.55,24.3,24.33,387
20120104,24.37,24.37,24.18,24.21,6998
20120105,24.39,24.46,24.14,24.16,2660
20120106,24.19,24.33,24.18,24.23,5800
20120109,24.37,24.54,24.35,24.5,5045
20120110,24.56,24.61,24.47,24.54,4431
20120111,24.37,24.64,24.33,24.33,3529
20120112,24.57,24.58,24.55,24.55,2982
20120113,24.66,24.67,24.54,24.66,2770
20120117,24.7,24.71,24.7,24.71,424
20120118,24.71,24.72,24.7,24.71,7599
20120119,24.74,24.76,24.55,24.68,6411
20120120,24.75,24.75,24.59,24.61,2447
20120123,24.66,24.66,24.64,24.64,811
20120124,24.65,24.65,24.49,24.49,6054
20120125,24.66,24.7,24.65,24.68,3762
20120126,24.78,24.78,24.78,24.78,7725
20120127,24.57,24.86,24.57,24.86,1807
20120130,24.86,24.94,24.85,24.88,5175
20120131,25.06,25.06,24.96,25.01,3141
20120201,25.08,25.08,25,25.04,3099
20120202,25.06,25.06,24.9,24.93,4761
20120203,24.93,24.93,24.81,24.9,7829
20120206,24.78,24.93,24.61,24.86,3228
20120207,24.92,24.92,24.81,24.81,5006
20120208,24.73,24.86,24.73,24.83,2439
20120210,24.83,24.84,24.83,24.84,834
20120213,24.67,24.9,24.66,24.88,2064
20120214,24.74,24.93,24.74,24.88,3722
20120216,24.87,24.87,24.77,24.86,1797
20120217,24.67,24.86,24.67,24.86,462
20120221,24.85,24.87,24.77,24.84,2199
20120222,24.84,24.84,24.83,24.83,693
20120223,24.95,24.95,24.74,24.8,10883
20120224,24.77,24.85,24.77,24.82,9463
20120227,24.93,24.93,24.82,24.82,1059
20120228,25.05,25.05,25.03,25.03,707
20120229,24.84,24.89,24.84,24.89,770
20120301,24.95,24.96,24.94,24.95,1536
20120302,25.02,25.03,24.99,25.02,2432
20120305,25.03,25.12,24.98,25.02,8864
20120306,24.89,25.06,24.82,24.86,7076
20120307,25.2,25.2,24.97,24.99,1037
20120308,24.98,25,24.98,24.98,640
20120309,25.05,25.05,24.79,24.91,4480
