Date,Open,High,Low,Close,Volume
20171030,20.66,20.66,20.51,20.51,18662
20171031,20.59,20.59,20.59,20.59,1573
20171101,20.57,20.63,20.55,20.55,9777
20171102,20.6,20.6,20.6,20.6,732
20171103,20.52,20.52,20.43,20.5,4758
20171106,20.53,20.61,20.53,20.61,3294
20171107,20.54,20.54,20.46,20.46,3782
20171108,20.55,20.56,20.51,20.56,2378
20171109,20.46,20.46,20.33,20.41,4808
20171110,20.36,20.36,20.3,20.35,16892
20171113,20.24,20.3,20.24,20.29,27621
20171114,20.29,20.29,20.25,20.25,1976
20171115,20.08,20.1,20.06,20.09,1500
20171116,20.23,20.3,20.22,20.28,9052
20171117,20.37,20.37,20.36,20.36,489
20171120,20.18,20.19,20.18,20.18,5767
20171121,20.46,20.46,20.35,20.42,3083
20171122,20.48,20.49,20.44,20.47,2562
20171124,20.46,20.48,20.46,20.48,1464
20171127,20.48,20.48,20.44,20.44,976
20171128,20.4,20.46,20.37,20.37,4305
20171129,20.34,20.34,20.26,20.28,6221
20171130,20.32,20.32,20.27,20.27,6356
20171201,20.25,20.25,20.19,20.19,488
20171204,20.33,20.37,20.33,20.36,2440
20171205,20.35,20.35,20.35,20.35,342
20171206,20.22,20.22,20.2,20.2,366
20171207,20.18,20.22,20.17,20.17,13291
20171208,20.17,20.17,20.16,20.16,4720
20171211,20.32,20.32,20.32,20.32,488
20171212,20.29,20.32,20.29,20.32,514
20171213,20.56,20.56,20.56,20.56,278
20171214,20.66,20.66,20.66,20.66,244
20171215,20.71,20.71,20.71,20.71,204
20171218,21.16,21.16,20.99,21,1893
20171219,20.99,20.99,20.9,20.9,898
20171220,20.99,20.99,20.9,20.9,4162
20171221,20.98,21.02,20.98,21.02,1832
20171222,21.03,21.04,21.03,21.04,364
20171226,21.11,21.12,21.09,21.11,2508
20171227,21.2,21.21,21.19,21.21,970
20171228,21.4,21.41,21.4,21.4,2366
20171229,21.6,21.61,21.52,21.52,62112
20180102,21.72,21.73,21.72,21.72,2295
20180103,21.83,21.87,21.83,21.85,10157
20180104,21.88,21.95,21.88,21.94,3519
20180105,22.05,22.05,21.98,22.05,3384
20180108,22.13,22.16,22.13,22.16,606
20180109,22.11,22.14,22.11,22.14,7316
20180110,22.07,22.15,22,22.06,4833
20180111,22.14,22.18,22.14,22.18,407
20180112,22.36,22.39,22.36,22.39,504
20180116,22.46,22.46,22.33,22.33,4479
20180117,22.64,22.64,22.56,22.56,971
20180118,22.67,22.68,22.67,22.68,1344
20180119,22.74,22.8,22.68,22.8,8981
20180122,22.81,22.88,22.81,22.85,2630
20180123,22.77,22.95,22.75,22.94,5792
20180124,23.12,23.12,22.99,23.12,6665
20180125,23.22,23.22,23.08,23.08,764
20180126,23.28,23.36,23.27,23.36,44301
20180129,23.24,23.24,23.08,23.1,32456
20180130,22.85,22.88,22.84,22.87,4156
20180131,23,23,22.89,22.89,3731
20180201,22.94,23,22.91,22.91,3373
20180202,22.9,22.9,22.59,22.63,11199
20180205,22.56,22.56,22.01,22.08,2245
20180206,22.12,22.41,22.05,22.41,110887
20180207,22.28,22.28,21.95,21.95,15365
20180208,21.68,21.77,21.56,21.57,31543
20180209,21.58,21.66,21.23,21.65,11911
20180212,21.77,21.91,21.77,21.86,5664
20180213,21.91,22,21.91,22,9895
20180214,22.14,22.32,22.14,22.32,2185
20180215,22.5,22.62,22.42,22.62,10400
20180216,22.53,22.58,22.51,22.55,5409
20180220,22.36,22.38,22.32,22.35,3915
20180221,22.5,22.51,22.46,22.47,3005
20180222,22.42,22.52,22.42,22.43,4458
20180223,22.79,22.8,22.61,22.75,191860
20180226,22.85,22.96,22.76,22.95,8677
20180227,22.73,22.74,22.44,22.44,2304
20180228,22.36,22.36,22.21,22.22,1420
20180301,22.28,22.28,22.06,22.1,7184
20180302,22,22.24,21.97,22.22,5674
20180305,22.03,22.27,22.03,22.26,2473
20180306,22.42,22.43,22.34,22.34,2356
20180307,22.22,22.25,22.2,22.2,3512
20180308,22.29,22.34,22.25,22.34,2883
20180309,22.53,22.58,22.5,22.58,1276
