Date,Open,High,Low,Close,Volume
20140702,32.18,32.18,31.88,31.88,481
20140703,31.85,31.85,31.85,31.85,329
20140707,31.96,31.96,31.96,31.96,220
20140709,31.96,31.96,31.96,31.96,75804
20140714,31.72,31.72,31.7,31.7,439
20140716,31.64,31.65,31.64,31.65,103959
20140717,31.58,31.58,31.55,31.58,979
20140722,31.75,31.75,31.73,31.73,220
20140724,31.79,31.8,31.74,31.77,28197
20140729,31.58,31.58,31.58,31.58,220
20140730,31.41,31.41,31.41,31.41,238
20140731,31.25,31.25,31.08,31.08,1756
20140801,30.78,30.78,30.78,30.78,10756
20140804,31.35,31.35,31.35,31.35,110
20140805,30.87,30.87,30.77,30.8,6211
20140807,30.69,30.69,30.59,30.59,768
20140812,31.52,31.52,31.52,31.52,483
20140815,31.29,31.29,31.27,31.27,878
20140818,31.68,31.68,31.68,31.68,483
20140820,31.84,31.89,31.84,31.84,3410
20140826,32.17,32.18,32.12,32.12,14708
20140827,32.12,32.12,32.11,32.11,1218
20140902,32.3,32.3,32.16,32.18,2481
20140910,32.11,32.11,32.11,32.11,550
20141001,31.11,31.11,31.11,31.11,328
20141002,30.81,30.81,30.81,30.81,219
20141003,31.42,31.42,31.42,31.42,1620
20141006,31.29,31.37,31.26,31.37,656
20141008,31.23,31.23,31.23,31.23,328
20141009,30.78,30.78,30.78,30.78,328
20141010,30.39,30.4,30.38,30.4,1861
20141013,29.93,29.93,29.88,29.88,1861
20141015,29.55,29.77,29.11,29.77,9639
20141016,29.51,29.95,29.51,29.91,7334
20141017,30.15,30.29,30.15,30.29,3445
20141020,30.5,30.5,30.5,30.5,328
20141022,31.07,31.07,31.06,31.06,1314
20141023,31.68,31.68,31.3,31.31,1788
20141024,31.27,31.5,31.26,31.5,5409
20141027,31.43,31.43,31.43,31.43,164
20141029,32.36,32.36,32.36,32.36,438
20141104,32.28,32.28,32.26,32.26,1423
20141105,32.42,32.44,32.41,32.41,546
20141110,32.81,32.81,32.81,32.81,547
20141113,32.78,32.8,32.78,32.8,3504
20141117,32.75,32.75,32.75,32.75,5257
20141120,33.01,33.01,33.01,33.01,410
20141121,33.25,33.25,33.25,33.25,109
20141124,33.3,33.3,33.3,33.3,438
20141125,33.29,33.29,33.29,33.29,219
20141126,33.87,33.87,33.87,33.87,876
20141201,32.97,32.97,32.97,32.97,219
20141202,33.16,33.16,33.16,33.16,438
20141203,33.4,33.41,33.4,33.41,876
20141204,33.31,33.31,33.31,33.31,1094
20141208,33.47,33.47,33.41,33.43,1468
20141210,32.99,32.99,32.99,32.99,109
20141211,32.87,32.87,32.8,32.8,436
20141212,32.47,32.47,32.31,32.32,1062
20141215,32.08,32.08,32.08,32.08,547
20141218,32.86,32.86,32.86,32.86,9071
20141219,33.32,33.46,33.32,33.46,382
20141222,33.6,33.6,33.6,33.6,218
20141226,33.79,33.79,33.79,33.79,218
20141229,33.95,33.95,33.95,33.95,109
20141230,33.84,33.84,33.79,33.79,1175
20141231,33.39,33.39,33.39,33.39,218
20150102,33.27,33.31,33.21,33.21,1090
20150105,32.74,32.74,32.74,32.74,109
20150106,32.45,32.45,32.45,32.45,218
20150107,32.83,32.83,32.83,32.83,218
20150108,33.29,33.43,33.29,33.43,545
20150109,33.14,33.14,33.14,33.14,327
20150112,32.82,32.82,32.82,32.82,218
20150113,32.6,32.85,32.6,32.85,763
20150114,32.53,32.54,32.53,32.54,872
20150115,32.61,32.61,32.3,32.31,90785
20150116,32.73,32.73,32.73,32.73,164
20150120,32.55,32.55,32.55,32.55,702
20150122,33.13,33.43,33.12,33.43,50021
20150123,33.43,33.43,33.43,33.43,325
20150127,33.14,33.24,33.08,33.22,1727
20150129,32.74,32.74,32.69,32.69,218
20150130,32.8,32.8,32.8,32.8,117
20150203,33.11,33.11,33.11,33.11,109
20150204,33.32,33.32,33.32,33.32,109
20150205,33.66,33.66,33.63,33.63,1352
20150206,33.56,33.56,33.56,33.56,109
20150209,33.39,33.39,33.39,33.39,327
20150210,33.55,33.55,33.54,33.54,1472
20150211,33.75,33.75,33.75,33.75,109
20150212,33.95,34.05,33.95,34.05,545
20150213,34.18,34.18,34.18,34.18,245
20150217,34.25,34.31,34.2,34.21,15501
20150218,34.32,34.32,34.32,34.32,191
20150219,33.99,34.31,33.99,34.29,873
20150220,34.51,34.51,34.51,34.51,229
20150223,34.5,34.5,34.5,34.5,327
20150224,34.62,34.62,34.62,34.62,109
20150225,34.6,34.6,34.55,34.55,1976
20150226,34.84,34.84,34.51,34.51,218
20150227,34.5,34.5,34.5,34.5,654
20150303,34.43,34.43,34.43,34.43,164
20150304,34.25,34.25,34.25,34.25,136
20150305,34.32,34.32,34.32,34.32,590
20150306,33.93,33.93,33.92,33.92,514
20150309,33.98,33.98,33.98,33.98,218
20150310,33.48,33.48,33.48,33.48,136
20150312,33.83,33.83,33.8,33.82,7469
20150313,33.72,33.72,33.72,33.72,218
20150316,34.05,34.05,34.05,34.05,112
20150317,34.02,34.02,34.02,34.02,114
20150318,34.51,34.51,34.51,34.51,2517
20150323,34.67,34.67,34.63,34.63,742
20150324,34.29,34.29,34.29,34.29,217
20150325,33.98,33.98,33.84,33.84,296
20150326,33.69,33.85,33.69,33.85,924
20150327,33.92,33.92,33.92,33.92,109
20150330,34.4,34.4,34.4,34.4,504
20150331,34.29,34.31,34.29,34.31,706
20150401,34.01,34.01,34.01,34.01,288
20150402,34.27,34.27,34.15,34.15,436
20150406,34.44,34.46,34.44,34.45,869
20150409,34.36,34.36,34.36,34.36,435
20150410,34.5,34.56,34.5,34.56,434
20150414,34.39,34.39,34.39,34.39,163
20150415,34.63,34.63,34.63,34.63,473
20150416,34.48,34.48,34.48,34.48,109
20150417,34.11,34.14,34.06,34.1,1239
20150420,34.38,34.43,34.38,34.43,327
20150421,34.37,34.38,34.35,34.35,2283
20150422,34.49,34.49,34.49,34.49,544
20150423,34.5,34.5,34.5,34.5,326
20150424,34.51,34.51,34.51,34.51,217
20150427,34.55,34.55,34.55,34.55,152
20150428,34.39,34.39,34.39,34.39,190
20150429,34.25,34.25,34.25,34.25,391
20150430,33.92,33.92,33.92,33.92,163
20150504,34.38,34.38,34.38,34.38,326
20150505,34.17,34.17,34.11,34.11,345
20150506,33.91,33.91,33.91,33.91,136
20150507,34,34,34,34,217
20150508,34.32,34.32,34.32,34.32,163
20150511,34.26,34.26,34.26,34.26,109
