Date,Open,High,Low,Close,Volume
20181211,15.05,15.05,15.05,15.05,130
20181212,13.784,13.784,13.784,13.784,33
20181213,13.784,13.784,13.784,13.784,33
20181214,13.784,13.784,13.784,13.784,33
20181217,13.686,13.686,13.686,13.686,1129
20181218,13.686,13.686,13.686,13.686,33
20181219,13.415,13.415,13.415,13.415,33
20181220,13.415,13.415,13.415,13.415,33
20181221,13.415,13.415,13.415,13.415,33
20181224,13.415,13.415,13.415,13.415,33
20181226,13.415,13.415,13.415,13.415,33
20181227,13.514,13.514,13.514,13.514,33
20181228,13.514,13.514,13.514,13.514,33
20181231,13.514,13.514,13.514,13.514,33
20190102,13.514,13.514,13.514,13.514,33
20190103,13.514,13.514,13.514,13.514,33
20190104,13.514,13.514,13.514,13.514,33
20190107,13.514,13.514,13.514,13.514,33
20190108,13.514,13.514,13.514,13.514,33
20190109,13.514,13.514,13.514,13.514,33
20190110,13.514,13.514,13.514,13.514,33
20190111,13.514,13.514,13.514,13.514,33
20190114,13.514,13.514,13.514,13.514,33
20190115,13.514,13.514,13.514,13.514,33
20190116,13.514,13.514,13.514,13.514,36
20190117,13.514,13.514,13.514,13.514,36
20190118,13.514,13.514,13.514,13.514,36
20190122,14.15,14.15,14.15,14.15,33
20190123,14.15,14.15,14.15,14.15,33
20190124,14.15,14.15,14.15,14.15,33
20190125,14.466,14.466,14.466,14.466,33
20190128,14.15,14.15,14.15,14.15,33
20190129,14.378,14.378,14.378,14.378,33
20190130,14.488,14.488,14.488,14.488,33
20190131,14.747,14.747,14.747,14.747,33
20190201,14.779,14.779,14.779,14.779,33
20190204,14.846,14.846,14.846,14.846,33
20190205,15.024,15.024,15.024,15.024,33
20190206,14.831,14.831,14.831,14.831,296
20190207,14.873,14.873,14.873,14.873,229
20190208,14.731,14.731,14.731,14.731,554
20190211,14.944,14.944,14.944,14.944,33
20190212,15.037,15.037,15.037,15.037,33
20190213,15.192,15.192,15.192,15.192,33
20190214,15.343,15.343,15.343,15.343,142
20190215,15.399,15.399,15.399,15.399,33
20190219,15.398,15.543,15.398,15.543,1455
20190220,15.617,15.617,15.617,15.617,209
20190221,15.544,15.544,15.544,15.544,799
20190222,15.825,15.825,15.825,15.825,809
20190225,15.882,15.891,15.845,15.891,1664
20190226,15.462,15.462,15.462,15.462,351
20190227,15.426,15.437,15.426,15.437,5508
20190228,15.38,15.38,15.368,15.368,5508
20190301,15.709,15.709,15.709,15.709,33
20190304,15.973,15.973,15.626,15.626,453
20190305,15.85,15.85,15.85,15.85,33
20190306,15.868,15.868,15.868,15.868,33
20190307,15.503,15.503,15.503,15.503,33
20190308,15.302,15.302,15.302,15.302,33
20190311,15.685,15.685,15.685,15.685,33
20190312,15.685,15.685,15.685,15.685,33
20190313,15.474,15.52,15.474,15.475,759
20190314,15.519,15.52,15.519,15.52,650
20190315,15.82,15.82,15.82,15.82,912
20190318,16.464,16.464,16.464,16.464,33
20190319,16.476,16.476,16.408,16.466,603
20190320,16.512,16.512,16.512,16.512,33
