Date,Open,High,Low,Close,Volume
20150819,40.05,40.05,39.99,39.99,200
20150820,40.4,40.4,40.4,40.4,100
20150821,43,44.76,43,44.76,243
20150824,49,50.5,49,50.5,310
20150825,48,51.96,48,51.96,500
20150826,51.42,51.46,51.42,51.46,700
20150827,50.77,50.77,48.8,48.8,502
20150828,47.85,49.36,47.85,49.36,1700
20150831,49,49,47.93,47.93,900
20150901,48.6,51,48.6,51,4210
20150903,44.87,45.07,44.87,45.07,640
20150909,43.72,45,43.72,45,1066
20150910,46.51,47.97,46.25,46.37,4000
20150917,40.53,40.53,40.53,40.53,105
20150929,54.78,56.4,54.78,56.4,1003
20150930,56.32,56.32,54.52,54.52,212
20151001,52.94,52.94,52.94,52.94,200
20151006,45.98,45.9801,45.98,45.9801,242
20151007,45.82,45.82,45.82,45.82,100
20151014,48.55,48.55,48.55,48.55,110
20151015,49.15,49.15,49.15,49.15,101
20151016,46.42,46.42,46.42,46.42,100
20151020,43.58,43.6299,43.58,43.6299,600
20151021,42.93,42.93,42.91,42.91,330
20151022,44.33,45.32,44.33,45.32,2725
20151023,44.6,44.75,44.6,44.6,1400
20151026,43.31,43.31,43.31,43.31,700
20151027,47.86,47.86,47.04,47.66,417
20151029,48.21,48.21,48.21,48.21,200
20151103,44.65,44.65,44.65,44.65,100
20151106,48.23,48.23,47.36,47.36,300
20151111,47,47,44.93,44.93,508
20151112,45.39,45.39,45.39,45.39,302
20151113,46.22,47.2,46.22,47.2,611
20151117,44.83,44.83,44.83,44.83,163
20151118,44.68,44.68,44.68,44.68,135
20151125,39,39,39,39,240
20151127,38.01,38.05,38.01,38.05,600
20151201,37.6428,37.7,37.6428,37.7,500
20151202,38.7,39.08,38.7,39.08,200
20151203,39.18,39.51,39.18,39.51,1600
20151204,40.2699,40.27,40.2699,40.27,496
20151214,47.0799,47.0799,46.552,46.552,1100
20151215,45.198,45.198,45.198,45.198,100
20151217,41.88,44.51,41.88,44.51,5187
20151218,44.92,45,44.92,45,2900
20151221,46.35,46.35,46.35,46.35,387
20151222,45.53,45.96,45.53,45.96,1000
20151228,44.19,44.19,44.16,44.165,500
20151231,43.61,43.77,43.6,43.6,2400
