Date,Open,High,Low,Close,Volume
20211021,25.028,25.028,25.028,25.028,200001
20211022,25.0123,25.0123,25.0123,25.0123,17
20211025,25.4007,25.4007,25.4007,25.4007,60
20211026,25.51,25.51,25.51,25.51,103
20211027,25.66,25.66,25.5927,25.5927,449
20211028,25.85,25.9327,25.85,25.9327,10426
20211029,25.89,25.89,25.89,25.89,178
20211101,26.05,26.1695,26.05,26.1695,453
20211102,26.1795,26.1795,26.1583,26.1583,4563
20211103,26.2872,26.2872,26.2872,26.2872,3
20211104,26.4343,26.4343,26.4343,26.4343,61
20211105,26.53,26.53,26.449,26.449,325
20211108,26.62,26.62,26.5525,26.5525,483
20211109,26.32,26.32,26.32,26.32,102
20211110,26.06,26.06,26.06,26.06,316
20211111,26.2828,26.2828,26.26,26.26,308
20211112,26.354,26.4,26.354,26.4,442
20211115,26.47,26.47,26.2229,26.2229,322
20211116,26.34,26.34,26.3361,26.3361,168
20211117,26.31,26.31,26.31,26.31,357
20211118,26.53,26.53,26.414,26.414,1016
20211119,26.41,26.41,26.41,26.41,324
20211122,26.3062,26.3062,26.3062,26.3062,23
20211123,26.24,26.24,25.98,26.15,1134
20211124,25.98,26.07,25.98,26.07,283
20211126,25.29,25.3606,25.29,25.3606,113
20211129,25.7,25.7345,25.58,25.7338,905
20211130,25.77,25.77,25.49,25.49,594
20211201,25.27,25.27,25.27,25.27,228
20211202,25.53,25.54,25.4988,25.4988,751
20211203,25.0716,25.0716,25.0716,25.0716,119
20211206,25.27,25.4,25,25.4,527
20211207,26.031,26.05,26.031,26.05,554
20211208,25.9899,26.11,25.965,26.11,710
20211209,25.6224,25.6224,25.6224,25.6224,4
20211210,25.73,25.73,25.73,25.73,200
20211213,25.67,25.67,25.3126,25.3126,772
20211214,25.07,25.07,24.91,24.9215,710
20211215,25.4,25.4,25.4,25.4,112
20211216,25.29,25.29,25.135,25.1973,1119
20211217,24.97,24.97,24.85,24.85,1932
20211220,24.5696,24.5696,24.5696,24.5696,20
20211221,24.78,25.007,24.76,25.007,234
20211222,25.22,25.22,25.22,25.22,405
20211223,25.52,25.52,25.52,25.52,181
20211227,25.75,25.75,25.75,25.75,223
20211228,25.74,25.74,25.74,25.74,146
20211229,25.7033,25.7033,25.7033,25.7033,36
20211230,25.81,25.81,25.7424,25.7424,451
20211231,25.7203,25.7203,25.7203,25.7203,73
20220103,26.17,26.17,26.15,26.15,314
20220104,26.2,26.22,26.2,26.22,410
20220105,25.8486,25.8486,25.8486,25.8486,3
20220106,25.6958,25.6958,25.6958,25.6958,142
20220107,25.64,25.64,25.64,25.64,304
20220110,25.36,25.37,25.14,25.37,1192
20220111,25.597,25.597,25.597,25.597,9
20220112,25.95,25.95,25.9,25.9,481
20220113,25.77,25.77,25.77,25.77,121
20220114,25.67,25.74,25.67,25.7307,413
20220118,25.1175,25.1175,25.1175,25.1175,15
20220119,24.95,24.95,24.8835,24.8835,375
20220120,24.88,24.88,24.6719,24.6719,120
20220121,24.17,24.17,24.17,24.17,318
20220124,23.2649,23.96,23.2649,23.96,1274
20220125,23.39,23.69,23.39,23.58,3701
20220126,23.855,23.855,23.51,23.51,400
20220127,23.1225,23.1225,23.1225,23.1225,54
20220128,23.0936,23.1718,23.0936,23.1718,267
20220131,23.8941,23.8941,23.8941,23.8941,7
20220201,24.11,24.11,24.11,24.11,230
20220202,24.26,24.2953,24.2525,24.2953,1379
20220203,24.031,24.04,23.75,23.75,1297
20220204,23.66,23.66,23.66,23.66,203
20220207,23.53,23.53,23.53,23.53,302
20220208,23.73,23.73,23.73,23.73,322
20220209,24.25,24.3471,24.25,24.3471,251
20220210,23.96,23.96,23.96,23.96,316
20220211,23.4,23.4,23.4,23.4,205
20220215,24.05,24.05,24.05,24.05,100
20220216,24.11,24.11,24.11,24.11,200
20220217,23.87,23.87,23.87,23.87,300
