Date,Open,High,Low,Close,Volume
20190416,14.603,14.719,14.468,14.502,364850
20190417,14.651,14.651,14.235,14.275,1450748
20190418,14.381,14.381,14.034,14.256,1023113
20190422,14.256,14.506,14.246,14.506,333574
20190423,14.574,14.738,14.555,14.707,465109
20190424,14.767,14.815,14.68,14.709,504283
20190425,14.854,14.892,14.69,14.834,617484
20190426,14.969,15.037,14.737,15.003,529576
20190429,15.047,15.162,15.013,15.066,1078177
20190430,15.095,15.179,14.96,15.076,573909
20190501,15.182,15.182,14.892,14.892,82112
20190502,14.979,15.095,14.815,14.96,310736
20190503,15.105,15.229,15.028,15.211,183155
20190506,14.979,15.201,14.863,15.2,156114
20190507,15.153,15.153,14.661,14.825,570432
20190508,14.719,14.776,14.612,14.719,424904
20190509,14.651,14.738,14.323,14.707,363041
20190510,14.757,14.94,14.477,14.911,327718
20190513,14.709,14.709,14.159,14.178,516620
20190514,14.323,14.564,14.304,14.477,174160
20190515,14.42,14.81,14.42,14.767,1102275
20190516,14.863,15.278,14.818,15.182,544990
20190517,15.182,15.249,15.008,15.008,390875
20190520,14.883,14.883,14.661,14.738,261906
20190521,14.854,14.984,14.854,14.911,215068
20190522,14.931,15.075,14.902,14.96,511628
20190523,14.902,14.902,14.593,14.661,244915
20190524,14.805,14.879,14.721,14.776,113613
20190528,14.873,15.149,14.873,14.911,2616207
20190529,14.892,14.892,14.564,14.632,3819989
20190530,14.728,14.805,14.612,14.757,723614
20190531,14.623,14.719,14.507,14.565,244917
20190603,14.612,14.612,13.86,13.986,1865216
20190604,14.101,14.4,13.937,14.4,825668
20190605,14.535,14.709,14.4,14.67,164751
20190606,14.68,14.873,14.598,14.796,1298631
20190607,14.902,15.094,14.902,15.066,103584
20190610,15.153,15.384,15.095,15.095,296169
20190611,15.268,15.278,14.774,14.921,305628
20190612,14.902,14.969,14.825,14.969,281584
20190613,15.047,15.047,14.95,15.008,137179
20190614,15.018,15.018,14.805,14.873,209152
20190617,14.94,15.191,14.94,15.095,146304
20190618,15.172,15.394,15.172,15.288,97025
20190619,15.307,15.562,15.258,15.548,497870
20190620,15.77,15.866,15.596,15.702,1134196
20190621,15.702,15.702,15.509,15.529,982735
20190624,15.606,15.606,15.288,15.288,299606
20190625,15.336,15.336,14.892,14.892,681415
20190626,15.037,15.172,14.911,14.949,67061
20190627,15.008,15.239,14.94,15.239,78183
20190628,15.239,15.331,15.114,15.268,89206
20190701,15.509,15.625,15.351,15.442,207457
20190702,15.471,15.645,15.452,15.645,776353
20190703,15.654,15.818,15.645,15.78,201817
20190705,15.76,15.866,15.577,15.847,604496
20190708,15.77,15.847,15.693,15.828,422318
20190709,15.77,16.001,15.77,15.982,232447
20190710,16.05,16.214,16.05,16.107,330839
20190711,16.117,16.175,16.011,16.098,438877
20190712,16.127,16.153,15.942,16.117,339529
20190715,16.127,16.204,16.059,16.185,239680
20190716,16.204,16.214,15.972,15.992,372393
20190717,15.992,16.175,15.992,16.079,292926
20190718,16.011,16.05,15.876,16.011,220220
20190719,16.107,16.204,15.876,15.881,204700
20190722,15.905,16.059,15.905,15.982,174983
20190723,16.098,16.098,15.77,15.857,255254
20190724,15.876,16.107,15.847,16.059,392495
20190725,16.107,16.156,15.964,16.059,322857
20190726,16.107,16.349,16.107,16.281,170760
20190729,16.339,16.358,15.686,15.905,307838
20190730,15.895,15.972,15.77,15.886,630174
20190731,15.924,15.924,15.394,15.596,282707
20190801,15.654,15.904,15.548,15.606,274144
20190802,15.596,15.596,15.22,15.355,258338
20190805,14.969,15.056,14.477,14.68,350537
20190806,14.757,14.979,14.661,14.757,308158
20190807,14.719,14.911,14.573,14.825,447944
20190808,15.008,15.35,14.969,15.316,107919
20190809,15.288,15.353,15.168,15.298,292679
20190812,15.259,15.259,14.96,15.018,206425
20190813,15.047,15.259,14.998,15.23,173786
20190814,14.998,14.998,14.478,14.632,381526
20190815,14.709,14.738,14.516,14.622,71089
20190816,14.776,14.998,14.757,14.96,89622
20190819,15.143,15.182,14.95,14.998,218132
20190820,14.989,15.047,14.873,14.998,222260
20190821,15.143,15.355,15.104,15.239,70607
20190822,15.307,15.335,15.018,15.239,164423
20190823,15.268,15.481,14.974,14.998,157533
20190826,15.162,15.22,15.027,15.191,120035
20190827,15.239,15.374,14.988,15.143,162992
20190828,15.104,15.104,14.834,14.892,167231
20190829,14.989,15.191,14.989,15.143,95469
20190830,15.23,15.239,14.834,15.037,169237
20190903,14.969,14.998,14.776,14.863,210459
20190904,15.047,15.201,15.047,15.085,330354
20190905,15.249,15.355,15.118,15.355,477378
20190906,15.413,15.413,15.095,15.104,136005
20190909,15.239,15.239,14.487,14.67,235843
20190910,14.535,14.661,14.371,14.506,392265
20190911,14.458,14.535,14.342,14.449,439071
20190912,14.555,14.747,14.555,14.574,44934
20190913,14.603,14.603,14.333,14.333,56345
20190916,14.246,14.497,14.199,14.468,496346
20190917,14.516,14.617,14.477,14.593,593693
20190918,14.622,14.622,14.349,14.555,439096
20190919,14.612,14.69,14.476,14.593,116886
20190920,14.68,14.732,14.468,14.613,465379
20190923,14.593,14.69,14.526,14.584,593583
20190924,14.651,14.651,14.188,14.256,395219
20190925,14.275,14.357,13.957,14.333,569816
20190926,14.313,14.391,14.198,14.304,826095
20190927,14.352,14.352,13.793,13.937,226059
20190930,14.005,14.164,13.86,14.13,103755
20191001,14.178,14.203,14.068,14.092,89504
20191002,14.024,14.024,13.793,13.908,227345
20191003,13.938,14.28,13.768,14.227,53688
20191004,14.313,14.429,14.227,14.42,84902
20191007,14.4,14.555,14.371,14.468,97453
20191008,14.439,14.439,14.053,14.053,156970
20191009,14.189,14.4,14.18,14.304,83253
20191010,14.313,14.391,14.275,14.352,72544
20191011,14.468,14.748,14.468,14.603,139292
20191014,14.612,14.728,14.612,14.699,91180
20191015,14.709,14.805,14.699,14.728,120041
20191016,14.612,14.612,14.238,14.352,135474
20191017,14.362,14.42,14.236,14.275,111964
20191018,14.275,14.275,13.766,13.957,131185
20191021,14.005,14.096,13.918,14.024,113516
20191022,14.159,14.159,13.754,13.754,110060
20191023,13.754,13.995,13.735,13.822,81137
20191024,13.986,14.256,13.986,14.243,112897
20191025,14.217,14.277,14.082,14.236,124133
20191028,14.342,14.41,14.236,14.371,64993
20191029,14.39,14.438,14.275,14.352,79245
20191030,14.371,14.555,14.227,14.526,304859
20191031,14.477,14.477,14.227,14.256,86447
20191101,14.4,14.515,14.275,14.477,78542
20191104,14.535,14.593,14.333,14.333,153802
20191105,14.352,14.371,14.13,14.285,79286
20191106,14.285,14.333,14.2,14.227,119181
20191107,14.275,14.362,14.092,14.159,183543
20191108,14.178,14.342,14.111,14.294,176758
20191111,14.217,14.42,14.198,14.367,323019
20191112,14.381,14.477,14.352,14.429,97304
20191113,14.333,14.535,14.333,14.531,127507
20191114,14.526,14.555,14.458,14.477,197329
20191115,14.526,14.709,14.478,14.709,263626
20191118,14.68,14.776,14.622,14.719,258971
20191119,14.757,14.921,14.738,14.863,176613
20191120,14.863,15.095,14.805,14.94,352982
20191121,14.941,15.089,14.873,14.95,207314
20191122,14.979,15.047,14.902,14.989,224019
20191125,15.047,15.23,15.047,15.207,226229
20191126,15.201,15.365,15.191,15.336,235167
20191127,15.365,15.452,15.346,15.442,275331
20191129,15.384,15.452,15.374,15.432,235542
20191202,15.403,15.452,14.883,15.066,268217
20191203,14.805,15.191,14.738,15.191,289223
20191204,15.172,15.23,15.057,15.148,138430
20191205,15.124,15.143,15.008,15.027,73488
20191206,15.066,15.153,15.066,15.089,96663
20191209,15.066,15.133,15.018,15.027,96660
20191210,14.989,15.018,14.854,14.868,85500
20191211,14.844,14.854,14.709,14.805,101745
20191212,14.767,14.854,14.622,14.67,165844
20191213,14.651,14.834,14.641,14.805,155011
20191216,14.883,15.047,14.873,14.998,147584
20191217,14.989,15.037,14.931,14.96,232018
20191218,14.96,15.182,14.96,15.114,128124
20191219,15.075,15.258,15.047,15.239,609103
20191220,15.259,15.355,15.259,15.336,151924
20191223,15.327,15.355,15.249,15.283,174096
20191224,15.249,15.278,15.191,15.259,258232
20191226,15.259,15.416,15.259,15.375,170315
20191227,15.374,15.403,15.222,15.312,98074
20191230,15.283,15.283,15.003,15.138,93107
20191231,15.138,15.206,15.109,15.196,32970
20200102,15.283,15.486,15.283,15.476,158601
20200103,15.321,15.53,15.28,15.504,221734
20200106,15.36,15.793,15.36,15.785,408693
20200107,15.746,15.881,15.746,15.843,735637
20200108,15.766,16.074,15.766,15.968,663979
20200109,16.036,16.161,16.026,16.161,233589
20200110,16.152,16.268,16.099,16.161,248232
20200113,16.181,16.48,16.181,16.427,367281
20200114,16.403,16.451,16.248,16.364,376406
20200115,16.306,16.625,16.306,16.47,499088
20200116,16.596,16.644,16.494,16.63,283726
20200117,16.673,16.685,16.548,16.606,227266
20200121,16.605,16.702,16.528,16.615,379886
20200122,16.654,16.799,16.576,16.576,285950
20200123,16.567,16.718,16.528,16.711,194104
20200124,16.779,16.895,16.509,16.631,226863
20200127,16.345,16.441,16.142,16.374,157874
20200128,16.413,16.622,16.393,16.606,329286
20200129,16.663,16.721,16.538,16.605,251184
20200130,16.596,16.683,16.451,16.678,298849
20200131,16.625,16.729,16.403,16.49,199982
20200203,16.509,16.712,16.509,16.702,181646
20200204,16.847,17.177,16.828,17.156,238902
20200205,17.301,17.33,16.76,16.866,563336
20200206,16.827,16.895,16.586,16.799,184574
20200207,16.75,17.011,16.75,16.861,185747
20200210,16.866,17.117,16.799,17.098,247936
20200211,17.165,17.202,16.991,17.049,294854
20200212,17.223,17.33,17.088,17.209,205106
20200213,17.165,17.378,17.121,17.291,213810
20200214,17.358,17.502,17.33,17.426,308331
20200218,17.397,17.609,17.397,17.59,333975
20200219,17.677,17.783,17.672,17.706,281041
20200220,17.725,17.793,17.223,17.542,473258
20200221,17.523,17.552,17.069,17.204,319434
20200224,16.441,16.799,16.306,16.685,511593
20200225,16.799,16.799,16.084,16.171,466572
20200226,16.171,16.527,16.065,16.19,360588
20200227,15.707,16.051,15.447,15.504,413421
20200228,15.098,15.582,15.011,15.582,862629
20200302,15.775,16.026,15.408,16.012,410146
20200303,16.046,16.297,15.399,15.621,194451
20200304,15.852,16.181,15.794,16.171,168650
20200305,15.823,16.123,15.666,15.794,241229
20200306,15.399,15.486,14.93,15.283,317974
20200309,14.501,14.636,14.095,14.153,315064
20200310,14.597,14.694,14.095,14.694,371121
20200311,14.385,14.501,13.844,14.033,271882
20200312,13.217,13.477,12.551,12.792,308597
20200313,13.42,13.699,12.677,13.699,258827
20200316,12.416,13.013,12.001,12.223,184125
20200317,12.512,13.149,12.116,13.149,286519
20200318,12.251,12.869,11.933,12.512,372393
20200319,12.406,12.985,12.266,12.86,211870
20200320,13.043,13.472,12.676,12.801,313931
20200323,12.724,13.13,12.435,12.946,394003
20200324,13.439,13.96,13.439,13.854,240018
20200325,13.999,14.375,13.699,13.825,426307
20200326,13.883,14.578,13.883,14.52,286043
20200327,14.134,14.424,14.008,14.173,228335
20200330,14.279,14.472,14.173,14.443,381615
20200331,14.279,14.578,13.999,14.144,354477
20200401,13.671,13.902,13.526,13.584,242865
20200402,13.516,13.777,13.293,13.574,198328
20200403,13.603,13.705,13.275,13.41,79209
20200406,13.893,14.269,13.763,14.23,143396
20200407,14.588,14.607,14.066,14.095,276045
20200408,14.202,14.694,14.202,14.655,185139
20200409,14.819,15.148,14.781,14.926,484211
20200413,15.012,15.012,14.675,14.877,255412
20200414,15.186,15.717,15.186,15.625,295026
20200415,15.321,15.65,15.263,15.582,280053
20200416,15.611,15.93,15.601,15.717,418292
20200417,16.007,16.065,15.746,16.036,309563
20200420,16.017,16.48,15.949,16.277,545941
20200421,16.219,16.219,15.345,15.64,448121
20200422,15.891,16.123,15.833,16.026,342908
20200423,16.026,16.142,15.901,15.939,222413
20200424,15.988,16.2,15.843,16.161,195316
20200427,16.403,16.557,16.335,16.461,460064
20200428,16.644,16.678,16.132,16.22,298113
20200429,16.383,16.76,16.234,16.683,466787
20200430,16.615,16.866,16.499,16.683,240227
20200501,16.297,16.441,16.045,16.084,319947
20200504,16.094,16.48,16.017,16.451,231746
20200505,16.673,17.069,16.625,16.866,390978
20200506,16.914,17.378,16.914,17.252,776476
20200507,17.677,18.14,17.6,18.054,1472896
20200508,18.102,18.149,17.853,18.063,1258020
20200511,17.996,18.536,17.967,18.44,1834665
20200512,18.585,18.614,18.054,18.087,931563
20200513,18.092,18.276,17.417,17.735,1084072
20200514,17.523,17.861,17.33,17.861,480150
20200515,17.677,18.121,17.677,18.083,441265
20200518,18.363,18.411,18.063,18.092,816297
20200519,18.112,18.391,18.102,18.145,653657
20200520,18.42,18.527,18.266,18.44,848937
20200521,18.488,18.565,18.112,18.382,393830
20200522,18.44,18.71,18.361,18.652,636722
20200526,19.116,19.116,18.488,18.56,774248
20200527,18.527,18.527,17.638,18.488,706394
