Date,Open,High,Low,Close,Volume
20151020,30.73,30.73,30.73,30.73,100
20151021,29.39,29.39,29.39,29.39,100
20151023,30.9995,30.9995,30.9995,30.9995,210
20151030,29.8,29.8,29.8,29.8,210
20151119,31.92,31.92,31.85,31.85,4200
20151120,32.0711,32.08,32.0711,32.08,1000
20151130,30.05,30.05,29.73,30.01,2000
20151201,30.24,30.24,30.21,30.21,300
20151209,30.39,30.39,30.03,30.03,200
20151229,31.3199,31.3199,31.3199,31.3199,165
20160105,28.814,28.814,28.814,28.814,289
20160106,29.24,29.24,29.24,29.24,166
20160108,27.7001,27.7001,27.7001,27.7001,165
20160111,26.4701,26.4701,26.47,26.47,1001
20160128,23.51,23.51,23.51,23.51,200
20160211,23.1,23.1088,23.1,23.1088,275
20160216,24.74,24.74,24.74,24.74,600
20160218,24.9542,24.9542,24.9542,24.9542,133
20160222,25.7099,25.74,25.7099,25.74,230
20160223,25.3199,25.3199,25.3199,25.3199,300
20160224,25.36,25.36,25.3585,25.3585,800
20160225,23.91,23.9393,23.8999,23.9393,335
20160226,24.248,24.29,24.205,24.25,2740
20160303,25.02,25.03,25.02,25.03,1305
20160304,25.43,25.43,25.43,25.43,118
20160307,25.33,25.41,25.33,25.41,200
20160311,24.5499,24.5499,24.5499,24.5499,101
20160316,25.16,25.16,25.16,25.16,600
20160317,25.26,25.26,25.26,25.26,300
20160318,26.12,26.12,26.12,26.12,100
20160414,26.87,26.87,26.87,26.87,150
20160421,25.55,25.55,25.55,25.55,150
20160520,24.42,24.42,24.4199,24.4199,1000
20160527,24.2199,24.22,24.2199,24.22,769
20160613,24.0601,24.0726,24.05,24.07,1560
20160620,24.73,24.73,24.73,24.73,100
20160719,26.155,26.155,26.155,26.155,100
20160726,26.33,26.33,26.33,26.33,210
20160912,26.33,26.33,26.33,26.33,235
20160923,26.37,26.37,26.37,26.37,100
20161129,28.53,28.53,28.492,28.492,300
20161130,28.2018,28.2018,28.17,28.18,2973
20161206,27.7156,27.7156,27.69,27.7147,300
20161207,27.81,27.89,27.81,27.89,200
20161221,25.5,25.5,25.5,25.5,200
20170209,25.6073,25.6073,25.6073,25.6073,413
20170213,25.93,25.93,25.93,25.93,200
20170221,26.19,26.19,26.19,26.19,300
20170427,25.7899,25.7899,25.7899,25.7899,200
20170504,25.43,25.43,25.43,25.43,153
20170519,25.4099,25.41,25.3975,25.3975,826
20170526,25.95,25.95,25.95,25.95,204
20170602,25.9465,25.9465,25.91,25.91,200
20170609,26.49,26.49,26.49,26.49,196
20170614,26.235,26.242,26.235,26.242,200
20170629,26.975,26.975,26.975,26.975,430
20170828,28.51,28.51,28.51,28.51,200
20171004,29.34,29.34,29.304,29.304,1000
