Date,Open,High,Low,Close,Volume
19960103,33.75,33.75,33.75,33.75,200
19960104,33.75,33.75,33.75,33.75,5000
19960112,33.75,33.75,33.75,33.75,7400
19960115,32.5,37.5,31.25,36.25,20400
19960117,32.5,32.5,32.5,32.5,600
19960118,33.75,33.75,31.25,33.75,10400
19960119,31.25,31.25,31.25,31.25,400
19960123,31.25,31.25,31.25,31.25,2000
19960130,31.25,31.25,31.25,31.25,100
19960131,31.25,36.25,31.25,36.25,700
19960205,31.25,31.25,31.25,31.25,100
19960207,31.25,31.25,31.25,31.25,300
19960212,32.5,36.875,32.5,36.875,15000
19960215,31.25,35.469,31.25,31.25,11800
19960216,31.25,31.25,31.25,31.25,100
19960220,35,35,35,35,500
19960221,32.5,35,31.25,35,6500
19960222,33.75,37.5,32.5,37.5,6200
19960223,35,37.5,35,37.5,1700
19960226,40,40,33.75,33.75,11600
19960227,33.75,36.25,33.75,35,3600
19960229,32.5,32.5,32.5,32.5,200
19960306,32.5,32.5,32.5,32.5,700
19960318,32.5,32.5,32.5,32.5,3300
19960321,32.5,32.5,32.5,32.5,300
19960322,32.5,38.75,32.5,38.75,6200
19960325,32.5,32.5,32.5,32.5,400
19960326,38.75,38.75,30,30,1200
19960327,30,30,30,30,200
19960328,30,30,30,30,300
19960401,35,35,35,35,300
19960402,31.25,31.25,31.25,31.25,100
19960404,31.25,31.25,31.25,31.25,700
19960408,30,30,30,30,300
19960409,30,30,30,30,100
19960411,30,33.75,30,33.75,20200
19960412,32.5,32.5,32.5,32.5,700
19960417,30,33.75,30,33.75,9700
19960419,30,33.75,30,33.75,6200
19960422,31.25,35,31.25,35,13500
19960423,34.375,34.375,34.375,34.375,1500
19960424,35,35,35,35,500
19960426,30,30,30,30,300
19960429,30,30,30,30,300
19960502,31.25,31.25,31.25,31.25,800
19960503,30,30,30,30,800
19960506,30,33.75,30,30,2300
19960507,30,30,30,30,100
19960509,30,30,30,30,200
19960510,30,30,30,30,1200
19960513,30,33.75,30,33.75,7100
19960514,30,30,30,30,200
19960515,30,30,30,30,1000
19960516,30,30,30,30,300
19960520,30,30,30,30,200
19960521,30,30,30,30,200
19960523,33.75,33.75,30,30,1400
19960524,30,30,30,30,200
19960528,30,30,30,30,200
19960531,30,30,30,30,300
19960607,30,30,30,30,400
19960612,30,33.75,30,33.75,2000
19960613,30,30,30,30,100
19960617,30,30,30,30,100
19960619,30,30,30,30,200
19960620,30,35,30,30,10100
19960621,30,33.75,30,31.25,9300
19960625,30,30,30,30,3000
19960626,30,30,30,30,1300
19960627,33.75,33.75,30,30,7200
19960628,30,30,30,30,23900
19960701,31.25,33.75,30,33.75,7900
19960702,31.25,31.25,31.25,31.25,2000
19960703,32.5,32.5,32.5,32.5,10000
19960708,30,33.75,30,31.25,8300
19960711,29.063,29.063,29.063,29.063,200
19960718,27.5,27.5,27.5,27.5,200
19960722,27.5,27.5,27.5,27.5,100
