Date,Open,High,Low,Close,Volume
20170330,21.85,21.87,21.81,21.87,689
20170331,21.83,21.83,21.83,21.83,115
20170405,22.04,22.05,22.04,22.05,229
20170406,22.05,22.06,22.05,22.06,5736
20170410,22.3,22.3,22.06,22.06,432
20170412,22.2,22.29,22.2,22.29,1032
20170413,22.21,22.21,22.17,22.18,14869
20170417,22.23,22.23,22.22,22.22,1486
20170418,22.1,22.1,22.08,22.08,1348
20170419,22.09,22.09,21.97,21.97,1687
20170420,21.86,21.86,21.86,21.86,161
20170421,21.79,21.79,21.75,21.75,230
20170424,21.73,21.75,21.69,21.72,1985
20170425,21.64,21.75,21.64,21.64,16556
20170426,21.65,21.7,21.61,21.62,915
20170427,21.46,21.46,21.46,21.46,1147
20170501,21.5,21.5,21.5,21.5,115
20170508,21.04,21.04,21.01,21.01,1033
20170509,21.04,21.06,21.01,21.01,4081
20170511,20.91,20.91,20.91,20.91,115
20170512,21.1,21.21,21.1,21.17,647
20170516,21.31,21.31,21.3,21.3,318
20170517,21.4,21.4,21.4,21.4,229
20170518,21.34,21.34,21.34,21.34,132
20170519,21.36,21.4,21.36,21.4,1403
20170522,21.29,21.29,21.29,21.29,115
20170523,21.4,21.4,21.4,21.4,344
20170524,21.4,21.47,21.4,21.41,1041
20170526,21.39,21.39,21.39,21.39,229
20170530,21.32,21.32,21.32,21.32,226
20170531,21.4,21.4,21.4,21.4,232
20170601,21.49,21.49,21.49,21.49,837
20170602,21.35,21.35,21.35,21.35,115
20170605,21.57,21.57,21.57,21.57,178
20170606,21.64,21.68,21.63,21.68,2038
20170608,21.55,21.55,21.55,21.55,344
20170614,21.16,21.16,21.16,21.16,139
20170616,21.25,21.25,21.25,21.25,259
20170620,20.98,20.98,20.98,20.98,229
20170623,22.04,22.04,21.61,21.61,229
20170626,20.91,20.91,20.85,20.85,414
20170627,21.02,21.02,20.94,20.94,2134
20170628,21.93,22.02,21.93,22.02,803
20170629,21.04,21.04,21,21,591
20170630,21.03,21.03,21.01,21.01,287
20170703,20.84,20.84,20.84,20.84,115
20170705,20.75,20.75,20.67,20.67,230
20170706,20.84,20.88,20.84,20.88,1232
20170710,20.71,20.71,20.71,20.71,450
20170711,20.62,20.82,20.62,20.82,1710
20170713,20.58,20.63,20.58,20.6,1663
20170719,20.6,20.63,20.6,20.63,602
20170720,20.61,20.61,20.45,20.47,1429
20170724,20.66,20.67,20.62,20.63,7342
20170726,20.51,20.54,20.51,20.54,644
20170727,20.59,20.59,20.59,20.59,115
20170728,20.77,20.81,20.75,20.81,2210
20170731,20.35,20.66,20.25,20.66,5982
20170801,20.53,20.53,20.27,20.42,529
20170804,20.46,20.46,20.46,20.46,115
20170807,20.7,20.73,20.7,20.72,918
20170808,20.44,20.44,20.44,20.44,829
20170810,20.28,20.28,20.26,20.26,687
20170814,20.36,20.55,20.36,20.55,688
20170816,20.39,20.39,20.39,20.39,479
20170817,20.69,20.69,20.33,20.4,3925
20170818,21.21,21.22,21.21,21.22,805
20170821,20.54,20.66,20.54,20.66,1834
20170822,20.67,20.67,20.56,20.56,537
20170823,20.61,20.61,20.61,20.61,439
20170824,20.65,20.71,20.64,20.69,907
20170825,20.68,20.68,20.68,20.68,502
20170828,20.82,20.82,20.8,20.8,459
20170829,20.9,21.07,20.9,21.07,1033
20170830,20.81,20.83,20.79,20.79,946
20170831,20.85,20.85,20.83,20.83,326
20170905,20.89,20.9,20.89,20.9,677
20170906,20.87,20.87,20.87,20.87,115
20170908,20.72,20.74,20.72,20.74,574
20170911,20.74,20.74,20.74,20.74,2250
20170912,20.64,20.64,20.64,20.64,143
20170913,20.63,20.63,20.63,20.63,327
20170915,20.51,20.51,20.51,20.51,115
20170918,20.53,20.56,20.51,20.52,1610
20170919,20.5,20.5,20.5,20.5,1013
20170920,20.84,20.85,20.7,20.7,365
20170925,20.52,20.66,20.52,20.66,1532
20170926,20.57,20.57,20.49,20.52,2679
20170927,20.48,20.49,20.46,20.49,42370
20170928,20.49,20.53,20.47,20.52,9671
20170929,20.45,20.45,20.45,20.45,16326
20171002,20.32,20.38,20.32,20.37,3571
20171003,20.34,20.34,20.33,20.33,1301
20171005,20.56,20.56,20.47,20.47,7834
20171006,20.38,20.44,20.38,20.42,575
20171011,20.64,20.66,20.6,20.62,1147
20171012,20.65,20.67,20.57,20.58,3179
20171013,20.69,20.7,20.67,20.67,6044
20171016,20.82,20.83,20.76,20.76,1413
20171017,20.69,20.72,20.69,20.72,2516
20171018,20.69,20.73,20.68,20.73,4349
20171019,20.72,20.72,20.62,20.7,3525
20171020,20.67,20.67,20.67,20.67,304
20171023,20.73,20.73,20.73,20.73,115
20171024,20.75,20.75,20.64,20.69,16177
20171025,20.68,20.69,20.68,20.69,378
20171026,20.76,20.77,20.66,20.77,345
20171027,20.68,20.77,20.68,20.74,968
20171030,20.72,20.81,20.72,20.81,526
20171031,20.79,20.79,20.76,20.79,2731
20171101,20.85,20.85,20.85,20.85,1814
20171102,20.81,20.82,20.8,20.82,2065
20171103,20.82,20.84,20.77,20.8,2242
20171106,20.97,21.13,20.8,21.13,16405
20171108,21,21.04,20.99,21.03,5378
20171110,21.1,21.1,21.1,21.1,1143743
20171113,21.04,21.09,21.04,21.06,9557
