Date,Open,High,Low,Close,Volume
20171212,25.23,25.23,25.23,25.23,100
20171218,23.71,23.71,23.71,23.71,100
20180118,19.97,20,19.97,20,300
20180122,19.76,19.92,19.76,19.9,547
20180123,20.17,20.17,20.17,20.17,100
20180124,19.24,19.27,19.24,19.25,300
20180125,19.14,19.62,19,19.62,900
20180126,19.17,19.17,18.62,18.85,2265
20180129,19.1,19.1,19.01,19.01,400
20180130,19.08,19.15,19.06,19.15,600
20180131,18.94,19.52,18.86,19.43,1700
20180201,19.74,19.74,19.53,19.53,700
20180202,20.31,20.6,20.31,20.5624,2290
20180205,20.68,20.8,20.5,20.8,400
20180206,20.58,21.24,20.58,21.06,2303
20180207,21.28,21.71,21.28,21.69,601
20180208,22.01,22.09,21.97,21.97,993
20180209,21.79,22.21,21.78,21.95,1465
20180214,21.47,21.47,20.71,20.71,416
20180215,20.53,20.76,20.53,20.76,573
20180216,20.54,20.79,20.49,20.79,1021
20180220,20.82,20.82,20.79,20.81,588
20180221,21.32,21.73,21.16,21.69,675
20180223,21.69,21.69,21.69,21.69,100
20180228,21.89,21.95,21.89,21.95,286
20180301,22.63,22.67,22.26,22.26,599
20180302,22.43,22.43,22.36,22.36,399
20180306,21.59,21.61,21.57,21.61,482
20180307,21.59,21.69,21.59,21.69,200
20180308,21.72,21.9,21.72,21.9,300
20180309,21.57,21.57,21.2499,21.29,739
20180312,21.04,21.04,20.9,21,578
20180313,20.89,20.96,20.89,20.93,786
20180315,21.43,21.43,21.43,21.43,102
20180316,22.63,22.63,22.6023,22.6023,200
20180320,22.87,23.1899,22.87,23.1899,630
20180321,22.9,22.9,22.35,22.35,569
20180322,22.75,22.89,22.75,22.75,302
20180323,22.6,22.6,22.47,22.52,300
20180326,22.51,22.65,22.45,22.51,833
20180327,22.79,22.91,22.79,22.91,201
20180328,23.28,23.28,23.28,23.28,100
20180402,23.45,23.45,23.45,23.45,299
20180404,22.87,22.87,22.87,22.87,101
20180405,23,23,23,23,103
20180410,22.16,22.16,22.16,22.16,323
20180411,22.16,22.32,22.16,22.32,605
20180412,22.25,22.25,22.25,22.25,100
20180419,21.92,21.92,21.9199,21.9199,1800
20180420,23.17,23.2,23.17,23.2,1481
20180423,23.76,24,23.76,24,2130
20180424,23.83,24.03,23.83,24.03,1161
20180425,24.47,24.47,24.47,24.47,431
20180426,24.57,24.57,24.57,24.57,714
20180427,24.41,24.41,24.38,24.39,1039
20180502,25.36,25.36,24.86,25.2,2608
20180503,25.24,25.24,25.24,25.24,260
20180504,25.2,25.2,25.0092,25.01,596
20180507,24.98,24.98,24.98,24.98,311
20180508,26.04,26.05,26.04,26.05,571
20180509,25.79,25.79,25.79,25.79,505
20180510,25.16,25.16,25.16,25.16,334
20180511,24.67,24.67,24.67,24.67,530
20180516,25.16,25.16,24.97,25.16,6231
20180517,25.02,25.02,25.02,25.02,1072
20180521,24.31,24.31,24.31,24.31,187
20180522,23.9293,23.98,23.9293,23.98,3087
20180523,24.51,24.76,24.33,24.38,10810
20180524,24.24,24.36,24.11,24.11,4520
20180525,24.48,24.61,24.45,24.59,1500
20180529,24.66,25.18,24.66,25.1,4093
20180530,24.66,24.7,24.17,24.17,10331
20180531,24.11,24.41,24.02,24.31,11944
20180601,24.52,24.66,24.21,24.25,7499
20180604,23.1201,23.3,23.11,23.17,4751
20180605,23.71,23.79,23.49,23.63,9316
20180606,22.96,22.96,22.96,22.96,225
20180607,23.26,23.26,23.26,23.26,1128
20180608,23.88,23.94,23.88,23.94,200
20180612,23.63,23.7,23.63,23.7,1190
20180613,23.94,24.42,23.68,24.27,1800
20180618,26.06,26.06,26.02,26.04,6521
20180619,26.76,26.76,26.76,26.76,217
20180620,26.68,26.68,26.68,26.68,150
20180622,25.79,25.79,25.79,25.79,1050
20180625,26.2,26.2304,26.2,26.2304,500
20180627,26.74,27.218,26.74,27.218,1635
20180629,26.47,26.57,26.31,26.37,974
20180705,26.34,26.49,26.34,26.49,500
20180706,25.9,25.91,25.81,25.91,1085
20180709,25.28,25.42,25.2773,25.3873,450
20180710,25.39,25.39,25.39,25.39,200
20180717,26.34,26.34,26.34,26.34,210
