Date,Open,High,Low,Close,Volume
20191107,30.17,30.26,30.1621,30.1621,200
20191108,30.1728,30.1914,30.1727,30.1914,350
20191113,30.22,30.22,30.22,30.22,2
20191115,30.37,30.37,30.3298,30.3298,354
20191118,30.354,30.39,30.3433,30.3433,1100
20191120,30.33,30.33,30.33,30.33,198
20191121,30.3,30.3,30.2756,30.2756,254
20191127,30.4604,30.4604,30.4534,30.4534,819
20191203,30.2599,30.26,30.2599,30.26,2100
20191210,30.4499,30.4499,30.3759,30.3759,200
20191217,30.595,30.595,30.595,30.595,50
20191223,30.675,30.675,30.675,30.675,50
20191231,30.6632,30.6632,30.6632,30.6632,1
20200102,30.7724,30.7724,30.7724,30.7724,1
20200108,30.7666,30.7666,30.7666,30.7666,1
20200124,30.86,30.86,30.84,30.84,100
20200128,30.8148,30.8148,30.8148,30.8148,13
20200129,30.83,30.83,30.8077,30.8077,100
20200130,30.74,30.8304,30.74,30.8304,100
20200131,30.72,30.72,30.6592,30.6592,4300
20200203,30.76,30.76,30.7109,30.7109,100
20200214,31.045,31.045,31.045,31.045,1
20200219,31.0599,31.0599,31.0599,31.0599,2
20200225,30.56,30.56,30.2688,30.2688,16500
20200226,30.37,30.42,30.2853,30.2853,10100
20200227,30.007,30.007,29.8172,29.8172,15660
20200228,29.07,29.6519,29.05,29.6519,21393
20200302,29.68,30.2813,29.68,30.2813,4265
20200303,30,30.03,29.9381,29.9381,206560
20200304,30.0899,30.3611,30.0899,30.3611,1860
20200305,30.001,30.0353,29.96,30.0353,1903
20200309,29.25,29.26,28.8991,28.93,10414
20200310,29.25,29.4314,29.004,29.4314,13211
20200311,29.026,29.14,28.652,28.8834,177620
20200312,28.14,30.42,27.5745,27.6144,1011036
20200313,28.28,28.87,27.5301,28.87,403065
20200316,27.71,27.93,27.01,27.02,70588
20200317,26.83,27.758,26.83,27.56,144370
20200318,26.96,27.08,25.9525,26.71,410274
20200319,26.68,27.1399,26.4789,27.06,412669
20200320,27.14,27.3,26.52,26.74,88418
20200323,27.27,27.27,26.3401,26.68,935790
20200324,27.98,27.98,27.125,27.88,535262
20200325,27.32,28.03,27.27,27.56,804141
20200326,27.79,28.41,27.6841,28.3595,272716
20200327,27.55,28.14,27.55,28,402626
20200330,28.06,28.26,27.86,28.26,1088140
20200331,28.37,28.37,27.8721,27.9,231790
20200401,27.96,27.96,27.44,27.67,596463
20200402,27.75,27.95,27.401,27.93,197170
20200403,28.03,28.03,27.58,27.8,61250
20200406,28.42,28.53,28.17,28.51,322950
20200407,28.725,28.94,28.4,28.4,312248
20200408,28.72,28.89,28.4375,28.8525,49098
20200409,29.0067,29.2081,28.9039,28.95,69407
20200413,29.06,29.06,28.7,28.9114,191158
20200414,29.27,29.36,29.1423,29.2899,30225
20200415,29.11,29.15,28.9382,29.07,31142
20200416,29.29,29.29,28.81,29.13,42341
20200417,29.73,29.73,29.2633,29.456,17475
20200420,29.72,29.72,29.2,29.2248,74456
20200421,29.06,29.06,28.758,28.86,55396
20200422,29.4,29.4,29,29.21,67562
20200423,29.03,29.3589,29.03,29.1252,46668
20200424,29.52,29.52,29.08,29.2841,99563
20200427,29.46,29.59,29.35,29.4622,63040
20200428,29.4922,29.6499,29.4,29.4393,153645
20200429,29.73,29.8,29.53,29.7261,99852
20200430,29.9,29.9,29.55,29.6156,28915
20200501,29.02,29.4,29.02,29.19,170122
20200504,29.28,29.3384,29.12,29.3325,47895
20200505,29.78,29.78,29.41,29.4461,19622
20200506,29.71,29.71,29.3677,29.38,80907
20200507,29.79,29.79,29.4272,29.52,58040
20200508,29.87,29.87,29.58,29.6752,50580
20200511,29.67,29.79,29.5676,29.649,46104
20200512,29.51,29.7186,29.43,29.445,27621
20200513,29.35,29.44,29.1,29.22,84791
20200514,29.4,29.4,28.97,29.2805,198315
20200515,29.27,29.38,29.19,29.3355,9657
20200518,30.03,30.03,29.68,29.84,21594
20200519,29.92,29.92,29.5501,29.68,127085
20200520,29.96,29.96,29.7906,29.865,26079
20200521,29.89,29.92,29.62,29.69,150401
20200522,29.71,29.82,29.64,29.7813,14250
20200526,29.98,30.13,29.9317,29.9536,26662
20200527,30.14,30.17,29.8434,30.1639,129964
20200528,30.4,30.4,30.1541,30.1541,75059
20200529,30.16,30.31,29.9601,30.31,11043
20200601,30.48,30.48,30.215,30.35,176205
20200602,30.2201,30.4,30.2,30.36,231827
20200603,30.65,30.68,30.39,30.6,82410
20200604,30.47,30.6319,30.391,30.4741,670270
20200605,30.6802,30.94,30.6802,30.8899,238568
20200608,31.17,31.17,30.85,31.006,108770
20200609,30.74,30.95,30.74,30.8477,28612
20200610,30.98,31,30.78,30.8071,53107
20200611,30.67,30.67,29.96,30.01,78417
20200612,30.21,30.275,30,30.1707,35330
20200615,29.72,30.32,29.72,30.19,92489
20200616,30.92,30.92,30.422,30.459,8810
20200617,30.51,30.58,30.4401,30.5254,23276
20200618,30.35,30.503,30.32,30.49,32351
20200619,30.53,30.5825,30.3105,30.36,15585
20200622,30.365,30.5362,30.365,30.5013,8405
20200623,30.86,30.86,30.551,30.6699,30359
20200624,30.5,30.5,30.1193,30.19,13818
20200625,30.075,30.32,30.07,30.32,2890
20200626,30.19,30.2,30,30,8373
