Date,Open,High,Low,Close,Volume
20191218,25.04,25.04,25.0151,25.0151,640188
20191220,25.155,25.155,25.155,25.155,80
20191227,25.222,25.222,25.1825,25.1825,250
20191230,25.035,25.035,25.035,25.035,80
20200106,25.16,25.16,25.16,25.16,250
20200110,25.38,25.38,25.38,25.38,25
20200114,25.5367,25.5367,25.5367,25.5367,40
20200115,25.5445,25.58,25.5275,25.5275,39432
20200116,25.6689,25.6689,25.6689,25.6689,31
20200121,25.5597,25.5597,25.5597,25.5597,441
20200123,25.5428,25.6194,25.5428,25.6194,100
20200129,25.4298,25.4298,25.3625,25.3625,110
20200130,25.3011,25.3011,25.3011,25.3011,5
20200131,25.0054,25.0054,25.0054,25.0054,11
20200203,25.1795,25.1795,25.1795,25.1795,1
20200204,25.51,25.51,25.46,25.46,451
20200205,25.62,25.62,25.5853,25.5853,78932
20200207,25.52,25.52,25.498,25.498,100
20200210,25.6401,25.6401,25.6401,25.6401,391
20200218,25.8228,25.8228,25.8228,25.8228,1
20200219,25.9761,25.9761,25.9761,25.9761,15
20200220,25.8491,25.8491,25.8491,25.8491,15
20200225,24.85,24.85,24.6648,24.6648,2300
20200226,24.6481,24.6481,24.6481,24.6481,25
20200227,24.19,24.19,24.1177,24.1177,1033
20200228,23.65,24.0441,23.65,24.0441,1475
20200305,24.7,24.7,24.4423,24.4423,500
20200309,23.47,23.52,23.1006,23.1006,34145
20200310,23.33,23.6559,23.33,23.6559,102
20200312,21.78,21.92,21.0819,21.0819,20500
20200313,21.77,22.1697,21.77,22.1697,10550
20200316,21.15,21.15,20.4113,20.4113,7400
20200319,20.09,20.4278,20.09,20.4278,400
20200320,20.5626,20.5626,20.5626,20.5626,2
20200325,21.7642,21.7642,21.7642,21.7642,40
20200327,21.53,21.64,21.42,21.6191,470100
20200330,21.68,21.9627,21.68,21.9627,180
20200331,22.0375,22.0375,22.0375,22.0375,2
20200406,22.4,22.5703,22.38,22.5703,11400
20200407,22.69,22.69,22.5004,22.5004,100
20200408,22.71,22.7342,22.61,22.7342,298
20200409,22.9062,22.9062,22.9062,22.9062,1
20200414,22.81,22.81,22.76,22.76,1400
20200415,22.91,22.91,22.8428,22.8428,1308
20200420,23.22,23.22,23.1824,23.1824,769
20200421,23,23,22.8123,22.8123,847
20200422,23.1223,23.1223,23.1223,23.1223,3
20200424,23.2717,23.2717,23.2717,23.2717,2
20200427,23.51,23.57,23.51,23.5374,847
20200428,23.73,23.732,23.6279,23.6279,700
20200430,23.7075,23.7075,23.7075,23.7075,2
20200507,23.5574,23.5574,23.5574,23.5574,1
20200512,23.5969,23.5969,23.5969,23.5969,6
20200513,23.3914,23.3914,23.3914,23.3914,5
20200515,23.43,23.4651,23.43,23.4651,125
20200518,24.016,24.016,24.016,24.016,1
20200519,24.01,24.01,23.8642,23.8642,125
20200520,24.24,24.24,24.15,24.1505,606
20200521,24.06,24.06,24.047,24.047,100
