Date,Open,High,Low,Close,Volume
20150819,24.7,24.7,24.67,24.67,200
20151214,22.09,22.09,22.06,22.06,300
20160624,17.26,17.26,16.7299,16.73,1425
20160627,16.33,16.33,16.33,16.33,100
20160701,17.48,17.48,17.47,17.47,799
20160708,17.22,17.22,17.22,17.22,100
20160711,17.47,17.47,17.47,17.47,299
20160718,17.92,17.92,17.92,17.92,199
20160721,17.92,17.93,17.92,17.92,400
20160728,17.82,17.82,17.82,17.82,200
20160808,17.9501,17.9501,17.9501,17.9501,500
20160916,17.45,17.45,17.45,17.45,100
20160928,17.49,17.49,17.49,17.49,100
20161003,17.61,17.61,17.61,17.61,100
20161005,17.79,17.79,17.79,17.79,100
20161108,18.19,18.26,18.19,18.26,200
20170104,21.16,21.16,21.16,21.16,100
20170110,20.88,20.88,20.88,20.88,100
20170123,18.69,20.88,18.69,20.88,600
20170124,20.88,20.89,20.88,20.89,200
20170126,20.83,20.83,20.83,20.83,100
20170127,20.67,20.67,20.67,20.67,500
20170208,19.66,20.01,19.66,20.01,200
20170303,20.89,20.92,20.89,20.92,200
20170306,20.77,20.77,20.77,20.77,100
20170424,21.83,21.83,21.83,21.83,100
20170503,22.18,22.18,22.18,22.18,500
20170505,23.07,23.07,23.07,23.07,261
20170508,23,23.07,23,23.07,200
20170509,22.96,22.99,22.96,22.99,400
20170525,23.1001,23.1001,23.1001,23.1001,260
20170613,23.0099,23.0099,23.007,23.007,870
20170717,22.96,22.96,22.96,22.96,850
20170725,22.96,22.96,22.9498,22.9598,403
20170728,22.8704,22.8704,22.8704,22.8704,654
20170801,23.105,23.105,23.105,23.105,300
20170804,23.38,23.38,23.36,23.36,600
20170809,23.3599,23.3599,23.3599,23.3599,150
20170811,22.79,22.79,22.79,22.79,285
20170816,23.4699,23.4699,23.4699,23.4699,308
20170823,23.18,23.18,23.18,23.18,309
20170908,23.29,23.31,23.29,23.31,200
20170913,23.7,23.7,23.7,23.7,100
20170925,24.02,24.02,24.02,24.02,100
