Date,Open,High,Low,Close,Volume
20201221,30.2,30.3,30,30.26,288318
20201222,30.2799,30.3,30.2199,30.23,167260
20201223,30.51,30.51,30.3051,30.31,26384
20201224,30.32,30.32,30.31,30.3113,3296
20201228,30.43,30.5,30.42,30.442,55367
20201229,30.46,30.47,30.4,30.43,116281
20201230,30.46,30.46,30.37,30.4121,15688
20201231,30.395,30.5,30.39,30.4884,26640
20210104,30.375,30.375,30.2,30.3203,500744
20210105,30.36,30.45,30.3,30.3874,64353
20210106,30.36,30.6,30.35,30.4696,37549
20210107,30.56,30.68,30.551,30.6338,23974
20210108,30.93,30.93,30.54,30.683,21648
20210111,30.64,30.68,30.55,30.57,77400
20210112,30.585,30.63,30.559,30.5999,849350
20210113,30.62,30.68,30.5951,30.6187,31093
20210114,30.64,30.65,30.57,30.57,19645
20210115,30.539,30.55,30.4858,30.4858,19403
20210119,30.55,30.6,30.5081,30.5799,25739
20210120,30.67,30.769,30.67,30.7499,213225
20210121,30.718,30.76,30.67,30.7238,17400
20210122,30.685,30.72,30.65,30.7123,46583
20210125,30.71,30.74,30.58,30.71,339427
20210126,30.72,30.72,30.64,30.6541,77541
20210127,30.5,30.5,30.28,30.333,44639
20210128,30.465,30.525,30.37,30.4799,8784
20210129,30.39,30.39,30.17,30.235,11203
20210201,30.32,30.455,30.285,30.37,3571
20210202,30.57,30.62,30.55,30.55,3917
20210203,30.62,30.6446,30.58,30.58,5066
20210204,30.67,30.72,30.67,30.7086,5946
20210205,30.755,30.77,30.755,30.7591,2320
20210208,30.78,30.8286,30.775,30.8,6564
20210209,30.8,30.81,30.75,30.75,863512
20210210,30.8,30.8,30.72,30.7723,7504
20210211,30.83,30.83,30.7,30.76,7512
20210212,30.8,30.82,30.79,30.81,1475
20210216,30.8434,30.85,30.78,30.79,3419
20210217,30.745,30.7934,30.745,30.7934,2502
20210218,30.72,30.78,30.675,30.76,30314
20210219,30.78,30.8,30.73,30.73,3044
20210222,30.65,30.76,30.64,30.6722,23312
20210223,30.6299,30.73,30.59,30.7071,14536
20210224,30.74,30.83,30.718,30.8298,10168
20210225,30.81,30.84,30.54,30.61,33934
20210226,30.38,30.65,30.38,30.5737,9958
20210301,30.7101,30.85,30.7101,30.813,5568
20210302,30.7705,30.791,30.72,30.7261,1523
20210303,30.68,30.7,30.601,30.601,1438
20210304,30.6428,30.6428,30.34,30.4294,22770
20210305,30.5099,30.67,30.3907,30.6572,14391
20210308,30.68,30.7401,30.6164,30.6164,4040
20210309,30.795,30.795,30.75,30.7675,2674
20210310,30.83,30.855,30.8,30.8316,3794
20210311,30.98,30.99,30.9001,30.9204,1769
20210312,30.8701,30.9328,30.8701,30.9328,963
20210315,30.9001,30.9893,30.9001,30.9711,2702
20210316,30.9832,30.9832,30.9832,30.9832,440
20210317,30.98,31.0272,30.9517,31.0272,2182
20210318,30.926,30.96,30.9152,30.9152,1205
20210319,30.89,30.8969,30.89,30.8969,540
20210322,30.945,31.08,30.945,30.975,15377
20210323,31.04,31.04,30.9453,30.9453,1112
20210324,31.05,31.08,30.9152,30.9152,9592
20210325,30.88,30.966,30.86,30.966,1974
20210326,31.025,31.0901,31.02,31.08,1887
20210329,31.1,31.1239,31.1,31.1239,547
20210330,31.11,31.14,31.0803,31.0803,3878
20210331,31.2,31.2178,31.1501,31.1808,8485
20210401,31.2,31.2833,31.2,31.2798,490156
20210405,31.4,31.45,31.4,31.4201,1279
20210406,31.3822,31.4293,31.3818,31.3818,1237
20210407,31.36,31.3966,31.36,31.3966,720
20210408,31.4141,31.4786,31.4141,31.4377,3423
20210409,31.478,31.5152,31.468,31.5152,3576
20210412,31.47,31.52,31.47,31.4871,3292
20210413,31.49,31.5049,31.4501,31.5049,26972
20210414,31.48,31.48,31.4648,31.4648,394
