Date,Open,High,Low,Close,Volume
20080430,26.56,26.75,26.52,26.52,1200
20080501,27.09,27.99,27.04,27.5,119558
20080502,27.21,28.43,26.19,26.21,60725
20080505,25.71,25.86,23.65,25.46,16048
20080506,25.37,25.37,24.37,24.65,19724
20080507,24.75,25.02,24.27,24.29,44855
20080508,24.28,24.36,23.58,23.64,19498
20080509,23.03,23.64,23.02,23.14,46791
20080512,23.37,23.77,23.09,23.77,28806
20080513,23.76,23.87,22.98,23.23,20835
20080514,23.41,23.99,23.41,23.97,20200
20080515,23.46,24.64,23.33,23.81,20490
20080516,22.79,23.1,22.75,22.98,39887
20080519,23.02,23.3,22.85,22.97,50060
20080520,22.49,22.49,22,22.33,22400
20080521,22.1,22.1,20.84,20.92,40646
20080522,20.75,21.76,20.63,21.76,65711
20080523,20.97,21.95,20.97,21.95,36867
20080527,22.47,22.47,21.94,22.45,28730
20080528,23.06,23.07,21.96,22.09,27195
20080529,22.89,24.04,21.85,23.71,43898
20080530,23.52,24.03,23.25,23.26,26938
20080602,23.51,23.51,22.37,22.82,13759
20080603,23.16,23.8,23.09,23.72,61713
20080604,24.49,25,24.05,24.38,50624
20080605,23.98,24.04,22.52,22.52,87430
20080606,21.2,21.45,19.96,20.25,105227
20080609,20.28,21.14,20.15,21,44360
20080610,20.84,21.54,20.35,21.46,98380
20080611,20.45,21.27,19.07,19.34,110177
20080612,20.53,20.7,19.37,19.56,29135
20080613,20.25,20.25,19.65,19.84,11025
20080616,18.63,19.97,18.48,19.92,126589
20080617,19.96,19.96,19.52,19.63,30454
20080618,19.35,20.02,18.88,19.06,58684
20080619,19.57,20.24,19.07,20.24,65792
20080620,19.5,19.85,19.16,19.7,21950
20080623,20,20,19.24,19.5,32299
20080624,19.5,19.77,19.4,19.63,6800
20080625,19.75,20.52,19.7,19.7,32088
20080626,18.6,18.9,18.1,18.1,37396
20080627,18.01,18.18,17.56,18.11,48424
20080630,17.74,18.94,17.58,18.73,19577
20080701,18.62,18.9,18.2,18.5,26442
20080702,18.8,18.81,17.56,17.76,43528
20080703,17.8,18.05,17.6,17.62,59981
20080707,18.64,19.08,18.39,18.69,51869
20080708,19.59,20.13,19.17,19.91,176463
20080709,19.91,20,19.54,19.75,36621
20080710,19.5,19.5,18.59,18.71,35943
20080711,18,18.47,17.5,17.87,85589
20080714,18.02,18.56,18.02,18.06,22340
20080715,18.6,19.88,18.2,19.43,45346
20080716,20,21.5,19.77,19.9,76375
20080717,20.47,21.2,19.76,20.93,91855
20080718,21.25,21.82,20.75,21.52,316616
20080721,21.67,21.77,21.17,21.23,65625
20080722,21.25,22.25,21.25,21.98,76160
20080723,22.5,23,22.09,22.8,101662
20080724,22.83,23,22.59,22.94,58922
20080725,22.99,23.44,22.55,22.83,27654
20080728,22.91,22.91,22.5,22.57,56126
20080729,23.08,23.5,23,23.2,53184
20080730,23.3,23.37,22.36,22.36,60169
20080731,22.27,23.23,22.26,23.05,34170
20080801,22.6,23.43,22.17,23.43,37237
20080804,23.67,24.88,23.21,24.56,71488
20080805,25.31,25.4,24.6,25.25,84472
20080806,25,26,24.5,25.79,152904
20080807,25.23,25.46,24.89,25.11,37433
20080808,26.01,26.82,25.86,26.59,78852
20080811,26.7,27.18,26.45,26.84,105988
20080812,26.92,27.49,26.64,27.2,68309
20080813,27.48,27.48,25,25.72,98831
20080814,25.74,26.78,25.66,25.98,40373
20080815,26.93,27.31,26.58,26.75,57369
20080818,26.77,26.82,26,26.34,27491
20080819,26.85,26.85,25.35,25.7,38126
20080820,25.12,26.26,25.12,25.4,43233
20080821,24.23,24.66,23.24,23.66,99617
20080822,24.28,25.63,24.28,25.33,27983
20080825,25.18,25.8,25.14,25.5,22958
20080826,25.97,25.97,25.2,25.33,230670
20080827,24.92,25.58,24.67,25.07,51686
20080828,24.91,26.28,24.83,25.71,16914
20080829,25.62,26.23,25.42,26.23,2240
20080902,28.49,29.05,27.92,27.93,46694
20080903,28.77,29.08,28.23,28.32,70686
20080904,28.28,29,28.11,28.87,52321
20080905,29.25,29.85,29.04,29.53,58913
20080908,28.92,29.89,28.58,29.41,63339
20080909,30.28,31.23,30.23,31.21,441268
20080910,30.61,31.45,30.31,31.05,58812
20080911,31.29,31.7,30.91,31.54,96806
20080912,30.96,31.13,30.29,30.84,105166
20080915,32.55,33.73,30.72,32.26,61748
20080916,33.37,34.04,32.14,33.35,89367
20080917,33.4,33.8,30.72,31.58,127807
20080918,30.21,32,25.82,31.4,137577
20080919,29.03,31.5,28.5,30.09,55896
20080922,27.15,29.83,27.15,28.41,77592
20080923,27.01,32.38,26.45,29.09,116992
20080924,28.13,29.63,28.13,29.57,13224
20080925,29.71,29.86,28.9,29.03,47154
20080926,29.66,30.26,29.23,29.53,15544
20080929,31.35,34.78,30,32.79,57091
20080930,32.43,32.65,31.92,31.92,32534
20081001,32.64,33.88,32.32,32.99,31030
20081002,33.51,36.34,33.51,36.31,308510
20081003,36.34,37.19,35.29,37.03,287140
20081006,38.5,39.84,37.8,39.52,106605
20081007,38.39,39.44,37.81,39.28,51481
20081008,39.48,39.93,38.32,38.46,69027
20081009,38.46,40,37.39,39.64,17540
20081010,43.53,44.2,34.95,42.64,78310
20081013,41.75,42.48,40.83,41.55,56442
20081014,40.6,42.7,40.36,42.4,113960
20081015,44.38,45.19,43.84,45.13,61793
20081016,45.81,47.68,45.49,46.22,84365
20081017,46.84,46.92,45.17,45.77,26796
20081020,45.43,46.05,44,44.5,54067
20081021,46.25,46.92,45.91,46.31,31689
20081022,48.17,49.69,48.1,49.39,78180
20081023,49.53,49.76,47.9,48.61,28543
20081024,52.1,52.1,49.81,50.68,148307
20081027,51.8,51.89,49.36,50.92,81174
20081028,49.79,51,49.11,49.88,30304
20081029,48.54,48.97,47.1,47.63,85226
20081030,47.59,49.9,47.59,48.91,35552
20081031,49.7,50.05,48.31,48.31,20497
20081103,49.86,50.95,47.63,50.57,39892
20081104,48.29,48.29,43.09,44.84,101824
20081105,46,49.83,44.5,49.61,143470
20081106,51.36,54.71,50.44,53.69,60946
20081107,53.4,54.33,52.55,53.86,49571
20081110,50.12,54.77,49.9,52.78,38842
20081111,54.46,57.59,52.8,55.94,31295
20081112,57.74,59.03,56.58,58.97,40391
20081113,58.55,59.65,55.06,55.75,47069
20081114,57.13,57.93,56.3,57.06,37303
20081117,57.51,59.08,56.07,58.98,28636
20081118,59.21,60.18,58.3,59.92,18874
20081119,59.84,60.97,58.98,60.89,46100
20081120,62.86,65.34,62.47,65.33,64263
20081121,63.95,65.39,62.71,64.13,40534
20081124,62.66,63.41,57.35,59.97,71742
20081125,60.9,62.81,60.9,62.52,21853
20081126,61.78,62.98,60.01,60.21,30198
20081128,62,63.13,61.91,62.54,10257
20081201,66.12,68.67,65.56,68.67,40970
20081202,68.17,71.27,67.5,70.56,41135
20081203,71.35,72.87,70.18,72.12,51919
