Date,Open,High,Low,Close,Volume
20201118,25.2,25.26,25.0097,25.0104,177995
20201119,25.11,25.16,25.01,25.1471,95908
20201120,25.18,25.269,25.17,25.2491,70491
20201123,25.37,25.39,25.175,25.23,102365
20201124,25.5,25.69,25.473,25.6436,203876
20201125,25.58,25.66,25.47,25.608,116611
20201127,25.7,25.75,25.7,25.7461,55846
20201130,25.69,25.69,25.28,25.28,446903
20201201,25.64,25.82,25.64,25.82,158435
20201202,25.71,25.85,25.706,25.8028,117503
20201203,25.95,26.02,25.84,25.8666,170068
20201204,26.07,26.15,26.0687,26.1183,138849
20201207,26.09,26.095,25.9,25.9383,122299
20201208,25.9,26.04,25.9,26.04,202708
20201209,26.2,26.259,25.92,26.08,271983
20201210,25.94,26.15,25.901,26.105,267998
20201211,26.02,26.02,25.86,25.9894,146433
20201214,26.24,26.24,26.0002,26.02,120637
20201215,26.15,26.3127,26.1233,26.3019,165129
20201216,26.37,26.42,26.27,26.4139,169807
20201217,26.59,26.61,26.5158,26.5158,209728
20201218,26.55,26.56,26.3802,26.432,328944
20201221,25.9,26.14,25.6901,26.05,165446
20201222,26.08,26.08,25.938,26,139252
20201223,26.25,26.319,26.21,26.3,121192
20201224,26.3,26.33,26.2395,26.2964,51007
20201228,26.56,26.59,26.43,26.47,136273
20201229,26.79,26.79,26.6112,26.64,103312
20201230,26.81,26.86,26.68,26.71,168346
20201231,26.69,26.69,26.46,26.52,123989
20210104,27.01,27.01,26.55,26.6376,69612
20210105,26.73,26.999,26.7195,26.91,348534
20210106,27.02,27.37,27.02,27.29,206772
20210107,27.35,27.35,27.19,27.32,266169
20210108,27.4719,27.495,27.27,27.47,216541
20210111,27.2,27.22,27.03,27.1253,118655
20210112,27.1,27.32,27.0792,27.32,73214
20210113,27.31,27.34,27.24,27.25,98477
20210114,27.38,27.5399,27.32,27.44,135516
20210115,27.23,27.23,26.915,27.02,217175
20210119,27.23,27.249,27.1259,27.24,100655
20210120,27.34,27.47,27.29,27.44,221632
20210121,27.5,27.5,27.31,27.44,276766
20210122,27.24,27.35,27.18,27.3197,98189
20210125,27.06,27.23,26.9805,27.2179,154666
20210126,27.31,27.31,27.2,27.24,97265
20210127,26.81,26.89,26.52,26.61,198992
20210128,26.71,26.99,26.71,26.86,64775
20210129,26.6,26.6299,26.19,26.3259,261690
20210201,26.64,26.6699,26.5199,26.64,87362
20210202,26.83,26.96,26.75,26.95,248336
20210203,27.03,27.0975,26.9,27.05,81209
20210204,27,27.0899,26.955,27.05,134063
20210205,27.24,27.27,27.14,27.27,120680
20210208,27.46,27.53,27.415,27.48,119197
20210209,27.54,27.67,27.508,27.63,108414
20210210,27.7,27.7322,27.48,27.53,139801
20210211,27.75,27.759,27.6,27.72,68886
20210212,27.64,27.87,27.64,27.86,81920
20210216,28.1,28.1799,28.03,28.06,75505
20210217,27.9,27.95,27.77,27.914,117909
20210218,27.8,27.8,27.575,27.75,127529
20210219,27.86,27.949,27.81,27.85,55501
20210222,27.73,27.99,27.73,27.82,118954
20210223,27.89,27.94,27.5601,27.877,136043
20210224,27.73,28.04,27.695,28.01,178169
20210225,28.14,28.14,27.48,27.55,140747
20210226,27.48,27.48,27.11,27.1699,100415
20210301,27.5,27.66,27.475,27.64,163540
20210302,27.62,27.7,27.55,27.63,99309
20210303,27.61,27.69,27.45,27.5,95141
20210304,27.54,27.66,27.09,27.27,149171
20210305,27.45,27.47,27.073,27.47,118763
20210308,27.37,27.5888,27.37,27.41,122803
20210309,27.71,27.83,27.67,27.73,128717
20210310,27.84,27.92,27.69,27.88,190009
20210311,27.98,28.08,27.9054,28.06,140563
20210312,27.92,28.14,27.86,28.1399,75714
20210315,28.14,28.22,27.9596,28.22,158113
20210316,28.28,28.28,28.18,28.24,141468
20210317,28.15,28.45,28.1,28.4,124105
20210318,28.33,28.459,28.13,28.16,102927
20210319,28.19,28.289,28.025,28.24,73378
20210322,28.25,28.33,28.195,28.26,189345
20210323,27.96,27.97,27.71,27.75,115063
20210324,27.71,27.779,27.57,27.58,86195
20210325,27.6,27.8,27.5,27.75,68271
20210326,27.85,28.1329,27.85,28.1262,117011
20210329,28,28.06,27.89,28.02,65252
20210330,27.91,28.02,27.82,27.97,123758
20210331,27.91,28.01,27.836,27.88,169861
20210401,28.06,28.253,28,28.24,130201
20210405,28.39,28.66,28.39,28.63,221174
20210406,28.35,28.43,28.31,28.38,94329
20210407,28.42,28.5,28.354,28.46,109949
20210408,28.52,28.6,28.47,28.56,65731
20210409,28.57,28.66,28.5196,28.66,113470
20210412,28.54,28.56,28.4635,28.5017,107658
20210413,28.58,28.68,28.5254,28.63,187847
20210414,28.66,28.77,28.64,28.64,89819
20210415,28.88,28.9,28.8099,28.86,104165
20210416,29.01,29.1,28.9662,29.1,75397
20210419,29.13,29.13,28.95,29.03,135834
20210420,28.74,28.74,28.435,28.51,161212
20210421,28.43,28.789,28.425,28.775,80363
20210422,28.86,28.86,28.62,28.6916,76066
20210423,28.8,29.029,28.79,28.97,74630
20210426,29,29.05,28.9764,29.03,99766
20210427,28.89,28.98,28.87,28.95,70227
20210428,28.95,29.1,28.939,29.06,65596
20210429,29.18,29.18,28.8737,29.08,138150
20210430,28.88,28.94,28.63,28.7,77099
20210503,28.89,29.07,28.89,29.05,80921
20210504,28.78,28.84,28.51,28.68,132245
20210505,28.96,29.1,28.898,29.07,83943
20210506,29.11,29.29,28.98,29.29,110914
20210507,29.36,29.65,29.359,29.65,65731
20210510,29.72,29.77,29.5,29.53,446209
20210511,29.02,29.21,28.935,29.15,149681
20210512,28.93,29.02,28.6,28.67,374073
20210513,28.69,28.93,28.6692,28.89,106257
20210514,29.09,29.36,29.09,29.36,65454
20210517,29.23,29.346,29.1545,29.29,70735
20210518,29.57,29.57,29.405,29.41,105695
20210519,29.05,29.24,28.915,29.08,65049
20210520,29.32,29.539,29.28,29.5,72378
20210521,29.58,29.59,29.41,29.48,55658
20210524,29.63,29.7499,29.5326,29.71,252228
20210525,29.78,29.78,29.6085,29.67,209392
20210526,29.62,29.713,29.619,29.66,142736
20210527,29.69,29.81,29.67,29.765,112578
20210528,29.83,29.91,29.795,29.82,124886
20210601,30.09,30.09,29.93,29.93,118753
20210602,30.03,30.0999,29.9977,30.059,125468
20210603,29.92,29.94,29.81,29.905,122712
20210604,30.13,30.19,30.09,30.18,133598
20210607,30.23,30.28,30.1899,30.27,112329
20210608,30.31,30.31,30.17,30.2396,154676
20210609,30.25,30.25,30.13,30.14,167863
20210610,30.21,30.28,30.145,30.219,153566
20210611,30.27,30.3275,30.165,30.29,90224
20210614,30.27,30.3,30.2092,30.3,83103
20210615,30.32,30.36,30.235,30.33,116229
20210616,30.36,30.369,30.0453,30.12,92621
20210617,29.9,29.9612,29.725,29.865,133715
20210618,29.34,29.3586,29.22,29.25,167930
