Date,Open,High,Low,Close,Volume
20211116,50.18,50.18,50.08,50.0848,586542
20211117,50.1,50.19,50.07,50.185,204533
20211118,50.15,50.27,50.15,50.2342,31158
20211119,50.37,50.4293,50.2801,50.3096,17586
20211122,50.13,50.14,49.97,49.9749,10985
20211123,49.93,49.96,49.8365,49.8365,28847
20211124,49.7501,49.9,49.7501,49.9,26685
20211126,50.23,50.28,50.19,50.19,19603
20211129,50.11,55.03,50.08,50.2398,204783
20211130,50.44,50.54,50.26,50.35,128043
20211201,50.239,50.44,50.16,50.3379,123536
20211202,50.39,50.39,50.1761,50.29,35827
20211203,50.22,50.55,50.21,50.456,54514
20211206,50.43,50.43,50.27,50.31,58123
20211207,50.26,50.28,50.1701,50.24,84785
20211208,50.38,50.38,50.07,50.1,75669
20211209,50.175,50.25,50.15,50.1654,319720
20211210,50.2493,50.2998,50.16,50.185,77459
20211213,50.26,50.36,50.26,50.3303,130651
20211214,50.235,50.29,50.2,50.2399,64783
20211215,50.1894,50.245,50.0901,50.19,55454
20211216,50.29,50.3292,50.26,50.2745,39927
20211217,50.4,50.43,50.29,50.34,74337
20211220,50.38,50.39,50.26,50.265,34741
20211221,50.25,50.25,49.97,50.1554,116748
20211222,50.21,50.33,50.1001,50.1687,392286
20211223,50.16,50.29,50.08,50.1295,235832
20211227,50.08,50.1599,50.08,50.14,57969
20211228,50.21,50.22,50.1501,50.18,244170
20211229,50.07,50.22,49.99,50.0261,149657
20211230,50.04,50.137,50.02,50.13,194918
20211231,50.1494,50.169,50.1184,50.1184,15293
20220103,50.07,50.07,49.8001,49.817,123969
20220104,49.76,49.8299,49.7001,49.8148,218256
20220105,49.79,49.8,49.58,49.5861,140117
20220106,49.464,49.78,49.459,49.495,121797
20220107,49.41,49.64,49.28,49.3317,221234
20220110,49.18,49.54,49.1491,49.25,180894
20220111,49.21,49.62,49.17,49.345,205971
20220112,49.42,49.53,49.359,49.3597,121198
20220113,49.3593,49.441,49.34,49.44,65562
20220114,49.34,49.34,49.1609,49.18,80481
20220118,48.94,49.06,48.76,48.79,106042
20220119,48.86,48.969,48.86,48.89,97728
20220120,48.92,48.97,48.8601,48.89,40564
20220121,49.03,49.17,49.03,49.07,107915
20220124,49.18,49.2,49.07,49.07,77905
20220125,49.11,49.14,48.99,48.99,75853
20220126,49.07,49.07,48.68,48.7065,46444
20220127,48.72,48.87,48.72,48.74,95237
20220128,48.66,48.86,48.52,48.85,86984
20220131,48.77,48.9,48.759,48.86,99729
20220201,48.88,48.9,48.79,48.85,132682
20220202,48.92,49.05,48.9001,48.91,72679
20220203,48.74,48.74,48.65,48.72,91824
20220204,48.38,48.38,48.27,48.32,54351
20220207,48.31,48.435,48.29,48.39,214546
20220208,48.28,48.29,48.18,48.22,173515
20220209,48.25,48.41,48.22,48.22,210193
20220210,47.97,48.04,47.71,47.72,93630
20220211,47.99,48.099,47.7,48.0431,201420
20220214,47.81,48.06,47.6138,47.74,257040
20220215,47.66,47.97,47.65,47.66,339620
20220216,47.76,47.76,47.61,47.74,166800
20220217,47.76,47.91,47.76,47.86,92653
20220218,47.95,47.96,47.86,47.93,134550
