Date,Open,High,Low,Close,Volume
20200224,30.52,30.52,30.27,30.33,1103179
20200225,30.37,30.38,29.855,29.91,947318
20200226,29.981,31,29.77,29.8248,751054
20200227,29.59,29.77,29.25,29.34,621947
20200228,29.03,30.2,28.6871,29.22,2192661
20200302,29.33,30.03,29.105,29.85,1964423
20200303,29.9,30.1,29.2697,29.49,993057
20200304,29.78,29.999,29.5294,29.98,243099
20200305,29.44,29.78,29.365,29.45,1599275
20200306,29.2,29.6132,28.8518,29.35,1541972
20200309,29.63,29.945,27.3601,28.44,874601
20200310,28.84,28.86,28.1144,28.7716,1644171
20200311,28.69,28.69,27.9378,28.25,298274
20200312,27.85,28.79,26.77,27,1796028
20200313,28.07,28.07,26.7,27.98,407525
20200316,27.46,28.56,26.05,26.34,222408
20200317,26.08,27.06,26.05,26.72,928295
20200318,26.71,26.71,25.24,26.062,330922
20200319,26.07,26.5,25.574,26.49,182480
20200320,26.54,27.02,26.09,26.29,108820
20200323,26.45,26.45,25.7701,26.28,96001
20200324,27.39,27.4,26.79,27.1116,43531
20200325,27.33,27.5499,26.79,27.17,175089
20200326,27.46,27.81,27.27,27.8,151677
20200327,27.4061,27.66,27.15,27.32,162780
20200330,27.14,27.83,27.1,27.83,83855
20200331,27.79,27.809,27.33,27.54,162908
20200401,27.3,27.335,26.65,26.86,36998
20200402,27.0468,27.419,26.78,27.38,43998
20200403,27.08,27.375,26.955,27.1715,56323
20200406,27.72,27.96,27.43,27.9,65260
20200407,28.05,28.27,27.94,27.9657,48946
20200408,27.8,28.38,27.75,28.38,36744
20200409,28.6,28.6199,28.28,28.51,42154
20200413,28.23,28.37,28.0526,28.365,58760
20200414,28.475,28.8,28.45,28.79,80510
20200415,28.48,28.58,28.2001,28.52,103705
20200416,28.56,28.569,28.32,28.465,79970
20200417,28.37,28.82,28.37,28.795,39750
20200420,28.51,28.85,28.43,28.58,158069
20200421,28.1,28.39,28.1,28.36,268486
20200422,28.48,28.6199,28.3,28.445,436704
20200423,28.61,28.79,28.4,28.4184,68045
20200424,28.522,28.74,28.4,28.705,70443
20200427,28.6,28.97,28.6,28.84,113829
20200428,29.16,29.16,28.7835,28.859,85088
20200429,29.1,29.37,28.84,29.26,144492
20200430,29.17,29.17,28.7701,29.1,125791
20200501,28.79,28.81,28.45,28.59,53799
20200504,28.3807,28.69,28.3807,28.65,23389
20200505,28.84,28.99,28.763,28.82,42657
20200506,28.805,28.91,28.6301,28.75,124056
20200507,28.94,29.01,28.755,28.87,70862
20200508,29.04,29.18,28.8999,29.0255,63203
20200511,29.03,29.22,28.96,29.04,75695
20200512,29.2,29.2,28.85,28.85,66372
20200513,28.73,28.8597,28.4001,28.61,70784
20200514,28.339,28.8,28.27,28.6752,120323
20200515,28.65,28.85,28.4521,28.83,63454
20200518,28.93,29.3,28.93,29.07,43475
20200519,29.16,29.3199,29,29.1,89902
20200520,29.29,29.3979,29.14,29.34,110064
20200521,29.16,29.44,29.1,29.11,88162
20200522,29.1,29.3,29.1,29.2436,29975
20200526,29.495,29.57,29.33,29.3583,410106
20200527,29.41,29.53,29.1924,29.46,244201
20200528,29.656,29.82,29.45,29.46,133472
20200529,29.39,29.67,29.34,29.67,93043
20200601,29.45,29.75,29.45,29.6302,567152
20200602,29.7183,29.85,29.56,29.75,274711
20200603,29.845,30.0025,29.7801,30.0025,1413365
20200604,29.75,29.98,29.75,29.9,755438
20200605,30.17,30.32,30.11,30.16,430231
20200608,30.3,30.49,30.1417,30.49,168278
20200609,30.2,30.3999,30.2,30.32,113707
20200610,30.35,30.39,30.1401,30.24,45255
20200611,29.81,29.8488,29.23,29.3,227581
20200612,29.7068,29.76,29.2296,29.58,140530
20200615,29.24,29.7,29.22,29.7,25409
20200616,29.985,30,29.74,29.93,128823
20200617,29.93,29.99,29.8,29.9,46202
20200618,29.67,29.91,29.67,29.91,80264
20200619,30.05,30.0799,29.67,29.83,43138
20200622,29.66,29.96,29.66,29.8593,20362
20200623,30.07,30.1003,29.899,29.95,47669
20200624,29.93,29.94,29.5,29.6029,61579
20200625,29.47,29.85,29.47,29.84,43523
