Date,Open,High,Low,Close,Volume
20210913,33.43,34.21,33.43,33.57,73419
20210914,33.47,33.69,33.33,33.43,67355
20210915,33.17,33.66,33.17,33.6549,99996
20210916,33.56,33.62,33.36,33.59,619771
20210917,33.35,33.39,32.965,33.0669,141596
20210920,33.02,33.02,31.92,32.25,184655
20210921,32.06,32.54,32.06,32.3285,106909
20210922,32.55,32.985,32.55,32.6893,98373
20210923,33,33.23,32.89,33.105,124307
20210924,32.75,33.07,32.73,32.9641,161110
20210927,32.92,33.41,32.92,33.34,193597
20210928,33.31,33.31,32.831,32.9141,109071
20210929,33.03,33.13,32.92,32.92,66007
20210930,32.96,32.98,32.6916,32.745,78229
20211001,32.77,32.9183,32.4815,32.8489,145386
20211004,32.79,33,32.55,32.6914,151975
20211005,32.8,33.18,32.8,33.0701,88196
20211006,32.52,32.79,32.375,32.73,92646
20211007,32.98,33.24,32.94,33.0546,86092
20211008,33.16,33.29,33.13,33.1689,59237
20211011,33.41,33.52,33.25,33.2509,74818
20211012,33.35,33.4298,33.21,33.31,70212
20211013,33.31,33.4603,33.175,33.35,81707
20211014,33.65,33.7699,33.6301,33.75,75722
20211015,33.95,34.075,33.8701,34.05,82530
20211018,33.76,33.94,33.76,33.87,79773
20211019,34.04,34.0899,33.9,34,120035
20211020,33.99,34.2499,33.94,34.21,84346
20211021,34.03,34.05,33.8613,33.9303,88572
20211022,33.99,34.1599,33.92,34.05,159297
20211025,34.04,34.17,34.0221,34.09,119713
20211026,34.22,34.28,34.07,34.14,105657
20211027,33.985,34.15,33.95,33.95,63077
20211028,34.07,34.17,33.86,34.1,133211
20211029,33.9,33.92,33.7704,33.8739,121248
20211101,34.05,34.25,34.04,34.1862,102051
20211102,33.98,34.0799,33.921,33.94,122787
20211103,33.88,34.2199,33.85,34.1,119970
20211104,34.03,34.05,33.8313,33.98,109254
20211105,34.05,34.15,33.94,34.04,210616
20211108,34.1,34.2734,34.0603,34.15,80264
20211109,34.12,34.1617,33.9,33.99,155392
20211110,34.07,34.0849,33.7057,33.75,103747
20211111,33.88,33.9699,33.83,33.85,106743
20211112,33.91,34.04,33.91,34.02,165327
20211115,34.07,34.12,33.9,33.95,129000
20211116,33.94,33.99,33.79,33.79,152378
20211117,33.72,33.91,33.69,33.76,135678
20211118,33.69,33.76,33.5376,33.7,120293
20211119,33.4,33.4,33.11,33.11,119324
20211122,33.19,33.57,33.15,33.24,302799
20211123,33.21,33.57,33.21,33.45,232174
20211124,32.95,33.26,32.95,33.2,183281
20211126,32.29,32.29,31.8365,32.03,71797
20211129,32.18,32.3202,31.95,32.035,176301
20211130,31.95,31.9813,31.495,31.69,174038
20211201,32.4,32.4738,31.61,31.61,282107
20211202,31.86,32.34,31.8537,32.16,272688
20211203,32.26,32.305,31.91,32.1352,175852
20211206,32.47,32.6699,32.32,32.47,291646
20211207,32.85,33.1599,32.85,33.08,238236
20211208,33.18,33.23,33.01,33.1292,126874
20211209,32.89,32.9382,32.71,32.78,177181
20211210,32.93,32.949,32.7301,32.91,176469
20211213,32.64,32.64,32.4101,32.45,91001
20211214,32.48,32.675,32.27,32.43,182777
20211215,32.5,32.72,32.28,32.64,127036
20211216,32.32,32.47,32.18,32.31,227342
20211217,32.15,32.15,31.82,31.82,371173
20211220,31.61,31.67,31.39,31.67,964885
20211221,31.81,32.14,31.81,32.12,771472
20211222,32.02,32.44,32.0049,32.39,271569
20211223,32.46,32.79,32.46,32.59,315147
20211227,32.63,32.95,32.6171,32.89,537775
20211228,32.86,33.0199,32.8511,32.92,361796
20211229,32.86,33.04,32.86,32.91,482413
20211230,32.95,33.285,32.765,32.82,285259
20211231,32.7,32.95,32.7,32.82,232433
20220103,32.96,33.199,32.9415,33.17,227233
20220104,33.5,33.7875,33.5,33.64,351486
20220105,33.97,34.09,33.62,33.62,465114
20220106,33.82,33.93,33.7001,33.85,237778
20220107,33.85,34.2099,33.85,34.16,180709
20220110,34.01,34.11,33.805,34.08,407420
20220111,34.18,34.6,34.1022,34.56,187197
20220112,34.89,35.05,34.8642,35.01,143355
20220113,35.27,35.39,35.09,35.1,238208
20220114,35.07,35.27,35,35.27,240670
20220118,34.97,35.07,34.79,34.92,333491
20220119,35.12,35.12,34.8,34.84,226379
20220120,34.81,34.92,34.41,34.41,196838
20220121,34.24,34.2599,33.8801,33.93,197270
20220124,33.36,33.53,32.68,33.53,661365
20220125,33.32,33.87,33,33.73,529153
20220126,34.09,34.1679,33.5,33.64,250188
20220127,33.9,34.1273,33.4757,33.65,331022
20220128,33.47,33.67,33.2105,33.62,504803
20220131,33.43,33.95,33.43,33.93,176549
20220201,34.05,34.38,34.025,34.34,245119
20220202,34.54,34.6999,34.46,34.65,392876
20220203,34.6,34.72,34.4703,34.54,419495
20220204,34.4,34.78,34.3317,34.56,355438
20220207,34.69,34.894,34.64,34.77,207041
20220208,34.88,35.05,34.7101,35.03,323377
20220209,35.38,35.52,35.355,35.49,318073
20220210,35.13,35.625,35.13,35.17,319184
20220211,35.26,35.44,34.87,34.97,290966
20220214,34.83,34.83,34.495,34.72,288282
20220215,35.03,35.1799,34.8404,35.12,246191
20220216,34.93,35.34,34.93,35.24,191741
20220217,35.06,35.06,34.79,34.845,288788
20220218,34.77,34.87,34.59,34.65,211657
