Date,Open,High,Low,Close,Volume
20110712,50.22,50.22,49.97,49.97,200
20110714,49.9,49.9,49.9,49.9,100
20110715,49.68,49.68,49.68,49.68,100
20110718,49.52,49.52,49.52,49.52,150
20110719,49.5,49.5,49.5,49.5,100
20110720,49.83,49.83,49.83,49.83,100
20110722,50.17,50.2,50.17,50.2,500
20110725,50.47,50.47,50.18,50.18,600
20110727,50.14,50.14,50.14,50.14,100
20110729,48.46,48.46,48.1,48.1,700
20110801,47.6,47.6,47.6,47.6,1100
20110802,47.09,47.09,47.09,47.09,100
20110808,45.7,45.7,45.7,45.7,100
20110809,46.61,46.92,44.24,44.3,9400
20110812,44.56,44.56,44.56,44.56,100
20110815,44.87,44.87,44.87,44.87,100
20110824,44.99,45.17,44.99,45.17,5000
20110831,44.09,44.09,44.09,44.09,1200
20110901,43.81,43.81,43.81,43.81,100
20110914,43.85,43.85,43.85,43.85,750
20110915,44.33,44.33,44.33,44.33,750
20110927,44.46,44.46,44.46,44.46,220
20111003,43.32,43.32,43.32,43.32,100
20111004,43.72,43.72,43.72,43.72,100
20111006,44.47,44.72,44.47,44.72,920
20111007,45.08,45.45,45.08,45.436,1800
20111010,46.26,46.48,46.26,46.48,4100
20111012,46.87,46.87,46.87,46.87,100
20111014,45.47,45.47,45.47,45.47,1290
20111024,45.11,45.13,45.11,45.13,6370
20111027,45.77,45.77,45.77,45.77,250
20111104,42.99,42.99,42.99,42.99,150
20111111,43.67,43.67,43.67,43.67,450
20111209,42.41,42.41,42.41,42.41,350
20111216,42,42,42,42,300
20111223,43.63,43.63,43.63,43.63,100
20111229,42.36,42.36,42.36,42.36,100
20120106,42.02,42.02,42.02,42.02,300
20120112,41.77,41.77,41.74,41.74,300
20120113,41.41,41.41,41.41,41.41,400
20120125,41.22,41.22,41.2,41.2,3600
20120126,40.85,40.85,40.63,40.77,5200
20120127,40.61,40.74,40.61,40.74,7400
20120130,40.5,40.5,40.5,40.5,100
20120131,40.4,40.4,40.39,40.39,900
20120207,41.34,41.34,41.34,41.34,100
20120209,41.6,41.6,41.6,41.6,100
20120213,41.3,41.34,41.3,41.34,1890
20120214,41.46,41.46,41.46,41.46,270
20120215,41.2,41.2,41.2,41.2,150
20120217,42.09,42.09,42.08,42.08,750
20120222,41.77,41.77,41.77,41.77,150
