Date,Open,High,Low,Close,Volume
20151218,21.25,21.25,21.15,21.15,1771
20151221,21.16,21.21,21.09,21.17,10661
20151222,21.26,21.42,21.26,21.42,3130
20151224,21.63,21.63,21.63,21.63,12293
20151228,21.51,21.51,21.51,21.51,472
20151229,21.79,21.79,21.79,21.79,862
20151230,21.74,21.76,21.73,21.76,1653
20160104,21.37,21.37,20.95,21,3312
20160106,20.92,20.99,20.83,20.84,2537
20160107,20.74,20.74,20.43,20.43,4631
20160108,20.47,20.51,20.27,20.27,2142
20160111,20.54,20.54,20.54,20.54,366
20160112,20.37,20.39,20.16,20.39,1092
20160113,20.27,20.27,20.14,20.14,637
20160114,20.04,20.36,20.04,20.36,18805
20160115,19.833,19.909,19.807,19.827,1559
20160119,19.96,19.994,19.875,19.875,1021
20160120,19.409,19.621,19.333,19.621,2479
20160121,19.748,19.807,19.663,19.663,1905
20160122,20.22,20.22,19.888,19.888,1308
20160129,20.34,20.34,20.21,20.21,354
20160202,20.21,20.21,20.19,20.19,236
20160203,20.17,20.17,20.1,20.1,1782
20160205,20.37,20.37,20.25,20.25,1771
20160208,19.894,19.894,19.894,19.894,118
20160209,20.03,20.03,20.02,20.02,236
20160211,19.83,19.83,19.83,19.83,118
20160212,19.943,19.943,19.943,19.943,472
20160216,20.39,20.39,20.39,20.39,354
20160223,20.74,20.74,20.74,20.74,315
20160224,20.71,20.71,20.71,20.71,909
20160225,20.86,20.88,20.86,20.88,590
20160226,21.33,21.33,20.95,20.95,3516
20160229,20.92,20.99,20.87,20.87,708
20160301,20.82,20.88,20.82,20.88,236
20160302,21.2,21.2,21.2,21.2,947
20160303,21.17,21.19,21.17,21.19,1854
20160304,21.33,21.33,21.23,21.23,826
20160307,21.41,21.56,21.34,21.47,3070
20160308,21.34,21.42,21.3,21.31,2533
20160309,21.63,21.63,21.48,21.5,5148
20160310,21.58,21.58,21.43,21.43,2071
20160311,21.72,21.76,21.71,21.74,5882
20160314,21.73,21.75,21.73,21.75,1446
20160315,21.63,21.76,21.63,21.76,1936
20160316,21.73,21.9,21.72,21.9,1741
20160317,21.93,22.05,21.93,22.03,2331
20160318,22.06,22.07,22.06,22.07,1181
20160321,22.16,22.22,22.12,22.22,1446
20160322,22.21,22.21,22.21,22.21,35544
20160323,22.1,22.12,22.09,22.09,2091
20160324,21.77,21.92,21.77,21.92,1583
20160328,21.92,21.98,21.87,21.91,3907
20160329,21.8,22.07,21.79,22.07,4333
20160331,22.19,22.19,22.07,22.07,3034
20160401,22,22.1,22,22.08,708
20160404,22.27,22.27,22.15,22.15,3186
20160405,22.03,22.09,21.98,21.99,7369
20160406,22.11,22.17,22.11,22.11,584
20160407,22.04,22.04,22.03,22.03,1063
20160408,22.15,22.15,22.02,22.02,1782
20160411,22.02,22.02,22.02,22.02,118
20160414,22.33,22.4,22.33,22.4,354
20160415,22.34,22.34,22.28,22.29,2480
20160418,22.4,22.4,22.4,22.4,407
20160419,22.81,22.81,22.6,22.6,2420
20160420,22.57,22.65,22.57,22.65,567
20160421,22.58,22.59,22.56,22.59,1417
20160425,22.35,22.35,22.35,22.35,1571
20160428,22.52,22.52,22.52,22.52,590
20160502,22.07,22.13,22.07,22.13,2551
20160505,22.29,22.29,22.11,22.11,413
20160506,22.02,22.02,22.02,22.02,401
20160509,22.26,22.26,22.07,22.07,1374
20160511,22.3,22.3,22.21,22.23,2373
20160513,21.92,22.05,21.92,22.05,475
20160516,22.02,22.26,22.02,22.26,5724
20160520,22.11,22.11,21.94,21.97,7615
20160523,22.17,22.17,21.96,21.99,1045
20160524,22.26,22.27,22.26,22.27,354
20160525,22.27,22.48,22.27,22.48,761
20160526,22.75,22.75,22.48,22.48,6142
20160527,22.52,22.52,22.49,22.52,1062
20160531,22.38,22.43,22.38,22.43,1654
20160601,22.29,22.43,22.29,22.42,1172
20160602,22.49,22.49,22.49,22.49,590
20160606,22.54,22.54,22.54,22.54,266
20160607,22.81,22.81,22.79,22.79,649
20160608,22.99,22.99,22.82,22.83,3638
20160609,22.76,22.76,22.76,22.76,1299
20160610,22.75,22.75,22.66,22.67,2126
20160613,22.66,22.68,22.66,22.68,472
20160614,22.33,22.48,22.33,22.4,2406
20160616,22.44,22.54,22.4,22.54,19129
20160617,22.51,22.51,22.39,22.47,797
20160620,22.82,22.83,22.82,22.82,2185
20160622,22.71,22.71,22.56,22.56,3604
20160623,22.75,22.88,22.74,22.88,2138
20160624,22.48,22.51,22.15,22.15,3988
20160627,22,22,21.67,21.7,2616
20160628,22.13,22.15,21.97,22.15,5161
20160629,22.26,22.5,22.26,22.48,4351
20160630,22.5,22.82,22.02,22.82,6451
20160701,22.94,22.94,22.8,22.93,2107
20160705,22.79,22.79,22.7,22.76,644
20160706,22.53,22.88,22.53,22.88,1466
