Date,Open,High,Low,Close,Volume
20100810,50.05,50.12,50.05,50.05,3000
20100811,51.09,51.09,51.09,51.09,3000
20100813,51.88,51.88,51.77,51.79,21600
20100816,53.44,53.44,53.44,53.44,400
20100817,52.77,52.78,52.77,52.78,5000
20100818,53.59,53.59,53.28,53.28,6600
20100819,53.73,53.8,53.73,53.8,10000
20100820,53.96,54,53.96,53.98,11500
20100823,53.6,53.72,53.6,53.71,8920
20100824,54.5,54.83,54.5,54.83,14020
20100825,55.34,55.35,55.15,55.15,4000
20100826,54.45,54.45,54.45,54.45,800
20100827,53.22,53.22,53.22,53.22,2200
20100830,54.42,54.42,54.42,54.42,100
20100831,55,55,55,55,2200
20100901,53.79,53.79,53.34,53.34,3400
20100902,53.5,53.5,53.5,53.5,100
20100903,52.27,52.66,52.18,52.62,5600
20100907,53.71,53.8,53.71,53.8,1300
20100908,53.1,53.2,53.1,53.2,1400
20100909,52.55,52.65,52.2,52.37,17400
20100910,51.71,51.71,51.71,51.71,100
20100913,52.04,52.04,52.04,52.04,100
20100914,52.49,52.49,52.49,52.49,2300
20100915,52.6,52.6,52.2,52.2,1800
20100916,51.69,51.69,51.56,51.56,1060
20100917,51.91,51.91,51.91,51.91,550
20100921,53.14,53.14,53.14,53.14,800
20100922,53.59,53.59,53.5,53.5,500
20100923,53.49,53.49,53.49,53.49,700
20100924,52.99,52.99,52.99,52.99,800
20100927,53.96,54.03,53.96,54.03,900
20100928,54.34,54.69,54.34,54.69,1800
20100929,54.58,54.6,54.58,54.58,3600
20100930,53.44,53.44,53.44,53.44,800
20101001,53.86,54.14,53.86,53.87,3420
20101004,54.21,54.37,54.21,54.37,420
20101005,54.41,54.42,54.16,54.16,3300
20101006,55.3,55.35,55.3,55.35,1560
20101007,54.75,54.75,54.75,54.75,250
20101008,54.93,55.24,54.76,54.76,7600
20101011,54.63,54.65,54.63,54.65,2010
20101012,54.54,54.54,54.31,54.31,1800
20101013,53.58,53.99,53.58,53.98,2400
20101014,54.13,54.13,53.38,53.38,3520
20101015,53.38,53.38,53.38,53.38,210
20101018,53.1,53.1,53.1,53.1,110
20101019,53.35,53.35,53.35,53.35,800
20101020,53.44,53.44,53.44,53.44,220
20101021,52.81,52.81,52.81,52.81,220
20101022,52.53,52.53,52.53,52.53,100
20101025,53.42,53.42,53.42,53.42,560
20101026,52.07,52.07,52.07,52.07,800
20101027,51.52,51.52,51.52,51.52,800
20101101,52.06,52.06,52.06,52.06,300
20101102,52.86,52.86,52.86,52.86,100
20101103,53.41,53.41,52.07,52.07,2100
20101104,53.04,53.04,53.04,53.04,100
20101105,52.1,52.1,52.1,52.1,200
20101108,51.92,51.92,51.92,51.92,200
20101109,50.88,50.88,50.85,50.85,900
20101110,50.1,50.11,50.1,50.11,2900
20101111,50.9,50.9,50.9,50.9,200
20101112,50.15,50.16,50.15,50.16,400
20101115,48.96,48.96,48.96,48.96,1000
20101116,49.8,49.8,49.8,49.8,800
20101117,49.46,49.46,49.46,49.46,800
20101118,49.11,49.14,49.1,49.1,2400
20101119,49.5,49.5,49.5,49.5,800
20101122,49.91,49.91,49.91,49.91,2100
20101123,50.7,50.7,50.35,50.5,8200
20101124,49.78,49.81,48.97,49.08,20200
20101126,49.49,49.79,49.47,49.79,1300
20101129,50.27,50.27,49.94,50.2,4800
20101130,51.06,51.09,50.41,50.45,35100
20101201,49.22,49.26,48.68,49.02,57200
20101202,48.8,49.17,48.73,48.73,6800
20101203,49.23,49.23,48.22,48.29,23500
20101207,48.13,48.13,46.91,47.28,23000
20101208,46.72,46.74,45.8,46.57,17700
20101209,46.72,47.1,46.22,46.82,23100
20101210,46.26,46.66,46.17,46.3,70100
20101213,45.99,46.04,45.99,46.04,700
20101214,45.82,45.87,45.35,45.35,1400
20101215,45.14,45.25,44.11,44.48,30800
20101216,44.48,44.51,44.4,44.43,4700
20101217,45.33,45.44,45.33,45.44,1900
20101220,46.46,46.66,45.7,45.77,16100
20101221,45.89,45.89,45.77,45.82,3800
20101222,45.83,45.87,45.58,45.75,4600
20101223,45.64,45.64,45.33,45.47,2600
20101227,45.44,46.12,45.27,46.11,26700
20101228,45.34,45.35,44.58,44.59,7700
20101229,44.87,46.02,44.67,46.02,3500
20101230,45.56,45.98,45.44,45.86,22600
20101231,46.53,46.77,46.53,46.77,800
20110103,45.68,46.63,45.46,46.26,60500
20110105,45.5,45.5,44.47,44.76,34800
20110107,44.94,46.12,44.93,45.83,39500
20110110,46.06,46.2,45.84,46.17,19700
20110111,46,46,45.3,45.76,38000
20110112,45.23,45.75,45.09,45.41,36100
20110113,46.21,46.21,45.83,46.12,3700
20110114,46.59,46.67,45.75,45.87,32100
20110118,45.23,45.45,44.98,45.36,21620
20110120,44.76,44.78,44.64,44.64,720
20110124,45.41,45.41,45.26,45.26,400
20110125,45.59,46.42,45.17,46.22,40600
20110126,45.77,45.8,45.37,45.56,22600
20110127,45.06,45.63,45.06,45.44,31300
20110128,45.85,46.31,45.85,46.13,32100
20110131,46.03,46.03,45.35,45.35,20500
20110202,44.68,44.68,44.68,44.68,400
20110203,44.66,44.68,44.12,44.23,30300
20110204,44.02,44.02,43.18,43.34,43620
20110208,43.32,43.61,42.67,42.83,23000
20110209,42.81,43.81,42.6,43.43,45900
20110210,43.33,43.48,42.85,42.94,14800
20110211,43.8,44.06,43.69,43.8,10900
20110214,44,44.31,44,44.15,9500
20110215,44.3,44.3,43.91,44.29,12100
20110216,44.16,44.16,44.16,44.16,100
20110217,44.55,44.5695,44.55,44.5695,600
20110218,44.29,44.29,43.97,44.14,4400
20110222,44.94,45.7,44.94,45.7,3320
20110223,45.91,45.91,45.91,45.91,100
20110225,46.23,46.23,46.23,46.23,100
20110228,46.45,46.62,46.34,46.49,8500
20110303,45.08,45.08,44.9,44.95,1400
20110304,45.04,45.04,45.04,45.04,200
20110307,45.04,45.82,45.04,45.36,19800
20110308,45.09,45.11,44.95,44.95,2800
20110309,45.19,45.92,45.04,45.63,38800
20110310,45.85,46.83,45.84,46.83,27100
20110311,46.53,46.53,46.53,46.53,650
20110314,46.52,46.52,46.52,46.52,300
20110315,47.37,47.37,47.37,47.37,1000
20110316,47.8,49.2,47.8,48.19,4300
20110317,47.65,47.65,47.65,47.65,3200
20110318,47.43,47.75,47.43,47.75,8600
20110321,47.04,47.04,47.04,47.04,2100
20110323,47.46,47.46,47.42,47.42,200
20110324,46.94,46.95,46.94,46.95,4000
20110328,46.55,46.56,46.41,46.46,5800
20110329,46.64,46.66,45.92,46.08,36700
20110330,46.2,46.56,46.18,46.56,14000
20110331,46.82,46.87,46.05,46.24,56700
20110405,46.38,46.54,45.96,46.15,60900
20110406,45.89,45.95,45.33,45.33,18800
20110407,45.17,45.48,44.97,45.08,62900
20110408,44.79,45.04,44.66,44.83,28400
20110412,45.77,45.77,45.77,45.77,100
20110414,45.88,45.88,45.88,45.88,300
20110415,46.76,46.76,46.66,46.66,4100
20110418,46.25,47.02,46.25,47.02,2300
20110419,47.25,47.45,47.17,47.45,16600
20110421,47.18,47.34,47.07,47.07,13200
20110425,47.16,47.49,47.11,47.44,15800
20110426,47.72,48.02,47.68,48,29900
20110427,47.7,47.79,47.33,47.54,70200
20110428,47.75,47.75,47.75,47.75,2000
20110429,47.85,48.11,47.84,48.11,8500
20110502,48.15,48.51,48.1,48.36,28000
20110503,48.68,48.75,48.47,48.68,22200
20110504,49.12,49.15,49.12,49.15,1500
20110505,49.39,49.92,49.39,49.84,21000
20110506,49.35,50.02,49.16,49.69,76700
20110510,49.57,49.58,49.25,49.25,7200
20110511,49.3,49.83,49.16,49.71,28200
20110512,49.81,49.87,49.1,49.33,39400
20110513,49.81,50.35,49.69,49.81,23600
20110516,50.26,50.31,50.19,50.28,5100
20110517,50.53,50.82,50.46,50.64,10100
20110518,50.62,50.62,49.96,49.96,27100
20110519,49.34,49.96,49.34,49.96,29300
20110520,50.03,50.13,49.81,50.13,9100
20110523,50.53,50.71,50.25,50.43,10860
20110524,50.23,50.59,50.09,50.59,13500
20110526,50.83,50.95,50.82,50.92,2200
20110531,51.15,51.15,51.15,51.15,600
20110601,51.81,51.93,51.81,51.93,4000
20110602,51.52,51.52,51.52,51.52,2000
20110603,51.31,51.37,51.31,51.37,350
20110606,51.17,51.41,51.12,51.41,3300
20110607,50.9,51.34,50.76,51.34,9200
20110608,51.78,52.02,51.62,51.91,27500
20110609,51.98,52,51.19,51.4,46200
20110610,51.77,51.82,51.77,51.82,2260
20110613,51.8,52.01,51.54,51.58,12900
20110614,50.74,50.74,50.34,50.39,13500
20110615,51.39,51.4,51.39,51.4,4000
20110616,51.96,52.33,51.79,52.17,20800
20110617,51.9,52.08,51.85,52.03,9800
20110621,51.53,51.54,51.46,51.54,6700
20110622,51.83,51.83,51.62,51.62,2200
20110623,52.2,52.39,52.2,52.32,4400
20110624,52.39,52.73,52.39,52.73,12200
20110627,52.36,52.36,51.76,51.76,6900
20110628,50.57,50.64,50.57,50.64,4400
20110630,50.02,50.02,49.33,49.74,4460
20110707,49.52,49.94,49.52,49.84,22400
20110708,51.08,51.18,51.08,51.18,6200
20110711,51.64,51.64,51.64,51.64,2000
20110712,51.64,51.64,51.64,51.64,100
20110713,52.53,52.53,52.46,52.47,8000
20110714,52.29,52.52,52.2,52.52,5600
20110718,52.04,52.04,51.51,51.51,4600
20110719,51.52,52.8,51.52,52.8,31650
20110720,52.31,52.31,52.3,52.3,4200
20110721,51.62,51.63,51.23,51.23,13000
