Date,Open,High,Low,Close,Volume
20210322,29.72,29.84,29.7,29.81,1248701
20210323,29.95,29.95,29.715,29.7324,88056
20210324,29.96,29.96,29.7,29.7,141678
20210325,29.64,29.77,29.58,29.7655,57920
20210326,29.83,29.9466,29.819,29.9466,8827
20210329,29.98,30.03,29.9,29.9718,53311
20210330,29.91,30.01,29.9099,29.93,21635
20210331,30.039,30.12,30.01,30.0428,91791
20210401,30.11,30.17,30.11,30.16,13891
20210405,30.31,30.37,30.268,30.3385,28080
20210406,30.31,30.37,30.302,30.3027,20058
20210407,30.37,30.37,30.3,30.3298,42047
20210408,30.38,30.4,30.345,30.39,6255
20210409,30.41,30.46,30.38,30.46,5081
20210412,30.4,30.46,30.4,30.4372,11525
20210413,30.46,30.53,30.411,30.4766,20440
20210414,30.45,30.45,30.4234,30.4234,219
20210415,30.5,30.56,30.4999,30.56,9308
20210416,30.58,30.63,30.555,30.6,18081
20210419,30.58,30.61,30.5019,30.5019,6767
20210420,30.46,30.46,30.425,30.4398,1963
20210421,30.489,30.58,30.489,30.57,71891
20210422,30.5777,30.5777,30.4693,30.4693,3785
20210423,30.555,30.6198,30.555,30.5967,3943
20210426,30.63,30.64,30.5981,30.5981,6057
20210427,30.57,30.5867,30.57,30.5867,445
20210428,30.59,30.6,30.5301,30.5561,59862
20210429,30.61,30.68,30.61,30.6381,7059
20210430,30.57,30.59,30.558,30.558,1888
20210503,30.56,30.64,30.55,30.5807,2003
20210504,30.5,30.52,30.5,30.5152,478
20210505,30.53,30.59,30.5197,30.5197,1029
20210506,30.536,30.6101,30.53,30.6101,5091
20210507,30.68,30.7093,30.67,30.7093,2202
20210510,30.6,30.604,30.6,30.6036,1778
20210511,30.44,30.5175,30.39,30.5175,18581
20210512,30.33,30.34,30.23,30.2598,38305
20210513,30.28,30.45,30.27,30.423,9697
20210514,30.5201,30.61,30.52,30.61,13105
20210517,30.515,30.5459,30.515,30.5459,1374
20210518,30.51,30.58,30.4701,30.5,6088
20210519,30.29,30.3945,30.29,30.3945,2843
20210520,30.412,30.5501,30.412,30.5501,9325
