Date,Open,High,Low,Close,Volume
20080522,27.1,27.21,27.1,27.12,17600
20080523,26.75,26.75,25.86,26.73,4900
20080527,26.49,26.6,26.49,26.6,300
20080529,26.09,26.09,26.09,26.09,100
20080530,26.02,26.02,26.02,26.02,200
20080605,25.83,26.26,25.79,26.26,5400
20080606,27.3,27.3,27.3,27.3,2500
20080609,27.69,27.69,27.27,27.27,7090
20080611,28.35,28.35,28.35,28.35,100
20080612,27.74,28.23,27.71,28.23,6280
20080613,27.94,28,27.94,28,300
20080616,28.67,28.67,28.49,28.49,4500
20080623,28.2,28.2,28.2,28.2,180
20080625,28.29,28.29,28.29,28.29,100
20080626,29.32,29.32,29.11,29.11,3100
20080627,29.63,29.63,29.3,29.3,3710
20080630,29.3,29.3,29.3,29.3,100
20080701,29.22,29.22,29.22,29.22,100
20080702,29.15,29.87,29.15,29.87,750
20080703,29.75,29.75,29.7,29.7,400
20080707,29.31,29.31,29.08,29.13,1300
20080715,28.27,28.27,28.27,28.27,3000
20080716,28,28,28,28,200
20080717,28.01,28.01,27.42,27.42,3100
20080718,27.54,27.54,27.02,27.02,550
20080725,25.97,25.97,25.95,25.95,400
20080728,26.23,26.23,26.23,26.23,380
20080731,26.34,26.34,26.34,26.34,100
20080801,25.53,25.9,25.53,25.9,4860
20080804,25.63,25.63,25.05,25.05,25000
20080807,24.71,24.71,24.71,24.71,600
20080808,24.02,24.02,23.94,23.94,3200
20080812,23.84,23.84,23.84,23.84,190
20080813,24.51,24.51,24.38,24.38,520
20080815,24.05,24.05,23.87,23.94,850
20080818,24.17,24.17,24.09,24.09,800
20080819,24.32,24.32,24.32,24.32,100
20080820,24.27,24.62,24.26,24.62,690
20080821,25.2,25.21,25.2,25.21,6000
20080822,25.07,25.07,24.84,24.84,1290
20080826,25.44,25.44,24.73,24.73,830
20080902,23.29,23.53,23.13,23.53,2720
20080903,23.37,23.37,23.37,23.37,130
20080908,22.99,22.99,22.9,22.9,580
20080909,22.35,22.35,22.35,22.35,100
20080911,21.88,21.89,21.88,21.89,10000
20080915,21.42,21.68,21.42,21.68,8860
20080918,21.47,21.47,21.47,21.47,490
20080919,21.75,21.75,21.75,21.75,500
20080922,24.56,24.62,22.5,23.14,2670
20080923,22.67,22.92,22.48,22.48,1800
20080924,22.62,22.62,22.62,22.62,120
20080925,22.93,22.93,22.93,22.93,170
20080926,22.27,22.66,22.27,22.66,40520
20080930,21.62,21.65,21.48,21.6,4230
20081001,21.31,21.31,21.31,21.31,130
20081002,20.88,20.88,20.43,20.43,220
20081003,20.22,20.22,20.13,20.13,410
20081006,19.06,19.06,19.06,19.06,250
20081007,19.37,19.37,19.37,19.37,320
20081009,18.93,18.93,18.93,18.93,1000
20081010,18.39,18.43,17.77,18.41,38500
20081013,18.41,18.41,18.41,18.41,230
20081014,18.99,18.99,18.43,18.43,380
20081015,17.47,17.69,17.44,17.62,6610
20081016,16.8,16.8,16.8,16.8,120
20081017,17.1,17.16,17.1,17.16,2350
20081020,17.16,17.53,17.11,17.53,3280
20081021,17.11,17.11,17.11,17.11,640
20081022,15.79,15.79,15.79,15.79,280
20081023,15.77,15.77,15.77,15.77,500
20081024,15.44,15.7,15.44,15.49,50420
20081027,15.08,15.85,15.08,15.84,29870
20081029,16.83,16.83,16.76,16.76,850
20081030,16.34,16.34,16.34,16.34,640
20081104,17.29,17.29,17.09,17.09,2940
20081105,16.69,16.69,16.39,16.39,1800
20081110,16.47,16.47,16.31,16.31,580
20081111,15.68,15.68,15.68,15.68,320
20081114,14.94,14.94,14.94,14.94,640
