Date,Open,High,Low,Close,Volume
20061117,20.37,20.38,20.37,20.38,496
20061121,20.4,20.4,20.4,20.4,248
20061122,20.46,20.46,20.46,20.46,248
20061127,20.2,20.2,20.12,20.13,3224
20061128,20.13,20.13,20.13,20.13,1240
20061129,20.26,20.33,20.26,20.32,7194
20061130,20.26,20.4,20.26,20.4,1984
20061201,20.34,20.34,20.24,20.25,1984
20061205,20.56,20.58,20.56,20.58,3969
20061206,20.6,20.6,20.58,20.58,7194
20061207,20.64,20.64,20.52,20.52,5705
20061208,20.55,20.56,20.55,20.56,4465
20061211,20.62,20.62,20.59,20.59,3969
20061214,20.7,20.76,20.7,20.75,10666
20061215,20.81,20.81,20.81,20.81,744
20061218,20.76,20.76,20.76,20.76,2977
20061219,20.74,20.74,20.69,20.69,992
20061220,20.73,20.73,20.69,20.69,1239
20061221,20.7,20.7,20.7,20.7,1485
20061222,20.58,20.58,20.54,20.54,3466
20061227,20.69,20.69,20.67,20.67,2724
20061228,20.69,20.69,20.67,20.69,3715
20061229,20.73,20.73,20.66,20.66,25251
20070103,20.72,20.72,20.62,20.62,992
20070104,20.67,20.75,20.65,20.75,11883
20070105,20.57,20.58,20.57,20.58,496
20070108,20.61,20.64,20.61,20.64,55205
20070109,20.58,20.61,20.58,20.61,496
20070110,20.58,20.7,20.58,20.7,4705
20070111,20.8,20.86,20.8,20.86,743
20070112,20.95,20.95,20.93,20.93,26737
20070116,20.96,20.96,20.92,20.96,10645
20070117,20.94,20.99,20.89,20.89,77734
20070118,20.9,20.92,20.87,20.87,2970
20070119,20.84,20.89,20.84,20.89,496
20070122,20.9,20.9,20.76,20.8,36143
20070123,20.79,20.8,20.78,20.8,2477
20070124,20.95,20.99,20.93,20.99,10894
20070125,21.01,21.01,20.84,20.87,6172
20070126,20.76,20.76,20.73,20.73,991
20070129,20.79,20.79,20.73,20.76,6437
20070130,20.8,20.87,20.73,20.86,43573
20070131,20.87,21.62,20.85,20.88,1982
20070201,21.03,21.03,21.03,21.03,10646
20070202,21.13,21.13,21.11,21.11,1239
20070205,21.1,21.1,21.09,21.09,991
20070206,21.09,21.09,21,21.07,2477
20070207,21.11,21.15,21.05,21.09,41094
20070208,21.07,21.07,21.07,21.07,248
20070209,21.13,21.13,20.99,20.99,24014
20070212,20.92,20.92,20.9,20.9,1733
20070213,21.38,21.38,21,21,6684
20070214,21.21,21.24,21.21,21.23,4209
20070215,21.23,21.26,21.23,21.26,4209
20070216,21.22,21.23,21.19,21.22,2724
20070220,21.22,21.27,21.22,21.27,1981
20070221,21.26,21.31,21.24,21.28,46542
20070222,21.3,21.3,21.2,21.22,15843
20070223,21.14,21.17,21.14,21.17,6437
20070226,21.17,21.17,21.08,21.08,7923
20070227,20.38,20.38,20.38,20.38,248
20070228,20.45,20.61,20.45,20.61,2228
20070301,20.36,20.48,20.36,20.44,1238
20070302,20.44,20.48,20.23,20.23,20796
20070305,20.24,20.24,20.08,20.08,1238
20070306,20.2,20.33,20.2,20.33,6684
20070307,20.31,20.32,20.25,20.25,8418
20070308,20.44,20.45,20.34,20.34,2725
20070309,20.42,20.43,20.35,20.38,4209
20070312,20.38,20.38,20.37,20.37,4952
20070313,20.38,20.38,20.08,20.08,4456
20070314,20.04,20.12,20.03,20.12,5200
20070315,20.25,20.25,20.2,20.24,24014
20070316,20.19,20.19,20.14,20.16,8915
20070319,20.31,20.33,20.28,20.33,13616
20070320,20.39,20.44,20.39,20.44,1238
20070321,20.52,20.79,20.46,20.79,17331
20070322,20.79,20.84,20.79,20.82,16092
20070323,20.81,20.82,20.79,20.81,19984
20070326,20.79,20.79,20.62,20.75,7155
20070327,20.72,20.72,20.64,20.66,19243
20070328,20.55,20.55,20.47,20.48,5182
20070329,20.57,20.57,20.4,20.49,5181
20070330,20.58,20.58,20.53,20.53,6168
20070402,20.5,20.5,20.5,20.5,4688
20070403,20.7,20.7,20.7,20.7,4934
20070404,20.72,20.78,20.72,20.77,5428
20070405,20.73,20.85,20.73,20.85,118670
20070409,20.84,20.88,20.81,20.87,4440
20070410,20.87,20.88,20.84,20.88,6662
20070411,20.82,20.82,20.76,20.76,5181
20070412,20.79,20.87,20.79,20.87,5428
20070413,20.87,20.96,20.87,20.96,10115
20070416,21.19,21.19,21.15,21.19,50824
20070417,21.29,21.3,21.27,21.27,3455
20070418,21.28,21.38,21.28,21.35,2221
20070419,21.25,21.38,21.25,21.34,16530
20070420,21.47,21.47,21.46,21.46,1480
20070423,21.56,21.56,21.46,21.46,3207
20070424,21.38,21.41,21.38,21.4,7895
20070425,21.53,21.63,21.53,21.62,1726
20070426,21.62,21.66,21.62,21.64,11103
20070427,21.6,21.64,21.6,21.64,1974
20070430,21.54,21.54,21.48,21.48,740
20070501,21.45,21.52,21.42,21.52,4194
20070502,21.61,21.71,21.61,21.71,2960
20070503,21.75,21.79,21.75,21.79,8388
20070504,21.81,21.81,21.81,21.81,247
20070507,21.88,21.88,21.87,21.87,2714
20070508,21.83,21.83,21.83,21.83,2467
20070509,21.79,21.94,21.79,21.93,4934
20070510,21.83,21.86,21.62,21.62,5675
20070511,21.75,21.78,21.75,21.78,1481
20070514,21.88,21.88,21.75,21.75,6168
20070515,21.84,21.84,21.69,21.69,2960
20070516,21.77,21.87,21.71,21.87,4935
20070518,21.93,21.97,21.9,21.92,64393
20070521,21.95,22.04,21.95,21.97,9128
20070522,21.97,22.05,21.94,22.03,8634
20070523,22.09,22.09,22.01,22.01,2219
20070524,21.88,21.88,21.82,21.82,1234
20070525,21.88,21.92,21.84,21.88,3454
20070529,21.95,21.95,21.89,21.89,3207
20070530,21.85,22.06,21.85,22.06,1727
20070531,22.12,22.16,22.1,22.1,4441
20070601,22.23,22.25,22.14,22.14,19985
20070604,22.16,22.18,22.16,22.18,1234
20070605,22.09,22.09,22.07,22.07,7155
20070606,22.01,22.01,21.91,21.93,12335
20070607,21.83,21.83,21.6,21.6,14804
20070608,21.5,21.79,21.5,21.79,11844
20070611,21.73,21.83,21.73,21.83,3947
20070612,21.7,21.77,21.7,21.72,5921
20070613,21.67,21.7,21.63,21.7,3207
20070614,21.88,21.95,21.88,21.95,13075
20070615,22.16,22.16,22.14,22.14,5921
20070618,22.09,22.09,22.09,22.09,740
20070619,22.03,22.03,21.97,22.01,28618
20070620,22.13,22.13,21.97,21.97,4195
20070621,21.77,21.86,21.77,21.86,1974
20070622,21.8,21.8,21.66,21.67,2468
20070625,21.58,21.75,21.53,21.6,218347
20070626,21.66,21.69,21.55,21.55,15051
20070627,21.42,21.69,21.42,21.69,1233
20070628,21.74,21.8,21.74,21.74,5904
20070629,21.74,21.84,21.65,21.65,17222
20070702,21.81,21.81,21.81,21.81,984
20070703,21.87,21.98,21.87,21.98,7381
20070705,21.9,21.92,21.87,21.91,16238
20070706,21.9,21.98,21.9,21.98,1230
20070709,22.07,22.07,21.99,22.03,9103
20070710,21.88,21.91,21.68,21.68,16484
20070711,21.72,21.79,21.72,21.78,6150
20070712,21.94,22.17,21.94,22.17,3690
20070713,22.26,22.33,22.21,22.33,13039
20070717,22.34,22.35,22.28,22.31,8119
20070718,22.03,22.13,22.03,22.07,3198
20070719,22.22,22.27,22.15,22.27,25833
20070720,22.2,22.2,21.99,21.99,1230
20070723,22.02,22.16,22.02,22.07,8857
20070724,21.93,22,21.66,21.66,3444
20070725,21.85,21.85,21.68,21.82,11070
20070726,21.28,21.37,21.2,21.37,2214
20070727,21.26,21.4,21.16,21.16,3444
20070730,21.14,21.29,21.14,21.29,3690
20070731,21.52,21.52,21.34,21.37,15990
20070801,21.14,21.14,20.95,20.95,1230
20070802,21.24,21.24,21.22,21.22,1230
20070803,21.36,21.36,21.16,21.21,19191
20070806,20.95,21.26,20.79,21.26,7134
20070807,21.13,21.58,21.13,21.3,4674
20070808,21.61,21.67,21.43,21.46,36906
20070810,20.96,21.07,20.96,20.96,7135
20070813,21.2,21.2,21.03,21.05,30751
20070814,20.83,20.93,20.74,20.74,81930
20070815,20.72,20.86,20.67,20.67,8610
20070816,20.26,20.37,20.15,20.18,16237
20070817,20.7,20.87,20.7,20.87,3444
20070820,20.91,21.02,20.78,20.93,11071
20070821,20.96,21.04,20.96,20.99,2214
20070822,21.19,21.23,21.07,21.23,12054
20070823,21.13,21.13,21.05,21.09,6642
20070824,21.31,21.36,21.31,21.36,3198
20070827,21.32,21.34,21.3,21.3,3198
20070828,21.02,21.02,20.94,20.94,1722
20070829,20.87,21.09,20.87,21.09,3690
20070830,21.12,21.26,21.12,21.18,2706
20070831,21.36,21.47,21.36,21.47,9841
20070904,21.43,21.43,21.43,21.43,984
20070905,21.3,21.37,21.3,21.37,1230
20070906,21.41,21.41,21.41,21.41,492
20070907,21.17,21.17,21.11,21.11,1968
20070910,21.18,21.18,20.93,21.09,4920
20070911,21.19,21.19,21.18,21.18,11564
20070912,21.43,21.43,21.35,21.35,1722
20070913,21.39,21.52,21.39,21.44,8857
20070917,21.37,21.37,21.3,21.31,2460
20070918,21.5,21.87,21.5,21.85,3690
20070919,22.19,22.19,21.93,21.97,16484
20070920,21.94,21.96,21.85,21.91,15992
20070921,22,22.02,21.91,21.92,127695
20070924,21.94,22.03,21.94,21.94,2952
20070925,21.75,21.85,21.69,21.85,115075
20070927,21.95,21.95,21.95,21.95,491
20070928,21.93,22.01,21.93,22.01,7606
20071001,22.22,22.29,22.22,22.29,3435
20071002,22.29,22.29,22.17,22.22,29934
20071003,22.23,22.23,22.22,22.22,1227
20071004,22.27,22.27,22.27,22.27,736
20071005,22.42,22.58,22.42,22.58,9078
20071008,22.5,22.51,22.4,22.4,48090
20071009,22.46,22.46,22.44,22.44,2945
20071010,22.56,22.59,22.48,22.59,2208
20071011,22.73,22.73,22.55,22.6,77043
20071012,22.53,22.53,22.5,22.5,4417
20071015,22.4,22.4,22.21,22.31,4661
20071016,22.14,22.19,22.14,22.19,2698
20071017,22.35,22.35,22.33,22.33,1472
20071018,22.09,22.17,22.09,22.17,981
20071019,22,22.01,21.67,21.67,43183
20071022,21.69,21.84,21.69,21.74,5152
20071023,21.86,21.97,21.83,21.93,7360
20071024,21.86,21.91,21.64,21.9,13249
20071025,21.79,21.91,21.79,21.91,6379
20071026,22.11,22.28,22.11,22.28,7605
20071029,22.34,22.34,22.34,22.34,736
20071030,22.28,22.32,22.24,22.32,3926
20071031,22.37,22.37,22.37,22.37,245
20071101,22.25,22.25,22.08,22.08,11041
20071102,21.74,21.89,21.74,21.89,14721
20071105,21.84,21.9,21.72,21.9,75324
20071106,21.87,22.1,21.77,22.1,83424
20071107,22.01,22.01,21.48,21.48,84650
20071108,21.52,21.52,21.07,21.38,37788
20071109,21.1,21.27,21.1,21.27,14231
20071112,21.23,21.33,21.04,21.04,18402
20071113,21.34,21.56,21.34,21.56,5153
20071114,21.67,21.7,21.57,21.57,3925
20071115,21.36,21.45,21.12,21.16,10060
20071116,21.23,21.3,21.1,21.22,4907
20071119,21.14,21.18,20.86,21.01,4170
20071120,21.03,21.14,20.79,20.79,10551
20071121,20.78,20.78,20.78,20.78,1227
20071126,21.01,21.01,20.83,20.83,378841
20071127,20.73,20.8,20.64,20.64,141328
20071129,21.26,21.45,21.23,21.41,4417
20071130,21.75,21.75,21.49,21.53,64775
20071203,21.44,21.57,21.41,21.41,12022
20071204,21.25,21.36,21.25,21.36,31159
20071205,21.52,21.6,21.44,21.6,10059
20071207,21.96,21.96,21.84,21.94,8832
20071210,21.9,22.01,21.9,22,58641
20071211,22,22.06,21.56,21.56,16194
20071212,21.87,21.87,21.6,21.6,65020
20071213,21.39,21.59,21.38,21.58,43920
20071214,21.6,21.6,21.45,21.47,7359
20071217,21.29,21.29,21.11,21.11,2699
20071218,21.05,21.16,21.05,21.16,2943
20071219,21.15,21.22,21.01,21.11,16682
20071220,21.31,21.31,21.08,21.2,21591
20071221,20.93,21.53,20.93,21.52,286842
20071226,21.65,21.68,21.65,21.68,1226
20071227,21.5,21.53,21.42,21.42,57005
20071228,21.44,21.5,21.44,21.5,7584
20071231,21.24,21.35,21.24,21.32,24220
20080102,20.89,20.89,20.8,20.8,2691
20080103,20.87,20.98,20.76,20.76,5628
20080104,20.64,20.64,20.26,20.36,15169
20080107,20.35,20.41,20.21,20.41,12969
20080108,20.49,20.49,20.12,20.12,16391
20080109,20.03,20.22,20.03,20.22,17616
20080110,20.11,20.5,20.11,20.5,31561
20080111,20.26,20.28,20.05,20.05,7095
20080114,20.23,20.27,20.2,20.27,7095
20080115,20.13,20.13,19.922,19.922,20551
20080116,19.709,19.995,19.685,19.995,16638
20080117,19.856,19.856,19.358,19.358,16148
20080118,19.166,19.166,19.055,19.055,3670
20080122,19.419,19.419,18.622,19.178,13456
20080123,18.618,19.386,18.618,19.386,56516
20080124,21.97,21.97,19.403,19.599,10766
20080125,19.505,19.505,19.194,19.227,53089
20080128,19.284,19.382,19.284,19.374,2447
20080129,19.726,19.726,19.574,19.701,8807
20080130,19.631,19.885,19.631,19.775,40126
