Date,Open,High,Low,Close,Volume
20110923,20.22,21,19.368,19.368,3471
20110926,19.222,19.222,19.119,19.119,3857
20110927,18.893,18.933,18.893,18.933,1415
20110928,18.917,18.917,18.303,18.303,6533
20110929,18.528,18.622,18.528,18.622,2244
20110930,18.738,18.738,18.668,18.668,2571
20111003,18.696,18.696,18.276,18.427,2663
20111004,18.264,18.738,18.212,18.723,2637
20111005,18.388,18.388,18.24,18.342,4438
20111006,18.427,18.427,18.388,18.388,7175
20111007,18.132,18.404,18.132,18.279,1222
20111010,18.155,18.443,17.89,18.443,8104
20111011,17.898,18.077,17.867,17.898,5528
20111012,17.285,17.976,17.285,17.976,1544
20111013,18.015,18.085,17.922,18.038,3215
20111014,18.038,18.085,18.038,18.085,300
20111017,18.124,18.124,18.116,18.116,257
20111018,18.038,18.077,18.023,18.023,5241
20111019,18.046,18.085,18.046,18.069,6480
20111020,18.038,18.046,18.015,18.015,1158
20111021,18.038,18.038,18.007,18.007,2135
20111024,18.085,18.085,18.046,18.062,387
20111025,18.116,18.124,18.023,18.023,44958
20111026,18.122,18.13,18.069,18.069,19203
20111027,18.199,18.238,18.106,18.225,6664
20111028,18.202,18.544,18.202,18.505,2322
20111031,18.505,18.505,18.384,18.482,2495
20111101,18.202,18.233,18.174,18.233,9326
20111102,18.466,18.466,18.396,18.396,8346
20111104,18.415,18.431,18.4,18.427,1288
20111107,18.212,18.454,18.212,18.427,4190
20111108,18.497,18.536,18.497,18.528,12679
20111109,18.645,18.653,18.474,18.474,32092
20111110,18.567,18.855,18.513,18.59,12524
20111111,18.637,19.291,18.505,19.291,9002
20111114,18.785,18.878,18.684,18.762,5131
20111115,18.824,18.824,18.75,18.824,10321
20111116,18.832,18.832,18.748,18.754,17277
20111117,18.871,18.871,18.746,18.754,14135
20111118,18.894,18.894,18.793,18.793,1725
20111121,18.801,18.801,18.762,18.769,38868
20111122,18.676,18.676,18.629,18.637,2944
20111123,18.683,18.683,18.636,18.637,3008
20111125,18.629,18.644,18.629,18.644,14387
20111128,18.644,18.644,18.614,18.621,3078
20111129,18.663,18.663,18.59,18.59,3922
20111130,18.562,18.594,18.549,18.582,4112
20111201,18.668,19.113,18.605,18.605,9477
20111202,18.613,18.613,18.535,18.535,23839
20111205,18.543,18.574,18.539,18.574,1600
20111206,18.707,18.707,18.48,18.637,8231
20111207,18.637,18.637,18.582,18.582,1536
20111208,18.637,18.637,18.612,18.621,4145
20111209,18.957,18.957,18.59,18.59,8213
20111212,18.652,18.652,18.512,18.558,3883
20111213,18.558,18.594,18.527,18.574,4160
20111214,18.543,18.543,18.504,18.535,4726
20111215,18.531,18.531,18.464,18.508,13706
20111216,18.602,18.602,18.57,18.57,459
20111219,18.561,18.561,18.437,18.437,1213
20111220,18.601,18.601,18.547,18.547,1659
20111221,18.57,18.57,18.57,18.57,638
20111222,18.578,18.586,18.578,18.586,512
20111227,18.476,18.562,18.468,18.562,1276
20111228,18.562,18.562,18.492,18.492,862
20111229,18.519,18.57,18.492,18.57,2206
20111230,18.508,18.523,18.508,18.523,3446
20120103,18.539,18.539,18.539,18.539,128
20120104,18.57,18.688,18.57,18.688,768
20120105,18.703,18.711,18.703,18.711,460
20120106,18.726,18.726,18.617,18.617,1306
20120109,18.697,18.697,18.633,18.633,766
20120110,18.7,18.7,18.59,18.602,3113
20120111,18.703,18.703,18.602,18.602,1218
20120112,18.625,18.774,18.625,18.774,6097
20120113,18.795,18.819,18.795,18.795,12498
20120117,18.748,18.787,18.702,18.787,1718
20120118,18.858,18.858,18.816,18.827,954
20120119,18.866,18.897,18.866,18.897,700
20120120,18.712,18.85,18.712,18.85,2316
20120123,18.78,18.858,18.748,18.858,636
20120124,18.835,18.937,18.827,18.937,21341
20120125,18.937,18.937,18.813,18.858,8412
20120126,18.858,18.937,18.858,18.929,8091
20120127,18.921,18.929,18.897,18.897,3041
20120130,18.937,19.031,18.741,18.819,7820
20120131,18.858,18.889,18.858,18.889,9063
20120201,18.929,18.937,18.843,18.913,11217
20120202,18.913,18.937,18.834,18.929,13814
20120203,18.834,19.003,18.834,18.976,1947
20120206,19.055,19.055,19.007,19.055,1070
20120207,19.015,19.015,18.858,18.976,8896
20120208,18.976,18.976,18.921,18.929,2814
20120209,18.929,19.055,18.929,19.055,2036
20120210,19.275,19.275,19.098,19.11,2503
20120213,19.298,19.322,19.265,19.267,3435
20120214,19.29,19.29,19.094,19.094,6938
20120215,19.343,19.587,19.295,19.319,4022
20120216,19.347,19.386,19.229,19.232,6739
20120217,19.225,19.225,19.146,19.146,4442
20120221,19.288,19.303,18.854,19.051,18682
20120222,19.035,19.303,19.004,19.24,22628
20120223,19.241,19.265,19.186,19.193,4538
20120224,19.185,19.185,19.175,19.185,3808
20120227,19.142,19.292,19.142,19.272,6953
20120228,19.272,19.343,19.272,19.303,38605
20120229,19.343,19.343,19.327,19.343,2519
20120301,19.382,19.382,19.311,19.311,12515
20120305,19.303,19.303,19.272,19.272,2540
20120306,19.391,19.391,19.319,19.319,10560
20120307,19.264,19.264,19.264,19.264,5150
20120308,19.343,19.343,19.34,19.343,19786
20120309,19.343,19.343,19.225,19.343,6641
20120312,19.359,19.359,19.24,19.319,30715
20120313,19.224,19.279,19.224,19.256,22485
20120314,19.266,19.266,19.155,19.169,26920
20120315,19.244,19.252,19.125,19.165,37279
20120316,19.283,19.701,19.283,19.315,25278
20120319,19.362,19.362,19.245,19.323,2387
20120320,19.307,19.307,19.252,19.267,11897
20120321,19.318,19.318,19.286,19.299,9997
20120322,19.346,19.362,19.299,19.323,8276
20120323,19.295,19.307,19.291,19.291,1265
20120326,19.347,19.347,19.292,19.299,3037
20120327,19.354,19.354,19.309,19.315,2304
20120328,19.323,19.323,19.323,19.323,2499
20120329,19.086,19.299,19.086,19.299,6740
20120330,19.394,19.394,19.323,19.323,16815
20120402,19.323,19.607,19.283,19.283,6454
20120403,19.287,19.302,19.271,19.283,3113
20120404,19.315,19.315,19.315,19.315,417
20120405,19.256,19.256,19.24,19.244,1171
20120409,19.165,19.307,19.165,19.307,9744
20120410,19.323,19.323,19.3,19.323,11318
20120411,19.325,19.325,19.291,19.291,4163
20120412,19.346,19.346,19.286,19.299,2973
20120413,19.27,19.294,19.27,19.294,1766
20120416,19.237,19.286,19.237,19.286,1905
20120417,19.255,19.255,19.215,19.215,11269
20120418,19.186,19.263,19.186,19.215,4101
20120419,19.215,19.215,19.215,19.215,9907
20120423,19.175,19.175,19.16,19.175,6991
20120424,19.215,19.247,19.199,19.207,4327
20120425,19.191,19.223,19.144,19.175,9401
20120426,19.255,19.255,19.191,19.207,4368
20120427,19.302,19.302,19.199,19.215,31042
20120430,19.215,19.326,19.183,19.278,56528
20120501,19.286,19.318,19.207,19.278,76103
20120502,19.381,19.381,19.168,19.183,43794
20120503,19.175,19.175,19.096,19.112,71710
20120504,19.144,19.168,19.088,19.16,86413
20120507,19.152,19.168,19.064,19.128,159820
20120508,19.088,19.128,19.064,19.12,72760
20120509,19.033,19.144,19.033,19.136,23846
20120510,19.072,19.152,19.072,19.104,136469
20120511,19.096,19.16,19.057,19.057,5171
20120514,19.136,19.144,19.082,19.128,8050
20120515,19.186,19.186,19.019,19.106,74014
20120516,19.066,19.074,19.034,19.074,180012
20120517,19.074,19.074,18.955,18.955,68951
20120518,19.002,19.058,18.955,19.058,71689
20120521,19.05,19.05,18.986,19.05,12755
20120522,19.066,19.074,18.986,19.002,30863
20120523,19.01,19.026,18.925,18.963,36597
20120524,18.963,19.002,18.907,18.971,64540
20120525,18.947,18.987,18.907,18.947,69869
20120529,18.836,18.986,18.836,18.986,13218
20120530,18.843,18.963,18.843,18.939,14690
20120531,18.923,18.923,18.923,18.923,1778
20120601,18.883,18.899,18.78,18.899,12579
20120604,18.915,18.915,18.875,18.915,3400
20120605,18.926,18.926,18.915,18.915,4153
20120606,18.939,18.979,18.931,18.979,10508
20120607,18.883,18.994,18.883,18.994,1574
20120608,18.82,18.971,18.82,18.971,1133
20120611,18.994,18.994,18.994,18.994,220
20120612,19.002,19.002,18.947,18.971,5620
20120613,18.961,18.961,18.947,18.955,3273
20120614,19.002,19.026,19.002,19.018,938
20120615,18.99,18.99,18.83,18.878,43797
20120618,19.013,19.013,18.854,18.942,23319
20120619,18.894,19.022,18.894,18.958,28689
20120620,18.998,19.021,18.91,19.021,2143
20120621,19.061,19.061,18.886,18.998,8563
20120622,19.053,19.053,18.918,19.045,9667
20120625,19.037,19.045,19.006,19.037,6780
20120626,18.95,19.053,18.95,18.974,5664
20120627,19.094,19.102,18.895,18.982,7065
20120628,19.077,19.077,19.077,19.077,1067
20120629,19.077,19.077,18.895,19.006,92766
20120702,19.059,19.133,18.99,18.998,2051
20120703,18.838,19.029,18.838,19.029,252
20120705,18.832,19.013,18.832,19.013,634
20120709,19.069,19.069,19.029,19.053,1758
20120710,19.116,19.117,19.037,19.037,973
20120711,19.117,19.125,18.958,19.013,10744
20120712,19.074,19.09,19.002,19.021,5408
20120713,19.105,19.105,19.105,19.105,1252
20120716,19.112,19.112,19.084,19.112,1878
20120717,19.136,19.136,19.136,19.136,250
20120718,19.128,19.128,19.128,19.128,522
20120719,18.929,18.929,18.929,18.929,701
20120720,19.135,19.135,18.977,18.977,3434
20120723,19.096,19.105,19.061,19.105,8179
20120724,19.089,19.097,19.089,19.097,2254
