Date,Open,High,Low,Close,Volume
20131113,10.077,10.226,10.077,10.212,182974
20131114,10.316,10.397,10.316,10.397,8509
20131115,10.41,10.434,10.409,10.433,19630
20131118,10.446,10.45,10.381,10.385,7836
20131119,10.381,10.381,10.361,10.361,2702
20131120,10.332,10.34,10.214,10.235,30757
20131121,10.312,10.373,10.31,10.332,23079
20131122,10.336,10.365,10.328,10.365,5482
20131125,10.646,10.646,10.414,10.442,17099
20131126,10.402,10.41,10.402,10.406,10403
20131127,10.377,10.41,10.365,10.41,10555
20131129,10.438,10.442,10.434,10.442,13648
20131202,10.638,10.646,10.279,10.279,145404
20131203,10.723,10.723,10.186,10.202,209109
20131204,10.064,10.495,10.064,10.108,8190
20131205,10.117,10.133,10.096,10.096,18129
20131206,10.157,10.157,10.141,10.141,1720
20131209,12.213,12.213,10.21,10.214,5453
20131210,10.211,10.214,10.186,10.198,17118
20131211,10.313,10.313,10.076,10.076,68128
20131212,10.076,10.076,9.998,10.018,7817
20131213,10.481,10.481,10.018,10.084,80138
20131216,9.47,10.112,9.441,10.066,72238
20131217,10.088,10.104,10.088,10.104,4543
20131218,10.098,10.227,10.081,10.227,6472
20131219,10.157,10.157,10.125,10.133,3783
20131220,10.174,10.264,10.174,10.26,16118
20131223,10.321,10.399,10.321,10.35,28453
20131224,10.37,10.407,10.37,10.387,18074
20131226,10.419,10.428,10.395,10.409,30259
20131227,10.391,10.391,10.391,10.391,5007
20131230,10.403,10.415,10.387,10.399,57630
20131231,10.645,10.645,10.624,10.624,2932
20140102,10.44,10.44,10.28,10.436,116221
20140103,10.46,10.559,10.46,10.502,9770
20140106,10.418,10.591,10.418,10.591,34893
20140107,10.698,10.698,10.563,10.596,62977
20140108,10.677,10.677,10.51,10.569,34148
20140109,10.527,10.564,10.477,10.506,84486
20140110,10.573,10.623,10.568,10.617,45265
20140113,10.744,10.744,10.564,10.581,51429
20140114,10.618,10.639,10.606,10.627,51097
20140115,10.647,10.689,10.647,10.685,17153
20140116,10.681,10.727,10.668,10.727,26537
20140117,10.689,10.694,10.669,10.685,62846
