Date,Open,High,Low,Close,Volume
20170112,18.927,18.927,18.852,18.86,109369
20170113,18.833,18.889,18.805,18.861,32479
20170117,18.805,18.805,18.693,18.712,56822
20170118,18.74,18.74,18.675,18.684,26897
20170119,18.768,18.768,18.698,18.735,77854
20170120,18.805,18.805,18.731,18.74,12987
20170123,18.815,18.815,18.712,18.782,43658
20170124,18.969,19.085,18.95,19.062,18682
20170125,19.151,19.748,19.12,19.17,28235
20170126,19.216,19.244,19.151,19.16,70879
20170127,19.029,19.057,19.011,19.011,40706
20170130,19.841,19.841,18.731,18.796,12504
20170131,18.768,18.796,18.714,18.796,45004
20170201,18.824,18.843,18.768,18.843,48861
20170202,18.843,18.908,18.843,18.871,26082
20170203,18.908,19.804,18.908,18.908,60395
20170206,18.899,18.899,18.843,18.852,43290
20170207,18.815,18.824,18.712,18.768,51060
20170208,18.665,18.843,18.665,18.843,19020
20170209,18.908,19.011,18.908,19.001,73640
20170210,19.057,19.16,19.057,19.132,31343
20170213,19.207,19.235,19.179,19.193,34074
20170214,19.179,19.216,19.076,19.197,27967
20170215,19.337,19.486,19.319,19.458,31129
20170216,19.449,19.449,19.384,19.403,24110
20170217,19.309,19.757,19.3,19.337,11413
20170221,19.509,19.52,19.487,19.515,28181
20170222,19.44,19.498,19.431,19.486,25306
20170223,19.542,19.542,19.366,19.412,28761
20170224,19.244,19.291,19.197,19.281,23721
20170227,19.291,19.375,19.291,19.356,22707
20170228,19.785,19.785,19.168,19.197,11543
20170301,19.449,19.561,19.449,19.561,21974
20170302,19.514,19.514,19.421,19.44,49445
20170303,19.421,19.44,19.384,19.44,26850
20170306,19.403,19.403,19.322,19.384,18184
20170307,19.328,19.337,19.3,19.303,20717
20170308,19.375,19.375,19.263,19.263,25772
20170309,19.347,19.347,19.225,19.235,15213
20170310,19.393,19.477,19.286,19.356,34669
20170313,19.561,19.561,19.496,19.514,12784
20170314,19.412,19.472,19.356,19.458,11813
20170315,19.551,19.744,19.542,19.744,20877
20170316,19.851,19.86,19.72,19.741,12767
20170317,19.72,19.729,19.682,19.692,18582
20170320,19.71,19.757,19.692,19.748,16071
20170321,19.822,19.822,19.331,19.337,17277
20170322,19.263,19.365,19.207,19.347,16570
20170323,19.347,19.421,19.347,19.356,17904
20170324,19.384,19.435,19.384,19.409,5035
20170327,19.272,19.365,19.146,19.356,13610
20170328,19.412,19.552,19.412,19.543,11372
20170329,19.589,19.72,19.589,19.72,14593
20170330,19.701,19.72,19.636,19.636,11572
20170331,19.598,19.673,19.598,19.673,20425
20170403,19.72,19.72,19.481,19.664,13007
20170404,19.541,19.617,19.524,19.608,23354
20170405,19.776,19.776,19.542,19.542,17571
20170406,19.523,19.679,19.523,19.654,19816
20170407,19.598,19.626,19.542,19.57,11053
20170410,19.748,19.776,19.673,19.711,18809
20170411,19.655,19.706,19.552,19.706,12038
20170412,19.738,19.738,19.617,19.626,14562
20170413,19.664,19.664,19.468,19.496,31024
20170417,19.598,19.682,19.533,19.682,6639
20170418,19.682,19.682,19.518,19.552,19033
20170419,19.654,19.71,19.505,19.511,14929
20170420,19.58,19.748,19.58,19.744,16594
20170421,19.785,19.785,19.696,19.72,17588
20170424,19.934,19.962,19.919,19.937,4669
20170425,20.09,20.21,20.09,20.2,18331
20170426,20.12,20.17,20.09,20.1,37477
20170427,20.1,20.1,19.988,20.07,15108
20170428,20.24,20.24,20.07,20.08,31094
20170501,20.17,20.25,20.13,20.23,6977
20170502,20.37,20.37,20.19,20.21,22654
20170503,20.26,20.29,20.23,20.28,17995
20170504,20.29,20.29,20.15,20.22,14490
20170505,20.32,20.46,20.32,20.46,14250
20170508,20.53,20.56,20.47,20.56,17605
20170509,20.68,20.72,20.65,20.68,41863
20170510,20.71,20.9,20.71,20.85,11096
20170511,20.77,20.88,20.68,20.85,25923
20170512,20.92,20.98,20.9,20.98,14226
20170515,21.08,21.11,21.01,21.02,12536
20170516,21.1,21.17,21.07,21.15,21556
20170517,20.97,20.97,20.62,20.62,32228
20170518,20.54,20.66,20.32,20.57,35196
20170519,20.82,21.02,20.82,20.99,17706
20170522,21.1,21.17,21.08,21.13,19696
20170523,21.21,21.21,21.08,21.13,15052
20170524,21.14,21.14,20.99,21.06,31482
20170525,21.18,21.19,21.03,21.05,29214
20170526,21.12,21.12,21.04,21.07,19527
20170530,21.01,21.01,20.84,20.84,8421
20170531,20.76,20.76,20.58,20.66,20396
20170601,20.87,20.97,20.73,20.96,33718
20170602,21.01,21.01,20.94,20.99,18231
20170605,20.98,21.03,20.95,20.99,23593
20170606,21,21.03,20.9,20.97,20360
20170607,21.09,21.11,21,21.07,28015
20170608,21.2,21.2,21.02,21.06,64875
20170609,21.19,21.19,20.81,20.87,21939
20170612,20.82,20.88,20.71,20.75,18385
20170613,20.97,20.97,20.86,20.91,14450
20170614,21.01,21.01,20.73,20.75,17063
20170615,20.58,20.58,20.44,20.54,12823
20170616,20.63,20.69,20.63,20.69,29573
20170619,20.86,20.97,20.86,20.95,21745
20170620,20.77,20.77,20.61,20.63,9804
20170621,20.64,20.66,20.58,20.65,9457
20170622,20.62,20.75,20.58,20.71,13771
20170623,20.7,20.83,20.7,20.82,16091
20170626,20.97,21.02,20.77,20.82,9244
20170627,20.8,20.85,20.64,20.66,10116
20170628,20.75,20.86,20.62,20.82,14361
20170629,20.87,20.87,20.52,20.68,20050
20170630,20.72,20.8,20.64,20.78,10549
20170703,20.89,20.89,20.81,20.81,5711
20170705,20.73,20.87,20.72,20.87,13832
20170706,20.78,20.78,20.61,20.61,10794
20170707,20.66,20.73,20.59,20.7,12953
20170710,20.88,20.99,20.88,20.95,19301
20170711,20.99,21.05,20.92,21.05,7820
20170712,21.19,21.38,21.19,21.37,6477
20170713,21.39,21.45,21.39,21.45,7592
20170714,21.47,21.6,21.47,21.6,8383
20170717,21.62,21.62,21.48,21.52,12868
20170718,21.5,21.65,21.5,21.65,22071
20170719,21.75,21.9,21.73,21.86,10845
20170720,21.91,21.91,21.8,21.83,22929
20170721,21.78,21.83,21.74,21.83,8995
20170724,21.85,21.9,21.83,21.9,15333
20170725,21.89,21.95,21.85,21.92,23879
20170726,21.95,22.12,21.95,22.06,12335
20170727,22.13,22.13,21.74,21.86,16671
20170728,21.86,21.88,21.86,21.88,3214
20170731,21.79,21.86,21.79,21.86,12752
20170801,21.86,21.87,21.78,21.79,15804
20170802,21.77,21.77,21.53,21.63,24722
20170803,21.58,21.58,21.54,21.56,10770
20170804,21.6,21.62,21.54,21.61,13009
20170807,21.62,21.77,21.62,21.74,11925
20170808,21.8,21.93,21.72,21.72,21061
20170809,21.65,21.66,21.61,21.64,10242
20170810,21.47,21.5,21.32,21.33,24878
20170811,21.24,21.36,21.24,21.33,20531
20170814,21.52,21.57,21.48,21.53,14611
20170815,21.54,21.57,21.47,21.57,21185
20170816,21.72,21.73,21.58,21.58,18690
20170817,21.59,21.59,21.39,21.39,19782
20170818,21.33,21.47,21.23,21.39,16279
20170821,21.34,21.41,21.34,21.4,23533
20170822,21.56,21.71,21.56,21.71,38313
20170823,21.63,21.84,21.61,21.8,21787
20170824,21.84,21.84,21.71,21.76,14933
20170825,21.78,21.79,21.54,21.54,26367
20170828,21.54,21.54,21.31,21.33,37073
20170829,21.13,21.39,21.13,21.39,16110
20170830,21.46,21.6,21.44,21.58,24886
20170831,21.65,21.82,21.65,21.78,34213
20170901,21.93,21.96,21.9,21.95,17357
20170905,21.9,21.92,21.71,21.71,15691
20170906,21.82,21.87,21.8,21.86,9632
20170907,21.89,21.97,21.88,21.97,17554
20170908,21.85,21.85,21.76,21.76,12537
20170911,21.92,22.12,21.92,22.11,21949
20170912,22.28,22.35,22.21,22.34,35611
20170913,22.33,22.53,22.33,22.49,13678
20170914,22.46,22.62,22.46,22.57,11045
20170915,22.56,22.61,22.55,22.6,27991
20170918,22.69,22.69,22.59,22.62,15773
20170919,22.72,22.73,22.65,22.71,20439
20170920,22.82,22.84,22.69,22.83,32335
20170921,22.7,22.85,22.69,22.82,10344
20170922,22.82,22.82,22.76,22.8,9439
20170925,22.76,22.76,22.4,22.47,49996
20170926,22.54,22.59,22.44,22.49,13096
20170927,22.58,22.72,22.53,22.69,17203
20170928,22.63,22.7,22.6,22.66,11630
20170929,22.72,22.83,22.72,22.8,21984
20171002,22.9,22.9,22.84,22.9,12151
20171003,23,23.01,22.95,23,17579
20171004,23.01,23.01,22.89,22.94,45551
20171005,22.99,23.02,22.94,23,21818
20171006,22.97,23.04,22.97,23.03,16847
20171009,23.02,23.08,23.02,23.02,13414
20171010,23.07,23.14,23.07,23.12,530307
20171011,23.08,23.19,23.08,23.19,84151
20171012,23.21,23.21,23.07,23.09,19964
20171013,23.12,23.2,23.12,23.13,18382
20171016,23.2,23.31,23.17,23.31,32351
20171017,23.23,23.25,23.14,23.14,50450
20171018,23.32,23.36,23.25,23.25,17380
20171019,23.14,23.15,23.04,23.07,27300
20171020,23.23,23.29,23.18,23.18,50363
20171023,23.23,23.23,23.02,23.02,45146
20171024,23.05,23.12,23.03,23.03,42124
20171025,23.07,23.11,22.8,22.88,32359
20171026,22.88,22.88,22.76,22.81,11713
20171027,23.04,23.4,23.03,23.39,59829
20171030,23.32,23.44,23.29,23.31,23112
20171031,23.36,23.51,23.36,23.51,30534
20171101,23.6,23.7,23.59,23.63,7974
20171102,23.71,23.71,23.53,23.59,41994
20171103,23.66,23.73,23.54,23.66,22504
20171106,23.67,24.02,23.67,24.02,21714
20171107,24.09,24.09,23.79,23.89,40608
20171108,23.84,23.89,23.73,23.85,80175
20171109,23.79,23.79,23.55,23.75,42046
20171110,23.65,23.65,23.56,23.59,9541
20171113,23.57,23.65,23.55,23.58,247515
20171114,23.47,23.51,23.35,23.42,69884
20171115,23.38,23.46,23.21,23.4,225655
20171116,23.57,23.75,23.56,23.72,72956
20171117,23.89,23.89,23.75,23.79,32621
20171120,23.85,23.87,23.77,23.84,12012
20171121,23.87,23.97,23.87,23.92,46090
20171122,24.07,24.11,23.89,23.92,44004
20171124,24.02,24.02,23.84,23.88,5323
20171127,23.88,23.91,23.76,23.78,24232
20171128,23.8,23.89,23.71,23.84,26380
20171129,23.9,23.91,23.64,23.75,52584
20171130,23.74,23.83,23.48,23.7,148792
20171201,23.71,23.71,23.5,23.57,6698
20171204,23.91,23.91,23.51,23.51,10726
20171205,23.49,23.63,23.44,23.44,18377
20171206,23.33,23.5,23.33,23.45,11150
20171207,23.42,23.64,23.42,23.61,612032
20171208,23.78,23.78,23.65,23.67,24714
20171211,23.66,23.79,23.66,23.74,27694
