Date,Open,High,Low,Close,Volume
20180711,24.88,24.88,24.53,24.57,3364
20180712,24.51,24.62,24.51,24.58,3177
20180713,24.58,24.58,24.48,24.48,1406
20180716,24.38,24.38,24.28,24.33,1205
20180717,24.49,24.49,24.49,24.49,201
20180718,24.57,24.66,24.48,24.66,1370
20180719,24.66,24.75,24.66,24.74,1508
20180723,24.81,24.81,24.81,24.81,201
20180724,24.78,24.78,24.38,24.38,351
20180725,24.67,24.71,24.55,24.62,1204
20180726,24.85,24.85,24.69,24.69,703
20180727,24.58,24.58,24.13,24.13,450
20180730,23.57,23.57,23.57,23.57,360
20180731,23.74,23.74,23.74,23.74,502
20180801,24.87,24.87,23.9,23.9,200
20180807,24.06,24.06,24.06,24.06,201
20180810,25.37,25.37,24.33,24.33,1961
20180813,24.43,24.43,24.4,24.4,301
20180815,23.99,24,23.99,24,753
20180816,24.04,24.04,24.04,24.04,302
20180817,24.43,24.43,24.43,24.43,100
20180820,24.47,24.5,24.47,24.5,302
20180821,25.67,25.67,24.67,24.67,200
20180823,24.74,24.89,24.73,24.88,2356
20180827,25.48,25.48,25.42,25.45,401
20180828,25.4,25.48,25.4,25.46,4943
20180830,25.56,25.65,25.56,25.65,1637
20180831,25.8,25.89,25.77,25.89,3833
20180904,25.88,25.88,25.86,25.88,1306
20180905,25.45,25.45,25.45,25.45,503
20180910,26.39,26.39,25.36,25.36,914
20180911,25.42,25.42,25.42,25.42,201
20180912,25.17,25.17,25.17,25.17,100
20180913,25.07,25.07,25.07,25.07,502
20180914,24.94,25.06,24.94,24.99,1206
20180917,24.64,24.64,24.62,24.62,602
20180918,24.98,24.98,24.83,24.83,2251
20180919,24.83,24.83,24.49,24.49,3323
20180920,24.72,24.72,24.72,24.72,201
20180921,24.85,24.85,24.59,24.6,4071
20180924,24.98,24.98,24.98,24.98,100
20180925,24.9,24.9,24.9,24.9,201
20180926,24.69,24.84,24.69,24.84,2291
20180927,24.6,24.62,24.55,24.55,1216
20180928,24.77,24.77,24.77,24.77,2512
20181001,25.17,25.17,24.16,24.16,351
20181004,23.47,23.5,23.38,23.44,6205
20181005,23.18,23.18,23.16,23.16,402
20181008,22.79,22.79,22.79,22.79,151
20181009,22.94,22.94,22.94,22.94,201
20181010,22.6,22.6,22.14,22.14,1610
20181011,22.41,22.41,21.78,21.78,1405
20181012,21.84,21.89,21.84,21.89,502
20181015,22.09,22.09,22.04,22.04,603
20181016,22.28,22.79,22.28,22.79,1004
20181017,22.69,22.69,22.69,22.69,201
20181018,22.74,22.74,22.74,22.74,100
20181019,22.65,22.65,22.62,22.62,759
20181022,22.21,22.21,22.21,22.21,100
20181024,20.99,20.99,20.99,20.99,201
20181025,20.9,21.34,20.9,21.34,401
20181029,21.14,21.14,21.09,21.09,503
20181030,21.63,21.63,21.63,21.63,1005
20181031,21.79,21.79,21.79,21.79,352
20181101,21.94,21.94,21.91,21.92,809
20181105,22.44,22.44,22.24,22.24,2517
20181107,22.48,22.49,22.48,22.49,904
20181108,22.65,22.79,22.41,22.41,1786
20181109,22.57,22.57,21.85,21.85,2615
20181112,21.49,21.49,21.49,21.49,402
20181113,21.21,21.21,21.21,21.21,100
20181114,20.94,21,20.94,20.94,1105
20181115,21.04,21.23,21.04,21.23,779
20181116,21.23,21.24,21.21,21.24,1206
20181119,20.9,20.9,20.9,20.9,100
20181120,19.612,20.4,19.612,20.4,1005
20181121,20.43,20.48,20.43,20.48,703
20181123,20.91,20.91,20.9,20.9,301
20181130,21.19,21.19,21.19,21.19,402
20181204,21.18,21.18,21.18,21.18,100
20181206,20.26,20.28,20.26,20.28,201
20181207,20.31,20.31,20.1,20.11,602
20181210,19.891,19.891,19.891,19.891,100
20181211,20.17,20.17,20.17,20.17,100
20181212,20.38,20.38,20.38,20.38,201
20181214,19.715,19.715,19.715,19.715,201
20181218,19.219,19.219,18.885,18.885,1206
20181219,18.997,18.997,18.997,18.997,402
20181220,18.189,18.189,18.02,18.02,1205
20181221,17.95,17.95,17.95,17.95,100
20181226,18.1,18.1,18.09,18.09,217
20181228,18.437,18.437,18.437,18.437,100
20190102,18.139,18.806,18.139,18.806,603
20190103,18.617,18.617,18.378,18.428,2513
