Date,Open,High,Low,Close,Volume
20200618,25.4389,25.4389,25.4389,25.4389,1
20200619,25.56,25.56,25.4002,25.4002,1133
20200622,25.4766,25.4766,25.4766,25.4766,11
20200623,25.5403,25.5403,25.5403,25.5403,2
20200624,25.3,25.3,25.268,25.268,1781
20200625,25.32,25.45,25.2779,25.45,6627
20200626,25.27,25.3,25.2149,25.2149,5042
20200629,25.32,25.3298,25.32,25.3298,1306
20200630,25.53,25.53,25.53,25.53,147
20200701,25.53,25.58,25.53,25.58,3372
20200702,25.57,25.63,25.5412,25.5412,2972
20200706,25.75,25.85,25.7199,25.7199,33861
20200707,25.73,25.77,25.6756,25.6899,8954
20200710,25.75,25.7854,25.75,25.7854,980
20200715,25.98,25.98,25.98,25.98,1937
20200720,26,26,26,26,1000
20200729,26.14,26.16,26.14,26.14,500
20200803,26.22,26.23,26.22,26.22,300
20200804,26.29,26.29,26.29,26.29,100
20200805,26.385,26.41,26.385,26.41,1564
20200807,26.44,26.48,26.4275,26.4275,682
20200810,26.43,26.43,26.42,26.42,200
20200811,26.47,26.47,26.47,26.47,100
20200813,26.5,26.5,26.5,26.5,500
20200817,26.47,26.47,26.47,26.47,12900
20200824,26.55,26.58,26.55,26.58,200
20200825,26.58,26.61,26.58,26.61,700
20200826,26.71,26.71,26.7,26.7,900
20200827,26.64,26.64,26.64,26.64,100
20200828,26.7,26.7,26.6722,26.69,740
20200831,26.74,26.74,26.7399,26.7399,600
20200904,26.61,26.61,26.38,26.4,900
20200908,26.27,26.27,26.27,26.27,219
20200910,26.45,26.45,26.45,26.45,100
20200914,26.51,26.52,26.49,26.49,1708
20200921,26.07,26.12,26.0595,26.08,4020
20200922,26.13,26.15,26.13,26.15,1752
20200924,25.89,25.905,25.86,25.87,2340
20200929,26.27,26.27,26.2598,26.2598,100
20200930,26.32,26.3245,26.32,26.3245,100
20201002,26.25,26.25,26.2377,26.2377,100
20201013,26.76,26.76,26.7526,26.7526,100
20201014,26.74,26.74,26.74,26.74,100
20201020,26.61,26.61,26.599,26.6099,328
20201021,26.56,26.56,26.56,26.56,1040
20201022,26.52,26.52,26.51,26.51,1112
20201023,26.55,26.55,26.5465,26.5465,600
20201028,26,26,25.9924,25.9924,100
20201029,26.08,26.0881,26.08,26.0881,200
20201030,25.84,25.8485,25.84,25.8485,2400
20201102,26.03,26.03,26.03,26.03,300
20201103,26.12,26.25,26.12,26.2298,775
20201104,26.57,26.58,26.57,26.57,1300
20201105,26.78,26.78,26.78,26.78,300
20201106,26.76,26.79,26.76,26.77,609
20201109,27.0201,27.04,27.02,27.04,1063
20201110,27.21,27.21,27.21,27.21,100
20201113,27.03,27.03,27.03,27.03,102
20201117,27.15,27.15,27.15,27.15,185
20201118,27.15,27.16,27.15,27.16,1422
20201119,27.02,27.02,27.02,27.02,616
20201124,27.38,27.39,27.355,27.39,1770
20201125,27.3724,27.38,27.3724,27.38,1077
20201130,27.33,27.33,27.33,27.33,1264
20201201,27.47,27.47,27.44,27.44,1038
20201209,27.57,27.57,27.5,27.5,1700
20201214,27.52,27.52,27.5189,27.5189,100
20201215,27.59,27.6107,27.565,27.61,3858
20201218,27.7,27.7,27.6999,27.6999,294
20201222,27.641,27.641,27.641,27.641,100
20201223,27.7,27.7,27.7,27.7,1150
20201224,27.58,27.6,27.58,27.6,4050
20201228,27.67,27.67,27.67,27.67,900
20201230,27.75,27.75,27.72,27.7252,2304
20201231,27.74,27.75,27.73,27.73,5061
