Date,Open,High,Low,Close,Volume
20100914,18.176,18.476,18.176,18.458,67100
20100915,18.43,18.585,18.403,18.585,312856
20100916,18.439,18.485,18.358,18.485,42717
20100917,18.503,18.53,18.367,18.439,47642
20100920,18.812,18.912,18.639,18.839,118994
20100921,18.93,18.957,18.767,18.857,70495
20100922,18.967,19.03,18.903,18.93,82842
20100923,18.767,18.994,18.685,18.821,76412
20100924,19.121,19.203,19.085,19.157,110285
20100927,19.212,19.212,19.085,19.085,448819
20100928,19.221,19.276,19.003,19.257,82480
20100929,19.303,19.303,19.176,19.23,55451
20100930,19.448,19.448,19.221,19.362,44257
20101001,19.921,19.921,19.557,19.739,81773
20101004,19.657,19.766,19.494,19.575,52753
20101005,19.769,20.003,19.65,19.923,361016
20101006,19.894,19.93,19.766,19.875,123755
20101007,19.766,19.766,19.566,19.666,112478
20101008,19.739,19.839,19.585,19.812,85984
20101011,19.812,19.939,19.757,19.844,141522
20101012,19.948,20.09,19.794,20.08,149838
20101013,20.39,20.51,20.18,20.39,389422
20101014,20.44,20.47,20.27,20.36,190867
20101015,20.5,20.5,20.18,20.22,149281
20101018,20.38,20.49,20.24,20.48,223790
20101019,20.31,20.31,19.857,19.975,133129
20101020,20.13,20.33,20.04,20.25,133136
20101021,20.5,20.6,20.18,20.4,316757
20101022,20.44,20.44,20.3,20.38,157177
20101025,20.55,20.67,20.4,20.47,207889
20101026,20.44,20.44,20.27,20.36,76175
20101027,20.21,20.21,19.803,19.99,227036
20101028,20.16,20.19,20.04,20.08,159157
20101029,20.34,20.5,20.25,20.41,109329
20101101,20.55,20.55,20.32,20.47,129268
20101102,20.63,20.66,20.5,20.63,92011
20101103,21.14,21.14,20.47,20.68,126482
20101104,20.97,20.97,20.81,20.89,622629
20101105,20.92,20.93,20.79,20.89,149037
20101108,20.78,20.88,20.68,20.88,106087
20101109,21.1,21.1,20.62,20.72,318108
20101110,20.8,20.84,20.46,20.8,122303
20101111,20.62,20.65,20.48,20.63,180650
20101112,20.52,20.54,20.22,20.3,156849
20101115,20.45,20.46,20.24,20.29,123832
20101116,20.08,20.08,19.621,19.784,307961
20101117,19.884,19.984,19.794,19.93,106877
20101118,20.33,20.44,20.31,20.38,140563
20101119,20.34,20.51,20.21,20.51,267286
20101122,20.48,20.53,20.3,20.53,265914
20101123,20.2,20.2,19.939,19.974,106587
20101124,20.24,20.44,20.24,20.43,101022
20101126,20.18,20.21,20.05,20.1,27587
20101129,19.939,20.14,19.766,20.1,243625
20101130,19.803,20.02,19.803,19.943,60465
20101201,20.32,20.36,20.17,20.3,91329
20101202,20.39,20.64,20.37,20.61,287763
20101203,20.54,20.76,20.46,20.76,74812
20101206,20.7,20.78,20.67,20.77,112936
20101207,20.91,20.94,20.69,20.71,312037
20101208,20.67,20.73,20.48,20.6,58877
20101209,20.64,20.64,20.47,20.57,109317
20101210,20.67,20.67,20.47,20.6,205723
