Date,Open,High,Low,Close,Volume
20200730,16.495,16.495,15.195,15.565,2554870
20200731,15.695,15.755,15.345,15.555,999993
20200803,15.675,15.865,15.595,15.83,1704117
20200804,15.915,16.075,15.885,16.04,2281891
20200805,16.165,16.225,15.925,16.085,1743743
20200806,16.175,16.245,16.015,16.135,429072
20200807,16.075,16.195,15.825,15.955,591338
20200810,15.995,16.045,15.635,15.695,384842
20200811,15.645,15.695,15.395,15.415,341997
20200812,15.455,15.585,15.425,15.55,431519
20200813,15.605,15.855,15.597,15.735,181784
20200814,15.795,15.795,15.525,15.555,254097
20200817,15.625,15.835,15.625,15.835,307480
20200818,15.925,16.085,15.85,16.025,315531
20200819,16.095,16.235,15.995,16.13,299501
20200820,16.085,16.235,16.045,16.175,232815
20200821,16.115,16.205,16.105,16.185,559454
20200824,16.285,16.365,15.925,15.965,412693
20200825,15.965,15.995,15.795,15.975,194932
20200826,15.995,16.095,15.895,16.025,197052
20200827,16.095,16.145,15.865,16.125,240858
20200828,16.325,16.325,16.095,16.145,122111
20200831,16.195,16.295,16.095,16.288,435380
20200901,16.345,16.525,16.345,16.495,220710
20200902,16.725,16.88,16.435,16.875,250207
20200903,16.665,16.715,15.995,16.125,473414
20200904,16.055,16.085,15.245,15.745,216370
20200908,15.455,15.705,15.305,15.475,219287
20200909,15.695,15.995,15.695,15.945,141190
20200910,16.075,16.29,15.875,15.875,198177
20200911,15.945,16.03,15.615,15.775,184481
20200914,15.905,16.14,15.905,16.12,52480
20200915,16.255,16.395,16.255,16.35,82636
20200916,16.495,16.645,16.395,16.405,287071
20200917,16.125,16.285,16.055,16.252,122770
20200918,16.365,16.605,16.165,16.405,44560
20200921,16.105,16.135,15.835,16.119,104181
20200922,16.135,16.335,15.926,16.325,89604
20200923,16.365,16.435,16.013,16.035,114419
20200924,15.855,16.035,15.745,15.965,61115
20200925,15.935,16.44,15.935,16.425,121176
20200928,16.565,16.645,16.445,16.55,77642
20200929,16.495,16.835,16.495,16.711,125629
20200930,16.745,16.985,16.695,16.845,71311
20201001,16.955,16.985,16.755,16.855,126102
20201002,16.585,16.795,16.545,16.675,71410
20201005,16.745,16.975,16.695,16.945,86625
20201006,16.995,17.294,16.945,16.965,106876
20201007,17.035,17.365,17.035,17.275,175136
20201008,17.335,17.395,17.275,17.365,148700
20201009,17.495,17.594,17.485,17.584,78006
20201012,17.744,17.873,17.656,17.694,222703
20201013,17.714,17.924,17.669,17.844,923545
20201014,17.984,18.064,17.764,17.794,206620
20201015,17.525,17.694,17.445,17.654,125697
20201016,17.765,17.894,17.605,17.605,61154
20201019,17.704,17.794,17.415,17.445,166212
20201020,17.515,17.644,17.425,17.425,210273
20201021,17.435,17.495,17.105,17.155,136497
20201022,17.115,17.385,17.115,17.335,180051
20201023,17.345,17.4,17.254,17.335,89761
20201026,17.265,17.375,16.995,17.135,142597
20201027,17.205,17.495,17.205,17.405,100466
20201028,17.185,17.185,16.904,16.945,131207
20201029,16.895,16.955,16.698,16.865,116036
20201030,16.695,16.785,16.225,16.325,175074
20201102,16.465,16.555,16.175,16.255,110020
20201103,16.425,16.805,16.425,16.755,77312
20201104,17.075,17.394,17.075,17.225,89250
20201105,17.595,17.89,17.595,17.765,447993
20201106,17.624,17.918,17.554,17.744,117058
20201109,18.084,18.084,17.435,17.435,274771
20201110,17.465,17.465,16.765,17.265,132756
20201111,17.365,17.565,17.345,17.535,179217
20201112,17.625,17.764,17.403,17.475,163653
20201113,17.634,17.764,17.525,17.54,134223
20201116,17.585,17.644,17.375,17.375,202398
20201117,17.305,17.385,17.145,17.355,87937
20201118,17.455,17.515,17.285,17.295,341274
20201119,17.355,17.624,17.355,17.594,125816
20201120,17.604,17.924,17.604,17.854,176952
20201123,17.954,18.044,17.804,17.984,2353142
20201124,18.034,18.074,17.794,17.794,160898
20201125,17.794,17.794,17.694,17.759,118643
20201127,17.994,18.324,17.954,18.294,163559
20201130,18.494,18.514,18.179,18.454,104267
20201201,18.494,18.614,18.464,18.514,129664
20201202,18.244,18.324,17.994,18.284,160721
20201203,18.294,18.474,18.294,18.339,716070
20201204,18.499,18.514,18.294,18.494,273399
20201207,18.504,18.634,18.404,18.434,624768
20201208,18.434,18.693,18.434,18.664,117097
20201209,18.884,18.884,18.454,18.564,141869
20201210,18.514,18.974,18.444,18.949,140261
20201211,18.854,19.024,18.674,18.804,119010
20201214,18.944,19.074,18.694,18.704,113929
20201215,18.854,18.974,18.724,18.959,130738
20201216,18.944,18.953,18.744,18.794,105568
20201217,18.894,19.124,18.894,19.124,549958
20201218,19.292,19.292,19.03,19.142,217223
20201221,19.024,19.182,18.814,19.144,430264
20201222,19.194,19.614,19.194,19.594,231532
20201223,19.764,19.854,19.614,19.724,319801
20201224,19.694,19.734,19.414,19.464,1836722
20201228,19.564,19.604,19.262,19.264,153664
20201229,19.414,19.424,19.004,19.194,1245857
20201230,19.32,19.48,19.3,19.33,70006
20201231,19.39,19.39,19.1109,19.28,60326
20210104,19.35,19.39,18.8531,19.2,209316
20210105,19.21,19.4299,19.2,19.38,145930
20210106,19.4,19.89,19.37,19.7,2689214
20210107,19.78,20.15,19.78,20.14,478599
20210108,20.26,20.52,20.06,20.3,235509
20210111,20.09,20.23,19.92,20.155,560429
20210112,20.13,20.4,20.13,20.375,216619
20210113,20.4,20.62,20.358,20.475,276142
20210114,20.51,20.835,20.51,20.71,295330
20210115,20.63,20.8,20.35,20.56,113439
20210119,20.85,21.11,20.8,21.08,342490
20210120,21.5,21.81,21.4,21.62,584628
20210121,21.7,21.8,21.39,21.48,352824
20210122,21.5,21.69,21.415,21.68,196384
20210125,21.74,22.06,21.55,21.8507,415064
20210126,21.84,21.86,21.505,21.55,498957
20210127,21.11,21.33,20.73,20.9,373326
20210128,20.88,21.1897,20.88,20.96,528130
20210129,20.9,21.02,20.2514,20.51,539818
20210201,20.66,21.03,20.66,20.96,187854
20210202,21.32,21.58,21.32,21.45,313428
