Date,Open,High,Low,Close,Volume
20120209,45.57,45.57,45.57,45.57,121
20120210,44.57,44.57,44.57,44.57,613
20120217,46.88,46.88,46.88,46.88,241
20120222,45.73,45.73,45.73,45.73,302
20120223,45.66,48.04,45.49,45.83,3052
20120224,45.67,45.67,45.67,45.67,121
20120227,44.28,47.23,44.28,45.14,2383
20120228,45.42,45.52,45.42,45.52,1852
20120302,46.14,46.17,46.14,46.17,1475
20120305,45.58,45.58,45.58,45.58,435
20120307,44.2,44.2,43.92,44.19,1569
20120309,45.57,45.69,45.57,45.65,29454
20120312,45.01,45.01,45.01,45.01,217
20120316,45.71,45.71,45.71,45.71,241
20120319,45.45,45.49,45.35,45.35,1262
20120320,45.18,45.18,44.71,44.71,483
20120321,44.89,45.11,44.86,45.11,17280
20120322,44.52,44.57,44.52,44.57,875
20120323,44.57,44.59,44.57,44.59,362
20120326,44.95,45.1,44.95,45.1,362
20120328,44.57,44.57,44.57,44.57,205
20120410,43.61,43.61,43.61,43.61,121
20120412,45.14,45.14,45.1,45.1,323
20120413,44.61,44.61,44.61,44.61,121
20120416,44.33,44.33,44.33,44.33,483
20120418,44.62,44.81,44.59,44.6,318499
20120419,44.38,44.55,44.38,44.55,560
20120420,44.91,46.4,44.63,44.63,1454
20120423,43.67,43.94,43.59,43.86,4691
20120424,44.07,44.07,44.02,44.02,904
20120425,44.23,44.38,44.23,44.38,937
20120426,44.7,44.7,44.69,44.69,462
20120427,44.65,44.72,44.57,44.72,1789
20120430,44.9,44.9,44.61,44.61,503
20120501,45.25,45.26,45.22,45.22,881
20120502,44.97,44.97,44.97,44.97,197
20120503,45.07,45.14,44.77,44.94,5146
20120504,44.58,44.93,44.16,44.3,4398
20120507,44.23,44.51,44.16,44.51,3788
20120508,43.54,43.7,43.54,43.7,1557
20120509,43.06,43.06,42.67,42.67,4019
20120510,43.07,43.08,42.96,42.96,1362
20120511,42.68,42.8,42.48,42.48,1333
20120514,41.76,41.86,41.76,41.86,1026
20120515,41.76,41.77,41.58,41.58,755
20120516,40.8,40.84,40.48,40.48,1615
20120517,40.46,40.59,40.32,40.48,2448
20120518,40.26,40.37,39.64,39.65,3187
20120521,40.12,40.56,40.12,40.56,805
20120522,40.73,40.8,40.73,40.73,1619
20120523,39.93,39.93,39.7,39.83,1050
20120524,39.81,39.84,39.8,39.8,394
