Date,Open,High,Low,Close,Volume
20070223,47.51,47.54,47.28,47.38,10520
20070226,47.74,47.74,47.34,47.34,3710
20070227,46.38,46.38,45.99,46.02,1600
20070228,45.96,46.2,45.96,45.98,970
20070301,45.54,46.18,45.54,46.18,740
20070305,44.92,45.17,44.91,44.91,2010
20070306,45.14,45.26,45.14,45.26,1380
20070307,45.66,45.96,45.66,45.84,2340
20070308,46.03,46.2,46.03,46.13,4980
20070309,46.16,46.23,45.86,46.14,1910
20070313,45.82,45.82,44.99,45.07,960
20070314,45.1,45.34,45.1,45.34,840
20070316,45.69,45.69,45.3,45.3,650
20070319,45.76,45.76,45.66,45.76,630
20070320,46.02,46.26,46.02,46.08,1070
20070321,46.34,46.98,46.24,46.98,1490
20070322,47.21,47.21,47.07,47.16,2360
20070323,45.9,47.22,45.9,47.19,1070
20070326,47.27,47.27,46.78,46.78,1810
20070327,47.01,47.01,47.01,47.01,110
20070328,46.93,46.93,46.68,46.74,1800
20070330,46.86,46.86,46.86,46.86,630
20070402,46.87,46.87,46.79,46.82,1900
20070403,47.34,47.34,47.34,47.34,110
20070404,47.27,47.41,47.24,47.38,37630
20070405,47.41,47.53,47.41,47.47,4770
20070409,47.69,47.73,47.55,47.55,10050
20070410,47.78,47.82,47.65,47.79,13120
20070411,47.87,47.87,47.47,47.55,22950
20070412,47.48,47.76,47.47,47.74,1070
20070413,47.86,47.97,47.71,47.97,38160
20070416,48.46,48.58,48.31,48.58,32320
20070417,48.58,48.68,48.41,48.56,39440
20070418,48.55,48.78,48.52,48.69,70990
20070419,48.28,48.6,48.28,48.52,31890
20070420,48.85,48.88,48.74,48.88,12700
20070423,49.03,49.16,48.96,49.01,38980
20070424,49.08,49.08,48.91,48.94,7300
20070425,49.23,49.58,49.06,49.57,5090
20070426,49.49,49.49,49.25,49.38,12190
20070427,49.17,49.4,49.12,49.34,3610
20070430,49.33,49.42,48.84,48.84,13560
20070501,48.61,48.92,48.59,48.91,3810
20070502,49.05,49.38,49.05,49.37,5740
20070503,49.4,49.67,49.4,49.67,2120
20070504,49.89,50.04,49.81,49.81,2540
20070507,50.06,50.06,49.94,50.01,4250
20070508,49.67,50.02,49.67,50,2440
20070509,50.01,50.24,49.97,50.24,4470
20070510,50.04,50.06,49.59,49.59,4560
20070511,49.92,50.09,49.92,50.06,4140
20070514,50.31,50.31,50.09,50.16,3930
20070515,50.47,50.53,50.09,50.18,2880
20070516,50.36,50.42,50.08,50.42,1940
20070517,50.42,50.74,50.41,50.63,7430
20070518,50.81,50.99,50.78,50.93,14400
20070521,51.11,51.28,51,51.14,5830
20070522,51.07,51.13,50.98,50.98,3080
20070523,51.26,51.27,51.07,51.07,3600
20070524,50.86,51.19,50.25,50.26,3390
20070525,50.62,50.65,50.56,50.56,1380
20070529,50.66,50.69,50.5,50.69,2540
20070530,50.57,51,50.57,51,5080
20070531,51.42,51.42,51.17,51.17,4230
20070601,51.51,51.61,51.45,51.53,4020
20070604,51.59,51.72,51.55,51.72,2330
20070605,51.58,51.58,51.29,51.33,5820
20070606,51.26,51.26,50.89,50.95,2220
20070607,50.79,50.85,50.02,50.02,4770
20070608,49.84,50.49,49.79,50.49,5390
20070611,50.51,50.82,50.51,50.66,5710
20070612,50.53,50.74,50.26,50.26,1920
20070613,50.37,50.73,50.37,50.73,3180
20070614,51.46,51.5,51.27,51.37,5820
20070615,51.85,51.85,51.63,51.63,1480
20070618,51.74,51.77,51.6,51.6,8050
20070619,51.57,51.64,51.55,51.59,13000
20070620,51.86,51.86,50.74,50.74,3820
20070621,50.77,51.11,50.77,50.98,17750
20070622,50.8,50.85,50.42,50.53,4130
20070625,50.46,50.69,49.98,49.98,6880
20070626,50.27,50.27,49.77,49.77,9520
20070627,49.43,50.09,49.28,50.08,12900
20070628,50.45,50.45,50,50.09,9080
20070629,50.16,50.32,50.02,50.02,1690
20070702,50.5,50.77,50.5,50.77,36460
20070703,51.02,51.02,50.91,50.96,1590
20070705,51.11,51.11,50.83,50.86,1590
20070706,51.1,51.24,51.1,51.2,1610
20070709,51.5,51.5,51.3,51.4,1930
20070710,50.9,51.2,50.72,50.72,9480
20070711,50.65,50.98,50.59,50.79,20210
20070712,51.19,51.85,51.19,51.85,15690
20070713,51.66,52.17,51.66,52.15,2460
20070716,52.17,52.17,51.78,51.86,2550
20070717,51.95,52.08,51.79,51.79,5280
20070718,51.62,51.77,51.49,51.72,8760
20070719,52.17,52.17,51.88,51.88,2010
20070720,51.41,51.45,51.06,51.19,3610
20070723,51.27,51.41,51.24,51.24,1070
20070724,50.7,50.7,49.78,49.89,5190
20070725,49.7,50.01,49.6,50.01,2950
20070726,49.1,49.36,47.89,48.66,30670
20070727,48.46,48.68,47.77,47.85,10050
20070730,47.95,48.58,47.81,48.35,12590
20070731,49.08,49.17,47.9,47.9,3070
20070801,47.98,48,47.05,47.97,59460
20070802,48.22,48.42,47.91,48.2,2800
20070803,48.03,48.25,46.45,46.45,14050
20070806,46.14,47.51,45.83,47.51,6870
20070807,47.22,48.17,47.22,47.97,8670
20070808,48.36,48.83,47.89,48.5,61630
20070809,47.02,47.96,47.02,47.08,17530
20070810,46.07,47.25,45.77,47.25,11060
20070813,47.97,47.97,47.12,47.12,4030
20070814,46.99,47.16,46.19,46.19,13080
20070815,46.04,46.47,45.14,45.2,7790
20070816,44.57,45.55,43.7,45.55,14460
20070817,46.75,46.96,46.1,46.96,4040
20070820,47.06,47.06,46.19,46.76,4260
20070821,46.76,46.99,46.68,46.93,21700
20070822,47.38,47.56,47.15,47.56,21730
20070823,47.79,47.91,47.1,47.36,24440
20070824,47.33,47.9,47.33,47.9,4020
20070827,47.92,47.94,47.92,47.94,530
20070828,47.24,47.24,46.29,46.29,4030
20070829,46.54,47.25,46.54,47.25,1050
20070830,47.03,47.2,47.01,47.14,1280
20070831,47.91,48.03,47.73,48.03,2750
20070904,47.7,48.69,47.68,48.4,6740
20070905,48.12,48.12,47.73,47.73,530
20070906,48.04,48.12,47.77,48.08,2110
20070907,47.41,47.64,47.16,47.21,3490
20070910,47.23,47.33,46.51,47.24,4230
20070911,47.45,47.7,47.45,47.47,3160
20070912,47.73,47.87,47.73,47.83,2430
20070913,48.08,48.49,48.08,48.46,1160
20070914,48.41,48.5,48.41,48.5,1790
20070917,48.29,48.29,48.24,48.24,320
20070918,48.7,50.05,48.7,49.95,1480
20070919,50.51,50.84,50.15,50.22,17060
20070920,50.2,50.29,49.94,50,1390
20070921,50.38,50.38,50.23,50.27,5690
20070924,50.09,50.16,50.09,50.12,730
20070925,49.16,49.46,49.16,49.46,4810
20070926,49.61,49.61,49.61,49.61,210
20070927,49.97,50.23,49.91,50.13,4590
20070928,50.1,50.1,49.93,49.93,200
20071001,50.14,50.87,49.93,50.87,6270
20071002,50.73,50.73,50.49,50.71,5680
20071003,50.3,50.58,50.3,50.47,3030
20071004,50.34,50.63,50.21,50.63,7060
20071005,50.95,51.37,50.89,51.37,5950
20071008,51.11,51.15,50.99,51.12,1350
20071009,51.14,51.14,51.13,51.13,2300
20071010,51.3,51.52,51.19,51.46,4160
20071011,51.95,51.95,51.09,51.28,12330
20071012,51.2,51.56,51.2,51.42,4900
20071015,51.41,51.57,50.95,51.16,5310
20071016,50.86,50.86,50.86,50.86,100
20071017,51.27,51.27,50.15,50.15,3330
20071018,50.2,50.46,50.2,50.46,1980
20071019,50.28,50.28,49.15,49.2,1540
20071022,48.39,49.21,48.39,49.21,2490
20071023,49.61,49.61,49.09,49.2,2390
20071024,49.23,49.53,48.61,49.53,22350
20071025,49.45,49.66,49.14,49.57,13060
20071026,50.44,50.68,50.29,50.68,4710
20071029,50.92,50.97,50.85,50.97,1150
20071030,50.63,50.63,50.4,50.44,1250
20071031,50.66,50.98,50.5,50.98,3220
20071101,50.12,50.27,49.44,49.44,13900
20071102,49.41,49.48,49.02,49.47,6890
20071105,49.45,49.45,48.71,49.1,15160
20071106,49.5,49.5,49.4,49.4,310
20071107,49.63,49.63,48.35,48.35,5330
20071108,48.79,48.8,47.76,48.69,8560
20071109,48.08,48.08,47.86,47.86,2400
20071112,47.57,48.06,47.02,47.08,14000
20071113,47.59,48.36,47.59,48.36,2300
20071114,48.73,48.81,48.19,48.19,510
20071115,47.97,47.97,46.98,47.26,5740
20071116,47.27,47.28,47.19,47.23,620
20071120,46.76,47.09,46.12,46.25,10450
20071121,45.9,46.28,45.9,46.17,400
20071123,46.82,46.83,46.77,46.83,6390
20071126,46.57,46.68,45.69,45.69,930
20071127,45.66,45.68,45.38,45.38,620
20071128,46.91,47.42,46.86,47.42,3400
20071129,47.02,47.66,47.02,47.66,1890
20071130,48.58,48.58,48.12,48.35,1450
20071203,48.14,48.24,48.08,48.13,610
20071204,47.52,47.72,47.51,47.69,830
20071205,48.3,48.44,48.22,48.22,820
20071206,48.58,49.4,48.58,49.4,2720
20071207,49.42,49.69,49.42,49.58,1120
20071210,49.73,50.11,49.73,49.88,2190
20071211,49.96,49.96,48.25,48.25,7940
20071212,49.24,49.24,48.27,48.61,3970
20071213,48.65,48.67,48.03,48.64,3550
20071214,48.54,48.54,47.99,47.99,2720
20071217,47.73,47.79,47.18,47.18,179020
20071218,47.57,47.57,47.17,47.51,300
20071219,47.13,47.74,47.13,47.57,8210
20071220,47.52,47.52,47.3,47.3,410
20071221,48.4,48.85,48.34,48.78,3620
20071224,49.24,49.24,49.02,49.02,32070
20071226,48.97,49.24,48.95,49.24,19020
20071227,48.79,48.93,48.52,48.52,2700
20071228,48.97,48.97,48.31,48.55,4880
20071231,48.26,48.67,48.19,48.53,4560
20080102,48.1,48.1,47.42,47.42,940
20080103,47.6,47.6,47.44,47.44,2810
20080104,46.28,46.28,46.04,46.16,13620
20080107,46.12,46.32,45.73,45.79,10080
20080108,46.47,46.49,44.75,44.75,23420
20080109,44.72,45.12,44.37,45.12,11330
20080110,45.1,46.31,45.1,46.31,8110
20080111,45.68,45.78,45.38,45.63,11220
20080114,45.89,46.08,45.7,46.08,610
20080115,45.31,45.31,44.65,44.65,3420
20080116,44.54,45.3,44.26,45.12,6510
20080117,44.79,44.79,43.03,43.13,7370
20080118,43.1,43.39,42.09,42.83,7490
20080122,42.05,42.98,41.72,42.98,4880
20080123,42.68,44.77,42.68,44.64,10900
20080124,45.09,45.35,44.89,45.35,4150
20080125,46.22,46.22,44.66,44.66,2800
20080128,44.86,45.81,44.86,45.76,4990
20080129,46.44,46.44,46.35,46.35,2390
20080130,46.43,47.3,46.06,46.44,1970
20080131,45.21,47.03,45.21,47.03,7270
20080201,47.28,47.97,47.26,47.97,10090
20080204,47.41,47.42,47.09,47.17,16340
20080205,46.09,46.09,45.47,45.58,4170
20080206,45.71,45.72,45.04,45.06,5930
20080207,44.83,45.53,44.69,45.27,4160
20080208,45.6,45.6,44.76,45.12,31200
20080211,44.76,45.26,44.54,45.05,4370
20080212,45.93,46.09,45.55,45.55,9550
20080214,45.73,45.73,45.39,45.61,13620
20080215,45.06,45.54,45.06,45.54,20080
20080219,47.72,47.72,45.57,45.57,8500
20080220,45.3,46.38,45.3,46.14,4990
20080221,46.46,46.46,45.91,45.91,2600
20080222,45.65,46.03,45.08,46.03,9350
20080225,45.99,46.94,45.68,46.85,19140
20080226,47.03,47.45,46.72,47.31,28110
20080227,46.98,47.69,46.98,47.4,2610
20080228,46.89,46.92,46.63,46.67,11960
20080229,45.78,45.78,45.06,45.06,4030
20080303,44.56,44.84,44.54,44.84,2550
20080304,44.57,44.57,44.01,44.52,920
20080305,45.07,45.3,44.38,44.74,20060
20080306,43.84,43.84,43.48,43.48,300
20080307,43.26,43.28,43.13,43.28,930
20080310,43.33,43.33,42.21,42.27,9740
20080311,43.19,43.33,42.79,43.31,7080
20080312,44.18,44.18,44.18,44.18,1040
20080313,42.48,43.96,42.46,43.93,7990
20080314,44.01,44.01,42.38,42.54,11120
20080317,40.95,41.65,40.4,41.26,10610
20080318,41.44,43.42,41.44,43.4,4460
20080319,43.8,43.8,42.24,42.24,4260
20080320,42.42,43.65,42.42,43.65,200
20080324,44.15,44.88,44.15,44.59,920
20080325,44.27,44.65,44.27,44.65,930
20080326,44.41,44.41,43.96,43.98,2770
20080327,44.26,44.26,43.47,43.47,6920
20080328,43.37,43.37,42.84,42.84,2380
20080331,43.09,43.2,42.99,43.2,3600
20080401,43.09,44.93,43.09,44.93,5970
20080402,44.97,45.2,44.97,45.13,2880
20080403,45.35,45.36,45.35,45.36,310
20080404,45.09,45.38,44.93,45.22,1970
20080408,45.54,45.55,45.09,45.09,3310
20080409,44.78,45.12,44.46,44.51,1030
20080410,44.48,44.83,44.25,44.54,2990
20080411,44.02,44.38,43.95,43.95,3320
20080414,43.58,43.75,43.48,43.49,2060
20080415,43.97,43.97,43.79,43.89,710
20080416,44.43,44.91,44.43,44.87,5520
20080417,45.23,45.34,45.03,45.34,4350
20080418,47.26,47.26,46.06,46.19,11560
20080421,45.66,45.89,45.66,45.86,1290
20080422,45.63,45.74,45.34,45.34,300
20080423,45.76,45.76,45.32,45.32,730
20080424,45.44,46.16,45.43,46.16,1140
20080428,46.45,46.86,46.45,46.86,450
20080429,46.2,46.51,46.2,46.51,11090
20080430,46.34,46.79,46.17,46.17,9150
20080501,46.29,46.99,46.29,46.99,3710
20080502,47.49,47.53,47.49,47.53,310
20080505,47.37,47.37,47.06,47.16,3740
20080506,46.84,47.52,46.68,47.49,3830
20080507,47.31,47.37,46.44,46.44,8450
20080508,46.21,46.53,46.21,46.53,310
20080509,46.1,46.14,46.02,46.02,1280
20080512,46.26,46.74,46.04,46.74,4680
20080513,46.8,46.8,46.69,46.69,990
20080514,47.07,47.07,46.81,46.81,2890
20080515,46.77,47.07,46.77,47.07,4430
20080516,48.58,48.58,47.13,47.33,3440
20080519,47.96,47.96,47.31,47.31,7550
20080520,47,47,46.85,46.94,1690
20080521,46.76,47.57,45.9,45.91,5710
20080522,46.32,46.32,45.99,45.99,1240
20080523,45.79,49.21,45.17,45.31,5740
20080527,45.36,45.53,45.2,45.53,2460
20080528,44.36,45.48,44.36,45.48,49060
20080529,45.76,46.07,45.69,46.07,2430
20080530,45.84,46.07,45.84,45.94,2160
20080602,45.88,45.88,45.34,45.58,11500
20080603,45.59,45.61,45.06,45.11,10210
20080604,45.24,45.53,45.01,45.01,9100
20080605,45.31,46.02,45.31,46.02,4340
20080606,45.18,45.18,44.53,44.53,15280
20080609,44.54,44.56,44.54,44.56,200
20080610,44.33,44.33,44.28,44.28,1130
20080611,44.23,44.23,43.21,43.21,9560
20080612,43.45,43.85,43.45,43.85,1460
20080613,43.51,43.95,43.51,43.86,2290
20080616,43.13,44.52,43.13,44.38,16390
20080617,44.68,44.68,44.07,44.11,560
20080618,43.57,43.57,43.17,43.49,6060
20080619,43.31,43.64,43.19,43.64,1140
20080620,43.04,43.34,42.81,42.87,6330
20080623,43.01,43.01,42.71,42.71,3790
20080624,42.57,42.57,42.22,42.53,760
20080625,42.65,43.04,42.65,43.04,2130
20080626,41.82,41.82,41.47,41.47,510
20080627,41.55,41.55,41.38,41.39,1950
20080630,41.4,41.56,41.4,41.42,2600
20080701,41.15,41.23,40.52,41.23,1570
20080702,41.5,41.5,40.51,40.51,3080
20080703,40.05,40.41,40.05,40.21,1560
20080707,40.5,40.5,40.37,40.39,1130
20080708,39.63,40.24,39.03,40.24,38650
20080709,40.5,40.5,39.69,39.69,400
20080710,39.09,39.61,39.09,39.61,1620
20080711,38.84,39.15,38.82,39.15,1380
20080714,38.59,38.59,38.21,38.21,3190
20080715,36.79,37.95,36.79,37.58,2700
20080716,37.88,38.47,37.88,38.34,10290
20080717,39.55,40.01,39.39,39.39,8130
20080718,39.87,39.87,39.83,39.83,450
20080721,40.18,40.18,39.95,39.95,5150
20080722,39.55,40.39,39.53,40.39,7680
20080723,41.19,41.19,41.19,41.19,210
20080724,40.49,40.49,39.68,39.71,15900
20080725,39.32,39.37,39.32,39.37,6490
20080728,39.06,39.16,38.85,38.85,3760
20080729,38.81,39.89,38.81,39.89,3200
20080730,40.47,40.51,40.47,40.51,780
20080731,40.82,40.82,40.47,40.47,10400
20080801,40.3,40.3,40.3,40.3,820
20080804,40.3,40.3,39.5,39.5,2250
20080805,39.89,40.74,39.78,40.74,3750
20080806,40.41,40.8,40.41,40.75,830
20080807,40.28,40.55,39.88,39.92,2710
20080808,39.87,40.89,39.87,40.89,4110
20080811,42.69,42.69,40.98,41.25,2080
20080812,41,41,41,41,1030
20080813,40.04,40.24,39.8,40.16,13230
20080814,40.62,40.62,40.6,40.6,820
20080815,41.81,41.81,40.65,40.69,3050
20080818,40.73,40.82,39.88,39.88,22380
20080819,39.59,39.59,39.45,39.45,880
20080821,39.7,39.93,39.7,39.93,1020
20080822,40.3,40.3,40.3,40.3,210
20080825,40.12,40.12,39.62,39.62,7490
20080826,39.32,39.82,39.32,39.82,4640
20080827,40.13,40.38,40.09,40.26,730
20080828,41.68,41.68,40.61,40.99,4540
20080829,41.01,41.16,40.88,40.88,1340
