Date,Open,High,Low,Close,Volume
20140821,35.6,35.6,34.9,34.91,7396
20140825,34.93,35.02,34.93,34.98,2466
20140826,35.02,35.02,34.93,34.93,30789
20140827,35.04,35.05,35.03,35.03,3269
20140828,34.92,34.93,34.84,34.93,2637
20140829,34.88,34.97,34.85,34.95,2125
20140902,35.05,35.05,34.98,35,1464
20140903,35.21,35.22,35.07,35.07,2638
20140904,35.39,35.39,34.74,34.8,1205
20140905,34.65,34.65,34.65,34.65,722
20140908,34.62,34.62,34.36,34.36,29081
20140909,34.14,34.17,34.14,34.17,1368
20140910,34.05,34.23,34.02,34.23,5873
20140911,34.09,34.09,34.09,34.09,276
20140915,34.09,34.09,34.05,34.05,546
20140916,33.94,34.22,33.94,34.19,2064
20140917,34.15,34.15,34.01,34.11,1191
20140918,34.33,34.33,34.33,34.33,2293
20140919,34.35,34.37,34.24,34.24,12457
20140922,34.18,34.18,34.18,34.18,229
20140923,33.77,33.77,33.75,33.75,1261
20140924,33.81,33.81,33.81,33.81,523
20140925,33.64,33.64,33.63,33.63,343
20140926,33.53,33.6,33.5,33.6,2770
20140929,33.37,33.55,33.37,33.55,417
20140930,33.46,33.46,33.46,33.46,200
20141002,32.94,32.94,32.82,32.89,630
20141003,32.88,32.9,32.88,32.9,286
20141007,32.49,32.49,32.49,32.49,1144
20141008,32.42,32.48,32.42,32.42,1144
20141009,32.49,32.49,32.1,32.1,847
20141010,31.93,31.93,31.75,31.75,1258
20141013,31.68,31.71,31.68,31.71,1087
20141014,31.62,31.62,31.62,31.62,612
20141015,31.21,31.28,31.01,31.28,5462
20141016,30.63,30.65,30.63,30.65,457
20141017,31.72,31.72,31.72,31.72,686
20141020,31.72,31.72,31.72,31.72,458
20141021,32.11,32.25,32.11,32.24,33550
20141022,32.24,32.24,32.2,32.2,320
20141023,32.22,32.4,32.22,32.35,1039
20141024,32.35,32.35,32.35,32.35,315
20141027,32.34,32.44,32.34,32.44,2700
20141028,32.68,32.77,32.68,32.76,46440
20141029,32.82,32.89,32.59,32.6,26374
20141030,32.58,32.89,32.58,32.89,3944
20141031,33.11,33.18,33.06,33.18,10870
20141103,32.89,32.9,32.84,32.85,1480
20141104,32.77,32.77,32.75,32.75,572
20141105,32.93,32.93,32.92,32.92,409
20141106,32.83,32.92,32.74,32.74,3233
20141107,32.7,32.8,32.69,32.8,1024
20141110,33.02,33.05,33,33,3860
20141111,33.18,33.21,33.18,33.21,5378
20141112,32.97,32.97,32.96,32.96,4717
20141113,33.13,33.13,33.13,33.13,114
20141114,33.04,33.11,33.01,33.1,2092
20141117,33.12,33.12,32.89,33.03,2024
20141118,33.27,33.28,33.27,33.27,1828
20141120,33.01,33.01,33.01,33.01,114
20141121,33.2,33.2,33.14,33.14,767
20141124,33.15,33.15,33.1,33.1,4045
20141126,33.29,33.32,33.28,33.32,2626
20141201,32.98,33.03,32.96,32.98,2641
20141202,32.96,32.97,32.96,32.97,228
20141203,33,33.04,32.99,33.04,1382
20141204,33.17,33.17,33.12,33.12,645
20141208,32.77,32.81,32.77,32.81,228
20141209,32.41,32.47,32.41,32.45,891
20141210,32.36,32.36,32.22,32.22,1372
20141211,32.32,32.32,32.16,32.16,617
20141212,31.59,31.59,31.57,31.57,228
20141215,31.79,31.79,31.47,31.47,975
20141217,31.84,31.85,31.84,31.85,274
20141223,32.71,32.72,32.7,32.7,456
20141224,32.82,32.83,32.82,32.83,638
20141226,32.88,32.88,32.87,32.87,319
20141229,32.75,32.75,32.75,32.75,456
20141230,32.44,32.44,32.42,32.42,570
20141231,32.5,32.59,32.24,32.24,2200
20150102,32.05,32.05,32.05,32.05,274
20150105,31.85,31.85,31.62,31.62,741
20150106,31.39,31.39,31.11,31.11,473
20150107,31.3,31.33,31.3,31.33,456
20150108,31.76,31.87,31.76,31.78,1988
20150109,31.92,31.92,31.92,31.92,1140
20150113,31.96,31.96,31.57,31.74,1096
20150114,31.53,31.56,31.53,31.54,570
20150116,32.06,32.34,32.06,32.34,570
20150120,33.36,33.36,32.46,32.46,1276
20150123,32.74,32.74,32.61,32.61,570
20150126,32.85,33.03,32.85,33.03,4474
20150128,32.98,32.99,32.98,32.99,985
20150129,32.8,32.9,32.72,32.9,2163
20150130,32.79,32.79,32.6,32.6,946
20150202,32.65,32.65,32.64,32.64,479
20150203,33.13,33.36,33.13,33.36,789
20150204,33.12,33.28,33.12,33.25,5609
20150205,33.46,33.67,33.46,33.64,16014
20150206,33.45,33.45,33.27,33.31,3095
20150210,33.29,33.54,33.29,33.54,1213
20150211,33.27,33.36,33.23,33.36,4007
20150213,33.84,33.92,33.84,33.92,7757
20150217,33.92,33.98,33.77,33.92,2736
20150218,34,34.16,34,34.16,1807
20150219,34.09,34.16,33.97,33.99,1858
20150220,33.98,34.31,33.98,34.29,2241
20150223,34.35,34.39,34.26,34.36,6839
20150224,34.35,34.63,34.35,34.54,5460
20150225,34.49,34.72,34.49,34.59,3443
20150226,34.68,34.68,34.46,34.6,2132
20150227,34.59,34.62,34.57,34.61,5047
20150302,34.43,34.51,34.25,34.5,14421
