Date,Open,High,Low,Close,Volume
20120126,19.695,19.761,19.695,19.695,539
20120130,18.87,18.892,18.87,18.892,269
20120201,19.695,19.695,19.695,19.695,135
20120203,19.836,19.917,19.836,19.917,1036
20120207,19.917,19.917,19.917,19.917,269
20120209,20.24,20.24,20.24,20.24,269
20120210,19.903,19.903,19.851,19.851,845
20120213,20.02,20.02,20.02,20.02,404
20120215,20.02,20.03,19.984,19.984,6865
20120216,19.873,20.21,19.873,20.21,13864
20120217,20.56,20.56,20.56,20.56,6730
20120221,20.99,20.99,20.99,20.99,1615
20120223,20.6,20.74,20.6,20.74,10062
20120224,21.23,21.23,21.23,21.23,673
20120227,20.7,20.84,20.7,20.84,23153
20120228,20.73,20.83,20.62,20.81,40995
20120229,20.82,20.82,20.59,20.65,27553
20120301,20.7,20.7,20.56,20.67,47116
20120302,20.52,20.52,20.47,20.48,8056
20120305,20.39,20.39,20.39,20.39,261
20120306,19.591,19.591,19.375,19.375,18577
20120307,19.709,19.784,19.709,19.754,7269
20120308,20.21,20.55,20.21,20.55,6057
20120309,20.65,20.65,20.2,20.27,5629
20120312,20.27,20.3,20.27,20.29,3500
20120313,20.27,20.59,20.27,20.59,15748
20120314,20.44,20.44,20.44,20.44,1346
20120316,20.92,21.06,20.8,20.94,11556
20120319,20.93,21.09,20.93,21.09,2692
20120320,20.73,20.77,20.73,20.75,2289
20120321,20.54,20.54,20.42,20.44,2827
20120322,19.546,20.16,19.546,20.16,1898
20120323,20.07,20.39,20.04,20.39,10852
20120326,20.76,20.82,20.76,20.81,3096
20120327,20.7,20.7,20.61,20.61,5787
20120328,20.52,20.52,20.47,20.47,1615
20120329,20.29,20.3,20.11,20.15,24903
20120330,20.85,20.85,20.7,20.7,2153
20120402,20.46,20.83,20.46,20.83,1366
20120403,20.83,20.83,20.59,20.62,6428
20120404,19.687,19.784,19.672,19.761,11307
20120405,19.591,19.598,19.576,19.598,2827
20120409,19.383,19.383,19.383,19.383,1481
20120410,19.182,19.182,19.011,19.011,6183
20120411,18.9,18.922,18.833,18.848,11172
20120412,19.07,19.152,19.07,19.115,4979
20120413,18.706,18.773,18.706,18.773,4510
20120416,18.706,18.84,18.61,18.84,31598
20120417,19.13,19.353,19.056,19.323,28954
20120418,19.152,19.16,19.07,19.07,4577
20120419,18.952,19.004,18.952,19.004,2827
20120420,19.108,19.108,19.108,19.108,1077
20120423,18.558,18.558,18.409,18.536,22222
20120424,18.885,18.885,18.885,18.885,673
20120426,19.249,19.249,19.249,19.249,673
20120430,19.457,19.457,19.427,19.427,2692
20120501,19.509,19.583,19.509,19.583,4038
20120502,19.152,19.234,19.152,19.234,2329
20120503,18.989,18.989,18.989,18.989,1700
20120504,18.677,18.677,18.536,18.536,6864
20120507,18.469,18.469,18.469,18.469,48
20120508,18.446,18.484,18.432,18.484,6057
20120509,18.097,18.231,18.097,18.164,4697
20120510,18.402,18.424,18.335,18.335,2826
20120511,18.365,18.506,18.335,18.335,4711
20120514,17.652,17.652,17.607,17.607,1991
20120515,17.34,17.384,17.154,17.154,5384
20120516,17.28,17.28,16.983,16.983,5653
20120517,16.767,16.782,16.678,16.678,4980
20120518,16.559,16.663,16.559,16.559,3499
20120521,17.079,17.102,16.894,17.102,4725
20120522,17.332,17.429,17.258,17.258,4554
20120523,16.567,16.567,16.559,16.559,808
20120524,16.493,16.493,16.455,16.455,4442
20120530,16.121,16.121,16.121,16.121,673
20120531,15.839,15.839,15.839,15.839,673
20120601,15.438,15.467,15.438,15.467,705
20120604,15.386,15.386,15.297,15.378,2558
20120605,15.393,15.393,15.393,15.393,1211
20120607,16.426,16.426,16.247,16.247,4565
20120608,16.181,16.181,16.166,16.166,1346
20120611,16.344,16.344,15.943,15.943,2153
20120612,16.017,16.017,15.95,15.95,942
20120613,15.757,15.757,15.757,15.757,942
20120614,15.571,15.571,15.505,15.512,2804
20120615,15.861,16.032,15.861,16.032,4980
20120618,16.418,16.418,16.039,16.047,2713
20120620,16.589,16.589,16.589,16.589,673
20120621,16.493,16.493,16.345,16.345,1541
20120622,16.36,16.36,16.36,16.36,128
20120625,15.558,15.558,15.558,15.558,642
20120626,15.488,15.628,15.488,15.628,2824
20120627,15.534,15.721,15.527,15.721,2953
20120628,15.527,15.527,15.527,15.527,128
20120629,16.438,16.446,16.438,16.446,6419
20120702,16.913,16.913,16.672,16.711,846
20120703,16.898,16.898,16.898,16.898,1284
20120705,16.703,16.703,16.477,16.516,545
20120706,16.212,16.212,16.014,16.014,436
20120710,15.9,16.002,15.869,16.002,9865
20120711,15.994,15.994,15.994,15.994,128
20120712,15.869,15.869,15.869,15.869,128
20120716,16.095,16.134,15.971,16.103,3158
20120717,16.181,16.197,15.978,16.173,4718
20120718,16.08,16.08,16.08,16.08,642
20120719,16.173,16.173,16.15,16.15,4492
20120720,15.9,15.9,15.643,15.643,449
20120723,14.794,15.277,14.794,15.277,693
20120724,15.207,15.207,15.059,15.059,3122
20120726,16.111,16.111,16.095,16.095,1926
20120727,16.516,16.656,16.516,16.547,4993
20120730,16.594,16.594,16.594,16.594,1540
20120731,16.493,16.493,16.493,16.493,642
20120801,16.57,16.57,16.29,16.321,6877
20120803,16.586,16.586,16.586,16.586,257
20120806,16.944,17.038,16.944,17.038,5263
20120807,17.256,17.318,17.256,17.256,1027
20120813,17.139,17.139,17.085,17.085,5644
20120814,16.913,16.976,16.913,16.96,8866
20120815,16.905,16.913,16.89,16.898,5264
20120816,17.1,17.1,17.1,17.1,642
20120820,17.272,17.272,17.264,17.264,11552
20120821,17.708,17.723,17.708,17.723,719
20120822,17.536,17.536,17.536,17.536,5776
20120823,17.513,17.513,17.498,17.505,1315
20120827,17.607,17.607,17.607,17.607,642
20120829,17.194,17.194,17.186,17.186,6728
20120830,16.976,16.976,16.898,16.898,1284
20120831,17.092,17.092,17.092,17.092,193
20120904,17.443,17.443,17.443,17.443,231
20120905,17.24,17.24,17.24,17.24,1925
20120906,17.365,17.365,17.365,17.365,564
20120907,17.965,18.043,17.965,18.043,641
20120910,18.136,18.136,18.027,18.027,1154
20120911,18.362,18.362,18.362,18.362,128
20120912,18.549,18.549,18.549,18.549,513
20120913,18.541,19.024,18.541,19.024,2439
20120914,19.492,19.546,19.437,19.517,840
20120917,19.399,19.406,19.399,19.406,2824
20120918,18.947,18.947,18.806,18.838,1991
20120919,18.619,18.908,18.619,18.892,11552
20120921,18.728,18.799,18.682,18.752,5776
20120924,18.386,18.386,18.323,18.323,706
20120925,18.526,18.549,18.44,18.44,2952
20120926,18.051,18.051,18.025,18.025,513
20120928,17.988,17.988,17.988,17.988,642
20121002,18.261,18.261,18.261,18.261,642
20121003,18.214,18.214,18.097,18.121,1788
20121004,18.347,18.347,18.347,18.347,385
20121005,18.689,18.736,18.689,18.705,2054
20121008,18.487,18.487,18.471,18.471,1284
20121010,18.23,18.23,18.051,18.074,1990
20121015,18.355,18.355,18.331,18.331,943
20121016,18.627,18.783,18.627,18.783,6102
20121017,18.931,18.931,18.931,18.931,3594
20121018,18.954,18.954,18.954,18.954,513
20121019,18.619,18.619,18.534,18.534,770
20121022,18.752,18.752,18.736,18.736,1540
20121024,18.129,18.129,18.129,18.129,642
20121031,18.526,18.526,18.44,18.44,551
20121101,18.76,18.76,18.76,18.76,257
20121102,18.682,18.682,18.682,18.682,1284
20121105,18.588,18.588,18.588,18.588,642
20121107,18.331,18.331,18.23,18.261,768
20121108,18.238,18.238,18.082,18.082,918
20121109,18.09,18.09,18.09,18.09,202
20121112,18.074,18.183,18.074,18.183,5906
20121113,18.012,18.012,17.996,17.996,3324
20121114,18.121,18.121,17.817,17.825,7829
20121116,17.825,17.825,17.739,17.747,2898
20121119,18.245,18.339,18.245,18.339,4969
20121120,18.386,18.386,18.37,18.37,4749
20121121,18.526,18.689,18.526,18.674,5379
20121123,19.289,19.289,19.289,19.289,257
20121126,19.157,19.157,19.149,19.149,7060
20121127,19.056,19.056,18.853,18.853,5520
20121128,18.651,18.651,18.651,18.651,1284
20121130,19.289,19.289,19.289,19.289,128
20121204,19.476,19.733,19.476,19.702,26824
20121205,19.967,20.08,19.967,20.08,1926
20121206,19.944,19.959,19.881,19.913,12910
20121207,19.874,19.928,19.804,19.928,3594
20121210,19.71,19.71,19.71,19.71,770
20121211,19.991,20.03,19.991,20.03,18228
20121212,19.998,20.03,19.975,19.991,1408
20121213,19.944,19.959,19.905,19.959,7157
20121214,20.04,20.04,20.04,20.04,128
20121217,20.38,20.38,20.18,20.18,10006
20121218,20.55,20.57,20.55,20.55,6932
20121219,20.75,20.75,20.47,20.47,12384
20121220,20.53,20.64,20.53,20.64,10840
20121221,20.35,20.37,20.34,20.37,2551
20121224,20.38,20.38,20.22,20.22,3723
20121226,20.29,20.29,20.29,20.29,1027
20121227,20.57,20.57,20.33,20.33,770
20121228,20.26,20.26,20.18,20.18,840
20121231,20.16,20.4,20.07,20.4,12202
20130102,21.17,21.17,20.81,20.81,1925
20130103,20.84,20.93,20.84,20.93,4198
20130104,20.96,21.08,20.96,21.08,4808
20130107,20.96,20.97,20.96,20.97,256
20130108,20.96,20.96,20.73,20.78,8345
20130109,20.64,20.64,20.52,20.53,14344
20130110,21.07,21.19,21.07,21.18,2824
20130111,21.39,21.39,21.39,21.39,257
20130114,21.32,21.44,21.31,21.31,4171
20130115,21.15,21.15,21.15,21.15,169
20130117,21.81,21.81,21.63,21.65,2565
20130118,21.52,21.52,21.5,21.5,469
20130122,21.64,21.64,21.63,21.63,802
20130123,21.83,21.83,21.68,21.81,7313
20130124,21.65,21.67,21.41,21.49,14582
20130125,21.63,21.69,21.63,21.69,308
20130128,21.7,21.81,21.7,21.81,2904
20130129,21.98,21.98,21.71,21.75,15409
20130130,21.99,22.08,21.91,21.93,17579
20130131,21.56,21.58,21.42,21.42,6883
20130204,21.7,21.82,21.43,21.51,30361
20130205,21.66,21.85,21.61,21.79,24770
20130206,21.49,21.88,21.49,21.88,22841
20130207,21.6,21.63,21.42,21.54,3646
20130208,21.8,21.81,21.75,21.78,7702
20130211,21.81,21.92,21.74,21.88,57320
20130212,22.06,22.23,22.02,22.02,37311
20130213,22.43,22.43,22.03,22.11,3122
20130214,22.02,22.07,21.95,22.04,4134
20130215,22.11,22.11,21.94,21.94,3221
20130219,22.37,22.37,22.18,22.18,3141
20130220,22.1,22.1,21.89,21.89,1925
20130221,21.42,21.42,21.42,21.42,128
20130222,21.74,21.77,21.74,21.77,9315
20130225,21.95,21.95,20.72,20.72,36962
20130226,20.96,21.07,20.96,21.05,2178
20130228,21.38,21.43,21.18,21.28,34575
20130301,21.1,21.26,21.03,21.26,13312
20130304,21.14,21.14,21.14,21.14,11030
20130305,21.35,21.35,21.35,21.35,1733
20130306,21.51,21.52,21.35,21.49,5617
20130307,21.61,21.68,21.58,21.66,4362
20130308,21.65,21.65,21.54,21.55,1350
20130312,21.3,21.77,21.3,21.41,7153
20130313,21.22,21.43,21.2,21.43,1409
20130314,21.49,21.49,21.41,21.41,7918
20130315,21.54,21.54,21.54,21.54,1412
20130318,20.89,21.21,20.89,21.2,1635
20130319,21.1,21.1,21.03,21.05,2568
20130320,21.35,21.42,21.25,21.29,4874
20130321,21.05,21.23,21.05,21.23,1332
20130322,21.1,21.21,21.03,21.14,9270
20130325,21.36,21.36,20.8,20.8,12138
20130326,20.79,20.79,20.79,20.79,1699
20130327,20.66,20.66,20.29,20.46,13987
20130328,20.72,20.84,20.64,20.82,8215
20130401,20.72,20.72,20.62,20.62,1403
20130402,20.89,20.93,20.86,20.9,4236
20130403,21.14,21.14,21.14,21.14,4131
20130404,20.96,21.08,20.75,21.08,6309
20130405,20.8,20.8,20.79,20.8,1468
20130408,20.71,20.76,20.71,20.76,3299
20130409,20.85,21.1,20.8,21.03,12574
20130410,21.22,21.37,21.22,21.37,11523
20130411,21.57,21.57,21.46,21.46,1540
20130415,21.23,21.23,20.69,20.7,3958
20130416,20.65,20.65,20.65,20.65,16752
20130417,20.31,20.47,20.31,20.47,7188
20130418,20.26,20.26,20.15,20.15,5904
20130419,20.22,20.22,20.21,20.21,2636
20130422,20.37,20.44,20.37,20.44,898
20130423,20.64,20.93,20.64,20.89,8485
20130424,21.12,21.12,21.12,21.12,309
20130425,21.52,21.52,21.46,21.46,8302
20130426,21.43,21.45,21.43,21.45,2568
20130429,21.75,21.78,21.75,21.78,3210
20130430,21.69,21.69,21.57,21.57,8249
20130501,21.61,21.61,21.6,21.61,1828
20130503,21.74,21.76,21.74,21.74,949
20130506,21.84,21.84,21.69,21.84,2114
20130507,21.98,21.98,21.93,21.93,5513
20130508,22.29,22.42,22.29,22.42,704
20130509,22.47,22.47,22.05,22.14,3120
20130510,22.44,22.58,22.39,22.57,10651
20130513,22.46,22.57,22.46,22.57,7568
20130514,22.43,22.43,22.33,22.33,4017
20130515,22.34,22.45,22.34,22.45,514
20130520,22.3,22.51,22.29,22.51,16158
20130521,22.4,22.58,22.4,22.58,3850
20130522,22.58,22.7,22.12,22.16,15530
20130523,21.96,22.02,21.96,22.02,1052
20130524,21.76,21.76,21.76,21.76,128
20130528,22.06,22.06,22.01,22.01,2385
20130530,22.06,22.06,22.06,22.06,186
20130531,21.64,21.65,21.6,21.6,10525
20130604,21.74,21.74,21.6,21.6,770
20130605,21.23,21.23,21.09,21.1,5664
20130606,21.26,21.35,21.22,21.35,5197
20130607,21.5,21.5,21.45,21.45,621
20130610,21.53,21.54,21.47,21.54,1149
20130611,21.1,21.17,21.1,21.17,4579
20130612,21.22,21.37,21.22,21.28,21320
20130613,21.52,21.52,21.39,21.46,5502
20130614,21.71,21.71,21.71,21.71,899
20130617,21.77,21.82,21.77,21.79,3810
20130618,21.88,22.13,21.88,22.02,34805
20130619,21.67,21.7,21.52,21.52,4364
20130620,21.21,21.21,21.06,21.17,9790
20130621,21.03,21.04,20.59,21.04,17202
20130624,20.27,20.49,20.26,20.41,9633
20130625,20.36,20.52,20.36,20.52,2439
20130626,20.57,20.75,20.57,20.75,1895
20130627,20.05,20.05,20.05,20.05,1739
20130628,19.819,19.858,19.819,19.858,4749
20130701,20.09,20.13,19.998,19.998,24647
20130702,20.01,20.01,19.99,19.99,1412
20130703,19.92,20.1,19.913,20.1,15275
20130705,20.12,20.25,20.12,20.25,2054
20130708,21.02,21.02,21.02,21.02,1125
20130709,20.87,20.87,20.87,20.87,897
20130710,21.24,21.24,20.72,20.93,9500
20130711,21.66,21.73,21.34,21.73,21739
20130712,21.35,21.36,21.35,21.36,513
20130715,21.32,21.32,21.11,21.12,1381
20130716,21.31,21.31,20.99,21,112871
20130718,21.34,21.39,21.34,21.37,3087
20130719,21.13,21.35,21.13,21.35,37530
20130723,21.26,21.26,21.24,21.26,689
20130724,21.3,21.3,21.26,21.26,1027
20130725,21.38,21.43,21.38,21.43,4692
20130726,21.27,21.35,21.27,21.35,10737
20130730,21.21,21.21,21.14,21.17,46977
20130731,21.42,21.42,21.15,21.18,2439
20130801,21.46,21.56,21.46,21.56,3851
20130802,21.25,21.67,21.25,21.6,57409
20130805,21.54,21.59,21.54,21.56,11938
20130806,21.72,21.72,21.66,21.66,2989
20130807,21.57,21.6,21.54,21.6,3481
20130808,21.88,22.04,21.88,22.01,16362
20130809,22.09,22.29,22.09,22.29,385
20130812,22.19,22.25,22.19,22.24,2069
20130813,22.1,22.13,22.1,22.13,1283
20130814,22.13,22.27,22.13,22.25,169412
20130815,21.96,22.18,21.96,22.18,8984
20130816,22.3,22.37,22.3,22.37,260
20130819,22.55,22.55,22.37,22.39,8982
20130820,22.34,22.36,22.34,22.34,2023
20130821,22.2,22.2,22.05,22.06,6798
20130822,22.44,22.44,22.44,22.44,128
20130823,22.55,22.55,22.55,22.55,385
20130826,22.67,22.67,22.44,22.44,4391
20130827,22.44,22.44,22.44,22.44,378
20130828,22.34,22.34,22.24,22.25,1637
20130829,22.3,22.3,22.22,22.22,1121
20130830,21.66,21.66,21.66,21.66,128
20130903,22.2,22.75,22.2,22.59,24388
20130904,22.86,22.86,22.86,22.86,1284
20130905,22.95,23.08,22.95,22.98,4486
20130906,23.17,23.18,23.17,23.18,770
20130909,23.39,23.6,23.33,23.57,5772
20130910,23.91,23.96,23.91,23.96,1496
20130911,24.24,24.42,24.24,24.42,5283
20130912,24.42,24.43,24.37,24.38,11938
20130913,24.62,24.67,24.38,24.41,5261
20130916,24.86,24.86,24.43,24.43,9210
20130917,25.09,25.09,24.45,24.53,7669
20130918,24.54,25.39,24.54,25.37,2951
20130919,25.14,25.17,24.88,25.17,61685
20130920,25.16,25.16,25.05,25.16,30621
20130923,25.04,25.04,24.84,25.03,9057
20130924,24.84,24.84,24.84,24.84,128
20130925,24.7,24.77,24.64,24.64,1996
20130926,24.62,24.8,24.62,24.8,769
20130927,24.88,24.99,24.88,24.93,4147
20130930,24.93,24.93,24.56,24.6,8054
20131001,24.81,24.94,24.78,24.91,21155
20131002,25.12,25.12,24.92,24.99,2309
20131003,24.85,24.85,24.77,24.77,629
20131004,24.71,24.81,24.71,24.74,5260
20131007,24.29,24.56,24.28,24.52,4287
20131008,24.55,24.55,24.36,24.42,4072
20131009,24.28,24.37,24.14,24.37,777
20131010,24.81,24.81,24.81,24.81,898
20131011,24.74,24.74,24.52,24.66,706
20131014,24.5,24.5,24.48,24.48,256
20131015,24.77,24.77,24.77,24.77,244
20131016,25.12,25.12,24.88,25.12,12516
20131017,25.31,25.36,24.98,25.36,27291
20131018,25.31,25.48,25.31,25.48,6804
20131021,25.61,25.62,25.48,25.62,10114
20131022,25.62,25.73,25.62,25.73,17649
20131023,25.77,25.77,25.55,25.58,2316
20131024,25.5,25.6,25.5,25.6,11365
20131025,25.5,25.51,25.46,25.51,4628
20131028,25.55,25.57,25.33,25.37,10747
20131029,25.68,25.78,25.67,25.76,26407
20131030,26.1,26.1,25.9,25.9,11294
20131031,25.77,25.85,25.72,25.77,11808
20131101,25.51,25.69,25.51,25.66,5519
20131104,26.04,26.07,26.04,26.07,2620
20131105,26.07,26.07,25.92,26.05,15617
20131106,26.4,26.45,26.32,26.45,5824
20131107,26.29,26.32,25.99,25.99,5455
20131108,26.07,26.07,26.07,26.07,899
20131111,26.32,26.32,26.1,26.3,5218
20131112,26.12,26.12,25.86,25.91,17029
20131113,25.44,26.17,25.44,26.17,3680
20131114,26.19,26.19,26.19,26.19,305
20131115,26.25,26.32,26.11,26.32,6332
20131118,26.7,26.7,26.27,26.27,5537
20131119,26.25,26.28,26.23,26.23,2054
20131120,26.28,26.29,25.97,26,4765
20131121,26.49,26.51,26.32,26.43,1657
20131122,26.46,26.55,26.39,26.55,8855
20131125,26.43,26.47,26.39,26.47,7113
20131126,26.47,26.6,26.44,26.49,3397
20131127,26.91,26.91,26.6,26.71,4728
20131129,26.74,26.77,26.43,26.43,2122
20131202,26.45,26.45,26.33,26.35,30373
20131203,25.97,25.97,25.69,25.69,1411
20131204,25.4,25.64,25.34,25.63,6763
20131205,25.72,25.83,25.67,25.67,1525
20131206,25.89,25.99,25.82,25.98,19260
20131209,25.9,26.18,25.9,26.15,2127
20131210,25.86,25.86,25.86,25.86,759
20131211,26.01,26.01,26.01,26.01,128
20131212,25.75,25.76,25.45,25.59,9054
20131213,25.38,25.38,25.34,25.38,1283
20131216,25.67,25.67,25.54,25.6,3865
20131217,25.43,25.5,25.43,25.48,23491
20131218,25.78,26.08,25.61,26.03,19506
20131219,26.08,26.08,26.08,26.08,770
20131220,26.19,26.31,26.19,26.3,6871
20131223,26.47,26.47,26.47,26.47,148
20131224,26.57,26.65,26.57,26.65,3412
20131226,27.09,27.09,27.09,27.09,128
20131227,26.88,26.96,26.88,26.96,2261
20131230,26.9,27.1,26.9,27,4876
20131231,26.9,27.22,26.9,27.22,6783
20140102,26.71,26.71,26.41,26.45,25331
20140103,26.45,26.76,26.45,26.68,10546
20140106,26.77,26.77,26.64,26.74,7007
20140107,26.43,26.67,26.43,26.65,3969
20140108,26.64,26.68,26.5,26.68,3207
20140109,26.73,26.87,26.73,26.87,771
20140110,26.84,27.15,26.84,27.15,19338
20140113,27.06,27.22,26.74,27,99509
20140114,26.91,27.16,26.91,27.16,2684
20140115,27.08,27.08,27.08,27.08,1829
20140116,27.27,27.27,27.25,27.25,1489
20140117,27.1,27.1,26.86,26.86,13561
20140121,26.81,26.92,26.45,26.82,23375
20140122,26.88,27.05,26.85,27,18667
20140123,27.03,27.03,26.5,26.52,6749
20140124,26.02,26.08,25.91,25.91,4363
20140127,25.56,25.92,25.56,25.66,4696
20140128,25.96,26.15,25.93,26.15,26565
20140129,25.92,25.97,25.75,25.87,11638
20140130,25.8,25.84,25.6,25.83,6741
20140131,25.83,25.83,25.83,25.83,251
20140203,24.99,25.06,24.73,24.73,5952
20140204,24.73,25.23,24.73,25.23,7340
20140205,25.2,25.2,25.19,25.19,770
20140206,25.83,26.19,25.83,26.05,8714
20140207,26.22,26.73,26.22,26.73,21175
20140210,26.52,26.71,26.52,26.64,3102
20140211,26.64,27.06,26.64,27.06,904
20140213,26.86,26.87,26.86,26.87,320
20140214,27.32,27.32,26.8,26.89,12061
20140218,26.99,27.22,26.98,27.22,2769
20140219,27.14,27.3,27.06,27.06,27163
20140220,27.17,27.18,26.98,26.98,1155
20140221,27.39,27.43,27.32,27.32,9366
20140224,27.89,28.02,27.43,27.43,4503
20140225,27.56,27.67,27.53,27.6,8898
20140226,27.46,27.46,27.32,27.33,39610
20140227,27.36,27.52,27.36,27.52,5446
20140228,27.31,27.69,27.31,27.5,4102
20140303,26.97,26.97,26.8,26.82,3462
20140304,27.15,27.45,27.15,27.45,256
20140305,28.23,28.23,27.59,27.62,16036
20140306,27.87,28.04,27.84,28.02,32229
20140307,27.92,27.92,27.92,27.92,14885
20140310,27.49,27.49,27.34,27.49,18345
20140312,26.89,27,26.87,27,11139
20140313,27,27,26.56,26.56,2182
20140314,26.43,26.43,26.43,26.43,1412
20140317,27.07,27.49,27.07,27.26,366110
20140318,27.13,27.82,27.13,27.61,105186
20140319,27.23,27.31,26.78,26.78,171093
20140320,26.63,26.7,26.48,26.64,2667
20140321,26.45,26.68,26.26,26.26,8431
20140324,26.5,26.5,26.27,26.31,1295
20140325,26.86,26.86,26.82,26.82,1361
20140326,26.96,27.01,26.96,27.01,482
20140327,26.86,26.86,26.86,26.86,780
