Date,Open,High,Low,Close,Volume
20130927,21.7,21.73,21.63,21.64,7214
20130930,21.57,21.58,21.5,21.58,8195
20131001,21.74,21.74,21.71,21.74,12585
20131002,21.88,21.95,21.84,21.94,6034
20131003,22.16,22.21,21.79,22.05,9582
20131004,22.04,22.18,22.04,22.18,2308
20131007,22.06,22.07,22.01,22.01,2538
20131008,22.12,22.12,21.66,21.7,2329
20131009,22.42,22.78,21.7,21.75,277778
20131010,22.12,22.4,22.09,22.32,11885
20131011,22.27,22.44,22.27,22.43,26616
20131014,22.32,22.38,22.32,22.37,2433
20131015,22.57,22.57,22.31,22.36,4985
20131016,22.55,22.62,22.53,22.53,2549
20131017,22.62,22.68,22.61,22.68,3817
20131018,22.89,22.89,22.66,22.81,10524
20131021,22.7,22.75,22.7,22.75,2712
20131022,22.92,23.02,22.92,23.02,13200
20131023,22.84,22.84,22.54,22.54,2608
20131024,22.52,22.55,22.43,22.43,4110
20131025,22.4,22.61,22.4,22.61,5724
20131028,22.76,22.76,22.61,22.66,9017
20131029,22.8,22.8,22.65,22.68,14546
20131030,22.66,22.66,22.24,22.61,13783
20131031,22.29,22.3,22.19,22.19,3125
20131101,22.29,22.29,22.09,22.13,12283
20131104,22.05,22.3,22.05,22.28,29076
20131105,22.16,22.16,21.93,21.93,9424
20131106,21.88,21.97,21.88,21.93,13188
20131107,22.02,22.02,21.57,21.58,41194
20131108,21.51,21.51,21.32,21.45,1269
20131111,21.46,21.46,21.27,21.34,4883
20131112,21.27,21.31,21.06,21.06,1615
20131113,21.05,21.38,21.05,21.38,3348
20131114,21.49,21.78,21.49,21.64,7871
20131115,22.17,22.17,22.09,22.14,7040
20131118,22.53,22.53,22.37,22.37,51479
20131119,22.35,22.35,22.17,22.17,1501
20131120,22.12,22.25,22.12,22.14,3577
20131121,21.99,22.02,21.99,22.02,8023
20131122,21.97,22.15,21.97,22.15,183947
20131125,22.05,22.05,21.87,21.87,14340
20131126,21.71,21.86,21.71,21.86,1511
20131127,22.03,22.04,22.01,22.04,1478
20131202,22.25,22.25,21.82,21.85,7191
20131203,21.62,21.66,21.52,21.57,6247
20131204,21.48,21.6,21.48,21.6,346
20131205,21.52,21.52,21.51,21.51,1051
20131206,21.63,21.93,21.63,21.87,3371
20131209,22.01,22.06,21.98,22.04,119522
20131210,21.96,22.04,21.92,22.02,6557
20131211,21.75,21.75,21.47,21.47,1431
20131212,21.46,21.5,21.23,21.37,7546
20131213,21.28,21.44,21.28,21.44,1270
20131216,21.57,21.57,21.48,21.53,2905
20131217,21.54,21.54,21.4,21.42,6243
20131218,21.4,21.88,21.27,21.79,2304
20131219,21.32,21.34,21.11,21.21,5239
20131220,21.23,21.33,21.14,21.15,39983
20131223,21.22,21.36,21.22,21.34,5303
20131224,21.4,21.53,21.4,21.53,807
20131226,21.41,21.41,21.27,21.27,8913
20131227,21.36,21.37,21.21,21.37,5538
20131230,21.53,21.59,21.53,21.55,19285
20131231,21.58,21.58,21.5,21.5,5872
20140102,21.28,21.28,20.9,20.9,4533
20140103,21,21,20.87,20.97,5218
20140106,20.84,20.88,20.8,20.83,2822
20140107,20.96,20.96,20.81,20.91,3368
20140108,21,21,20.8,20.8,2979
20140109,20.68,20.68,20.55,20.61,3004
20140110,20.58,21.01,20.58,20.98,31070
20140113,21.03,21.03,20.75,20.75,806
20140114,20.79,20.88,20.79,20.88,1555
20140115,20.92,20.92,20.8,20.83,75454
20140116,20.9,20.9,20.66,20.66,3642
20140117,20.7,20.7,20.49,20.6,104773
20140121,20.74,20.77,20.6,20.6,6216
20140122,20.78,20.79,20.65,20.65,2822
20140123,20.61,20.61,20.21,20.22,1936
20140124,20.05,20.05,19.66,19.712,14197
20140127,19.755,19.755,19.408,19.547,24878
20140128,19.564,19.772,19.564,19.755,4953
20140129,19.555,19.555,19.208,19.208,2225
20140130,19.477,19.486,19.408,19.417,32065
20140131,19.087,19.417,18.983,19.417,2996
20140203,18.987,19.035,18.76,18.776,8604
20140204,19.126,19.26,19.113,19.26,3455
20140205,19.027,19.217,19.027,19.148,2074
20140206,19.495,19.495,19.398,19.398,7945
20140207,19.555,19.581,19.555,19.573,7028
20140210,19.382,19.382,19.382,19.382,922
20140211,19.529,19.616,19.529,19.616,691
20140212,19.842,19.842,19.668,19.687,11705
20140213,19.669,19.798,19.669,19.798,434
20140214,19.937,20.21,19.937,20.14,44883
20140218,20.07,20.15,20.07,20.15,2742
20140219,20.05,20.05,19.8,19.937,18319
20140220,19.79,20.02,19.79,20.02,4885
20140221,20.09,20.09,20.09,20.09,1267
20140224,20.09,20.18,20.06,20.07,5589
20140225,19.851,19.877,19.798,19.807,7363
20140226,19.878,19.894,19.877,19.894,921
20140228,20.34,20.34,20.22,20.22,1274
20140303,19.965,19.972,19.739,19.791,15002
20140304,20.28,20.28,20.17,20.17,3456
20140305,20.19,20.25,20.19,20.22,11519
20140306,20.25,20.66,20.25,20.61,6873
20140307,20.32,20.32,20.18,20.22,3822
20140310,20.16,20.16,20.14,20.14,1638
20140311,20.38,20.39,20.24,20.24,6152
20140312,20.02,20.15,20.02,20.15,22313
20140313,20.17,20.22,19.894,19.894,2880
20140317,20.27,20.41,20.27,20.4,2345
20140318,20.51,20.55,20.51,20.53,1843
20140320,20.1,20.35,20.1,20.27,2765
20140321,20.57,20.57,20.33,20.33,1556
20140324,20.41,20.55,20.41,20.55,2336
20140325,20.65,20.65,20.59,20.59,1231
20140326,20.81,20.82,20.76,20.76,17667
20140327,20.89,21.02,20.88,21.02,2258
20140331,21.24,21.24,21.24,21.24,575
20140401,21.43,21.55,21.43,21.55,690
20140402,21.54,21.6,21.54,21.6,1214
20140404,21.69,21.71,21.55,21.55,3337
20140407,21.76,21.76,21.76,21.76,345
20140408,21.87,22.14,21.87,22.12,3968
20140409,21.89,21.95,21.85,21.95,805
20140410,21.95,22.08,21.88,21.93,15946
20140411,21.71,21.73,21.7,21.73,3275
20140414,21.71,21.81,21.71,21.81,8747
20140415,21.75,21.75,21.18,21.37,1870
20140416,21.53,21.71,21.53,21.71,1732
20140417,21.84,21.84,21.69,21.72,10387
20140422,21.76,21.77,21.63,21.77,1488
20140423,21.54,21.54,21.54,21.54,460
20140424,21.67,21.67,21.36,21.56,13379
20140425,21.25,21.36,21.25,21.32,6242
20140428,21.33,21.37,21.14,21.37,4128
20140429,21.34,21.34,21.34,21.34,1151
20140502,21.5,21.5,21.5,21.5,115
20140506,21.44,21.57,21.44,21.5,26242
20140509,21.71,21.73,21.71,21.73,3275
20140513,21.88,22.02,21.88,22.01,9162
20140515,21.9,21.9,21.64,21.79,2186
20140516,22.02,22.02,21.89,21.89,805
20140519,21.94,22.08,21.94,21.95,925
20140521,21.89,21.89,21.89,21.89,575
20140522,22.06,22.06,22.06,22.06,230
20140523,22.14,22.14,22.11,22.11,96682
20140527,22.25,22.25,21.89,21.89,1841
20140528,21.93,22.09,21.93,22.09,5018
20140529,22.15,22.21,22.15,22.18,946
20140530,22.13,22.14,22.12,22.12,1401
20140602,21.89,21.94,21.89,21.89,17882
20140603,21.89,21.9,21.89,21.9,6790
20140604,21.82,21.82,21.72,21.76,24514
20140605,22.01,22.1,21.94,21.97,24193
20140609,22.24,22.37,22.23,22.33,43605
20140610,22.34,22.37,22.29,22.34,10586
20140611,22.19,22.22,22.19,22.22,1158
20140612,22.3,22.3,22.3,22.3,1096
20140613,22.13,22.25,22.13,22.25,812
