Date,Open,High,Low,Close,Volume
20120228,45.25,45.59,45.25,45.49,5900
20120229,45.9,45.9,45.9,45.9,100
20120301,45.95,45.95,45.95,45.95,200
20120306,43.7,43.7,43.63,43.63,900
20120327,44.94,44.94,44.94,44.94,200
20120410,43.49,43.49,43.49,43.49,100
20120413,43.62,43.62,43.55,43.55,2600
20120416,43.33,43.33,43.33,43.33,100
20120424,43.48,43.48,43.48,43.48,100
20120425,43.41,43.42,43.41,43.42,300
20120502,44.01,44.16,44.01,44.16,200
20120504,42.92,42.92,42.92,42.92,200
20120529,39.21,39.21,39.21,39.21,400
20120620,40.61,40.61,40.61,40.61,200
20120627,38.96,38.96,38.96,38.96,100
20120727,40.15,40.15,40.15,40.15,100
20120821,41.68,41.68,41.68,41.68,200
20120829,40.8,40.8,40.78,40.78,800
20120830,40.23,40.23,40.23,40.23,100
20121023,42.47,42.47,42.47,42.47,100
20121025,42.93,43.02,42.93,43.02,300
20121101,43.42,43.42,43.42,43.42,200
20121119,42.43,42.43,42.43,42.43,900
20121205,43.76,43.76,43.76,43.76,100
20130102,47.08,47.08,46.78,46.78,400
20130104,46.66,46.66,46.66,46.66,100
20130116,46.09,46.09,45.96,46.03,1800
20130118,46.38,46.48,46.37,46.48,28400
20130128,45.69,45.69,45.45,45.48,2600
20130205,45.75,45.75,45.75,45.75,300
20130228,44.93,45.12,44.93,45.12,400
20130301,44.93,44.93,44.93,44.93,200
20130304,44.57,44.57,44.57,44.57,300
20130305,45.1,45.1,45.1,45.1,800
20130408,42.29,42.35,42.29,42.35,600
20130416,42.16,42.16,42.16,42.16,200
20130417,41.71,41.71,41.71,41.71,100
20130424,42.86,42.86,42.86,42.86,100
20130506,44.33,44.34,44.33,44.34,200
20130510,44.55,44.55,44.52,44.52,400
20130515,44.32,44.32,44.32,44.32,300
20130614,40.35,40.35,40.35,40.35,200
20130617,41.05,41.05,41.05,41.05,200
20130619,40.37,40.37,40.37,40.37,200
20130708,39.15,39.17,39.15,39.15,600
20130709,39.28,39.28,39.28,39.28,200
20130711,40.92,40.92,40.89,40.89,1700
20130719,41.03,41.03,41.02,41.03,1000
20130722,40.96,40.96,40.96,40.96,100
20130726,41.79,41.79,41.79,41.79,1300
20130801,41.85,41.85,41.85,41.85,200
20130802,42.01,42.01,42.01,42.01,200
20130805,41.44,41.44,41.44,41.44,100
20130807,40.73,40.73,40.73,40.73,300
20130816,41.78,41.78,41.78,41.78,100
20130828,41.07,41.09,40.83,40.87,20400
20130904,42.13,42.14,42.13,42.14,200
20130905,42.95,42.95,42.91,42.91,2500
20130911,44.54,44.62,44.45,44.47,7100
20130912,44.37,44.45,44.05,44.05,10200
20130913,44.34,44.36,44.19,44.36,700
20130916,45.11,45.11,44.83,44.83,1000
20130917,44.98,44.99,44.81,44.86,30000
20130919,45.89,46,45.8,46,4100
20130930,44.02,44.34,44.02,44.25,21600
20131001,44.84,47.73,44.63,44.99,3600
20131002,44.75,44.75,44.69,44.69,200
20131003,44.63,44.63,44.63,44.63,300
20131004,45.17,45.24,45.17,45.24,8900
20131007,45.02,45.02,45.02,45.02,300
20131008,44.73,44.74,44.73,44.74,1700
20131010,45.47,45.47,45.47,45.47,200
20131011,46.01,46.09,45.87,46.09,4100
20131014,45.98,46.08,45.81,46.05,1700
20131015,46.15,46.21,46,46,4000
20131016,46.39,46.52,46.26,46.31,12500
20131017,46.42,46.53,46.29,46.46,21400
20131018,46.87,46.87,46.87,46.87,300
20131021,46.9,46.9,46.69,46.69,200
20131022,46.81,46.93,46.78,46.9,900
